conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
danielle| Oh Nice|
jackie| Can you suggest any places to them| [person:danielle f 1-1][location:places g() 4-4][person:they g(george:jean) 6-6]
danielle| I can meet them when they are in Los Angeles| [person:danielle f 0-0][person:they g(george:jean) 3-3][person:they g(george:jean) 5-5][location:los_angeles s 8-9]
jackie| Thats nice|
danielle| Ok I will meet them| [person:danielle f 1-1][person:they g(george:jean) 4-4]
jackie| Yeah It will be more useful to them| [person:they g(george:jean) 7-7]
danielle| Ok I am pleasure to meet them| [person:danielle f 1-1][person:they g(george:jean) 6-6]
jackie| Ok I will tell it to them| [person:jackie f 1-1][person:they g(george:jean) 6-6]
danielle| Ok you carry on| [person:jackie f 1-1]

conv:people_2019081902_32:aug_0:chat_0:chataug_0| alexis catherine| [person:alexis f 0-0][person:catherine f 1-1]
alexis| Hey Catherine How are you Hope you re having a great day| [person:catherine f 1-1][person:catherine f 4-4][person:catherine f 6-6]
catherine| Hi Alexis I m doing fine thanks And you| [person:alexis f 1-1][person:catherine f 2-2][person:alexis f 8-8]
alexis| I m good Looking forward to having you Megan Theresa and Jackie over on Saturday night for dinner Should be so fun| [person:alexis f 0-0][person:catherine f 7-7][person:megan f 8-8][person:theresa f 9-9][person:jackie f 11-11]
catherine| Totally I think everyone is really looking forward to getting together| [person:catherine f 1-1][person:everyone g(alexis:catherine:megan:theresa:jackie) 3-3]
alexis| Me too for sure I m trying to decide on a menu and wanted to get your opinion What do you think everyone would like to eat I want to make something everyone will like| [person:alexis f 0-0][person:alexis f 4-4][person:catherine f 16-16][person:catherine f 20-20][person:everyone g(alexis:catherine:megan:theresa:jackie) 22-22][person:alexis f 27-27]
catherine| Well I know Megan and Jackie both like Italian food and if I m not mistaken I think Theresa really likes Mexican| [person:catherine f 1-1][person:megan f 3-3][person:jackie f 5-5][person:catherine f 12-12][person:catherine f 16-16][person:theresa f 18-18]
alexis| Right okay Hmmmm I wonder what I could make then so everybody gets to have something they like| [person:alexis f 3-3][person:alexis f 6-6][person:everyone g(alexis:catherine:megan:theresa:jackie) 11-11][person:they g(alexis:catherine:megan:theresa:jackie) 16-16]
catherine| Here s an idea What if you made a pasta dish like spaghetti or lasagna for Megan and Jackie and I can bring some tacos for Theresa That way it s not all on your shoulders Thoughts| [person:alexis f 6-6][person:megan f 16-16][person:jackie f 18-18][person:catherine f 20-20][person:theresa f 26-26][person:alexis f 34-34]
alexis| Oh that would be great I have a great lasagna recipe I can make Thank you so much Catherine| [person:alexis f 5-5][person:alexis f 11-11][person:catherine f 15-15][person:catherine f 18-18]
catherine| No problem I think it ll be super fun and everyone should be happy and full| [person:catherine f 2-2][person:everyone g(alexis:catherine:megan:theresa:jackie) 10-10]

conv:people_2019081902_33:aug_0:chat_0:chataug_0| jack lara| [person:jack m 0-0][person:lara f 1-1]
jack| Hey Lara I was just talking to Steven over the phone| [person:lara f 1-1][person:jack m 2-2][person:steven m 7-7]
lara| That s funny I was just texting with Jane| [person:lara f 3-3][person:jane f 8-8]
jack| We haven t seen them since they moved out west| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 4-4][person:they g(steven:jane) 6-6]
lara| We should really go visit them I was thinking about the fall| [person:we g(jack:lara) 0-0][person:them g(steven:jane) 5-5][person:lara f 6-6]
jack| Maybe we should go in the winter It ll be cold here but definitely warmer there| [person:we g(jack:lara) 1-1]
lara| That sounds like a good idea A warmer winter would be fun|
jack| Yeah we can also bring them holiday gifts from here They probably miss some things| [person:we g(jack:lara) 1-1][person:them g(steven:jane) 5-5][person:they g(steven:jane) 10-10]
lara| Yeah Jane was telling me how much she misses those candies from her favorite shop| [person:jane f 1-1][person:lara f 4-4][person:jane f 7-7][person:jane f 12-12]
jack| And Steven says he d love some things from around town| [person:steven m 1-1][person:steven m 3-3][location:town s 10-10]
lara| Let s finalize plans to visit them later tonight I m really excited| [person:them g(steven:jane) 6-6][person:lara f 9-9]
jack| Me too See you later| [person:jack m 0-0][person:lara f 3-3]

conv:people_2019081902_34:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][location:your_area s 6-6][location:your_area s 7-7][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(gregory:eduardo:johnny) 6-6][person:us g(gregory:eduardo:johnny) 8-8][person:gregory m 13-13]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:us g(gregory:eduardo:johnny) 7-7]
malcolm| Then which theaters do you suggest| [location:theater s 2-2][person:gregory m 4-4]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:theater s 1-1][location:theater s 5-5][location:5th_street s 7-8][location:5th_street s 8-8][location:imax s 10-10][location:cross_boulevard s 12-13]
malcolm| I think IMAX would be the best choice| [person:malcolm m 0-0][location:imax s 2-2]
gregory| It sure is the best choice even though the tickets cost more| [location:imax s 0-0]
malcolm| Well it doesn t matter since we want to enjoy our time| [person:we g(malcolm:gregory:eduardo:johnny) 6-6][person:we g(malcolm:gregory:eduardo:johnny) 10-10]
gregory| You are right| [person:malcolm m 0-0]
malcolm| See you at the theater then| [person:gregory m 1-1][location:theater s 4-4]
gregory| Yes we will be meeting soon it will be fun| [person:we g(malcolm:gregory:eduardo:johnny) 1-1]

conv:people_2019081902_35:aug_0:chat_0:chataug_0| noah tim| [person:noah m 0-0][person:tim m 1-1]
tim| Hi Noah Would you like to go to a basketball match| [person:noah m 1-1][person:noah m 3-3]
noah| Hi Tim I was also thinking the same| [person:tim m 1-1][person:noah m 2-2]
tim| Can you ask Stephan and Dwight If they would like to join us too| [person:noah m 1-1][person:stephan m 3-3][person:dwight m 5-5][person:they g(stephan:dwight) 7-7][person:us g(tim:noah) 12-12]
noah| Actually I already did And they are also coming| [person:noah m 1-1][person:they g(stephan:dwight) 5-5]
tim| That is great Which day do you think will be best for all of us| [person:noah m 6-6][person:us g(tim:noah) 14-14]
noah| How about saturday It will be a holiday Everybody will have enough time to enjoy the game without any interuption| [person:everybody g() 8-8]
tim| That sounds good to me And I was thinking of going to LA Clippers What do you think| [person:tim m 4-4][person:tim m 6-6][location:la s 12-12][person:noah m 16-16]
noah| But Stephan and Dwight like New York Knicks And they will not change their choice You know how they are| [person:stephan m 1-1][person:dwight m 3-3][location:new_york s 5-6][person:they g(stephan:dwight) 9-9][person:they g(stephan:dwight) 13-13][person:tim m 15-15]
tim| Ok Let s go for New York Knicks then| [location:new_york s 5-6]
noah| I will book the tickets tonight| [person:noah m 0-0]
tim| Great See you Bye| [person:noah m 2-2]
noah| Bye|

conv:people_2019081902_36:aug_0:chat_0:chataug_0| charlotte jessica| [person:charlotte f 0-0][person:jessica f 1-1]
charlotte| Hey Jessica Are you enjoying the cooking class so far| [person:jessica f 1-1][person:jessica f 3-3]
jessica| I m having so much fun Stella and I were just talking about the recipe we made last week It turned out so good| [person:jessica f 0-0][person:stella f 6-6][person:jessica f 8-8][person:we g(jessica:stella) 15-15]
charlotte| Eve and Tiffany said the same thing It was their favorite thing we ve made so far I m having fun but I think I need more practice| [person:tiffany f 2-2][person:their g(tiffany) 9-9][person:we g(jessica:stella) 12-12][person:charlotte f 17-17][person:charlotte f 22-22][person:charlotte f 24-24]
jessica| I d be happy to help if you need me to| [person:jessica f 0-0][person:charlotte f 7-7][person:jessica f 9-9]
charlotte| I d really appreciate it Do you want to see if Stella Eve and Tiffany want to join us| [person:charlotte f 0-0][person:jessica f 6-6][person:stella f 11-11][person:tiffany f 14-14][person:us g(charlotte:jessica) 18-18]
jessica| That would be lots of fun I think we should ask all three so no one feels left out| [person:jessica f 6-6][person:we g(charlotte:jessica) 8-8]
charlotte| Good idea I wouldn t want to make anyone feel bad| [person:charlotte f 2-2][person:anyone g(stella:tiffany) 8-8]
jessica| Can we meet at your place My kitchen is way to small for five people to work in| [person:we g(charlotte:jessica:stella:tiffany) 1-1][person:charlotte f 4-4][location:place s 5-5][person:jessica f 6-6][location:kitchen s 7-7]
charlotte| That s fine with me if it works for everyone else| [person:charlotte f 4-4][location:kitchen s 6-6][person:everyone g(stella:tiffany) 9-9]
jessica| Perfect I ll talk to Eve and Tiffany today Can you message Stella| [person:jessica f 1-1][person:tiffany f 7-7][person:charlotte f 10-10][person:stella f 12-12]
charlotte| I will Ask them if Tuesday night at 615 would work| [person:charlotte f 0-0][person:them g(tiffany) 3-3]
jessica| Okay I ll let you know what they say| [person:jessica f 1-1][person:charlotte f 4-4][person:they g(tiffany) 7-7]

conv:people_2019081902_37:aug_0:chat_0:chataug_0| gabriel logan| [person:gabriel m 0-0][person:logan m 1-1]
logan| Are you still interesting in heading out for dinner| [person:gabriel m 1-1]
gabriel| For sure I have been looking forward to it all week| [person:gabriel m 2-2]
logan| Great Do you have any idea where you would like to go| [person:gabriel m 2-2][person:gabriel m 7-7]
gabriel| I would like just about any place except Mexican food I was thinking though that we should invite Christopher and Dan| [person:gabriel m 0-0][location:place s 6-6][person:gabriel m 10-10][person:we g(logan:gabriel) 15-15][person:christopher m 18-18][person:dan m 20-20]
logan| Well we could but you know that Christopher doesn t really like any place except steak houses| [person:we g(logan:gabriel) 1-1][person:gabriel m 4-4][person:christopher m 7-7][location:place s 13-13][location:steak_houses s 15-16]
gabriel| That is true so we wouldn t really have a choice about where we could eat if we invited them| [person:we g(logan:gabriel) 4-4][person:we g(logan:gabriel) 13-13][person:we g(logan:gabriel) 17-17][person:them g(christopher:dan) 19-19]
logan| Well I am alright with steak if you want to invite them| [person:logan m 1-1][person:gabriel m 7-7][person:them g(christopher:dan) 11-11]
gabriel| I think that inviting Christopher and Dan would be the right thing to do I will ask them if you don t mind| [person:gabriel m 0-0][person:christopher m 4-4][person:dan m 6-6][person:gabriel m 14-14][person:them g(christopher:dan) 17-17][person:logan m 19-19]
logan| That is fine with me Let me know what they say| [person:logan m 4-4][person:logan m 6-6][person:they g(christopher:dan) 9-9]
gabriel| I will get right back to you So steak house if they want to go and if not then you decide what you want| [person:gabriel m 0-0][person:logan m 6-6][location:steak_houses s 8-9][person:they g(christopher:dan) 11-11][person:logan m 19-19][person:logan m 22-22]
logan| Sounds like a great plan|

conv:people_2019081902_38:aug_0:chat_0:chataug_0| jeffrey jeremy| [person:jeffrey m 0-0][person:jeremy m 1-1]
jeffrey| Are you ready Shall we go for the game| [person:jeremy m 1-1][person:we g(jeffrey:jeremy) 4-4]
jeremy| I am ready What about your roommates Are they reach Stadium in time| [person:jeremy m 0-0][person:jeffrey m 5-5][person:they g() 8-8][location:stadium s 10-10]
jeffrey| Yes Ofcourse they are already on the way| [person:they g() 2-2]
jeremy| I feel hungry and I need to have some food before going to the game| [person:jeremy m 0-0][person:jeremy m 4-4]
jeffrey| Okay you can go to the nearest restaurant to the stadium and get lunch| [person:jeremy m 1-1][location:restaurant s 7-7][location:stadium s 10-10]
jeffrey| I will ask any one of them to pick you up from the restaurant| [person:jeffrey m 0-0][person:they g() 6-6][person:jeremy m 9-9][location:restaurant s 13-13]
jeremy| Okay thanks And please inform me who are going to pick me and where Whether Alex or Andrew| [person:jeremy m 5-5][person:jeremy m 11-11][person:alex m 15-15][person:andrew m 17-17]
jeffrey| Definitely I will check and let you know| [person:jeffrey m 1-1][person:jeremy m 6-6]
jeremy| Thanks and sorry to burden your friends in this| [person:jeffrey m 5-5][person:they g(andrew:alex) 6-6]
jeffrey| That s nothing Don t worry|
jeremy| Thanks so much and I am going now I am so hungry| [person:jeremy m 4-4][person:jeremy m 8-8]
jeffrey| Okay bye|

conv:people_2019081902_39:aug_0:chat_0:chataug_0| brian juan| [person:brian m 0-0][person:juan m 1-1]
juan| Hi|
juan| are you free on tomorrwo| [person:brian m 1-1]
juan| if you are free on tomorrow we can go for a dinner at any good restaurant| [person:brian m 1-1][person:we g(juan:brian) 6-6][location:restaurant s 15-15]
brian| oh yes i am free on tomorrow| [person:brian m 2-2]
brian| sure we can go to any good restaurant can i invite my friends to join| [person:we g(juan:brian) 1-1][location:restaurant s 7-7][person:brian m 9-9][person:brian m 11-11][person:friends g() 12-12]
juan| oh sure who are they| [person:friends g() 4-4]
brian| can i invite Victoria and Pedro| [person:brian m 1-1][person:victoria f 3-3][person:pedro m 5-5]
juan| sure you can invite them we can go to any good restaurant do you know which is the best restaurant| [person:brian m 1-1][person:friends g(victoria:pedro) 4-4][person:we g(juan:brian:victoria:pedro) 5-5][location:restaurant s 11-11][person:brian m 13-13][location:restaurant s 19-19]
brian| can we go to Blue Hill restaurant at 5 Washington Pl New York NY 10011 USA| [person:we g(juan:brian:victoria:pedro) 1-1][location:blue_hill_restaurant s 4-6][location:blue_hill_restaurant s 6-6][location:washington s 9-9][location:new_york s 11-12]
juan| no find any other good restaurant| [location:restaurant s 5-5]
brian| what about Le Bernardin restaurant at 155 W 51st St New York NY 10019 USA| [location:le_bernardin_restaurant s 2-4][location:le_bernardin_restaurant s 4-4][location:155_w_51st_st s 6-9][location:new_york s 10-11][location:new_york s 12-12][location:usa s 14-14]
juan| yes it seems good we can meet there at 8 pm on tomorrow please inform to Victoria and Pedro| [location:le_bernardin_restaurant s 1-1][person:we g(juan:brian:victoria:pedro) 4-4][location:le_bernardin_restaurant s 7-7][person:victoria f 16-16][person:pedro m 18-18]
brian| Okay i will inform to Victoria and Pedro see you on tomorrow bye| [person:brian m 1-1][person:victoria f 5-5][person:pedro m 7-7][person:juan m 9-9]
juan| bye|

conv:people_2019081902_40:aug_0:chat_0:chataug_0| dylan edgar| [person:dylan m 0-0][person:edgar m 1-1]
edgar| Hey man I m trying to put together an anniversary party for the Rodgers but I m having a hard time deciding upon the location Thought you might help| [person:edgar m 2-2][person:edgar m 15-15][person:dylan m 26-26]
dylan| Sure man anything for you But as you know I do not know them well What kind of parties do they like| [person:edgar m 4-4][person:edgar m 7-7][person:dylan m 9-9][person:them g() 13-13][person:them g() 20-20]
edgar| I m not exactly sure that s why I m finding it a bit difficult to decide| [person:edgar m 0-0][person:edgar m 8-8]
dylan| You know what Isn t Austin friends with Christian Maybe we can call him for some suggestions| [person:edgar m 0-0][person:austin m 5-5][person:friends g(austin) 6-6][person:christian m 8-8][person:we g(edgar:dylan) 10-10][person:christian m 13-13]
edgar| Yeah already did that but he s on vacation and he doesn t exactly have the best cell reception| [person:austin m 5-5][person:austin m 10-10]
edgar| Maybe I ll try again later today| [person:edgar m 1-1]
dylan| You know what I just remembered that you told me that Denise was blown away by the island resort you and them went to last year| [person:edgar m 0-0][person:dylan m 3-3][person:edgar m 7-7][person:dylan m 9-9][person:denise f 11-11][person:edgar m 19-19][person:them g(christian:denise) 21-21]
dylan| Maybe you can try and set up a nice reception there| [person:edgar m 1-1]
edgar| Man you re a life saver I actually know the manager there and he owes me one| [person:dylan m 1-1][person:edgar m 6-6][person:manager m 13-13][person:edgar m 15-15]
dylan| Glad to be of assistance Maybe as a Thank you I ll receive an invitation| [person:edgar m 9-9][person:dylan m 10-10]
edgar| Sure you were already on the list Thanks again man| [person:dylan m 1-1]

conv:people_2019081902_41:aug_0:chat_0:chataug_0| evan harold| [person:evan m 0-0][person:harold m 1-1]
evan| Hey Harold I can t wait to go boating| [person:harold m 1-1][person:evan m 2-2][location:boating s 8-8]
harold| Me too Are Willie Matt and Jessie still going| [person:harold m 0-0][person:willie m 3-3][person:matt m 4-4]
evan| Yes they will be there What should we bring| [person:they g(willie:matt) 1-1][location:boating s 4-4][person:we g(evan:willie:matt:harold) 7-7]
harold| Well we need to bring rods worms a tackle box a lunch and drinks| [person:we g(evan:willie:matt:harold) 1-1]
evan| Let s divide who gets what|
harold| Okay how about I ask Willie to bring lunch| [person:harold m 3-3][person:willie m 5-5]
evan| Ok I ll all Matt to bring the rods and worms| [person:evan m 1-1][person:matt m 4-4]
harold| I ll tell Jessie to bring the drinks| [person:harold m 0-0]
evan| Sounds like a plan That will be so much fun|
harold| I can t wait to go to the lake See you there 3 PM Tuesday| [person:harold m 0-0][location:lake s 8-8][person:evan m 10-10][location:lake s 11-11]
evan| See you then Harold| [person:harold m 1-1][person:harold m 3-3]

conv:people_2019081902_43:aug_0:chat_0:chataug_0| randy ryan| [person:randy m 0-0][person:ryan m 1-1]
randy| We will have a drinks party soon along with your friends| [person:we g(randy:ryan) 0-0][person:ryan m 9-9][person:friends g() 10-10]
ryan| yes we can have lot of fun| [person:we g(randy:ryan) 1-1]
randy| So when are your friends free| [person:ryan m 3-3][person:friends g() 4-4]
ryan| I will just ask them| [person:ryan m 0-0][person:friends g() 4-4]
randy| This weekend might be convinient for all|
ryan| May be yes as i will discuss with them| [person:ryan m 4-4][person:friends g() 8-8]
randy| Where do we planned to have drinks party| [person:we g(randy:ryan) 2-2]
ryan| I think your place is perfect| [person:ryan m 0-0][person:randy m 2-2][location:place s 3-3]
randy| Okay i will get ready for the party and you fix the date| [person:randy m 1-1][person:ryan m 9-9]
ryan| I will call my friends and decide everything| [person:ryan m 0-0][person:ryan m 3-3][person:friends g() 4-4]

conv:people_2019081902_45:aug_0:chat_0:chataug_0| eric janet| [person:eric m 0-0][person:janet f 1-1]
janet| We still on for lunch next week| [person:we g(janet:eric) 0-0]
eric| You bet we are| [person:janet f 0-0][person:we g(janet:eric) 2-2]
janet| I m actually having lunch with Steve would you like to join us| [person:janet f 0-0][person:steve m 6-6][person:eric m 8-8][person:us g(janet:steve) 12-12]
eric| That would be great I haven t seen Steve in forever| [person:eric m 4-4][person:steve m 8-8]
janet| Great it will be fun|
eric| Hey I just realized that Nathan is also in town that day Could he join us| [person:eric m 1-1][person:nathan m 5-5][location:town s 9-9][person:nathan m 13-13][person:us g(janet:eric:steve) 15-15]
janet| Will he feel comfortable He doesn t know anyone else in the group| [person:nathan m 1-1][person:nathan m 4-4]
eric| Oh yeah he s very social he ll have a great time| [person:nathan m 2-2][person:nathan m 6-6]
janet| That is fine with me then| [person:janet f 4-4]
eric| Great I ll invite him thanks| [person:eric m 1-1][person:nathan m 4-4]

conv:people_2019081902_46:aug_0:chat_0:chataug_0| daniel ralph| [person:daniel m 0-0][person:ralph m 1-1]
ralph| Dany have you forgetten about party at Wilsons| [person:daniel m 2-2][person:wilsons g() 7-7]
daniel| Come on how can I forget it| [person:daniel m 4-4]
ralph| When will be we moving| [person:we g(ralph:daniel) 3-3]
daniel| I think we can push off at 5 in the evening| [person:daniel m 0-0][person:we g(ralph:daniel) 2-2]
ralph| Fine But we have to buy something for him no| [person:we g(ralph:daniel) 2-2][person:him m 8-8]
daniel| Surely I was going to ask you about it Have you anything in mind| [person:daniel m 1-1][person:ralph m 6-6][person:ralph m 10-10]
ralph| I think we can consult Howard He knows about better about Wilsons interests| [person:ralph m 0-0][person:we g(ralph:daniel) 2-2][person:howard m 5-5][person:howard m 6-6][person:wilsons g(him) 11-11]
daniel| You have rightly said we can consult him| [person:daniel m 0-0][person:we g(ralph:daniel) 4-4][person:howard m 7-7]
ralph| Can you get him now| [person:daniel m 1-1][person:howard m 3-3]
daniel| Yeah I shall make him a call now| [person:daniel m 1-1][person:howard m 4-4]

conv:people_2019081902_47:aug_0:chat_0:chataug_0| alex robert| [person:alex m 0-0][person:robert m 1-1]
robert| Hey you still up for that run later today| [person:alex m 1-1]
alex| Sure am|
robert| Great have you heard from Steven Alexander and Lawrence| [person:alex m 2-2][person:steven m 5-5][person:alexander m 6-6][person:lawrence m 8-8]
alex| Yes they re still coming| [person:they g(steven:alexander:lawrence) 1-1]
robert| We are going to need water sunscreen and trail mix| [person:we g(robert:alex:steven:alexander:lawrence) 0-0]
alex| Okay I can bring the water| [person:alex m 1-1]
robert| I ll bring the trail mix| [person:robert m 0-0]
alex| I know Lawrence has sunscreen already| [person:alex m 0-0][person:lawrence m 2-2]
robert| Can you ask him to bring it along with him| [person:alex m 1-1][person:lawrence m 3-3][person:lawrence m 9-9]
alex| Sure will We will see you later| [person:we g(alex:steven:alexander:lawrence) 2-2][person:robert m 5-5]
robert| Great see you then| [person:alex m 2-2]

conv:people_2019081902_48:aug_0:chat_0:chataug_0| phil ron| [person:phil m 0-0][person:ron m 1-1]
ron| Hey Phil Pedro and Rafael are here at my house| [person:phil m 1-1][person:pedro m 2-2][person:rafael m 4-4][person:ron m 8-8][location:house s 9-9]
phil| Oh is there some kind of party going on there| [location:house s 2-2][location:house s 9-9]
ron| Nah my brother s just visiting me and brought his friend| [person:ron m 1-1][person:brother m 2-2][person:ron m 6-6][person:ron m 9-9][person:friend u 10-10]
phil| Are you guys planning to do anything| [person:ron m 1-1]
ron| Yeah we re gonna watch the Superbowl| [person:we g(ron:phil) 1-1]
phil| Oh yeah I almost forgot it s that time of the year| [person:phil m 2-2]
ron| So we ve been thinking about going out to watch it at a bar| [person:we g(ron:phil) 1-1][location:bar s 13-13]
ron| What do you think Want to come along| [person:phil m 2-2]
phil| Oh sure sounds like a good time|
ron| Do you know any good place we could go to Otherwise I ll just pick the closest one| [person:phil m 1-1][location:place s 5-5][person:we g(ron:phil) 6-6][person:ron m 11-11]
phil| Yeah there s one near where I work that s pretty friendly and accomodating| [person:phil m 6-6]
ron| Great I ll tell my brother and his friend to meet you there before the game| [person:ron m 1-1][person:ron m 4-4][person:brother m 5-5][person:brother m 7-7][person:friend u 8-8][person:phil m 11-11]
ron| Send me the address| [person:ron m 1-1]
phil| Ok|

conv:people_2019081902_50:aug_0:chat_0:chataug_0| michael samuel| [person:michael m 0-0][person:samuel m 1-1]
samuel| Hey Michael I need a favor| [person:michael m 1-1][person:samuel m 2-2]
michael| Hi Samuel Anything for you bro| [person:samuel m 1-1][person:samuel m 4-4]
samuel| Actually my friends Albert and Wayne are visiting New Orleans next week As you live there Can you show them around| [person:samuel m 1-1][person:friends g() 2-2][person:albert m 3-3][person:wayne m 5-5][person:michael m 13-13][person:michael m 17-17][person:friends g(albert:wayne) 19-19]
michael| Sure What would they like to visit| [person:friends g(albert:wayne) 3-3]
samuel| How about French Quarter| [location:french_quarter s 2-3]
michael| That sounds good It is very nice place to visit if you are coming here for the first time| [location:french_quarter s 3-3][location:french_quarter s 7-7][person:samuel m 11-11][location:new_orleans s 14-14]
samuel| Is there any other place that you think would be best| [location:place s 4-4][person:michael m 6-6]
michael| There is Mardi Gras National WWII Museum and St Louis Cathedral| [location:new_orleans s 0-0][location:mardi_gras s 2-3][location:national_wwii_museum s 4-6][location:museum s 6-6][location:st_louis_cathedral s 8-10]
samuel| Ok Those sounds good to me| [person:michael m 5-5]
michael| Don t worry Leave everything to me I will take take care of everything| [person:michael m 6-6][person:michael m 7-7]
samuel| That is why you are my best friend See you later Bye| [person:michael m 3-3][person:samuel m 5-5][person:michael m 7-7][person:michael m 9-9]
michael| Hehehe Bye|

conv:people_2019081902_51:aug_0:chat_0:chataug_0| brandon victoria| [person:brandon m 0-0][person:victoria f 1-1]
brandon| Our big dinner party is coming up are you excited| [person:our g(brandon:victoria) 0-0][person:victoria f 8-8]
victoria| I m actually stressed We haven t decided what to feed them| [person:victoria f 0-0][person:we g(brandon:victoria) 4-4][person:them g() 11-11]
brandon| What do you think would be easy Chloe and Kathryn like fish But Wilson and Nate love steak| [person:victoria f 2-2][person:chloe f 7-7][person:kathryn f 9-9][person:wilson m 13-13][person:nate m 15-15]
victoria| I was thinking pasta But fish and steak could easily be done on the grill| [person:victoria f 0-0]
brandon| Yeah that would work I ll pick up fish and steak on my way home| [person:brandon m 4-4][person:brandon m 12-12][location:home s 14-14]
victoria| I know Chloe and Wilson love chips and salsa What do Kathryn and Nate like| [person:victoria f 0-0][person:chloe f 2-2][person:wilson m 4-4][person:kathryn f 11-11][person:nate m 13-13]
brandon| I think they like pretzels and dip I can get all of that Is there anything else you want| [person:brandon m 0-0][person:they g(kathryn:nate) 2-2][person:brandon m 7-7][person:victoria f 17-17]
victoria| Also get some vegetables to go with the fish and steak|
brandon| Alright that sounds like a plan I ll get all of it after work| [person:brandon m 6-6]
victoria| Okay see you later I ll tidy up the house before you get back| [person:brandon m 2-2][person:victoria f 4-4][location:house s 9-9][person:brandon m 11-11]
brandon| Okay see you then| [person:victoria f 2-2]

conv:people_2019081902_52:aug_0:chat_0:chataug_0| kate margaret| [person:kate f 0-0][person:margaret f 1-1]
kate| Hey Are you ready for the party tomorrow| [person:margaret f 2-2]
margaret| Almost Should we bring gifts for the Parkers| [person:we g(kate:margaret) 2-2][person:parkers g() 7-7]
kate| Good idea what do you think Matt would like| [person:margaret f 4-4][person:matt m 6-6]
margaret| He really likes interesting cheeses maybe we could find him something unusual| [person:matt m 0-0][person:we g(kate:margaret) 6-6][person:matt m 9-9]
margaret| Great idea And Nicole likes wine so we could find one that pairs nicely| [person:nicole f 3-3][person:we g(kate:margaret) 7-7]
kate| Perfect Let s not forget Daniel| [person:daniel m 5-5]
margaret| How about some chocolate for him| [person:daniel m 5-5]
kate| Yes let s do that|
margaret| Ok Who is buying what|
kate| I ll get the wine and cheese so we know they go together| [person:kate f 0-0][person:we g(kate:margaret:nicole:daniel) 8-8][person:they g(matt:nicole:daniel) 10-10]
margaret| Great I ll buy the chocolate| [person:margaret f 1-1]

conv:people_2019081902_54:aug_0:chat_0:chataug_0| jennifer kathryn| [person:jennifer f 0-0][person:kathryn f 1-1]
kathryn| Jenny our program of break fast with Alan and Amy will not go Alan told he has some inconvenience| [person:our g(kathryn:jennifer) 1-1][person:alan m 7-7][person:amy f 9-9][person:alan m 13-13][person:alan m 15-15]
jennifer| Oh sad Then how can spend our next week| [person:our g(kathryn:jennifer) 6-6]
kathryn| I am also not sure we shall ask Amy| [person:kathryn f 0-0][person:our g(kathryn:jennifer) 5-5][person:amy f 8-8]
jennifer| That is not needed We shall find an alternative and inform them| [person:our g(kathryn:jennifer) 4-4][person:them g(alan:amy) 11-11]
kathryn| What do you think| [person:jennifer f 2-2]
jennifer| Shall we go to drive in beach| [person:our g(kathryn:jennifer) 1-1][location:beach s 6-6]
kathryn| Thats a good idea When will we go| [person:our g(kathryn:jennifer) 6-6]
jennifer| We can start by 8 in the morning otherwise there will be very rush| [person:our g(kathryn:jennifer) 0-0][location:beach s 9-9]
kathryn| I have some inconvenience at that time I will come back from church by 8 o clock| [person:kathryn f 0-0][person:kathryn f 7-7][location:church s 12-12]
jennifer| Ok Then we can push off at 9 am Ok| [person:our g(kathryn:jennifer) 2-2]
kathryn| Thats fine but we have to get there acceptance too| [person:our g(kathryn:jennifer) 3-3]
jennifer| Surely we shall tell them| [person:our g(kathryn:jennifer) 1-1][person:them g(alan:amy) 4-4]

conv:people_2019081902_55:aug_0:chat_0:chataug_0| ann diane| [person:ann f 0-0][person:diane f 1-1]
diane| Hi Ann I am so excited to finally be here in LA| [person:ann f 1-1][person:diane f 2-2][location:la s 11-11]
ann| I m glad you made it safely Do the others know your here yet| [person:ann f 0-0][person:diane f 3-3][person:others g() 9-9][person:diane f 11-11][location:la s 12-12]
diane| Not yet I want to first figure out a place we can all meet Then surprise them| [person:diane f 2-2][location:place s 9-9][person:we g(diane:ann) 10-10][person:them g() 16-16]
ann| Oh that will be a great surprise|
diane| So what area does Marie Darren and Bradley live in| [person:marie f 4-4][person:darren m 5-5][person:bradley m 7-7]
ann| They are pretty close to me except Darren is across the bridge on other side of river| [person:them g(marie:darren:bradley) 0-0][person:ann f 5-5][person:darren m 7-7]
