conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
frances| Is it What was he doing there| [person:smith m 4-4][location:dunk_tank s 6-6]
fred| Yes I will send a picture of it You judge by yourself| [person:fred m 1-1][person:frances f 8-8][person:frances f 11-11]
frances| My god I don t believe this I thought that he is a good person| [person:frances f 0-0][person:frances f 2-2][person:frances f 7-7][person:smith m 10-10]
fred| Even I too thought the same till now But he is doing some nasty things here| [person:fred m 1-1][person:smith m 9-9][location:here u 15-15]
frances| Yes I don t think that will be a good to a teacher like him| [person:frances f 1-1][person:smith m 14-14]
fred| Yeah We have to stay away from him from now| [person:fred_and_frances g(fred:frances) 1-1][person:smith m 7-7]
frances| Yes you are right He is very disobedient| [person:fred m 1-1][person:smith m 4-4]

conv:chats_1126_356:aug_0:chat_0:chataug_0| nancy zach| [person:nancy f 0-0][person:zach m 1-1]
zach| Hey Nancy can you give Don a ride home this Friday| [person:nancy f 1-1][person:nancy f 3-3][location:home s 8-8]
nancy| I am sorry I am busy this Friday| [person:nancy f 0-0][person:nancy f 3-3]
zach| Do you know any other parent who can help| [person:nancy f 1-1][person:parent u 5-5]
nancy| Lindsey helped a couple of other parents in the past with similar needs unfortunately she is unavailable too| [person:lindsey f 0-0][person:parents g() 6-6][person:lindsey f 14-14]
zach| What should I do now| [person:zach m 2-2]
nancy| I can take Don to my home and later Nick can drop him off| [person:nancy f 0-0][person:nancy f 5-5][location:home s 6-6][person:nick m 9-9][person:don m 12-12]
zach| Are you sure that s a good idea| [person:nancy f 1-1]
nancy| Don always has a great time at my place he will be fine| [person:nancy f 7-7][location:place s 8-8][person:don m 9-9]
zach| Thank you so much Nancy| [person:nancy f 1-1][person:nancy f 4-4]
nancy| It s okay but remember you owe me| [person:zach m 5-5][person:nancy f 7-7]

conv:chats_1126_357:aug_0:chat_0:chataug_0| evelyn pablo| [person:evelyn f 0-0][person:pablo m 1-1]
evelyn| Hey Pablo we need to plan an unforgettable birthday for Ryan| [person:pablo m 1-1][person:we g(evelyn:pablo) 2-2][person:ryan m 10-10]
pablo| yes it should be memorable too from him| [person:ryan m 7-7]
evelyn| We need to invite all of our friends Ryan would want everyone at his party| [person:we g(evelyn:pablo) 0-0][person:our g(evelyn:pablo:ryan) 6-6][person:friends g(evelyn:pablo:ryan) 7-7][person:ryan m 8-8][person:everyone g(evelyn:pablo:ryan) 11-11][person:ryan m 13-13]
pablo| Yea i know but there is a problem here right with Randy| [person:pablo m 1-1][person:randy m 11-11]
evelyn| Yup He went absolutely out of the hand last time he and Ryan met Should we invite him| [person:randy m 1-1][person:randy m 10-10][person:ryan m 12-12][person:we g(evelyn:pablo) 15-15][person:randy m 17-17]
pablo| I am confused about this We do not know how to convince him also| [person:pablo m 0-0][person:we g(evelyn:pablo) 5-5][person:randy m 12-12]
evelyn| I know Ryan d like everyone but Randy can be an issue Let s not invite him| [person:evelyn f 0-0][person:ryan m 2-2][person:everyone g(evelyn:pablo:ryan) 5-5][person:randy m 7-7][person:randy m 16-16]
pablo| We should make sure that this shouldn t be a topic in the party so that everything will be done cool what say| [person:we g(evelyn:pablo) 0-0]
evelyn| It ll be hard to convince Ryan but that s the best to do| [person:ryan m 6-6]
pablo| Yea but there is no option for us to do lets rock the party| [person:us g(evelyn:pablo:ryan:randy) 7-7]

conv:chats_1126_358:aug_0:chat_0:chataug_0| cole ollie| [person:cole m 0-0][person:ollie m 1-1]
ollie| Hi How do you feel about coach Ralph s decision| [person:cole m 3-3][person:ralph m 7-7]
cole| Hey I couldn t believe that he made us the second string| [person:cole m 1-1][person:ralph m 6-6][person:us g(ollie:cole) 8-8]
ollie| You are right It is unbelievable we did good in the practice match| [person:cole m 0-0][person:us g(ollie:cole) 6-6]
cole| I don t understand why he decided to do so| [person:cole m 0-0][person:ralph m 5-5]
ollie| I think he is playing favorites We should talk to him about it| [person:ollie m 0-0][person:ralph m 2-2][person:us g(ollie:cole) 6-6][person:ralph m 10-10]
cole| Yeah that s a good idea But I am scared to talk to him| [person:cole m 7-7][person:ralph m 13-13]
ollie| You may be right What if we make him angry We will never be on the team again| [person:cole m 0-0][person:us g(ollie:cole) 6-6][person:ralph m 8-8][person:us g(ollie:cole) 10-10]
cole| We shall not argue with him instead we should talk to him in a polite way| [person:us g(ollie:cole) 0-0][person:ralph m 5-5][person:us g(ollie:cole) 7-7][person:ralph m 11-11]
ollie| I think we should just let it be and see what happens next| [person:ollie m 0-0][person:us g(ollie:cole) 2-2]
cole| That s fine We shall obey our coach as he knows better| [person:us g(ollie:cole) 3-3][person:us g(ollie:cole) 6-6][person:ralph m 9-9]

conv:chats_1126_359:aug_0:chat_0:chataug_0| austin catherine| [person:austin m 0-0][person:catherine f 1-1]
catherine| Hi Austin What are you doing| [person:austin m 1-1][person:austin m 4-4]
austin| Hello Catherine I am packing my things What about you| [person:catherine f 1-1][person:austin m 2-2][person:austin m 5-5][person:catherine f 9-9]
catherine| I am eagerly waiting to meet your parents I want to ask you something| [person:catherine f 0-0][person:austin m 6-6][person:parents g(austin) 7-7][person:catherine f 8-8][person:austin m 12-12]
austin| Yeah That s nice Tell me What is the matter all about| [person:austin m 5-5]
catherine| I was worried about what type of desserts will they like to have| [person:catherine f 0-0][person:they g(austin) 9-9]
austin| No worries My parents will like Mexican desserts| [person:austin m 2-2][person:parents g(austin) 3-3]
catherine| Okay We will buy Carlota Trifles for them What about the sandwiches| [person:we g(catherine:austin) 1-1][person:them g(austin) 7-7]
austin| Don t strain your self Only dessert s is enough Just my parents want to meet you| [person:catherine f 3-3][person:austin m 11-11][person:parents g(austin) 12-12][person:catherine f 16-16]
catherine| Okay I will be waiting with the things for pickup in the evening| [person:catherine f 1-1]
austin| Okay I will pick you by 5 PM in this evening| [person:austin m 1-1][person:catherine f 4-4]

conv:chats_1126_360:aug_0:chat_0:chataug_0| harry mindy| [person:harry m 0-0][person:mindy f 1-1]
mindy| Hi Harry How are you doing Where are you now| [person:harry m 1-1][person:harry m 4-4][person:harry m 8-8]
harry| Hi Mindy I am doing good What about you| [person:mindy f 1-1][person:harry m 2-2][person:mindy f 8-8]
mindy| I am fine Tell me where are you now| [person:mindy f 0-0][person:mindy f 4-4][person:harry m 7-7]
harry| I am near the dunk tank I found Mr Smith here| [person:harry m 0-0][person:harry m 6-6][person:mr__smith m 9-9]
mindy| Oh Is it What he is doing there| [person:mr__smith m 4-4]
harry| Wait I will send you a picture and then you confirm it| [person:harry m 1-1][person:mindy f 4-4][person:mindy f 9-9]
mindy| Okay Send me soon and I will tell what he is doing there| [person:mindy f 2-2][person:mindy f 5-5][person:mr__smith m 9-9]
harry| Yes I just sent you in the whats app Check it and tell me| [person:harry m 1-1][person:mindy f 4-4][person:harry m 13-13]
mindy| Yeah I saw that picture I thought that he is a good teacher but he is doing nasty things| [person:mindy f 1-1][person:mindy f 5-5][person:mr__smith m 8-8][person:mr__smith m 14-14]
harry| Yes Even I was surprised to see him like this This is not good for a teacher like him| [person:harry m 2-2][person:mr__smith m 7-7][person:mr__smith m 18-18]

conv:chats_1126_361:aug_0:chat_0:chataug_0| duncan emily| [person:duncan m 0-0][person:emily f 1-1]
emily| Hey Duncan What are you doing| [person:duncan m 1-1][person:duncan m 4-4]
duncan| I was just thinking about the project| [person:duncan m 0-0]
emily| Even I was thinking about it And I wanted to discuss about it| [person:emily f 1-1][person:emily f 7-7]
duncan| Okay I think as the team leaders on an assigned project we need to distribute the work among our team members| [person:duncan m 1-1][person:team g(emily:duncan) 5-5][person:we g(emily:duncan) 11-11][person:we g(emily:duncan) 18-18][person:team g(emily:duncan) 19-19]
emily| Yeah we have to do that as it a huge project| [person:we g(emily:duncan) 1-1]
duncan| Shall we Involve Edward and Joan in the conversation| [person:we g(emily:duncan) 1-1][person:edward m 3-3][person:joan f 5-5]
emily| Surely There are very good at distributing the work|
duncan| Okay let s meet somewhere and discuss about the project|
emily| Okay and I will let them know about the meeting| [person:emily f 2-2][person:them g(edward:joan) 5-5]
duncan| Okay and tell me the meeting point after talking to them| [person:duncan m 3-3][person:them g(edward:joan) 10-10]

conv:chats_1126_362:aug_0:chat_0:chataug_0| bailey bob| [person:bailey f 0-0][person:bob m 1-1]
bailey| Hey Bob we gotta go and see our grandpa Russell and grandma Joann| [person:bob m 1-1][person:we g(bailey:bob) 2-2][person:we g(bailey:bob) 7-7][person:russell m 9-9][person:joann f 12-12]
bob| Hey Bailey yeah we got to but I don t want to| [person:bailey f 1-1][person:we g(bailey:bob) 3-3][person:bob m 7-7]
bailey| Me too Bob me too| [person:bailey f 0-0][person:bob m 2-2][person:bailey f 3-3]
bob| There s nothing great about them| [person:them g(russell:joann) 5-5]
bailey| And they smell funny too| [person:them g(russell:joann) 1-1]
bob| Real funny Like some old clothes unclean stuff|
bailey| That ain t nice man I can t stand that| [person:bailey f 5-5]
bob| The only thing nice is all the sweets grandma will make for us| [person:we g(bailey:bob) 12-12]
bailey| Sadly that s the only thing nice I d say| [person:bailey f 7-7]
bob| If we meet them it ll only be for the sweets| [person:we g(bailey:bob) 1-1][person:them g(russell:joann) 3-3]

conv:chats_1126_363:aug_0:chat_0:chataug_0| brit tanya| [person:brit f 0-0][person:tanya f 1-1]
brit| Hey Tanya those were absolutely brutal workouts don t you think so| [person:tanya f 1-1][person:tanya f 9-9]
tanya| You can say that thousand more times Brit Those nearly killed me| [person:brit f 0-0][person:brit f 7-7][person:tanya f 11-11]
brit| I m almost dead too Very sore I think Mr Smith is being unfair with the workouts here| [person:brit f 0-0][person:brit f 7-7][person:smith m 10-10]
tanya| Yes making newbies do them how does he think they can keep up the reps that way| [person:smith m 7-7][person:they g() 9-9]
brit| Don t ask me Someone s gonna be injured real soon if he doesn t stop them| [person:brit f 3-3][person:someone u 4-4][person:smith m 12-12]
tanya| Our other coaches wouldn t have ever made us do them Mr Johnson wouldn t even dream of it I m so upset they moved away and left us with this idiot| [person:our g(brit:tanya) 0-0][person:our g(brit:tanya) 8-8][person:johnson m 12-12][person:tanya f 19-19][person:they g(johnson) 23-23][person:our g(brit:tanya) 28-28]
brit| Yes Mr Johnson was a great coach He always made sure everyone was working to improve their limits without getting strained| [person:johnson m 2-2][person:johnson m 7-7][person:everyone g() 11-11][person:everyone g() 16-16]
tanya| Caring about us trainees do you think Mr Smith would ever do that If only Mr Johnson hadn t left| [person:our g(brit:tanya) 2-2][person:brit f 5-5][person:smith m 8-8][person:johnson m 16-16]
brit| Mr Johnson trained us with empathy alongside everything else He was a great coach| [person:johnson m 1-1][person:our g(brit:tanya) 3-3][person:johnson m 9-9]
tanya| Yes he sure did Not like Mr Smith Let s get going now| [person:johnson m 1-1][person:smith m 7-7]

conv:chats_1126_364:aug_0:chat_0:chataug_0| melissa vince| [person:melissa f 0-0][person:vince m 1-1]
vince| Hey Melissa Do you remember about the vintage bike mentioned by Theresa| [person:melissa f 1-1][person:melissa f 3-3][person:theresa f 11-11]
melissa| Yeah Vince What about that She is always crazy about bikes| [person:vince m 1-1][person:theresa f 5-5]
vince| I have seen an update regarding a sale Seems like Theresa will be much interested in it| [person:vince m 0-0][person:theresa f 10-10]
melissa| Do you have an idea about the price range Theresa is someone who is very particular about spending money Do you think it as a reasonable price| [person:vince m 1-1][person:theresa f 9-9][person:theresa f 11-11][person:vince m 20-20]
vince| I do have a price range But even I don t feel it as reasonable I got an information that it could be negotiable| [person:vince m 0-0][person:vince m 8-8][person:vince m 15-15]
melissa| Alright Try to contact Theresa and pass on this information Do you have her contact number| [person:theresa f 4-4][person:vince m 11-11][person:theresa f 13-13]
vince| No I don t I will pass this information to Lilly Lets see what she has to tell about this| [person:vince m 1-1][person:vince m 4-4][person:lilly f 10-10][person:lilly f 14-14]
melissa| Fine even I don t have her number But I am sure that Lily is someone who knows Theresa very well If she is happy with the offer then we can blindly contact Theresa| [person:melissa f 2-2][person:theresa f 6-6][person:melissa f 9-9][person:lilly f 13-13][person:lilly f 15-15][person:theresa f 18-18][person:lilly f 22-22][person:theresa f 33-33]
vince| Great I will speak to Lily and I will let you know as soon as possible| [person:vince m 1-1][person:lilly f 5-5][person:vince m 7-7][person:melissa f 10-10]
melissa| Please don t forget to mention all the details about the bike Remember Theresa is someone who s very specific about bikes| [person:theresa f 13-13][person:theresa f 15-15]

conv:chats_1126_366:aug_0:chat_0:chataug_0| janet michael| [person:janet f 0-0][person:michael m 1-1]
janet| Hey Michael I ll be late for home today I ll get the dinner on my way Just tell me your preferences| [person:michael m 1-1][person:janet f 2-2][location:home s 7-7][person:janet f 9-9][person:janet f 15-15][person:janet f 19-19][person:michael m 20-20]
michael| Hi Mom I am not hungry We will discuss about it after coming home Why so early| [person:janet f 1-1][person:michael m 2-2][person:we g(janet:michael) 6-6][location:home s 13-13]
janet| I won t come at my usual timings today I ll be very late That s why I am asking you| [person:janet f 0-0][person:janet f 5-5][person:janet f 9-9][person:janet f 17-17][person:michael m 20-20]
michael| Alright I would like to have some pizza today with Sausage toppings I am not sure about Walt and Bonnie| [person:michael m 1-1][person:michael m 12-12][person:walt m 17-17][person:bonnie f 19-19]
janet| Fine Just talk to them and text me their preferences Try to make it quick| [person:them g(walt:bonnie) 4-4][person:janet f 7-7][person:them g(walt:bonnie) 8-8]
michael| I just spoke with them Walt likes Cheese burgers and Bonnie is happy with noodles| [person:michael m 0-0][person:them g(walt:bonnie) 4-4][person:walt m 5-5][person:bonnie f 10-10]
janet| Walt is already going through heavy cold I think cheese burgers will make him worse Ask him to go for an alternative| [person:walt m 0-0][person:janet f 7-7][person:walt m 13-13][person:walt m 16-16]
michael| I have made min to understand that He is happy with any Burgers Just make sure there is no cheese in it| [person:michael m 0-0][person:walt m 7-7][location:there s 16-16]
janet| That s great I ll get everything and I ll be there within quarter past 9 Take care of your sister till I come| [person:janet f 3-3][person:janet f 8-8][location:home s 11-11][person:michael m 19-19][person:bonnie f 20-20][person:janet f 22-22]
michael| Don t worry about that She is very happy at my presence and in your absence Have a safe ride and make it soon| [person:bonnie f 5-5][person:michael m 10-10][person:janet f 14-14]

conv:chats_1126_368:aug_0:chat_0:chataug_0| henry woody| [person:henry m 0-0][person:woody m 1-1]
henry| Hey where are you As we moved in together I m thinking to arrange house party What do you say| [person:woody m 3-3][person:we g(henry:woody) 5-5][person:henry m 9-9][location:house s 14-14][person:woody m 18-18]
woody| Hello dear I am there in the store and yeah that s a good idea| [person:woody m 2-2][location:store s 4-4][location:store s 7-7]
henry| I m thinking to invite our friends Zach and Rafael for the house party| [person:henry m 0-0][person:we g(henry:woody) 5-5][person:friends g() 6-6][person:zach m 7-7][person:rafael m 9-9][location:house s 12-12]
woody| Cool it feels good to hangout with them And what are you planning further to do| [person:friends g(rafael:zach) 7-7][person:henry m 11-11]
henry| Okay let me inform them about the party So that they can make them selves available| [person:henry m 2-2][person:friends g(rafael:zach) 4-4][person:friends g(rafael:zach) 10-10][person:friends g(rafael:zach) 13-13]
woody| Sure inform me what they reply| [person:woody m 2-2][person:friends g(rafael:zach) 4-4]
henry| They are really very excited by hearing this and want to bring us something| [person:friends g(rafael:zach) 0-0][person:we g(henry:woody) 12-12]
woody| Well I ll order food from restaurant for our dinner Ask them to get some chips| [person:woody m 1-1][location:restaurant s 6-6][person:we g(henry:woody) 8-8][person:friends g(rafael:zach) 11-11]
henry| Okay come as soon as possible By then I will start decorating the house| [person:henry m 8-8]
woody| Sure I will be there in couple of minutes See you soon at home| [person:woody m 1-1][location:house s 4-4][person:henry m 10-10][location:house s 13-13]

conv:chats_1127_1:aug_0:chat_0:chataug_0| deborah paula| [person:deborah f 0-0][person:paula f 1-1]
deborah| Hey Paula where are you I m really bored and suggest me something to kill the time| [person:paula f 1-1][person:paula f 4-4][person:deborah f 5-5][person:deborah f 11-11]
paula| Hello buddy Let s go for swimming That is the best thing we can do to kill the time| [person:deborah f 1-1][person:paula___deborah g(deborah:paula) 12-12]
deborah| Sounds great Our neighborhood pool is ready and I see there is no crowd So it is better If we start now| [person:paula___deborah g(deborah:paula) 2-2][location:pool s 4-4][person:deborah f 8-8][location:pool s 10-10][person:paula___deborah g(deborah:paula) 19-19]
paula| Okay I will start in 10 minutes What about Gary is he free to come| [person:paula f 1-1][person:gary m 9-9][person:gary m 11-11]
deborah| You know both Gary and Tim are not the strongest swimmers Also they don t listen to us| [person:paula f 0-0][person:gary m 3-3][person:tim m 5-5][person:gary___tim g(gary:tim) 12-12][person:paula___deborah g(deborah:paula) 17-17]
paula| Yes but I heard that the swim lessons are been offered at the community pool Let s take this news to our kids| [person:paula f 2-2][person:paula___deborah g(deborah:paula) 21-21][person:kids g() 22-22]
deborah| I know they will not be interested in all these stuff Better we mind our own business| [person:deborah f 0-0][person:gary___tim g(gary:tim) 2-2][person:paula___deborah g(deborah:paula) 12-12][person:paula___deborah g(deborah:paula) 14-14]
paula| No we cannot leave them like that We have to explain them the benefits of swimming and also about being fit to survive in this world| [person:paula___deborah g(deborah:paula) 1-1][person:gary___tim g(gary:tim) 4-4][person:paula___deborah g(deborah:paula) 7-7][person:gary___tim g(gary:tim) 11-11]
deborah| Okay I will sit and explain the same to Gary and will try to convince him| [person:deborah f 1-1][person:gary m 9-9][person:gary m 15-15]
paula| That sounds good Even I will explain my kid about the benefits of being fit See you soon| [person:paula f 4-4][person:paula f 7-7][person:deborah f 16-16]

conv:chats_1127_2:aug_0:chat_0:chataug_0| carlos samuel| [person:carlos m 0-0][person:samuel m 1-1]
carlos| Hey Samuel where did you guys go I find your house locked| [person:samuel m 1-1][person:samuel m 4-4][person:carlos m 7-7][person:samuel m 9-9][location:house s 10-10]
samuel| Hey Carlos what s up buddy I came for shopping along with my wife| [person:carlos m 1-1][person:carlos m 5-5][person:samuel m 6-6][person:carlos m 12-12][person:wife f 13-13]
carlos| Oh that s nice I m sure she will take 34 hours to come out of shopping Isn t it What are your plans post shopping| [person:carlos m 4-4][person:wife f 7-7][person:samuel m 22-22]
samuel| Yes you re right Shopping with Ladies is hectic We are planning to go for dinner after shopping| [person:carlos m 1-1][person:we g(samuel:wife) 9-9]
carlos| It s already late and I think you won t find any restaurant after 3 hours But don t worry Caroline has cokked some extra rice and I would like both of you to join us for the dinner| [person:carlos m 5-5][person:samuel m 7-7][location:restaurant s 12-12][person:caroline f 20-20][person:carlos m 27-27][person:we g(samuel:wife) 32-32][person:us g(carlos:caroline) 35-35]
samuel| I m not sure buddy I have to check with my wife| [person:samuel m 0-0][person:carlos m 4-4][person:samuel m 5-5][person:samuel m 10-10][person:wife f 11-11]
carlos| Let her do shopping and don t rush her Finish everything and then come safely| [person:wife f 1-1][person:wife f 8-8]
samuel| Beverly says okay for dinner and we will come shortly| [person:wife f 0-0][person:we g(samuel:wife) 6-6]
carlos| That s awesome Is non veg okay to you guys Caroline cooks chicken today| [person:we g(samuel:wife) 8-8][person:caroline f 10-10]
samuel| Yes Carlos anything is fine Thank you so much I will see you soon| [person:carlos m 1-1][person:carlos m 6-6][person:samuel m 9-9][person:carlos m 12-12]

conv:chats_1127_4:aug_0:chat_0:chataug_0| dom pat| [person:dom m 0-0][person:pat m 1-1]
dom| Hey Pat how do you like the new place I just this balcony view| [person:pat m 1-1][person:pat m 4-4][location:place s 8-8][person:dom m 9-9][location:balcony s 12-12]
pat| Yes I loved it and the balcony is mad We can have great parties in this balcony and same time enjoying this view| [person:pat m 1-1][location:balcony s 6-6][person:we g(dom:pat) 9-9][location:balcony s 16-16]
dom| Yes let s throw a party to our friends I can t wait anymore to party here| [person:we g(dom:pat) 7-7][person:friends g(dom:pat) 8-8][person:dom m 9-9][location:here s 16-16]
pat| Sure let s do it Whom shall we call I want Dwayne to come for this event He helped us so much in finding this property Meanwhile I will go to the store to get drinks| [person:we g(dom:pat) 7-7][person:pat m 9-9][person:dwayne m 11-11][person:dwayne m 17-17][person:we g(dom:pat) 19-19][person:pat m 27-27][location:store s 32-32]
dom| Yes let s call him for sure And how about calling Walt He is in the town and not sure when he is gonna leave again| [person:dwayne m 4-4][person:walt m 11-11][person:walt m 12-12][location:town s 16-16][person:walt m 21-21]
pat| Yeah call him up What do you want to drink I reached the store and I m ready to take the drinks| [person:walt m 2-2][person:dom m 6-6][person:pat m 10-10][location:store s 13-13][person:pat m 15-15]
dom| I will prefer beer in this summer Take chilled ones| [person:dom m 0-0]
pat| Sure what about both of them I know Dwayne prefers vodka what about Walt| [person:them g(dwayne:walt) 5-5][person:pat m 6-6][person:dwayne m 8-8][person:walt m 13-13]
dom| Walt likes vodka as well But there are no chips at home Please try to get it| [person:walt m 0-0][location:home s 11-11]
pat| I will ask Dwayne and Walt to take chips They have started already and I m on my way too see you soon| [person:pat m 0-0][person:dwayne m 3-3][person:walt m 5-5][person:them g(dwayne:walt) 9-9][person:pat m 14-14][person:pat m 17-17][person:dom m 21-21]

conv:chats_1127_5:aug_0:chat_0:chataug_0| elizabeth philip| [person:elizabeth f 0-0][person:philip m 1-1]
elizabeth| Hey Philip did you notice that our hallbath toilet is continuously running| [person:philip m 1-1][person:philip m 3-3][person:our g(elizabeth:philip) 6-6][location:toilet s 8-8]
philip| Yes I did I ll get it fixed as soon as possible| [person:philip m 1-1][person:philip m 3-3]
elizabeth| Can you please get a plumber while I m at work| [person:philip m 1-1][person:elizabeth f 7-7]
philip| I just called Austin to fix our problem he says he will do it| [person:philip m 0-0][person:austin m 3-3][person:our g(elizabeth:philip) 6-6][person:austin m 8-8][person:austin m 10-10]
elizabeth| Austin is a good plumber I like him| [person:austin m 0-0][person:elizabeth f 5-5][person:austin m 7-7]
philip| I am glad you re happy but he is very expensive| [person:philip m 0-0][person:elizabeth f 3-3][person:philip m 7-7]
elizabeth| But the job is done That s what matters right|
philip| You are right but he charges a lot more compared to the usual rates| [person:elizabeth f 0-0][person:philip m 4-4]
elizabeth| That is because he is good at his job| [person:philip m 3-3][person:philip m 7-7]
philip| Alright as long as you are happy| [person:elizabeth f 4-4]

conv:chats_1127_7:aug_0:chat_0:chataug_0| peter woody| [person:peter m 0-0][person:woody m 1-1]
woody| Hey Peter my parents are leaving to Boston tonight and my place is free for a house party tonight| [person:peter m 1-1][person:woody m 2-2][person:woody_s_parents g() 3-3][location:boston s 7-7][person:woody m 10-10][location:place s 11-11][location:house s 16-16]
peter| That sounds great brother I m actually waiting for this day Let s chill out hard| [person:woody m 3-3][person:peter m 4-4]
woody| Yes let s kill it tonight Whom do we call Is Damien in touch with you| [person:woody_and_peter g(woody:peter) 8-8][person:damien m 11-11][person:peter m 15-15]
peter| Yes we re hanging out quite frequently and I m sure even he s dying to do a home party| [person:peter_and_damien g(peter:damien) 1-1][person:peter m 8-8][person:damien m 12-12][location:house s 18-18]
woody| That s nice Let s call him up What about others Do you have anyone in mind| [person:damien m 6-6][person:others g() 10-10][person:peter m 12-12][person:others g() 14-14]
peter| How about calling Wilson It s been so long we met him I suggest him| [person:wilson m 3-3][person:woody_and_peter g(woody:peter) 9-9][person:wilson m 11-11][person:peter m 12-12][person:wilson m 14-14]
woody| Okay I have no issues Let s call him up What do you think they both would like I know Damien likes pizza| [person:woody m 1-1][person:wilson m 8-8][person:peter m 12-12][person:damien_and_wilson g(damien:wilson) 14-14][person:woody m 18-18][person:damien m 20-20]
peter| Oh nice Wilson love desserts and also he drinks vodka So let s take a bottle for him| [person:wilson m 2-2][person:wilson m 7-7][person:wilson m 17-17]
woody| Alright I don t think we will get chips here Can you ask Damien and Wilson to get some chips while they coming| [person:woody m 1-1][person:woody_and_peter g(woody:peter) 5-5][location:here s 9-9][person:woody m 11-11][person:damien m 13-13][person:wilson m 15-15][person:damien_and_wilson g(damien:wilson) 21-21]
peter| Definitely I will be starting in an hour See you there bye| [person:peter m 1-1][person:woody m 9-9][location:house s 10-10]

conv:chats_1127_9:aug_0:chat_0:chataug_0| anthony cheryl| [person:anthony m 0-0][person:cheryl f 1-1]
cheryl| Hey Anthony did you leave the ground| [person:anthony m 1-1][person:anthony m 3-3]
anthony| Yes mom sorry for what had happened earlier| [person:mom f 1-1]
cheryl| You don t feel my son there is a long way for you and I will talk then| [person:anthony m 0-0][person:mom f 4-4][person:son m 5-5][person:anthony m 12-12][person:cheryl f 14-14]
anthony| I had a discussion with my coach as well He is disgusting| [person:anthony m 0-0][person:anthony m 5-5][person:son m 9-9]
cheryl| I know my son Let s go and talk tomorrow| [person:cheryl f 0-0][person:cheryl f 2-2][person:son m 3-3]
anthony| What is his problem if you come and helping me out I really don t get it| [person:son m 2-2][person:cheryl f 5-5][person:anthony m 9-9][person:anthony m 11-11]
cheryl| You need to work on your fitness first and we can answer anyone in this world Focus on it| [person:anthony m 0-0][person:anthony m 5-5][person:we g(cheryl:anthony) 9-9][person:anyone u 12-12]
anthony| Sure mom I will keep working| [person:mom f 1-1][person:anthony m 2-2]
cheryl| You come home I made pasta for you| [person:anthony m 0-0][location:home s 2-2][person:cheryl f 3-3][person:anthony m 7-7]
anthony| Sure mom I m on my way home| [person:mom f 1-1][person:anthony m 2-2][person:anthony m 5-5][location:home s 7-7]

conv:chats_1127_11:aug_0:chat_0:chataug_0| ana brandon| [person:ana f 0-0][person:brandon m 1-1]
ana| Hey Brandon congratulations for your new promotion I m extremely happy for you| [person:brandon m 1-1][person:brandon m 4-4][person:ana f 7-7][person:brandon m 12-12]
brandon| Thank you so much Ana What s up How s Oliver doing| [person:ana f 1-1][person:ana f 4-4][person:oliver m 10-10]
ana| OIiver is great and he is gearing up to his birthday next week| [person:oliver m 4-4][person:oliver m 9-9]
brandon| Oh I forgot about it What are the plans then Are you giving any surprises| [person:brandon m 1-1][person:ana f 11-11]
ana| Yes I m planning to invite all of your friends to this party and make Oliver happy watching you everyone at one place| [person:ana f 1-1][person:brandon m 8-8][person:friends g(oliver) 9-9][person:oliver m 15-15][person:brandon m 18-18][person:everyone g(ana:oliver) 19-19][location:place s 22-22]
brandon| That s a great idea for him but not for me I m sorry to tell this but I m travelling to Boston on the same day and hence I may not make it to the party| [person:oliver m 6-6][person:brandon m 10-10][person:brandon m 11-11][person:brandon m 18-18][location:boston s 22-22][person:brandon m 29-29]
ana| Don t do this Brandon I know how good friends you both are| [person:brandon m 4-4][person:ana f 5-5][person:friends g(brandon:oliver) 9-9][person:friends g(brandon:oliver) 10-10]
brandon| I m really sorry Ana our new company is getting launched in Boston and as a senior manager I have to make it at any cost| [person:brandon m 0-0][person:ana f 4-4][location:boston s 12-12][person:brandon m 17-17][person:brandon m 18-18]
ana| Okay I understand But Oliver will be upset and the party is not going to be the same without your presence| [person:ana f 1-1][person:oliver m 4-4][person:brandon m 19-19]
brandon| I know but I will make it happen next year at any cost Don t worry I will ask Lilly to attend to this party on behalf of me I will share you her details shortly| [person:brandon m 0-0][person:brandon m 3-3][person:brandon m 16-16][person:lilly f 19-19][person:brandon m 28-28][person:brandon m 29-29][person:ana f 32-32][person:lilly f 33-33]

conv:chats_1127_12:aug_0:chat_0:chataug_0| richard rusell| [person:richard m 0-0][person:rusell m 1-1]
richard| Hey Rusell how are you doing I have some great news to tell you| [person:rusell m 1-1][person:rusell m 4-4][person:richard m 6-6][person:rusell m 13-13]
rusell| Hey Richard I m doing great buddy Hope you re doing good as well What is the news Are you getting married| [person:richard m 1-1][person:rusell m 2-2][person:richard m 6-6][person:richard m 8-8][person:richard m 19-19]
richard| Not exactly but I took a truck recently and it is giving me the huge profits So I decided I should invest more on it so that it would generate much more revenue| [person:richard m 3-3][person:richard m 12-12][person:richard m 17-17][person:richard m 19-19]
rusell| That s awesome What are you planning to do with the truck| [person:richard m 5-5]
richard| I m thinking to buy new tires for this truck Since you have great knowledge on automobiles I would like you to suggest me few places where I can go and buy| [person:richard m 0-0][person:rusell m 11-11][person:richard m 17-17][person:rusell m 20-20][person:richard m 23-23][location:places g() 25-25][person:richard m 27-27]
