conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
kathryn| I think we should stay home and celebrate together We should also consider what Faith might like to do| [person:kathryn f 0-0][person:we g(kathryn:jamie) 2-2][location:home s 5-5][person:we g(kathryn:jamie) 9-9][person:faith f 14-14]
jamie| She probably will want the same kind of birthday party with cake cutting and some dance with her friends and family| [person:faith f 0-0][person:faith f 17-17][person:friends g() 18-18][person:family g(kathryn:jamie:faith) 20-20]
kathryn| Let s just go and discuss this with her and see what becomes of it| [person:faith f 8-8]
jamie| I agree She probably has been looking forward to this for a while now| [person:jamie m 0-0][person:faith f 2-2]
kathryn| Yeah I d feel bad if we ruin her special day for her I know it is our special day too but in love we have to make sacrifices| [person:kathryn f 1-1][person:we g(kathryn:jamie) 6-6][person:faith f 8-8][person:faith f 12-12][person:kathryn f 13-13][person:our g(kathryn:jamie) 17-17][person:we g(kathryn:jamie) 24-24]
jamie| You are so great Kathryn Faith sure is a lucky girl to have a sister in law like you| [person:kathryn f 0-0][person:kathryn f 4-4][person:faith f 5-5][person:kathryn f 14-14][person:kathryn f 18-18]

conv:people_1011_1528_92:aug_0:chat_0:chataug_0| mark richard| [person:mark m 0-0][person:richard m 1-1]
mark| Hey do you know if Jean is seeing anyone| [person:richard m 2-2][person:jean f 5-5][person:anyone u 8-8]
richard| She isn t but I don t think you guys are compatible| [person:jean f 0-0][person:richard m 4-4][person:mark m 8-8]
mark| Why do you think that| [person:richard m 2-2]
richard| She s just more energetic and outgoing than you are no offense| [person:jean f 0-0][person:mark m 8-8]
mark| I can be outgoing I just choose not to| [person:mark m 0-0][person:mark m 4-4]
richard| Yeah right It s not just that though|
mark| What else is there|
richard| Well she can be pretty immature sometimes| [person:jean f 1-1]
mark| Man I can be immature screw Fuck you Richard| [person:mark m 1-1][person:richard m 7-7][person:richard m 8-8]
richard| Fuck you too buddy| [person:mark m 1-1][person:mark m 3-3]

conv:people_1011_1528_93:aug_0:chat_0:chataug_0| douglas patricia| [person:douglas m 0-0][person:patricia f 1-1]
douglas| Well it s dad s birthday next week and I really want to spoil him this year Any bright ideas on what we can do| [person:cole m 3-3][person:douglas m 9-9][person:cole m 14-14][person:we g(douglas:patricia) 22-22]
patricia| I was just thinking that myself last night are daddy Cole is the best and he needs to know how much we appreciate him Now lets think what does he love to do the most| [person:patricia f 0-0][person:patricia f 5-5][person:cole m 10-10][person:cole m 15-15][person:we g(douglas:patricia) 21-21][person:cole m 23-23][person:cole m 29-29]
douglas| Golf dining out poker oh I have got it what about a weekend away for him in Vegas| [person:douglas m 5-5][person:cole m 15-15][location:vegas s 17-17]
patricia| Oh come on seriously how much do you think that would cost| [person:douglas m 7-7]
douglas| I dont know but I were certainly put myself forward to go with him| [person:douglas m 0-0][person:douglas m 4-4][person:douglas m 8-8][person:cole m 13-13]
patricia| haha i am sure you would but realistically I have about 50 dollars to spend can you match that| [person:patricia f 1-1][person:douglas m 4-4][person:patricia f 8-8][person:douglas m 16-16]
douglas| ok yes I can match that I could also use the vouchers I got for christmas to take us all out to dinner| [person:douglas m 2-2][person:douglas m 6-6][person:douglas m 12-12][person:us g(douglas:patricia:cole) 18-18]
patricia| fab idea Now about a gift Oh maybe we should ask his two best mates Philip or Zach| [person:we g(douglas:patricia) 8-8][person:cole m 11-11][person:mates g() 14-14][person:philip m 15-15][person:zach m 17-17]
douglas| Philip is a bit stuck up but Zach may have some good ideas will we try him| [person:philip m 0-0][person:zach m 7-7][person:we g(douglas:patricia) 14-14][person:zach m 16-16]
patricia| yes we can tell him we would like to get something he loves like something to do with golf or a massage or a night out and see what he suggests| [person:we g(douglas:patricia) 1-1][person:zach m 4-4][person:we g(douglas:patricia) 5-5][person:cole m 11-11][person:zach m 29-29]
douglas| Right well you distract dad downstairs and I will get his phone and find Zach s number then we can sneak upstairs and give him a ring| [person:patricia f 2-2][person:cole m 4-4][person:douglas m 7-7][person:cole m 10-10][person:zach m 14-14][person:we g(douglas:patricia) 18-18][person:zach m 24-24]
patricia| Sounds like a plan lets do it now|

conv:people_1011_1528_94:aug_0:chat_0:chataug_0| jean ryan| [person:jean f 0-0][person:ryan m 1-1]
ryan| Hey Jean take a look at Bobby s lawn| [person:jean f 1-1][person:bobby m 6-6]
jean| Oh wow did they already finish decorating| [person:they g(bobby) 3-3]
ryan| Yeah looks like Deborah and Bob were at it all day| [person:deborah f 3-3][person:bobby m 5-5]
jean| Looks great We are way behind in decorating| [person:we g(ryan:jean) 2-2]
ryan| I love their carved pumpkins They must have about ten of them hanging on the tree| [person:ryan m 0-0][person:their g(bobby:deborah) 2-2][person:they g(bobby:deborah) 5-5]
jean| That looks so funny I love their lights as well We should do something like that| [person:jean f 4-4][person:their g(bobby:deborah) 6-6][person:we g(ryan:jean) 10-10]
ryan| Yeah also that ghost with bed sheets That is genius It looks really tall|
jean| Can we do something like that too| [person:we g(ryan:jean) 1-1]
ryan| Yeah it is quite easy we can have a lot of those all around Tiny ones too giving an illusion of flying around| [person:we g(ryan:jean) 5-5]
jean| Cool I am excited| [person:jean f 1-1]
ryan| Me too| [person:ryan m 0-0]

conv:people_1011_1528_95:aug_0:chat_0:chataug_0| daniel karen| [person:daniel m 0-0][person:karen f 1-1]
daniel| Do you think Shawn and Abigail would sign off on Hawaii| [person:karen f 1-1][person:shawn m 3-3][person:abigail f 5-5][location:hawaii s 10-10]
karen| I think so I know Abigail has always wanted to go plus it is beautiful this time of year| [person:karen f 0-0][person:karen f 3-3][person:abigail f 5-5][location:hawaii s 12-12]
daniel| It is a little pricey though right| [location:hawaii s 0-0]
karen| Yes but we can afford it We have been saving for years so I think this is the time It would be a trip of a lifetime| [person:we g(daniel:karen) 2-2][location:hawaii s 5-5][person:we g(daniel:karen) 6-6][person:karen f 13-13][location:hawaii s 19-19][location:trip s 23-23]
daniel| Is there another place in the US to go they would like better| [location:us s 6-6][person:they g(shawn:abigail) 9-9]
karen| Maybe Florida but nothing is a pretty and wonderful as Hawaii| [location:florida s 1-1][location:hawaii s 10-10]
daniel| True lets do it How should we tell them| [person:we g(daniel:karen) 6-6][person:them g(shawn:abigail) 8-8]
karen| I think we take them out to dinner and spring it on them From there we can all decide on airfare and hotel| [person:karen f 0-0][person:we g(daniel:karen) 2-2][person:them g(shawn:abigail) 4-4][person:them g(shawn:abigail) 12-12][location:there u 14-14][person:we g(daniel:karen) 15-15]
daniel| Good call I ll make reservations at that good Mexican place they both like How s 7| [person:daniel m 2-2][location:hotel s 10-10][person:they g(shawn:abigail) 11-11]
karen| Perfect Can t wait they will be excited| [person:they g(shawn:abigail) 4-4]

conv:people_1011_1528_97:aug_0:chat_0:chataug_0| darren janice| [person:darren m 0-0][person:janice f 1-1]
janice| You saw our new neighbor Melinda moving in last night right| [person:darren m 0-0][person:our g(janice:darren) 2-2][person:melinda f 4-4][person:melinda f 5-5]
darren| Yeah she seemed nice| [person:melinda f 1-1]
janice| Did you talk to her at all| [person:darren m 1-1][person:melinda f 4-4]
darren| No I was in a bit of a rush as she was coming in| [person:darren m 1-1][person:melinda f 10-10]
darren| But she did seem really nice| [person:melinda f 1-1]
janice| I was thinking that we should invite her over for dinner next week| [person:janice f 0-0][person:we g(janice:darren) 4-4][person:melinda f 7-7]
darren| We can do that I bet she d appreciate it| [person:we g(janice:darren) 0-0][person:darren m 4-4][person:melinda f 6-6]
janice| I think she really would Who knows if she knows anybody in the neighborhood yet And it s always so hard to make new friends| [person:janice f 0-0][person:melinda f 2-2][person:melinda f 8-8][person:anybody g() 10-10][person:friends g() 24-24]
darren| That s true|
darren| Do you have any idea what sort of food she likes| [person:janice f 1-1][person:melinda f 9-9]
janice| Well she seems very thin and fit so I ll look into health foods a bit| [person:melinda f 1-1][person:janice f 8-8]
darren| Sounds like a good plan|

conv:people_1011_1528_98:aug_0:chat_0:chataug_0| cameron kyle| [person:cameron f 0-0][person:kyle m 1-1]
cameron| Hi Kyle| [person:kyle m 1-1]
kyle| Hi Cameron| [person:cameron f 1-1]
cameron| Do you know the coupel LindaMartin| [person:kyle m 1-1]
kyle| Yes They are your neighbors Am I right| [person:they g() 1-1][person:cameron f 3-3][person:neighbors g() 4-4][person:kyle m 6-6]
cameron| Yes|
kyle| They are really such nice people| [person:they g() 0-0]
cameron| Yes I also liked them| [person:cameron f 1-1][person:them g() 4-4]
kyle| So what about them| [person:them g() 3-3]
cameron| They are planning to remodel their house| [person:they g() 0-0][person:their g() 5-5]
kyle| Nice I want to join to help them| [person:kyle m 1-1][person:them g() 7-7]
cameron| I am also wanted to Do you have any plan| [person:cameron f 0-0][person:kyle m 6-6]
kyle| We can buy all the things which are needed for remodeling| [person:we g(cameron:kyle) 0-0]
cameron| We can buy chairs and some furniture items to the new house| [person:we g(cameron:kyle) 0-0]
kyle| That s really nice It will be helpful to them| [person:them g() 9-9]
cameron| Ok then we will meet at the furniture store| [person:we g(cameron:kyle) 2-2]

conv:people_1011_1528_99:aug_0:chat_0:chataug_0| evan sophia| [person:evan m 0-0][person:sophia f 1-1]
sophia| Evan what do you think about planning a little family vacation for this summer| [person:evan m 0-0][person:evan m 3-3][person:family g(sophia:evan) 9-9][location:vacation s 10-10]
evan| I think that s a good idea Sophia Now that the twins are a little old it would be more manageable| [person:evan m 0-0][person:sophia f 7-7][person:twins g() 11-11][location:vacation s 16-16]
sophia| Do you have any ideas on where we should go or what we should do| [person:evan m 1-1][person:we g(sophia:evan) 7-7][person:we g(sophia:evan) 12-12]
evan| Well we should keep it somewhat closeshort in order to be budget conscious What about Six Flags| [person:we g(sophia:evan) 1-1][location:vacation s 4-4]
sophia| Evan Did you forget that Rebecca is terrified of roller coasters| [person:evan m 0-0][person:evan m 2-2][person:rebecca f 5-5]
evan| Ooops Maybe I just know that Evan Jr loves that place He had a blast on their school trip there last year| [person:evan m 2-2][person:evan m 6-6][location:six_flags s 10-10][person:jr m 11-11][person:their g(jr) 16-16][location:school_trip s 17-18][location:six_flags s 19-19]
sophia| I think we should try to find something we all like not just you and Evan Jr| [person:sophia f 0-0][person:we g(sophia:evan) 2-2][person:we g(sophia:evan:jr) 8-8][person:evan m 13-13][person:evan m 15-15]
evan| Good point How about Noah s Ark Water parks are a nice mix of activities| [location:water_parks g() 7-8]
sophia| I don t think Evan Jr is all that in love with water stuff Whenever we went to the city pool last summer he was always the first one out| [person:sophia f 0-0][person:evan m 4-4][person:we g(sophia:evan:jr) 15-15][location:city_pool s 19-20][person:jr m 23-23]
evan| It would be a little pricier but what are your thoughts on Universal Studios| [location:city s 0-0][person:sophia f 9-9][location:universal_studios s 12-13]
sophia| How much are tickets|
evan| Not positive I would have to look it up| [person:evan m 2-2]
sophia| Let s look into it If we have enough in the budget to swing it I think that would be awesome There is enough different stuff there to do that not only the twins will have fun but we will too| [person:we g(sophia:evan) 6-6][person:sophia f 15-15][location:universal_studios s 21-21][location:universal_studios s 26-26][person:twins g() 33-33][person:we g(sophia:evan) 38-38]
evan| Yes It would be a treat for the whole family I ll research ticket prices parking etc this weekend and then we can see how we feel about the cost commitment| [location:universal_studios s 1-1][person:family g(sophia:evan) 9-9][person:evan m 10-10][person:we g(sophia:evan) 21-21][person:we g(sophia:evan) 25-25]
sophia| That sounds good Let s make a decision somewhat soon so we can get a dog sitter if need be| [person:we g(sophia:evan) 11-11]

conv:people_1011_1528_100:aug_0:chat_0:chataug_0| macy mason| [person:macy f 0-0][person:mason m 1-1]
macy| Mason we need to talk about Ellen s schooling| [person:mason m 0-0][person:we g(macy:mason) 1-1][person:ellen f 6-6]
mason| OK have you decided anything from our last discussion| [person:macy f 2-2][person:our g(macy:mason) 6-6]
macy| Actually no I m still torn between homeschooling and private school| [person:macy f 2-2][location:homeschooling s 7-7][location:school s 10-10]
mason| I m in the same position as you are| [person:mason m 0-0][person:macy f 7-7]
macy| On one hand I do not want to deprive her from socialization| [person:macy f 3-3][person:ellen f 9-9]
mason| I know what you re talking out I do not want to isolate her either| [person:mason m 0-0][person:macy f 3-3][person:mason m 7-7][person:ellen f 13-13]
macy| But on the other hand I wish for her to receive the best eduction possible| [person:macy f 5-5][person:ellen f 8-8]
mason| Exactly But still with all that s been happening in the world lately it would be great to not have to worry about her safety every single day| [person:ellen f 23-23]
macy| You know what The Smiths are homeschooling their daughter How about we talk to them and try to understand their reasons for choosing home scooling over private schools| [person:mason m 0-0][person:smiths g() 4-4][location:homeschooling s 6-6][person:smiths g() 7-7][person:daughter f 8-8][person:we g(macy:mason) 11-11][person:smiths g() 14-14][person:smiths g() 19-19]
mason| You re right Let s talk to them Maybe it will help us reach an informed decision| [person:macy f 0-0][person:smiths g() 7-7][person:us g(macy:mason) 12-12]

conv:people_1011_1528_101:aug_0:chat_0:chataug_0| evelyn shirley| [person:evelyn f 0-0][person:shirley f 1-1]
evelyn| Hi Shirley| [person:shirley f 1-1]
shirley| Hi Evelyn| [person:evelyn f 1-1]
evelyn| Do you think about the girls night in party| [person:shirley f 1-1][person:girls g() 5-5]
shirley| I am always thinking about it| [person:shirley f 0-0]
evelyn| Do you invite anyother to the party| [person:shirley f 1-1]
shirley| I wanted to But I didn t invite others still now| [person:shirley f 0-0][person:shirley f 4-4][person:others g() 8-8]
evelyn| What do you want to cook that night| [person:shirley f 2-2]
shirley| I always like chicken recipes from you| [person:shirley f 0-0][person:evelyn f 6-6]
evelyn| Is it really I will cook chicken recipes Anything else| [person:evelyn f 3-3]
shirley| Yes I want potato dishes| [person:shirley f 1-1]
evelyn| Ok Sure I will do| [person:evelyn f 2-2]
shirley| But I am thinking about Joanna now| [person:shirley f 1-1][person:joanna f 5-5]
evelyn| Yes I am also| [person:evelyn f 1-1]
shirley| She always complaining about sounds during party and make it a big issue| [person:joanna f 0-0]
evelyn| Yes Do you remember that even in the last party she complained about us to the secretary| [person:shirley f 2-2][person:joanna f 10-10][person:us g(evelyn:shirley) 13-13]
shirley| Yes In this time we can make the noise level low She won t complain| [person:we g(evelyn:shirley) 4-4][person:joanna f 11-11]
evelyn| I also think so| [person:evelyn f 0-0]

conv:people_1011_1528_102:aug_0:chat_0:chataug_0| kate mindy| [person:kate f 0-0][person:mindy f 1-1]
kate| Mindy I want to ask you about one important thing Are you free now| [person:mindy f 0-0][person:kate f 1-1][person:mindy f 5-5][person:mindy f 11-11]
mindy| sure Ask me right now What s that| [person:mindy f 2-2]
kate| Did you write any letter to Paul our common friend| [person:mindy f 1-1][person:paul m 6-6][person:our g(kate:mindy) 7-7][person:paul m 9-9]
mindy| Oh no How did you come to know that Did Paul tell you that| [person:kate f 4-4][person:paul m 10-10][person:kate f 12-12]
kate| No I got news from someone else Do you remember our girl code| [person:kate f 1-1][person:someone u 5-5][person:mindy f 8-8][person:our g(kate:mindy) 10-10]
mindy| Yes I remember it Now what is the problem to that code| [person:mindy f 1-1]
kate| Our girl code is not to have a crush on same boy But you have a crush on Paul| [person:our g(kate:mindy) 0-0][person:mindy f 13-13][person:paul m 18-18]
mindy| Yes what about that And tell me how did you know that| [person:mindy f 6-6][person:kate f 9-9]
kate| I came to know that by one of common friend to me and Paul whose name is Craig| [person:kate f 0-0][person:craig m 9-9][person:kate f 11-11][person:paul m 13-13][person:craig m 17-17]
mindy| Oh How could Craig get this information from Paul What is your problem on my crush| [person:craig m 3-3][person:paul m 8-8][person:kate f 11-11][person:mindy f 14-14]
kate| Don t you know that I also have a crush on Paul Craig is the best friend to Paul and he told him about it| [person:mindy f 2-2][person:kate f 5-5][person:paul m 11-11][person:craig m 12-12][person:craig m 16-16][person:paul m 18-18][person:craig m 20-20][person:paul m 22-22]
mindy| Oh sorry I am sure that don t know about your crush What do we do now| [person:mindy f 2-2][person:kate f 10-10][person:we g(kate:mindy) 14-14]
kate| I have an idea We both leave this crush and we three maintain our friendship only for ever| [person:kate f 0-0][person:we g(kate:mindy) 4-4][person:we g(kate:mindy:paul) 10-10][person:our g(kate:mindy:paul) 13-13]
mindy| Okay and we will discuss the same with Paul also Okay| [person:we g(kate:mindy) 2-2][person:paul m 8-8]
kate| Done|

conv:people_1011_1528_103:aug_0:chat_0:chataug_0| harry tanya| [person:harry m 0-0][person:tanya f 1-1]
harry| My sister Amber is staying with us for a week| [person:harry m 0-0][person:amber f 1-1][person:amber f 2-2][person:us g(harry:tanya) 6-6]
tanya| Oh it is good news let us welcome her in a good way| [person:us g(harry:tanya) 6-6][person:amber f 8-8]
harry| We have to make her stay memorable| [person:we g(harry:tanya) 0-0][person:amber f 4-4]
tanya| First tell me what she likes and what she doesn t like| [person:tanya f 2-2][person:amber f 4-4][person:amber f 8-8]
harry| I have to recollect my days with her| [person:harry m 0-0][person:harry m 4-4][person:amber f 7-7]
tanya| Yes do that first and let me know| [person:tanya f 6-6]
harry| According to me she likes non veg food likes chicken fish etc a lot| [person:harry m 2-2][person:amber f 3-3]
tanya| Let us bring these food items during her stay here| [person:us g(harry:tanya) 1-1][person:amber f 7-7][location:here u 9-9]
harry| She likes to travel for nature watch| [person:amber f 0-0]
tanya| We can take her to some beautiful places| [person:we g(harry:tanya) 0-0][person:amber f 3-3][location:places g() 7-7]

conv:people_1011_1528_105:aug_0:chat_0:chataug_0| bonnie sydney| [person:bonnie f 0-0][person:sydney f 1-1]
bonnie| Hey Sydney what are you doing tonight| [person:sydney f 1-1][person:sydney f 4-4]
sydney| I do not have any plans you| [person:sydney f 0-0][person:bonnie f 6-6]
bonnie| I was thinking we shoudl have a girls night in Nothing too big just us some good music food and wine What do you think| [person:bonnie f 0-0][person:we g(bonnie:sydney) 3-3][person:girls g(bonnie:sydney) 7-7][person:us g(bonnie:sydney) 14-14][person:sydney f 23-23]
sydney| That sounds great I can bring dessert| [person:sydney f 3-3]
bonnie| Great can t wait|
sydney| What about your neighbor| [person:bonnie f 2-2][person:tania f 3-3]
bonnie| Who Tania| [person:tania f 1-1]
sydney| Yes You know last time she called the police saying we were disturbing her sleep| [person:bonnie f 1-1][person:tania f 5-5][person:we g(bonnie:sydney) 10-10][person:tania f 13-13]
bonnie| Yeah she is annoying I was thinking about inviting her over to try to make admends| [person:tania f 1-1][person:bonnie f 4-4][person:tania f 9-9]
sydney| I don t know if you should do that She is a BITCH| [person:sydney f 0-0][person:bonnie f 5-5][person:tania f 9-9]
bonnie| It is the only way we can have peace I have to live here and I really just want to keep the peace| [person:we g(bonnie:sydney) 5-5][person:bonnie f 9-9][location:here u 13-13][person:bonnie f 15-15]
sydney| I understand Do you think she will say yes| [person:sydney f 0-0][person:bonnie f 3-3][person:tania f 5-5]
bonnie| I hope so It would at least show I am putting in the effort to form a friendship with her| [person:bonnie f 0-0][person:bonnie f 8-8][person:tania f 19-19]
sydney| Well good luck with that I will see you later| [person:sydney f 5-5][person:bonnie f 8-8]
bonnie| Okay bye|

conv:people_1011_1528_107:aug_0:chat_0:chataug_0| amber sherrie| [person:amber f 0-0][person:sherrie f 1-1]
amber| Hey Sherrie How are you m thinking of doing a netflix night Woudd you be interested| [person:sherrie f 1-1][person:sherrie f 4-4][person:sherrie f 13-13]
sherrie| Yea I definitely would It will be a great chill night| [person:sherrie f 1-1]
amber| Should we invite Ellie and Janice over to watch The Office| [person:we g(amber:sherrie) 1-1][person:ellie f 3-3][person:janice f 5-5]
sherrie| They would love it| [person:they g(ellie:janice) 0-0]
amber| Any other suggestions|
sherrie| I know Ellie loves mexican food How about we do a taco bar| [person:sherrie f 0-0][person:ellie f 2-2][person:we g(amber:sherrie) 8-8][location:bar s 12-12]
amber| That sounds like a perfect idea Remember that Elle is working a 12 hour shift|
sherrie| Maybe we could help her so she gets done early| [person:we g(amber:sherrie) 1-1][person:ellie f 4-4][person:ellie f 6-6]
amber| She would really appreciate us helping her Let me give her a call and see what we can do| [person:ellie f 0-0][person:us g(amber:sherrie) 4-4][person:ellie f 6-6][person:amber f 8-8][person:ellie f 10-10][person:we g(amber:sherrie) 16-16]
sherrie| Great You call Ellie and I will give Janice a call This should be a fun night| [person:amber f 1-1][person:ellie f 3-3][person:sherrie f 5-5][person:janice f 8-8]
amber| It definitely will a great night I am looking forward to it| [person:amber f 6-6]

conv:people_1011_1528_108:aug_0:chat_0:chataug_0| julie raymond| [person:julie f 0-0][person:raymond m 1-1]
raymond| We have to talk about this and come to some kind of resolution| [person:we g(raymond:julie) 0-0]
julie| I don t want to prevent you from seeing your child but Jill is used to being in this house end this neighborhood This is where she should stay| [person:julie f 0-0][person:raymond m 6-6][person:raymond m 9-9][person:jill f 12-12][location:house s 19-19][location:neighborhood s 22-22][person:jill f 26-26]
raymond| She can just as easily make friends and become comfortable at my new place That s nothing to base a custody decision upon| [person:jill f 0-0][person:friends g() 6-6][person:raymond m 11-11][location:place s 13-13]
julie| I disagree She is going through enough upheaval in her life as it is We don t need to create more disruption| [person:julie f 0-0][person:jill f 2-2][person:jill f 9-9][person:we g(raymond:julie) 14-14]
raymond| The fact that we re getting divorced is a reality You don t deserve sole custody just because I m giving you the house| [person:we g(raymond:julie) 3-3][person:raymond m 10-10][person:raymond m 18-18][person:julie f 21-21][location:house s 23-23]
julie| This is not about us this is about Jill It s about what is in her best interests| [person:us g(raymond:julie) 4-4][person:jill f 8-8][person:jill f 15-15]
raymond| I agree completely but you and I are never going to come to an amicable agreement by ourselves I think we need to talk to Billy about this to figure out the best thing to do| [person:raymond m 0-0][person:julie f 4-4][person:raymond m 6-6][person:raymond m 18-18][person:we g(raymond:julie) 20-20][person:billy m 25-25]
julie| Billy is 100 biased towards you and you know that There s no way he is going to give us an impartial advice I agree we need to solve this problem but I don t think he s the solution| [person:billy m 0-0][person:raymond m 5-5][person:raymond m 7-7][person:billy m 14-14][person:us g(raymond:julie) 19-19][person:julie f 23-23][person:we g(raymond:julie) 25-25]
raymond| So what exactly are you proposing| [person:julie f 4-4]
julie| I think we need to find a new lawyer somebody is going to look at this from a fresh perspective and not from the side of either one of us| [person:julie f 0-0][person:we g(raymond:julie) 2-2][person:lawyer u 8-8][person:us g(raymond:julie) 29-29]
raymond| I suppose you re right We could go around in circles forever without making any progress Our marriage is proof of that| [person:raymond m 0-0][person:julie f 2-2][person:we g(raymond:julie) 5-5][person:our g(raymond:julie) 16-16]

conv:people_1011_1528_109:aug_0:chat_0:chataug_0| phil tony| [person:phil m 0-0][person:tony m 1-1]
phil| Hey there Tony| [person:tony m 2-2]
tony| What s up Phil| [person:phil m 3-3]
phil| Well you know how we re supposed to watch a movie later right| [person:tony m 1-1][person:we g(phil:tony) 4-4]
tony| Yeah why what s up Are we changing plans| [person:we g(phil:tony) 6-6]
phil| Well Evan just called me and told me that Justin isn t feeling very well in fact he s in the hospital| [person:evan m 1-1][person:phil m 4-4][person:phil m 7-7][person:justin m 9-9][person:justin m 17-17][location:hospital s 21-21]
tony| Oh bummer well maybe we should go visit him and cancel the movie plans| [person:we g(phil:tony) 4-4][person:justin m 8-8]
phil| My thoughts exactly we could bring snacks and a laptop and just netflix in his room| [person:phil m 0-0][person:we g(phil:tony) 3-3][person:justin m 14-14]
tony| My that sounds super fun indeed OK cool I ll bring the snacks| [person:tony m 0-0][person:tony m 8-8]
phil| OK I ll drive I ll pick you and Evan up and we can all visit Justin together| [person:phil m 1-1][person:phil m 4-4][person:tony m 7-7][person:evan m 9-9][person:we g(phil:tony:evan) 12-12][person:justin m 16-16]
tony| OK see you soon thanks for letting me know| [person:phil m 2-2][person:tony m 7-7]
phil| Sure thing we re all good friends here| [person:we g(phil:tony:evan:justin) 2-2]
tony| True take care driving laters man|

conv:people_1011_1528_112:aug_0:chat_0:chataug_0| clyde drew| [person:clyde m 0-0][person:drew m 1-1]
drew| Its party time Are you excited| [person:clyde m 4-4]
clyde| Totally What about the neighbours though Should we invite them| [person:we g(drew:clyde) 7-7][person:them g() 9-9]
drew| It might be a good idea to let them know at least because of the music So its Susie Frances Belle and Lara right| [person:them g() 8-8][person:susie f 18-18][person:frances f 19-19][person:belle f 20-20][person:lara f 22-22]
clyde| Yeah Susie and Frances will be in They are lovely and good chat| [person:susie f 1-1][person:frances f 3-3][person:they g(susie:frances) 7-7]
drew| Okay Belle has kids so she might not be keen We should invite her anyway| [person:belle f 1-1][person:belle f 5-5][person:we g(drew:clyde) 10-10][person:belle f 13-13]
clyde| Gives her a chance to voice any objections| [person:belle f 1-1]
drew| Exactly and Lara I don t know very well what do you think| [person:lara f 2-2][person:drew m 3-3][person:clyde m 11-11]
clyde| She is always friendly and says hello maybe she can bring her husband| [person:lara f 0-0][person:lara f 8-8][person:lara f 11-11][person:husband m 12-12]
drew| It would be nice to get to know her better| [person:lara f 8-8]
clyde| Okay get invitations together for all of them and we can take them over tonight| [person:them g(susie:frances:belle:lara) 7-7][person:we g(drew:clyde) 9-9][person:them g(susie:frances:belle:lara) 12-12]

conv:people_1011_1528_113:aug_0:chat_0:chataug_0| chloe phil| [person:chloe f 0-0][person:phil m 1-1]
phil| I m exciting about going to see that scary movie next week| [person:phil m 0-0]
chloe| I am too You know I was thinking we should invite Bill and Doris to go with us| [person:chloe f 0-0][person:phil m 3-3][person:chloe f 5-5][person:we g(phil:chloe) 8-8][person:bill m 11-11][person:doris f 13-13][person:us g(phil:chloe) 17-17]
phil| I don t know He isn t really into scary movies I think she is but he hates them| [person:phil m 0-0][person:bill m 4-4][person:phil m 11-11][person:doris f 13-13][person:bill m 16-16]
chloe| You think he hates them so much he wouldn t even go| [person:phil m 0-0][person:bill m 2-2][person:bill m 7-7]
phil| Yeah He wouldn t He really doesn t like them Something from his childhood or something| [person:bill m 1-1][person:bill m 4-4][person:bill m 12-12]
chloe| Okay But she likes them What do you think they d both like though| [person:doris f 2-2][person:phil m 7-7][person:they g(bill:doris) 9-9]
phil| I think they d be into a comedy Would you like to see one of those| [person:phil m 0-0][person:they g(bill:doris) 2-2][person:chloe f 9-9]
chloe| Yea you know I like comedies Or a scifi movie that would be good too| [person:phil m 1-1][person:chloe f 3-3]
phil| Okay I ll ask them if they want to go with us to a comedy or scifi flick| [person:phil m 1-1][person:them g(bill:doris) 4-4][person:they g(bill:doris) 6-6][person:us g(phil:chloe) 11-11]
chloe| That will be fun I like getting together with them| [person:chloe f 4-4][person:them g(bill:doris) 9-9]

conv:people_1011_1528_114:aug_0:chat_0:chataug_0| margaret mark| [person:margaret f 0-0][person:mark m 1-1]
margaret| Hey Marl have you noticed our neighbor s lawn| [person:mark m 3-3][person:our g(margaret:mark) 5-5][person:neighbor g() 6-6][location:lawn s 8-8]
mark| Yeah actually they have a beautiful rose garden but their lawn isn t mowed properly| [person:they g() 2-2][location:rose_garden s 6-7][person:their g() 9-9][location:neighbor_s_lawn s 9-10][location:lawn s 10-10]
margaret| I was thinking if we could perhaps ask them how to grow such a lovely garden perhaps in exchange of services| [person:margaret f 0-0][person:we g(margaret:mark) 4-4][person:them g() 8-8][location:rose_garden s 15-15]
mark| So you think that we could offer to mow their lawn in exchange for their gardening tips| [person:margaret f 1-1][person:we g(margaret:mark) 4-4][person:their g() 9-9][location:lawn s 10-10][person:their g() 14-14]
margaret| Yeah that s exactly what I m thinking I think they would agree right| [person:margaret f 5-5][person:margaret f 8-8][person:they g() 10-10]
mark| Yeah I think so But how would we approach them| [person:mark m 1-1][person:we g(margaret:mark) 7-7][person:them g() 9-9]
margaret| Well I m not close to Timothy but I know Sarah from the gym maybe I can talk to her about it there| [person:margaret f 1-1][person:timothy m 6-6][person:margaret f 8-8][person:sarah f 10-10][location:gym s 13-13][person:margaret f 15-15][person:sarah f 19-19][location:gym s 22-22]
mark| OK that sounds great since I m not very good with talking to people I m not close with| [person:mark m 5-5][person:mark m 14-14]
margaret| OK then it s settled I ll let you know what Sarah says| [person:margaret f 5-5][person:mark m 8-8][person:sarah f 11-11]
mark| Great looking forward to it thanks Margaret| [person:margaret f 6-6]

