conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
lilly| That s great work I am happy that he is useful for standing in a queue at least| [person:lilly f 4-4][person:smith m 8-8]
paulo| Why are you so angry on him What went wrong between you people| [person:lilly f 2-2][person:smith m 6-6][person:lilly f 11-11]
lilly| Though he was a great teacher I never liked him from the initial stages I had even thought about throwing him into the freezing water| [person:smith m 1-1][person:lilly f 6-6][person:smith m 9-9][person:lilly f 14-14][person:smith m 20-20]
paulo| I don t believe this I never thought you in such a way What made you think so much| [person:paulo m 0-0][person:paulo m 5-5][person:lilly f 8-8][person:lilly f 15-15]
lilly| My affair in school came into lights because of him only We would have done it in a convincing manner if he would have not involved in it| [person:lilly f 0-0][location:school s 3-3][person:smith m 9-9][person:our g(paulo:lilly) 11-11][person:smith m 21-21]
paulo| Just ignore it I never thought you had such a back story Don t think too much about this| [person:paulo m 3-3][person:lilly f 6-6]
lilly| Yeah Paulo That s why I am bringing all my patience and remaining silent| [person:paulo m 1-1][person:lilly f 5-5][person:lilly f 9-9]

conv:chats_1126_129:aug_0:chat_0:chataug_0| lance luke| [person:lance m 0-0][person:luke m 1-1]
lance| Hey where are you I need your suggestion| [person:luke m 3-3][person:lance m 4-4][person:luke m 6-6]
luke| Sure tell me how may I help you| [person:luke m 2-2][person:luke m 5-5][person:lance m 7-7]
lance| Well I need to buy tires for my truck Just help me out in purchasing them| [person:lance m 1-1][person:lance m 7-7][person:lance m 11-11]
luke| Did you check anywhere about the tires| [person:lance m 1-1]
lance| Yeah I checked with the salesperson Alissa and she gave me a great price and I m not okay with the price| [person:lance m 1-1][person:alissa f 6-6][person:alissa f 8-8][person:lance m 10-10][person:lance m 15-15]
luke| Well I know April I ve been associated with her for lot many times Why don t you check with her| [person:luke m 1-1][person:april f 3-3][person:luke m 4-4][person:april f 9-9][person:lance m 17-17][person:april f 20-20]
lance| Okay I just checked her reviews and she is great at her work| [person:lance m 1-1][person:april f 4-4][person:april f 7-7][person:april f 11-11]
luke| If you are okay with her you can finalize the deal| [person:lance m 1-1][person:april f 5-5][person:lance m 6-6]
lance| Of course its fine but I think you should finalize the deal by meeting her| [person:lance m 5-5][person:luke m 7-7][person:april f 14-14]
luke| No issue I will do it by this evening| [person:luke m 2-2]

conv:chats_1126_131:aug_0:chat_0:chataug_0| beverley harriet| [person:beverley f 0-0][person:harriet f 1-1]
beverley| So Harriet how s you day going| [person:harriet f 1-1][person:harriet f 4-4]
harriet| Nothing much Beverley It s pretty much just like everyday| [person:beverley f 2-2]
beverley| Hey listen my coworker Jon just walked past me| [person:beverley f 2-2][person:co_worke u 3-3][person:jo m 4-4][person:beverley f 8-8]
harriet| Oh is any good|
beverley| Good He s like the dumbest kid in town Broke down the coffee machine while making coffee and spilled sugar everywhere| [person:jo m 1-1][location:town s 8-8]
harriet| Wow a real charmer Not going to beat my coworker Pierre though| [person:harriet f 8-8][person:co_worke u 9-9][person:pierr u 10-10]
beverley| He walked by you now| [person:jo m 0-0][person:harriet f 3-3]
beverley| What d he do| [person:jo m 2-2]
harriet| Yeah you bet| [person:beverley f 1-1]
harriet| That old badger was so excited in passing salt and pepper to our boss that he spilled salt all over our his food and pepper in his eyes| [person:our g(beverley:harriet:jo:jo) 12-12][person:jo m 15-15][person:our g(beverley:harriet:jo:jo) 20-20][person:harriet f 21-21][person:harriet f 26-26]
beverley| Wow he s a dumbo then| [person:jo m 1-1]
harriet| You bet he is| [person:beverley f 0-0][person:jo m 2-2]

conv:chats_1126_132:aug_0:chat_0:chataug_0| ralph sydney| [person:ralph m 0-0][person:sydney f 1-1]
sydney| I just picked up Julie from her school for a dentist appointment| [person:sydney f 0-0][person:julie f 4-4][person:julie f 6-6][location:school s 7-7]
ralph| Okay how is it going|
sydney| Not well She s making excuses because she doesn t want to go to the dentist| [person:julie f 2-2][person:julie f 7-7][location:dentist s 15-15]
ralph| What excuse did she come up with this time| [person:julie f 3-3]
sydney| She said she can t go because she ate lunch and didn t brush her teeth| [person:julie f 0-0][person:julie f 2-2][person:julie f 7-7][person:julie f 14-14]
ralph| What do you want me to do| [person:sydney f 2-2][person:ralph m 4-4]
sydney| Tell me how to convince her| [person:sydney f 1-1][person:julie f 5-5]
ralph| It is very simple either bribe her or threaten her| [person:julie f 6-6][person:julie f 9-9]
sydney| Alright I ll bribe her with extra TV time| [person:sydney f 1-1][person:julie f 4-4]
ralph| That is a great idea tell me how it goes| [person:ralph m 6-6]

conv:chats_1126_133:aug_0:chat_0:chataug_0| frances fred| [person:frances f 0-0][person:fred m 1-1]
fred| Frances hurry up we need to attend our school carnival| [person:frances f 0-0][person:fred_and_frances g(fred:frances) 3-3][person:fred_and_frances g(fred:frances) 7-7][location:school s 8-8]
frances| Fred its been long we are going back to the school I will be busy catching up with the rest| [person:fred m 0-0][person:fred_and_frances g(fred:frances) 4-4][location:school s 10-10][person:frances f 11-11]
fred| Hey Frances do you see our teacher Mr Smith at the dunk tank| [person:frances f 1-1][person:frances f 3-3][person:fred_and_frances g(fred:frances) 5-5][person:smith u 8-8][location:dunk_tank s 11-12]
frances| No Fred I couldn t see Mr Smith at the dunk tank| [person:fred m 1-1][person:frances f 2-2][person:smith u 7-7][location:dunk_tank s 10-11]
fred| I m sending you the picture and saving a spot in the line for you Please hurry up| [person:fred m 0-0][person:frances f 3-3][person:frances f 14-14]
frances| Yup I m coming over Just give me 5 minutes| [person:frances f 1-1][person:frances f 7-7]
fred| Mr Smith was one of the best teacher in the school and I have always admired him| [person:smith u 1-1][location:school s 10-10][person:fred m 12-12][person:smith m 16-16]
frances| He was a good teacher but he was strict in terms of academics| [person:smith m 0-0][person:smith m 6-6]
fred| I m definitely going to push him into the dunk tank It s going to be really funny| [person:fred m 0-0][person:smith m 6-6]
frances| The temperature outside is pretty cold So let s not dunk him in the freezing water because he is old| [person:smith m 11-11][person:smith m 17-17]

conv:chats_1126_135:aug_0:chat_0:chataug_0| frances jane| [person:frances f 0-0][person:jane f 1-1]
frances| Hey It was so much of fun today right|
jane| Yeah I always like hanging out with Jennifer and Samantha| [person:jane f 1-1][person:jennifer f 7-7][person:samantha f 9-9]
frances| It s nice that we went to our favorite spots| [person:we g(frances:jane:jennifer:samantha) 4-4][person:our g(frances:jane:jennifer:samantha) 7-7]
jane| You are right it was fun catching up with our old friends| [person:frances f 0-0][person:our g(frances:jane:jennifer:samantha) 9-9][person:friends g(frances:jane:jennifer:samantha) 11-11]
frances| Yeah Did you remember the tourist who was lost and asked for the directions| [person:jane f 2-2]
jane| Yes I remember him I could not understand a word he spoke| [person:jane f 1-1][person:jay m 3-3][person:jane f 4-4][person:jay m 10-10]
frances| It took me a while to understand him And if I am not wrong his name is Jay| [person:frances f 2-2][person:jay m 7-7][person:frances f 10-10][person:jay m 14-14][person:jay m 17-17]
jane| His accent was so different I think he was lost and asking for directions| [person:jay m 0-0][person:jane f 5-5][person:jay m 7-7]
frances| Exactly And I feel happy about that we helped him| [person:frances f 2-2][person:we g(frances:jane:jennifer:samantha) 7-7][person:jay m 9-9]
jane| It was fun though trying to understand him and finally help him| [person:jay m 7-7][person:jay m 11-11]

conv:chats_1126_136:aug_0:chat_0:chataug_0| alex michelle| [person:alex m 0-0][person:michelle f 1-1]
michelle| Hey Alex I m getting nervous Just tell me about your parents I am curious| [person:alex m 1-1][person:michelle f 2-2][person:michelle f 8-8][person:alex m 10-10][person:parents g() 11-11][person:michelle f 12-12]
alex| I just spoke with them Relax yourself Michelle They are also pretty excited| [person:alex m 0-0][person:parents g() 4-4][person:michelle f 6-6][person:michelle f 7-7][person:parents g() 8-8]
michelle| Honestly speaking I am scared What would they ask me about Will they like me| [person:michelle f 2-2][person:parents g() 7-7][person:michelle f 9-9][person:parents g() 12-12][person:michelle f 14-14]
alex| Nobody can hate you They are very polite and humble two old people| [person:michelle f 3-3][person:parents g() 4-4]
michelle| I do understand that How about their food style What kind of desserts they like| [person:michelle f 0-0][person:parents g() 6-6][person:parents g() 13-13]
alex| They are not very specific about food They both are diabetic patients They ll be taking precautions on that only| [person:parents g() 0-0][person:parents g() 7-7][person:parents g() 12-12]
michelle| Will they find any kind of short in me Which part should I focus more while taking to them| [person:parents g() 1-1][person:michelle f 8-8][person:michelle f 12-12][person:parents g() 18-18]
alex| Why are you worrying so much I want you to be yourself They ll love that I know them very well than anybody else in the world| [person:michelle f 2-2][person:alex m 6-6][person:michelle f 8-8][person:michelle f 11-11][person:parents g() 12-12][person:alex m 16-16][person:parents g() 18-18]
michelle| I agree with you But I can t be myself when I am very nervous I need you always by my side till they leave| [person:michelle f 0-0][person:alex m 3-3][person:michelle f 5-5][person:michelle f 9-9][person:michelle f 11-11][person:michelle f 15-15][person:alex m 17-17][person:michelle f 20-20]
alex| I ll be always with you not till they leave I ll be there till I live| [person:alex m 0-0][person:michelle f 5-5][person:parents g() 8-8][person:alex m 10-10][person:alex m 15-15]

conv:chats_1126_138:aug_0:chat_0:chataug_0| pablo patrick| [person:pablo m 0-0][person:patrick m 1-1]
patrick| Hey Pablo I can t take this anymore I am going to complain about Katie| [person:pablo m 1-1][person:patrick m 2-2][person:patrick m 8-8][person:katie f 14-14]
pablo| Why Is there a problem|
patrick| She is too loud I can barely concentrate on the work| [person:kathleen f 0-0][person:patrick m 4-4]
pablo| I don t think complaining is a good idea It will complicate things further| [person:pablo m 0-0]
patrick| I already spoke to Kathleen about this she asked me to send an email if it happens again| [person:patrick m 0-0][person:kathleen f 4-4][person:kathleen f 7-7][person:patrick m 9-9]
pablo| But I still think it is better not to involve the team leader You should try solving it on your own| [person:pablo m 1-1][person:team g() 11-11][person:patrick m 13-13][person:patrick m 19-19]
patrick| I already sent an email to Kathleen I am waiting for a reply| [person:patrick m 0-0][person:kathleen f 6-6][person:patrick m 7-7]
pablo| Why did you do that| [person:pablo m 2-2]
patrick| I tried speaking to Katie but she was very rude So I had no other choice| [person:patrick m 0-0][person:katie f 4-4][person:katie f 6-6][person:patrick m 11-11]
pablo| Okay I hope the issue gets resolved| [person:pablo m 1-1]

conv:chats_1126_139:aug_0:chat_0:chataug_0| steve valentina| [person:steve m 0-0][person:valentina f 1-1]
valentina| Hey Steve I m so excited to meet your parents| [person:steve m 1-1][person:valentina f 2-2][person:steve m 8-8][person:steve_s_parents g() 9-9]
steve| They are excited to meet you as well| [person:steve_s_parents g() 0-0][person:valentina f 5-5]
valentina| I m also very nervous What will they be like| [person:valentina f 0-0][person:steve_s_parents g() 7-7]
steve| You don t need to worry about anything they are very jovial people| [person:valentina f 0-0][person:steve_s_parents g() 8-8]
valentina| I m sure What kind of desserts do they like| [person:valentina f 0-0][person:steve_s_parents g() 8-8]
steve| My mom usually makes apple pie on special occasions| [person:steve m 0-0][person:steve_s_mom f 1-1]
valentina| I ll make some for her and get them| [person:valentina f 0-0][person:valentina f 5-5]
steve| Great I am sure they will like your apple pie| [person:steve m 1-1][person:steve_s_parents g() 4-4][person:valentina f 7-7]
valentina| Hopefully I m very thrilled to meet them| [person:valentina f 1-1][person:steve_s_parents g() 7-7]
steve| Like I said you have nothing to worry about| [person:steve m 1-1][person:valentina f 3-3]

conv:chats_1126_142:aug_0:chat_0:chataug_0| katie nathan| [person:katie f 0-0][person:nathan m 1-1]
katie| Hi Nathan What are you doing Are you free| [person:nathan m 1-1][person:nathan m 4-4][person:nathan m 7-7]
nathan| Yeah Katie I am working on my project I will be free in 5 minutes| [person:katie f 1-1][person:nathan m 2-2][person:nathan m 6-6][person:nathan m 8-8]
katie| Okay Have you noticed our poodle was acting strange| [person:nathan m 2-2][person:our g(katie:nathan) 4-4]
nathan| Yes Even I am noticing him for past 1 week I to feel the same| [person:nathan m 2-2][person:nathan m 10-10]
katie| Shall we take our poodle to the veterinary doctor What do you say| [person:our g(katie:nathan) 1-1][person:our g(katie:nathan) 3-3][location:veterinary_doctor s 7-8][person:doctor u 8-8][person:nathan m 11-11]
nathan| Yes We have to consult with the best doctor Shall we take him to Dr Smith| [person:our g(katie:nathan) 1-1][person:doctor u 8-8][person:our g(katie:nathan) 10-10][person:doctor m 12-12][location:dr__smith s 14-15][person:doctor u 15-15]
katie| No I think Dr Smith was not asking much questions about our poodle Suggest another Doctor| [person:katie f 1-1][person:doctor u 4-4][person:our g(katie:nathan) 11-11][person:doctor u 15-15]
nathan| Oh I see then let me suggest Dr Johnson as he has more experience in this field| [person:nathan m 1-1][person:nathan m 5-5][person:doctor u 8-8][person:doctor m 10-10]
katie| Yeah Fix an appointment by tomorrow evening|
nathan| Okay I will call the clinic and let you know the timings| [person:nathan m 1-1][location:clinic s 5-5][person:katie f 8-8]

conv:chats_1126_145:aug_0:chat_0:chataug_0| ana charles| [person:ana f 0-0][person:charles m 1-1]
charles| Hi Ana| [person:ana f 1-1]
ana| Hi Charles Is there anything important to talk about I am busy meeting a friend Bob| [person:charles m 1-1][person:ana f 9-9][person:bob m 14-14][person:bob m 15-15]
charles| Hey I thought of giving bath to our cat but there is no more shampoo Can you buy a shampoo on your way back from work| [person:charles m 1-1][person:our g(charles:ana) 7-7][person:ana f 16-16][person:ana f 21-21]
ana| I am meeting a friend so I guess I will be late Charlestina was supposed to go to the store today and to ask her to bring some if she had not gone yet| [person:ana f 0-0][person:friend u 4-4][person:ana f 6-6][person:ana f 8-8][location:store s 19-19][person:charlestina f 24-24][person:charlestina f 29-29]
charles| Oh no Okay I will check with Charlestina hope she didn t leave the store| [person:charles m 3-3][person:charlestina f 9-9][location:store s 14-14]
ana| You can ping her if she has left already| [person:charles m 0-0][person:charlestina f 3-3][person:charlestina f 5-5]
charles| Okay When will you be back| [person:ana f 3-3]
ana| I will be there once I am done meeting Bob| [person:ana f 0-0][location:store s 3-3][person:ana f 5-5][person:bob m 9-9]
charles| Okay I message her before its too late Bye Have fun| [person:charles m 1-1][person:charlestina f 3-3]
ana| Good bye See you at home| [person:charles m 3-3][location:home s 5-5]
charles| See you| [person:ana f 1-1]
charles| Don t be late I need help to prepare the dinner| [person:charles m 4-4]

conv:chats_1126_148:aug_0:chat_0:chataug_0| robert susan| [person:robert m 0-0][person:susan f 1-1]
susan| Hello Robert How are you doing I m coming over to visit you now| [person:robert m 1-1][person:robert m 4-4][person:susan f 6-6][person:robert m 12-12]
robert| I am fine Susan Can you pick up some cigars while coming over| [person:robert m 0-0][person:susan f 3-3][person:susan f 5-5]
susan| What does Lucy think when you re asking me to bring cigars despite having a lung problem| [person:lucy f 2-2][person:robert m 5-5][person:susan f 8-8]
robert| Lucy has refused to buy me cigars| [person:lucy f 0-0][person:robert m 5-5]
susan| Lucy is concerned about you Robert That s the reason she s refusing to buy you the things that affect your health| [person:lucy f 0-0][person:robert m 4-4][person:robert m 5-5][person:lucy f 10-10][person:robert m 15-15][person:robert m 20-20]
robert| Doctor has said me I am out of danger So it doesn t harm me if I smoke a few cigars| [person:doctor u 0-0][person:robert m 3-3][person:robert m 4-4][person:robert m 14-14][person:robert m 16-16]
susan| You re not completely fine Robert It s against the doctor s order| [person:robert m 0-0][person:robert m 5-5][person:doctor u 10-10]
robert| Come on don t tell me I know what is good for me Just do what I say| [person:robert m 5-5][person:robert m 6-6][person:robert m 12-12][person:robert m 16-16]
susan| I m worried about your health and not going to bring you anything that harms you I m going to get you something healthy| [person:susan f 0-0][person:robert m 4-4][person:robert m 11-11][person:robert m 15-15][person:susan f 16-16][person:robert m 21-21]
robert| I am going to complain your mom that you don t pay any heed to what elders say| [person:robert m 0-0][person:susan f 5-5][person:mom f 6-6][person:susan f 8-8]

conv:chats_1126_149:aug_0:chat_0:chataug_0| britney ed| [person:britney f 0-0][person:ed m 1-1]
britney| Hi Ed Have you got ready for the dance performance| [person:ed m 1-1][person:ed m 3-3]
ed| Hi Britney Yeah I am ready for the performance What about you| [person:britney f 1-1][person:ed m 3-3][person:britney f 11-11]
britney| Yeah I too ready but what about the costume| [person:britney f 1-1]
ed| Okay I will send you the picture of your costume in the whats app see that and say| [person:ed m 1-1][person:britney f 4-4][person:britney f 8-8]
britney| Okay The dress is good but I am not satisfied with that Can you suggest me| [person:britney f 6-6][person:ed m 13-13][person:britney f 15-15]
ed| Then you can ask the costumes with your sister s Ashley and Keira| [person:britney f 1-1][person:britney f 7-7][person:sister f 8-8][person:ashley f 10-10][person:keira f 12-12]
britney| I asked them and searched in their cupboards but I didn t get anything attractive| [person:britney f 0-0][person:them g() 2-2][person:them g() 6-6][person:britney f 9-9]
ed| Oh no I can remember some of the dresses like red lehenga choli and white frock| [person:ed m 2-2]
britney| Yes I checked it but it is too small for me| [person:britney f 1-1][person:britney f 10-10]
ed| Okay then don t worry we will purchase by tomorrow bye| [person:ed m 5-5]

conv:chats_1126_150:aug_0:chat_0:chataug_0| ivy nate| [person:ivy f 0-0][person:nate m 1-1]
nate| Hey Ivy is everything alright You look worried| [person:ivy f 1-1][person:ivy f 5-5]
ivy| Hey Nate it s just that my baby sitter is not responding and I have to leave soon| [person:nate m 1-1][person:ivy f 6-6][person:ivy f 13-13]
nate| When will you be back| [person:ivy f 2-2]
ivy| I ll be back in an hour| [person:ivy f 0-0]
nate| I ll ask Leslie if she has some time to babysit| [person:nate m 0-0][person:leslie f 3-3][person:leslie f 5-5]
ivy| That is very sweet of you thanks a lot| [person:nate m 5-5]
nate| If Leslie is unavailable I won t mind watching the baby if Louis does not arrive| [person:leslie f 1-1][person:nate m 4-4][person:louis m 12-12]
ivy| Thank you I promise to make it up to you| [person:nate m 1-1][person:ivy f 2-2][person:nate m 9-9]
nate| Don t worry about it I know you d do the same for me| [person:nate m 5-5][person:ivy f 7-7][person:nate m 13-13]
ivy| Alright see you in an hour| [person:nate m 2-2]

conv:chats_1126_154:aug_0:chat_0:chataug_0| alice howard| [person:alice f 0-0][person:howard m 1-1]
howard| Hey Alice don t you think the work is getting burdened on us| [person:alice f 1-1][person:alice f 4-4][person:us g(howard:alice) 12-12]
alice| Yes Howard the work is huge and we both cannot finish of the task| [person:howard m 1-1][person:us g(howard:alice) 7-7]
howard| We need to involve a few more people so that we can finish off the project| [person:us g(howard:alice) 0-0][person:us g(howard:alice) 10-10]
alice| We can involve Edward and Kim into the conversation| [person:us g(howard:alice) 0-0][person:edward m 3-3][person:kim f 5-5]
howard| We shall distribute the work among ourselves so that it might be easier to manage the project| [person:we g(howard:alice:edward:kim) 0-0]
alice| Being the team leaders we can do less work and ask them to do more| [person:we g(howard:alice:edward:kim) 2-2][person:us g(howard:alice) 4-4][person:them g(edward:kim) 11-11]
howard| That will be unfair Alice We all are students of the same class So we shall work together| [person:alice f 4-4][person:we g(howard:alice:edward:kim) 5-5][person:we g(howard:alice:edward:kim) 14-14]
alice| Than How will you distribute the work among us| [person:howard m 3-3][person:we g(howard:alice:edward:kim) 8-8]
howard| One can focus on the research part another can focus on the content of the project the other can verify the points discussed or add any extra information from various sources|
alice| That will be good It will justify that everyone will be in the project| [person:we g(howard:alice:edward:kim) 8-8]

conv:chats_1126_155:aug_0:chat_0:chataug_0| briana sasha| [person:briana f 0-0][person:sasha f 1-1]
sasha| Hi Briana i was thinking to plan a sleepover What say| [person:briana f 1-1][person:sasha f 2-2]
briana| Hey Sasha that d be so cool We can have a blast| [person:sasha f 1-1][person:sasha___briana g(sasha:briana) 7-7]
sasha| So lets watch some movies and have lots of food What food shall we plan| [person:sasha___briana g(sasha:briana) 13-13]
briana| Yup We can have tons of pizza and ice cream while watching Sounds good| [person:sasha___briana g(sasha:briana) 1-1]
sasha| Do you think your parents would mind| [person:briana f 1-1][person:briana f 3-3][person:parents g() 4-4]
briana| Why would they mind| [person:parents g() 2-2]
sasha| We would be up so late watching films and having lots of food| [person:sasha___briana g(sasha:briana) 0-0]
briana| I don t think they would They d be fast asleep by the way| [person:briana f 0-0][person:parents g() 4-4][person:parents g() 6-6]
sasha| OK that s cool|
briana| Come on over then|
sasha| OK i am so excited| [person:sasha f 1-1]

conv:chats_1126_157:aug_0:chat_0:chataug_0| julia sophia| [person:julia f 0-0][person:sophia f 1-1]
sophia| Hi Julia How are you doing| [person:julia f 1-1][person:julia f 4-4]
julia| Hi Sophia I am doing good How about you| [person:sophia f 1-1][person:julia f 2-2][person:sophia f 8-8]
sophia| I am doing good I want to ask you something| [person:sophia f 0-0][person:sophia f 4-4][person:julia f 8-8]
julia| Yeah Tell me What is the matter all about| [person:julia f 2-2]
sophia| I am planning to come to your home today for the night stay What do you say| [person:sophia f 0-0][person:julia f 6-6][location:home s 7-7][person:julia f 15-15]
julia| Wow That s nice to hear You are always welcome Sophia| [person:sophia f 6-6][person:sophia f 10-10]
sophia| We shall watch a movie together tonight and have some fun| [person:we g(sophia:julia) 0-0]
julia| Yes We can eat pizza s and ice cream during the movie time| [person:we g(sophia:julia) 1-1]
sophia| Okay I will inform my parents and let you know| [person:sophia f 1-1][person:sophia f 4-4][person:parents g() 5-5][person:julia f 8-8]
julia| I think my parents also will not mind it I will be waiting for your reply| [person:julia f 0-0][person:julia f 2-2][person:parents g() 3-3][person:julia f 9-9][person:sophia f 14-14]

conv:chats_1126_158:aug_0:chat_0:chataug_0| juan philip| [person:juan m 0-0][person:philip m 1-1]
philip| Hey Juan Where are you now| [person:juan m 1-1][person:juan m 4-4]
juan| Hey Philip I am just came out for my personal work Why| [person:philip m 1-1][person:juan m 2-2][person:juan m 8-8]
philip| Actually I need to ask you something Are you free to talk| [person:philip m 1-1][person:juan m 5-5][person:juan m 8-8]
juan| Yeah Tell me What is the matter all about| [person:juan m 2-2]
philip| My wife Bonnie and me prepared extra food for dinner Would you like to have it| [person:philip m 0-0][person:bonnie f 1-1][person:bonnie f 2-2][person:philip m 4-4][person:juan m 11-11]
juan| Okay I will make a call to my wife Hannah and ask her and let you know| [person:juan m 1-1][person:juan m 7-7][person:hannah f 8-8][person:hannah f 9-9][person:hannah f 12-12][person:philip m 15-15]
philip| That is fine We prepared fish curry green peas rice and chicken roast| [person:we g(philip:bonnie) 3-3]
juan| Yeah My wife Hannah will come and collect it from your house within 5 minutes| [person:juan m 1-1][person:hannah f 2-2][person:hannah f 3-3][person:philip m 10-10][location:house s 11-11]
philip| Okay I will tell my wife to pack the food and get ready| [person:philip m 1-1][person:philip m 4-4][person:bonnie f 5-5]
juan| Okay Thanks for sharing the food with us Bye| [person:us g(juan:hannah) 7-7]

conv:chats_1126_160:aug_0:chat_0:chataug_0| don james| [person:don m 0-0][person:james m 1-1]
james| Hey Don I can t tolerate this anymore I am going to complain about Hana| [person:james m 2-2][person:james m 8-8][person:hana f 14-14]
don| Why Is there a problem|
james| She is so loud I can barely concentrate on my work| [person:hana f 0-0][person:james m 4-4][person:james m 9-9]
don| I do not think complaining is a good idea It will complicate the issue more| [person:don m 0-0]
james| I already spoke to Karina about this she asked me to send an email if it happens again| [person:james m 0-0][person:karina f 4-4][person:karina f 7-7][person:james m 9-9]
don| But I still think it is better not to involve the team leader You should try solving it on your own| [person:don m 1-1][person:team g() 11-11][person:james m 13-13][person:james m 19-19]
james| I already sent an email to Karina I am waiting for a response| [person:james m 0-0][person:karina f 6-6][person:james m 7-7]
don| Why did you do that| [person:james m 2-2]
james| I tried speaking to Hana but she was being rude So I had no other choice| [person:james m 0-0][person:hana f 4-4][person:hana f 6-6][person:james m 11-11]
don| Alright I hope the issue gets resolved| [person:don m 1-1]

conv:chats_1126_161:aug_0:chat_0:chataug_0| andy chris| [person:andy m 0-0][person:chris m 1-1]
chris| Hey Andy me and Tammy are here at the fruit store getting some fruit for the office| [person:chris m 1-1][person:chris m 2-2][person:tammy f 4-4][location:here s 6-6][location:here s 9-10][location:office s 16-16]
andy| That s great Chris You need some help with something| [person:chris m 3-3][person:chris m 4-4]
chris| Yup sure do mate We can t decide what fruit to get and how many| [person:we g(chris:andy) 4-4]
andy| How about getting three apples four bananas one orange and a bunch of grapes for each of us here| [person:us g(chris:andy) 17-17][location:here s 18-18]
chris| Wow that s a great idea Andy Sure eases our problem Tell me how you have such knowledge on this mate| [person:andy m 6-6][person:our g(chris:andy) 9-9][person:chris m 12-12][person:andy m 14-14]
andy| That s nothing pal I just used a little intelligence I got from my wife Lily who s an expert in matters like these| [person:andy m 4-4][person:andy m 10-10][person:andy m 13-13][person:wife f 14-14][person:wife f 15-15]
chris| That s cool man I wish I could be an expert too| [person:chris m 4-4][person:chris m 6-6]
andy| You d be soon And hey also chekc with Tammy about this as she s really good at estimating| [person:chris m 0-0][person:tammy f 9-9][person:tammy f 13-13]
chris| Will do pal Thanks for helping out|
andy| No problem at all mate See you in office laden with fruit| [person:chris m 6-6][location:office s 8-8]

conv:chats_1126_162:aug_0:chat_0:chataug_0| bruce nicole| [person:bruce m 0-0][person:nicole f 1-1]
bruce| Hi Nicole Are you free now We have to discuss about our house structure| [person:nicole f 1-1][person:nicole f 3-3][person:we g(bruce:nicole) 6-6][person:our g(bruce) 11-11]
nicole| Yeah sure Give me 5 minutes I will complete my work and then we will discuss| [person:nicole f 3-3][person:nicole f 6-6][person:nicole f 9-9][person:we g(bruce:nicole) 13-13]
bruce| Officer Philip and his wife Kimberly had texted me about our house structure So tell me what is the size of the hall| [person:philip m 1-1][person:philip m 3-3][person:wife f 4-4][person:wife f 5-5][person:bruce m 8-8][person:our g(bruce) 10-10][person:bruce m 15-15]
nicole| Oh That s nice our hall size is 1636 and our master room size is 1412| [person:our g(bruce) 4-4][person:our g(bruce) 10-10]
bruce| Okay Tell me the size of the kitchen and store room| [person:bruce m 2-2]
nicole| Our kitchen size is 810 and our store room size is 108| [person:nicole f 0-0][person:our g(bruce) 6-6]
bruce| Its nice to hear Now tell me the size of the parking area| [person:bruce m 6-6]
nicole| Okay then the size of the parking area is 1216 And also say that our house is eastern side facing| [person:our g(bruce) 14-14]
bruce| Okay I will say this details to them and will ask them to visit our house by this weekend| [person:bruce m 1-1][person:them g(philip:wife) 7-7][person:them g(philip:wife) 11-11][person:our g(bruce) 14-14]
nicole| Yeah It was a great idea So we will guide them properly on that time| [person:we g(bruce:nicole) 7-7][person:them g(philip:wife) 10-10]

conv:chats_1126_163:aug_0:chat_0:chataug_0| jackie kathleen| [person:jackie f 0-0][person:kathleen f 1-1]
kathleen| Hey Jackie do you know our city is hosting a concert performed the Jonas brothers| [person:jackie f 1-1][person:jackie f 3-3][person:our g(kathleen:jackie) 5-5][location:city s 6-6]
jackie| Yes Kathleen I really want to go to the concert But I am afraid of my parent s wouldn t let me go| [person:kathleen f 1-1][person:jackie f 2-2][location:concert s 9-9][person:jackie f 11-11][person:jackie f 15-15][person:parent g() 16-16][person:jackie f 21-21]
kathleen| Even my parents are not going to allow me to go to the concert| [person:kathleen f 1-1][person:parent g() 2-2][person:kathleen f 8-8][location:concert s 13-13]
jackie| We should beg our parents until they agreed to get the ticket for the concert| [person:we g(kathleen:jackie) 0-0][person:our g(kathleen:jackie) 3-3][person:parent g() 4-4][person:they g() 6-6][location:concert s 14-14]
kathleen| I ll also have to request my parents to allow me to go to the concert and buy me the tickets| [person:kathleen f 0-0][person:kathleen f 6-6][person:parent g() 7-7][person:kathleen f 10-10][location:concert s 15-15][person:kathleen f 18-18]
jackie| Kathleen I just requested our parents and they have agreed| [person:kathleen f 0-0][person:jackie f 1-1][person:our g(kathleen:jackie) 4-4][person:parent g() 5-5][person:they g() 7-7]
kathleen| What are you saying That s unbelievable| [person:jackie f 2-2]
jackie| Yes Kathleen we are finally going to the concert| [person:kathleen f 1-1][person:we g(kathleen:jackie) 2-2][location:concert s 8-8]
kathleen| It s going to be one of the best days of our life I m so happy about it| [person:our g(kathleen:jackie) 11-11][person:kathleen f 13-13]
jackie| After a long time we are going to have so much fun| [person:we g(kathleen:jackie) 4-4]

conv:chats_1126_164:aug_0:chat_0:chataug_0| andrea john| [person:andrea f 0-0][person:john m 1-1]
