conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
jack| Yea i can what do you need me to pick up| [person:jack m 1-1][person:alice f 5-5][person:jack m 7-7]
alice| I was thinking maybe you can pick up all the items neccessary to prepare for taco and pancake| [person:alice f 0-0][person:jack m 4-4]
jack| ok i think i can do that The supermarket is just right around the corner| [person:jack m 1-1][person:jack m 3-3][location:supermarket s 8-8]
alice| Ok great that will make things a lot easier|
jack| Perfect i can t wait for the get together tomorrow morning| [person:jack m 1-1]
alice| Oh yeah me too| [person:alice f 2-2]

conv:people_2019082001_65:aug_0:chat_0:chataug_0| bob rebecca| [person:bob m 0-0][person:rebecca f 1-1]
bob| Hi Rebecca I am trying to find a concert to attend Have any recommendations for me| [person:rebecca f 1-1][person:bob m 2-2][person:bob m 15-15]
rebecca| well I did go to a few over the past few months with Tim and Mary| [person:rebecca f 1-1][person:tim m 13-13][person:mary f 15-15]
bob| Which one was your favorite| [person:rebecca f 3-3]
rebecca| I much preferred the Country Music concert It was very nice| [person:rebecca f 0-0]
bob| What about Tim what did he like| [person:tim m 2-2][person:tim m 5-5]
rebecca| Tim has different taste than I do He liked the hard rock music| [person:tim m 0-0][person:rebecca f 5-5][person:tim m 7-7]
bob| How about Mary What was her favorite| [person:mary f 2-2][person:mary f 5-5]
rebecca| Mary enjoyed both I don t think she had a favorite| [person:mary f 0-0][person:rebecca f 3-3][person:rebecca f 7-7]
bob| I tend to get headaches when there is too much noise| [person:bob m 0-0]
rebecca| You should go to the Country Music concert then| [person:bob m 0-0][location:country_music_concert s 5-7]
bob| Thanks I make just do that| [person:bob m 1-1]

conv:people_2019082001_66:aug_0:chat_0:chataug_0| dorothy susan| [person:dorothy f 0-0][person:susan f 1-1]
susan| Hi Dorothy so are we all set for the party Who should we get to organise the music| [person:dorothy f 1-1][person:we g(susan:dorothy) 4-4][person:we g(susan:dorothy) 12-12]
dorothy| We still have a lot to sort out the music being one thing that s left to be decided I was thinking Judith could look after the music| [person:we g(susan:dorothy) 0-0][person:dorothy f 19-19][person:judith f 22-22]
susan| Ok sure Judith has good taste and I m sure she will get the party started music wise How about the food| [person:judith f 2-2][person:susan f 7-7][person:judith f 10-10]
dorothy| I don t know about the food Carolyn works at the local supermarket so she could get us some discount but Frances is a good cook What do you think| [person:dorothy f 0-0][person:carolyn f 7-7][location:supermarket s 12-12][person:carolyn f 14-14][person:us g(susan:dorothy:judith:carolyn) 17-17][person:frances f 21-21][person:susan f 28-28]
susan| My choice would be Frances She bakes great cakes and I can always pick up some snacks myself| [person:susan f 0-0][person:frances f 4-4][person:frances f 5-5][person:susan f 10-10][person:susan f 17-17]
dorothy| Ok sure that s settled then what should we do for drinks| [person:us g(susan:dorothy:judith:carolyn:frances) 8-8]
susan| I think everyone likes cocktails apart from Judith but we can always get some wine for her lol| [person:susan f 0-0][person:us g(susan:dorothy:judith:carolyn:frances) 2-2][person:judith f 7-7][person:we g(susan:dorothy) 9-9][person:judith f 16-16]
dorothy| Yeah well I like wine and cocktails so that s me sorted then| [person:dorothy f 2-2][person:dorothy f 10-10]
susan| What time should we start the party I can speak to everyone and get them to bring what we need| [person:we g(susan:dorothy) 3-3][person:susan f 7-7][person:everyone g(judith:carolyn:frances) 11-11][person:everyone g(judith:carolyn:frances) 14-14][person:us g(susan:dorothy:judith:carolyn:frances) 18-18]
dorothy| Lets start at 0730 Then we can start with the food and move onto the drinks and music| [person:us g(susan:dorothy:judith:carolyn:frances) 5-5]
susan| Sounds good Speak to you again later| [person:dorothy f 4-4]

conv:people_2019082001_67:aug_0:chat_0:chataug_0| greg stephen| [person:greg m 0-0][person:stephen m 1-1]
stephen| So are you ready to lose all your money to me again| [person:greg m 2-2][person:greg m 7-7][person:stephen m 10-10]
greg| Fat chance I m taking everyone s money tonight| [person:greg m 2-2][person:everyone g() 5-5]
stephen| We should probably bring some snacks and beverages What do the Smith s like| [person:we g(stephen:greg) 0-0][person:smith g() 11-11]
greg| I was going to ask you the same thing I have no clue| [person:greg m 0-0][person:stephen m 5-5][person:greg m 9-9]
stephen| Probably just some beer and chips would be fine|
greg| I wonder what kind of beer they drink They seem like hipsters so probably something that costs 15 a six pack| [person:greg m 0-0][person:smith g() 6-6][person:smith g() 8-8]
stephen| Actually Nate is really good friends with them He might know| [person:nate m 1-1][person:smith g() 7-7][person:nate m 8-8]
greg| Oh that is a great idea I ll give Nate a call| [person:greg m 6-6][person:nate m 9-9]
stephen| Be sure to ask him about food too I think the Smith s might be vegetarian and gluten free| [person:nate m 4-4][person:stephen m 8-8][person:smith g() 11-11]
greg| Ha of course they would be I m going to enjoy cleaning them out tonight| [person:smith g() 3-3][person:greg m 6-6][person:smith g() 12-12]

conv:people_2019082001_71:aug_0:chat_0:chataug_0| amanda samantha| [person:amanda f 0-0][person:samantha f 1-1]
amanda| Hey Jennifer my aunt and uncle are visiting Chicago Do you have a favorite place they should check out| [person:jennifer f 1-1][person:amanda f 2-2][person:jennifer f 3-3][location:chicago s 8-8][person:samantha f 10-10][location:place s 14-14][person:they g(jennifer) 15-15]
samantha| My favorite place is probably the Willis Tower where you can go up to the very top almost You can see five states from there| [person:samantha f 0-0][location:place s 2-2][location:willis_tower s 6-7][person:amanda f 9-9][person:amanda f 18-18][location:willis_tower s 24-24]
amanda| That sounds good they d like that What about restaurants| [person:they g(jennifer) 3-3][location:restaurants g() 9-9]
samantha| Navy Pier is a really cool place and I believe there s quite a few restaurants over there too| [location:navy_pier s 0-1][location:navy_pier s 6-6][person:samantha f 8-8][location:restaurants g() 15-15][location:restaurants s 17-17]
amanda| Cool maybe they can check that out| [person:they g(jennifer) 2-2]
samantha| I could possibly meet up with them too and suggest more things over lunch if they d like| [person:samantha f 0-0][person:they g(jennifer) 6-6][person:they g(jennifer) 15-15]
amanda| They would love that| [person:they g(jennifer) 0-0]
samantha| Good I ll do that then I can tell them about a few museums too boat trips maybe some festivals going on Chicago always has things happening| [person:samantha f 1-1][person:samantha f 6-6][person:they g(jennifer) 9-9][location:museums g() 13-13][location:chicago s 22-22]
amanda| I told them and they re looking forward to it I ll have them reach out to you when they get there| [person:amanda f 0-0][person:they g(jennifer) 2-2][person:they g(jennifer) 4-4][person:amanda f 10-10][person:they g(jennifer) 13-13][person:samantha f 17-17][person:they g(jennifer) 19-19]
samantha| Okay sounds wonderful|

conv:people_2019082001_72:aug_0:chat_0:chataug_0| johnny steven| [person:johnny m 0-0][person:steven m 1-1]
johnny| Which concert do you think the other prefer| [person:steven m 3-3]
steven| I know Jacob and Lawrence like blues music| [person:steven m 0-0][person:jacob m 2-2][person:lawrence m 4-4]
johnny| well shall we go to a blues concert then| [person:we g(johnny:steven:lawrence:jacob) 2-2]
steven| Nah I like pop I d rather see that| [person:steven m 1-1][person:steven m 4-4]
johnny| We need to pick something everyone will not mind attending| [person:we g(johnny:steven:lawrence:jacob) 0-0][person:we g(johnny:steven:lawrence:jacob) 5-5]
steven| What do you like Johnny| [person:johnny m 2-2][person:johnny m 4-4]
johnny| I like pop best also| [person:johnny m 0-0]
steven| Here s an idea How about w ego to pop this time and next month blues|
johnny| That sounds like a plan to me Will you ask th eothers opinion too I have to get to work now| [person:johnny m 6-6][person:steven m 8-8][person:johnny m 14-14]
steven| Sure thing Johnny I see them this evening| [person:johnny m 2-2][person:steven m 3-3][person:them g(lawrence:jacob) 5-5]

conv:people_2019082001_73:aug_0:chat_0:chataug_0| april linda| [person:april f 0-0][person:linda f 1-1]
april| Hi Linda I m struggling to choose a film for the movie night What do you think| [person:linda f 1-1][person:april f 2-2][person:linda f 15-15]
linda| I ve been thinking and we nee something with some thrills and scares for Cheryl and Dorothy so I say let s just go with making them happy| [person:linda f 0-0][person:we g(april:linda) 5-5][person:cheryl f 14-14][person:dorothy f 16-16][person:linda f 18-18][person:them g(april:cheryl:dorothy) 26-26]
april| But what about Grace she doesnt really like scary films and she might feel left out| [person:grace f 3-3][person:grace f 4-4][person:grace f 11-11]
linda| Oh right I see Yeah she might feel left out if she doesn t like the movie choice I see your point| [person:linda f 2-2][person:grace f 5-5][person:grace f 11-11][person:linda f 18-18][person:april f 20-20]
april| How about we choose something scary but with a serious plot like a thriller with a good story| [person:we g(april:linda:cheryl:dorothy:grace) 2-2]
linda| That s a great idea but how will we find something that s suitable| [person:we g(april:linda:cheryl:dorothy:grace) 8-8]
april| I ll check out Netflix and search for thrillers I m sure we will find something| [person:april f 0-0][person:april f 9-9][person:we g(april:linda:cheryl:dorothy:grace) 12-12]
linda| Ok well I ll leave that to you because thrillers aren t really my thing but I m sure I ll enjoy it| [person:linda f 2-2][person:april f 7-7][person:linda f 13-13][person:linda f 16-16][person:linda f 19-19]
april| Right that s settled then See you later| [person:linda f 6-6]
linda| Well just don t choose something boring Movie night should be fun after all lol|

conv:people_2019082001_75:aug_0:chat_0:chataug_0| darren philip| [person:darren m 0-0][person:philip m 1-1]
philip| Let s have a movie night with our friends| [person:our g(philip:darren) 7-7][person:friends g() 8-8]
darren| I like that idea| [person:darren m 0-0]
philip| who should we invite to join us| [person:we g(philip:darren) 2-2][person:us g(philip:darren) 6-6]
darren| Let s invite Kennethn Juan Kennethnph and Kenneth| [person:juan m 4-4][person:kenneth m 7-7]
philip| Yeah do we have enough room| [person:we g(philip:darren) 2-2]
darren| Yes I think so| [person:darren m 1-1]
philip| Let s do it at your house| [person:darren m 5-5]
darren| Yes I have the biggest television| [person:darren m 1-1]
philip| I will bring snacks| [person:philip m 0-0]
darren| Have Kennethn Juan Kennethnph and Kenneth bring something too| [person:juan m 2-2][person:kenneth m 5-5]

conv:people_2019082001_76:aug_0:chat_0:chataug_0| megan ruth| [person:megan f 0-0][person:ruth f 1-1]
megan| Hi there Can you help with advice for the dinner this weekend| [person:ruth f 3-3]
ruth| Sure what are you thinking| [person:megan f 3-3]
megan| Not sure what every prefers to eat I think| [person:megan f 7-7]
ruth| Well Kayla and Jean are really easy since they seem to prefer burgers| [person:kayla f 1-1][person:jean f 3-3][person:they g(megan:ruth:kayla:jean) 8-8]
megan| That is easy What about Amelie| [person:amelie f 5-5]
ruth| I think Amelie enjoys Italian a lot| [person:ruth f 0-0][person:amelie f 2-2]
megan| Hmmm trying to think of way to meld the options|
ruth| Since Kayla and Jean like hamburger meat what about a meat lasagna| [person:kayla f 1-1][person:jean f 3-3]
megan| That could work really well|
ruth| I think it would be great| [person:ruth f 0-0]

conv:people_2019082001_78:aug_0:chat_0:chataug_0| christian dennis| [person:christian m 0-0][person:dennis m 1-1]
christian| what are you doing| [person:dennis m 2-2]
dennis| I have been trying to solve this physics problem for the last half hour and I still have no idea how to do it| [person:dennis m 0-0][person:dennis m 15-15]
christian| When do you have to turn it in| [person:dennis m 2-2]
dennis| It is due at the end of this week|
christian| Well it is only Monday Why don t you get some afterschooltutoring tomorrow|
dennis| I have to sign up for it first I guess I will go sign up for the Wednesday session tomorrow| [person:dennis m 0-0][person:dennis m 8-8][person:dennis m 10-10]
christian| You should reread the chapter before you show up for the session It will help you understand the subject matter better| [person:dennis m 0-0][person:dennis m 6-6][person:dennis m 15-15]
dennis| OK I will do that| [person:dennis m 1-1]
christian| Now that your problem is solved I need you to lend me a hand with my problem| [person:dennis m 2-2][person:christian m 6-6][person:dennis m 8-8][person:christian m 11-11][person:christian m 15-15]
dennis| What is up|
christian| I need to build a new doll house for Nancy I was putting her doll house away and somehow I accidentally dropped it It was broken into pieces| [person:christian m 0-0][location:house s 7-7][person:nancy f 9-9][person:christian m 10-10][person:nancy f 13-13][location:house s 15-15][person:christian m 19-19]
dennis| How clumsy of you Does she know| [person:christian m 3-3][person:nancy f 5-5]
christian| I told her about it I could not lie to her| [person:christian m 0-0][person:nancy f 2-2][person:christian m 5-5][person:nancy f 10-10]
dennis| How did she take it| [person:nancy f 2-2]
christian| My sister really liked that doll house and obviously she was not very happy But I told her that I would build a better one for her So I need your help| [person:christian m 0-0][person:nancy f 1-1][person:nancy f 9-9][person:christian m 15-15][person:nancy f 17-17][person:christian m 19-19][person:nancy f 26-26][person:christian m 28-28]
dennis| Me Help you I have never built anything in my life| [person:dennis m 0-0][person:christian m 2-2][person:dennis m 3-3][person:dennis m 9-9]
christian| Me neither But don t worry Putting together pieces of wood is not going to be difficult| [person:christian m 0-0]
dennis| It is more than just putting pieces of wood together You need to put in windows and doors Have you thought about how you would do that| [person:christian m 10-10][location:windows s 15-15][location:doors s 17-17][person:christian m 19-19][person:christian m 23-23]
christian| Who says houses need to have windows and doors| [location:houses s 2-2][location:windows s 6-6][location:doors s 8-8]
dennis| So you are going to build a doll house with no windows and no doors| [person:christian m 1-1][location:house s 8-8][location:windows s 11-11][location:doors s 14-14]
christian| Yes I do not see anything wrong with that Do you| [person:christian m 1-1][person:dennis m 10-10]
dennis| No It makes the project easier to handle now But are you sure that Nancy will not mind having a doll house with no doors and no windows| [person:christian m 11-11][person:nancy f 14-14][location:house s 21-21][location:doors s 24-24][location:windows s 27-27]
christian| Yes I am sure| [person:christian m 1-1]
dennis| K bye see u later| [person:dennis m 3-3]

conv:people_2019082001_79:aug_0:chat_0:chataug_0| hannah linda| [person:hannah f 0-0][person:linda f 1-1]
linda| Hannah I have a big favor to ask| [person:hannah f 0-0][person:linda f 1-1]
hannah| Okay what is it|
linda| My friends David and Samuel are visiting and I won t be able to get off work tomorrow Is there any chance you can amuse them for the day| [person:linda f 0-0][person:friends g() 1-1][person:david m 2-2][person:samuel m 4-4][person:linda f 8-8][person:hannah f 22-22][person:friends g(david:samuel) 25-25]
hannah| Well you know how I love to entertain but what are they like| [person:linda f 1-1][person:hannah f 4-4][person:friends g(david:samuel) 11-11]
linda| They are both super laid back and easy going| [person:friends g(david:samuel) 0-0]
hannah| Well that certainly helps Do they want to eat somewhere visit a museum see a play| [person:friends g(david:samuel) 5-5][location:museum s 12-12]
linda| We are going to the museum later so maybe a restaurant or something to that affect| [person:we g(linda:david:samuel) 0-0][location:museum s 5-5][location:restaurant s 10-10]
hannah| Do they happen to like beer| [person:friends g(david:samuel) 1-1]
linda| Why yes they certainly so why| [person:friends g(david:samuel) 2-2]
hannah| There is a great brewery that just opened and has beer tastings and other fun events| [location:brewery s 4-4]
linda| Perfect They will love it Can you meet them around 200 p m| [person:friends g(david:samuel) 1-1][person:hannah f 6-6][person:friends g(david:samuel) 8-8]
hannah| Sure thing Talk soon|

conv:people_2019082001_80:aug_0:chat_0:chataug_0| jacob rodger| [person:jacob m 0-0][person:rodger m 1-1]
rodger| Hey Jacob How have you been| [person:jacob m 1-1][person:jacob m 4-4]
jacob| I m good I was wondering if you want to get together for a picnic I am thinking of inviting Donald an Jill as well| [person:jacob m 0-0][person:jacob m 3-3][person:rodger m 7-7][person:jacob m 15-15][person:donald m 20-20][person:jill f 22-22]
rodger| That sounds like it would be fun Do you have day in mind| [person:jacob m 8-8]
jacob| No I thought I d talk to you first to see what works best for everyone| [person:jacob m 1-1][person:jacob m 3-3][person:rodger m 7-7][person:everyone g(rodger:jacob:donald:jill) 15-15]
rodger| I m good with any day except Thursdays I have guitar lessons that day| [person:rodger m 0-0][person:rodger m 8-8]
jacob| I know Jill has karate on Wednesdays and Fridays Do you know what days Donald is available| [person:jacob m 0-0][person:jill f 2-2][person:rodger m 10-10][person:donald m 14-14]
rodger| I know he has church on Sunday afternoons| [person:rodger m 0-0][person:donald m 2-2][location:church s 4-4]
jacob| It sounds like Saturday would work for everyone| [person:everyone g(rodger:jacob:donald:jill) 7-7]
rodger| That works for me I can let Donald know if you want to tell Jill| [person:rodger m 3-3][person:rodger m 4-4][person:donald m 7-7][person:jacob m 10-10][person:jill f 14-14]
jacob| I will See you Saturday| [person:jacob m 0-0][person:rodger m 3-3]

conv:people_2019082001_81:aug_0:chat_0:chataug_0| emma janet| [person:emma f 0-0][person:janet f 1-1]
emma| Hey how was the Avengers|
janet| Hey The movie was great|
emma| Diana and I really enjoyed the movie| [person:diana f 0-0][person:emma f 2-2]
janet| Nice Yeah the trailer was very good too|
emma| Infact she was saying that we should watch it again| [person:diana f 1-1][person:we g(emma:diana) 5-5]
janet| oh wow ha I can come along with you both too| [person:janet f 3-3][person:we g(emma:diana) 8-8]
emma| Does this Saturday work for you| [person:janet f 5-5]
janet| Let me check with her I will let you know| [person:janet f 1-1][person:diana f 4-4][person:janet f 5-5][person:emma f 8-8]
janet| the movie is nice|
emma| ya yes|
emma| good|
emma| director good action flims|

conv:people_2019082001_82:aug_0:chat_0:chataug_0| doug karen| [person:doug m 0-0][person:karen f 1-1]
doug| Hey Karen how s it going| [person:karen f 1-1]
karen| Pretty good Doug how about you| [person:doug m 2-2][person:doug m 5-5]
doug| Good thanks for asking|
doug| I m hanging out with my friends Joan Emily and Alan this weekend would you like to come| [person:doug m 0-0][person:doug m 5-5][person:friends g() 6-6][person:joan f 7-7][person:emily f 8-8][person:alan m 10-10][person:doug m 14-14]
karen| Um I m not sure I don t really know those people too well| [person:karen f 1-1][person:karen f 5-5]
karen| Have I met them before| [person:karen f 1-1][person:them g(joan:emily:alan) 3-3]
doug| Yes Emily and Joan were at my birthday party last year And you don t know Alan but he s super cool| [person:emily f 1-1][person:joan f 3-3][person:doug m 6-6][person:karen f 12-12][person:alan m 16-16][person:alan m 18-18]
doug| They are all chill people who have great personalities| [person:they g(karen:joan:emily:alan) 0-0]
karen| Well ok what do you guys plan to do| [person:karen f 4-4]
doug| We are thinking about getting dinner and maybe a movie afterwards| [person:we g(doug:karen:joan:emily:alan) 0-0]
karen| Well that sounds fun what time are you guys going| [person:doug m 7-7]
doug| We were thinking Saturday around 7pm| [person:we g(doug:karen:joan:emily:alan) 0-0]
doug| So can you come| [person:karen f 2-2]
karen| Yeah sure I can make it I will be there| [person:karen f 2-2][person:karen f 6-6][location:there u 9-9]
doug| Great Can t wait till this weekend|
karen| Me too I can t wait to hang out with you guys| [person:karen f 0-0][person:karen f 2-2][person:doug m 10-10]

conv:people_2019082001_83:aug_0:chat_0:chataug_0| cynthia malcolm| [person:cynthia f 0-0][person:malcolm m 1-1]
cynthia| Hello Malcolm I am going to have a barbecue party since our friend Charles will be visiting us from Seattle so I was wondering if you will join too| [person:malcolm m 1-1][person:cynthia f 2-2][person:our g(cynthia:malcolm) 11-11][person:friend u 12-12][person:charles m 13-13][person:us g(cynthia:malcolm) 17-17][person:cynthia f 21-21]
malcolm| That is amazing Of course I will join it has been so long since I met Charles| [person:malcolm m 5-5][person:malcolm m 14-14][person:charles m 16-16]
cynthia| Yeah I am pretty sure he will be happy to see you too| [person:cynthia f 1-1][person:malcolm m 5-5][person:malcolm m 11-11]
malcolm| Though I just remembered that my friend Billy will be in the town that day too so I was wondering if can come also| [person:malcolm m 1-1][person:malcolm m 5-5][person:friend u 6-6][person:billy m 7-7][location:town s 12-12][person:malcolm m 17-17]
cynthia| Well he is your friend I do not know him so it s up to you| [person:billy m 1-1][person:malcolm m 3-3][person:friend u 4-4][person:cynthia f 5-5][person:billy m 9-9][person:malcolm m 15-15]
malcolm| Do you think it will be awkward for him since he doesn t know the other people| [person:cynthia f 1-1][person:billy m 8-8][person:billy m 10-10]
cynthia| Well it might be a bit at first but we will try to make him feel comfortable| [person:we g(cynthia:malcolm) 9-9][person:billy m 14-14]
malcolm| Cynthia you are such a good person I will invite him too then| [person:cynthia f 0-0][person:cynthia f 1-1][person:malcolm m 7-7][person:billy m 10-10]
cynthia| Very well It will be fun|
malcolm| Anything organised from you is fun| [person:cynthia f 3-3]
cynthia| Thanks Malcolm See you at the barbecue then| [person:malcolm m 1-1][person:malcolm m 3-3][location:barbecue s 6-6]
malcolm| See you| [person:cynthia f 1-1]

conv:people_2019082001_84:aug_0:chat_0:chataug_0| alan melinda| [person:alan m 0-0][person:melinda f 1-1]
melinda| Hey Alan You remember that Marilyn and Ann will be coming to visit us right| [person:alan m 1-1][person:alan m 2-2][person:marilyn f 5-5][person:ann f 7-7][person:us g(melinda:alan) 13-13]
alan| Hello Melinda Of course I remember how could I forget| [person:melinda f 1-1][person:alan m 4-4][person:alan m 8-8]
melinda| Though I am not sure what we can do with our pals| [person:melinda f 1-1][person:we g(melinda:alan) 6-6][person:our g(melinda:alan) 10-10]
alan| Well it s not that hard to have a good time when we are all together| [person:we g(melinda:alan) 12-12]
melinda| Do you have any idea then| [person:alan m 1-1]
alan| I was thinking maybe we go by a swimming pool have some drinks and a swim| [person:alan m 0-0][person:we g(melinda:alan) 4-4]
melinda| That would be relaxing and fun for sure|
alan| Then maybe we can go at a pub during the evening to dance and drink again| [person:we g(melinda:alan) 2-2]
melinda| I think going to the pub and drinking again would be a nice closure for the day| [person:melinda f 0-0]
alan| I knew you would agree| [person:alan m 0-0][person:melinda f 2-2]
melinda| Okay then Alan we will be seeing each other Can t wait| [person:alan m 2-2][person:we g(melinda:alan) 3-3]
alan| See you Melinda| [person:melinda f 1-1][person:melinda f 2-2]

conv:people_2019082001_85:aug_0:chat_0:chataug_0| sara susan| [person:sara f 0-0][person:susan f 1-1]
sara| Hey Susan Don t forget We have a Sunday breakfast to plan What should we make| [person:susan f 1-1][person:we g(sara:susan) 5-5][person:we g(sara:susan) 14-14]
susan| Oh Yeah I almost forgot Sara The Winstons will be coming to our place We should make them a traditional english breakfast| [person:susan f 2-2][person:sara f 5-5][person:winstons g() 7-7][person:we g(sara:susan) 12-12][person:we g(sara:susan) 14-14][person:winstons g() 17-17]
sara| Good Idea Susan But you forgot that the Wilboroghs will be at out place too They like good old fashioned Southern cuisine| [person:susan f 2-2][person:susan f 4-4][person:wilboroghs g() 8-8][location:place s 13-13][person:wilboroghs g() 15-15]
susan| Oy that s right That s why you are the brains of this operation We have to make them something they both will love| [person:sara f 7-7][person:we g(sara:susan) 14-14][person:them g() 18-18][person:wilboroghs g() 20-20]
sara| Well Southern cuisine and English food have a lot in common We should be able to find some common ground to please everyone| [person:we g(sara:susan) 11-11][person:everyone g(sara:susan) 22-22]
susan| I know where to get that 1 inch thick bacon that is common in England Peter Lugars has it Both the Winstons and Wilboroghs will love it You ll love it too| [person:susan f 0-0][location:england s 14-14][person:peter m 15-15][person:winstons g() 21-21][person:wilboroghs g() 23-23][person:sara f 27-27]
sara| Sounds like a plan I l go pick up some farm fresh eggs just like the Wilboroghs do on their plantation Everyone will love that| [person:sara f 4-4][person:wilboroghs g() 16-16][person:wilboroghs g() 19-19][person:everyone g(sara:susan) 21-21]
susan| OOH Some freshly squeezed orange juice should hit the spot I m sure What do you think| [person:susan f 10-10][person:sara f 15-15]
sara| I think they will love it We can serve some Bloody Mary s just in case| [person:sara f 0-0][person:them g(sara:susan:peter) 2-2][person:we g(sara:susan) 6-6]
susan| LOL Now you are talking As long as they are a bit buzzed they are not going to complain| [person:sara f 2-2][person:them g(sara:susan:peter) 8-8][person:them g(sara:susan:peter) 13-13]
sara| So True I think we have a plan| [person:sara f 2-2][person:we g(sara:susan) 4-4]

conv:people_2019082001_86:aug_0:chat_0:chataug_0| beverly dorothy| [person:beverly f 0-0][person:dorothy f 1-1]
dorothy| It will be a great time at Brians no| [person:brian m 7-7]
beverly| surely Garry is an expert at mouth watering barbeque| [person:garry m 1-1][location:barbeque s 8-8]
dorothy| When shall we push off| [person:we g(dorothy:beverly) 2-2]
beverly| At 5 o clock we shall leave| [person:we g(dorothy:beverly) 4-4]
dorothy| Ok I shall join you at the central station| [person:dorothy f 1-1][person:beverly f 4-4][location:station s 8-8]
beverly| We have to buy something they like| [person:we g(dorothy:beverly) 0-0][person:they g(garry:brian) 5-5]
dorothy| What should be bought any idea|
beverly| Lauren is a great lover of cakes that I know| [person:lauren f 0-0][person:beverly f 8-8]
dorothy| Then we shall buy some cake and pastries ok| [person:we g(dorothy:beverly) 1-1]
beverly| Good we should get something special for Michael naughty boy| [person:we g(dorothy:beverly) 1-1][person:michael m 7-7]
dorothy| He is passionate for ice creams we shall get some tasty one for him| [person:michael m 0-0][person:we g(dorothy:beverly) 6-6][person:michael m 13-13]
beverly| Great that will be fine|

conv:people_2019082001_87:aug_0:chat_0:chataug_0| carol jackie| [person:carol f 0-0][person:jackie f 1-1]
carol| Hi where are meeting Joan and Sophia| [person:joan f 4-4][person:sophia f 6-6]
jackie| Gosh I am not sure Since they are on the South side I can easily head over to them| [person:jackie f 1-1][person:they g(joan:sophia) 6-6][person:jackie f 12-12][person:them g(joan:sophia) 18-18]
carol| Sophia may be working though on the West side| [person:sophia f 0-0]
jackie| Hmm where are you coming from| [person:carol f 3-3]
carol| I am smack dab in the middle| [person:carol f 0-0]
jackie| Well let me find out if Sophia can either come to you or more South| [person:jackie f 2-2][person:sophia f 6-6][person:carol f 11-11]
carol| OK either works for me| [person:carol f 4-4]
jackie| I spoke to Sophia and she i head home soon so Central is on her way Sounds like a plan| [person:jackie f 0-0][person:sophia f 3-3][person:sophia f 5-5][person:jackie f 6-6][location:home s 8-8][person:sophia f 14-14]
carol| Want to meet at the usual coffee place on Main Street then| [location:place s 7-7][location:street s 10-10]
jackie| That sounds good See you soon| [person:carol f 4-4]

conv:people_2019082001_88:aug_0:chat_0:chataug_0| bryan susan| [person:bryan m 0-0][person:susan f 1-1]
bryan| Hey Susan do you know any good museums around| [person:susan f 1-1][person:susan f 3-3][location:museums g() 7-7]
susan| Yeah are you planning to go with someone| [person:bryan m 2-2][person:someone u 7-7]
bryan| Nope just by myself why| [person:bryan m 3-3]
susan| Some of them are more fun to go to with a group| [person:them g() 2-2]
bryan| Why is that|
susan| I went to quite a few museums with Jon and Karen| [person:susan f 0-0][location:museums g() 6-6][person:jon m 8-8][person:karen f 10-10]
susan| But some of them I d prefer to have visited by myself to appreciate each thing at my pace| [person:them g() 3-3][person:susan f 4-4][person:susan f 11-11][person:susan f 17-17]
bryan| Hmm what did you prefer about the ones you went to with your friends| [person:susan f 3-3][person:susan f 8-8][person:susan f 12-12][person:friends g(jon:karen) 13-13]
susan| It was lively and busy pretty fun with friends| [person:friends g(jon:karen) 8-8]
bryan| Oh but that would suck if you just want to enjoy the experience by yourself I see that makes sense| [person:susan f 6-6][person:susan f 14-14][person:bryan m 15-15]
susan| Yep so check out museum C on weekdays| [location:museum s 4-4]
bryan| Okay thanks for the help|

conv:people_2019082001_89:aug_0:chat_0:chataug_0| billy dwight| [person:billy m 0-0][person:dwight m 1-1]
dwight| Hi Billy| [person:billy m 1-1]
billy| Hi Dwight| [person:dwight m 1-1]
billy| You still want to have drinks tonight| [person:dwight m 0-0]
dwight| Yes I do for sure| [person:dwight m 1-1]
billy| Sam Derrick and Benjamin are free too| [person:sam m 0-0][person:derrick m 1-1][person:benjamin m 3-3]
dwight| The more the merrier to me| [person:dwight m 5-5]
dwight| Text them all to come| [person:them g(sam:derrick:benjamin) 1-1]
billy| Cool I will invite them all then| [person:billy m 1-1][person:them g(sam:derrick:benjamin) 4-4]
dwight| Sounds good|
billy| They said they will all be there| [person:them g(sam:derrick:benjamin) 0-0][person:them g(sam:derrick:benjamin) 2-2]
dwight| Cool first round is on me| [person:dwight m 5-5]
billy| Sweet|
dwight| 8 pm ok|
billy| Yes that is good|
dwight| I will let everyone know| [person:dwight m 0-0][person:them g(sam:derrick:benjamin) 3-3]

conv:people_2019082001_90:aug_0:chat_0:chataug_0| amanda cameron| [person:amanda f 0-0][person:cameron f 1-1]
cameron| Hey Amanda you won t believe who i ran into this morning| [person:amanda f 1-1][person:amanda f 2-2][person:cameron f 7-7]
amanda| Was it the Santa Claus from India|
cameron| No you dimwit It was Harry| [person:amanda f 1-1][person:harry m 5-5]
amanda| Potter|
cameron| How d i ever get stuck with you It was Harry Clark| [person:cameron f 2-2][person:amanda f 7-7][person:harry m 10-10]
