conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
meredith| I gotcha I ll get you a list and send it over later today| [person:meredith f 0-0][person:meredith f 2-2][person:emma f 5-5]

conv:people_2019081201_217:aug_0:chat_0:chataug_0| johnny logan| [person:johnny m 0-0][person:logan m 1-1]
logan| Johnny my man what is up| [person:johnny m 0-0][person:logan m 1-1]
johnny| Logan how are you| [person:logan m 0-0][person:logan m 3-3]
johnny| I am going to watch a movie with Evan and Mark| [person:johnny m 0-0][person:evan m 8-8][person:mark m 10-10]
johnny| we will be by your work| [person:we g(johnny:evan:mark) 0-0][person:logan m 4-4]
johnny| you interested in coming| [person:logan m 0-0]
johnny| which theatre is good|
logan| AMC is the best one and it is next ot my work| [person:logan m 10-10]
logan| I can come meet you there if you want| [person:logan m 0-0][person:johnny m 4-4][person:johnny m 7-7]
logan| sounds so fun to be honest|
logan| there are three other ones|
johnny| come and lets go|
logan| sounds good lets go|

conv:people_2019081201_219:aug_0:chat_0:chataug_0| billy nate| [person:billy m 0-0][person:nate m 1-1]
billy| Hey are you going to the Dawson s party this weekend| [person:nate m 2-2][person:dawson u 6-6]
nate| Yeah it s a housewarming isn t it|
billy| I don t think so I think its| [person:billy m 0-0][person:billy m 5-5]
billy| I don t know I think it s just to show everyone the new patio and outdoor kitchen they ve been working on Douglas said they d really put alot of time and effort into it| [person:billy m 0-0][person:billy m 4-4][person:everyone g() 11-11][location:kitchen s 17-17][person:they g(dawson) 18-18][person:douglas m 23-23][person:they g(dawson) 25-25]
nate| We should probably bring something Do you think I should bet some wine| [person:we g(billy:nate) 0-0][person:billy m 6-6][person:nate m 8-8]
billy| I don t know Maybe we should get something for them to use on the patio or the outdoor cooking thing| [person:billy m 0-0][person:we g(billy:nate) 5-5][person:they g(dawson) 10-10]
nate| I have no idea what to get Maybe we should look at home depot| [person:nate m 0-0][person:we g(billy:nate) 8-8][location:home s 12-12]
billy| I have a better idea Why don t we talk to Douglas and see whether he knows what they d rather have| [person:billy m 0-0][person:we g(billy:nate) 8-8][person:douglas m 11-11][person:douglas m 15-15][person:they g(dawson) 18-18]
nate| Yeah If they want us to bring wine we can stop on the way at that new place in the mall| [person:they g(dawson) 2-2][person:we g(billy:nate) 4-4][person:we g(billy:nate) 8-8][location:place s 17-17][location:mall s 20-20]
billy| And if Douglas has any ideas about the outdoor kitchen we can stop at Home Depot and maybe get something Or what the heck one of us could do each| [person:douglas m 2-2][location:kitchen s 9-9][person:we g(billy:nate) 10-10][location:home s 14-14][person:we g(billy:nate) 26-26]
nate| Let s get Douglas go grab a burger and decide| [person:douglas m 3-3]
nate| Great I ll call him and we ll pick you up in an hour| [person:nate m 1-1][person:douglas m 4-4][person:we g(billy:nate) 6-6][person:billy m 9-9]

conv:people_2019081201_224:aug_0:chat_0:chataug_0| austin walt| [person:austin m 0-0][person:walt m 1-1]
walt| Hey Austin how are you| [person:austin m 1-1][person:austin m 4-4]
austin| I am doing well| [person:austin m 0-0]
austin| it has been so long since we have talked last| [person:we g(walt:austin) 6-6]
walt| it is true|
walt| i was just talking to nicholas and dan and they mentioned you| [person:walt m 0-0][person:nicholas m 5-5][person:dan m 7-7][person:they g(nicholas:dan) 9-9][person:austin m 11-11]
walt| lets play soccer|
austin| I can play by after 6 only| [person:austin m 0-0]
austin| will that work|
austin| what do you think for sure| [person:walt m 2-2]
walt| Ok we can make that work| [person:we g(walt:austin) 1-1]
walt| see you soon| [person:austin m 1-1]
austin| sounds good to me| [person:austin m 3-3]
austin| tell them we can play at Dans place| [person:they g(nicholas:dan) 1-1][person:we g(walt:austin) 2-2][location:dans_place s 7-7]

conv:people_2019081201_225:aug_0:chat_0:chataug_0| bradley tim| [person:bradley m 0-0][person:tim m 1-1]
bradley| What day do you think is best for that concert I like Friday night| [person:tim m 3-3][location:concert s 9-9][person:bradley m 10-10]
tim| Friday doesn t really work too well for me Saturday or Sunday would be best I know Philip liked Sunday best| [person:tim m 8-8][person:tim m 15-15][person:philip m 17-17]
bradley| All right Sunday can work for me Do you know if that s good for Carl| [person:bradley m 6-6][person:tim m 8-8][person:carl m 15-15]
tim| I think it is But I ll check with him as well| [person:tim m 0-0][person:tim m 5-5][person:carl m 9-9]
bradley| We re going to go to a blues concert right I know there s a great band in town| [person:we g(bradley:tim:philip:carl) 0-0][person:bradley m 10-10][location:town s 18-18]
tim| I don t think so The rest of us love hip hop way too much Plus our favorite artist is performing that night| [person:tim m 0-0][person:us g(tim:philip:carl) 8-8][person:us g(tim:philip:carl) 16-16]
bradley| Hip hop is so boring I hear it all the time Blues are unique| [person:bradley m 5-5]
tim| Yeah blues are unique But how often do we get to see our favorite artist perform in person| [person:we g(bradley:tim:philip:carl) 8-8][person:we g(bradley:tim:philip:carl) 12-12]
bradley| I suppose you re right I guess I can go to yet another hip hop concert| [person:bradley m 0-0][person:tim m 2-2][person:bradley m 5-5][person:bradley m 7-7]
tim| Great I can t wait until we all get together for this| [person:tim m 1-1][person:we g(bradley:tim:philip:carl) 6-6]
bradley| Neither can I| [person:bradley m 2-2]

conv:people_2019081201_227:aug_0:chat_0:chataug_0| lauren pam| [person:lauren f 0-0][person:pam f 1-1]
lauren| Hi Pam Can you come to the dance class this frieday| [person:pam f 1-1][person:pam f 3-3]
pam| I m sorry Lauren I don t think I can I am so bogged down with work| [person:pam f 0-0][person:lauren f 3-3][person:pam f 4-4][person:pam f 8-8][person:pam f 10-10]
lauren| Aw come on Pam You missed last week too| [person:pam f 3-3][person:pam f 4-4]
pam| I know It s been crazy busy here I just don t think I can make it| [person:pam f 0-0][person:pam f 8-8][person:pam f 13-13]
lauren| I wanted you to come though I miss having a partner to dance with| [person:lauren f 0-0][person:pam f 2-2][person:lauren f 6-6]
pam| Well I have a friend who loves to dance Her name is Anna Want her number| [person:pam f 1-1][person:anna f 4-4][person:anna f 9-9][person:anna f 12-12][person:anna f 14-14]
lauren| Really You think she would want to come| [person:pam f 1-1][person:anna f 3-3]
pam| She loves to dance I bet she would be up for it| [person:anna f 0-0][person:pam f 4-4][person:anna f 6-6]
lauren| Okay I ll give her a call What s her number| [person:lauren f 1-1][person:anna f 4-4][person:anna f 9-9]
pam| 1234567891 Tell her Pam thought she would be interested| [person:anna f 2-2][person:pam f 3-3][person:anna f 5-5]

conv:people_2019081201_229:aug_0:chat_0:chataug_0| dorothy timothy| [person:dorothy f 0-0][person:timothy m 1-1]
timothy| Hey there are you around today| [person:dorothy f 3-3]
dorothy| Actually I am working late today and I was just about to ask you a huge favor| [person:dorothy f 1-1][person:dorothy f 7-7][person:timothy m 13-13]
timothy| Oh that stinks What time will you be getting out What s the favor| [person:dorothy f 6-6]
dorothy| Do you remember my friend Cynthia| [person:timothy m 1-1][person:dorothy f 3-3][person:cynthia f 4-4][person:cynthia f 5-5]
timothy| I believe so With the red hair| [person:timothy m 0-0]
dorothy| Yes ok I left some books at her place and I was hoping to get them today but I am stuck at work Is there any chance you can grab them for me before she leaves for work| [person:dorothy f 2-2][person:cynthia f 7-7][location:place s 8-8][person:dorothy f 10-10][person:dorothy f 18-18][person:timothy m 27-27][person:dorothy f 32-32][person:cynthia f 34-34]
timothy| Sure send me her address and number and i ll head there in a few minutes| [person:timothy m 2-2][person:cynthia f 3-3][person:timothy m 8-8][location:place s 11-11]
dorothy| You are a life saver Did you want to do something when I get out of work| [person:timothy m 0-0][person:timothy m 6-6][person:dorothy f 12-12]
timothy| Sure I am at work now and i ll go grab the books After I stop home i ll meet you at your place| [person:timothy m 1-1][person:timothy m 7-7][person:timothy m 14-14][location:home s 16-16][person:timothy m 17-17][person:dorothy f 20-20][person:dorothy f 22-22][location:place s 23-23]
dorothy| That would be so helpful thank you so much I owe you one| [person:timothy m 6-6][person:dorothy f 9-9][person:timothy m 11-11]

conv:people_2019081201_231:aug_0:chat_0:chataug_0| juan wayne| [person:juan m 0-0][person:wayne m 1-1]
juan| Hey Wayne I m excited about going to the Rangers for drinks We should bring something Any ideas| [person:wayne m 1-1][person:juan m 2-2][location:rangers s 9-9][person:we g(juan:wayne:wayne) 12-12]
wayne| I m looking forward to going I know Paul will be there as well We could bring a bottle of wine What do you think What| [person:wayne m 0-0][person:wayne m 6-6][person:paul m 8-8][location:rangers s 11-11][person:we g(juan:wayne:wayne:paul) 14-14][person:juan m 23-23]
juan| I m not sure wine seems so ordinary What about a bottle of tequila| [person:juan m 0-0]
wayne| Tequila is an option What are your thoughts about vodka| [person:juan m 6-6]
juan| Let s think about this do we know if there is a theme for the gathering| [person:we g(juan:wayne:wayne:paul) 6-6]
wayne| Actually I heard they are making faijtas for dinner So maybe the tequilla would be a great idea| [person:wayne m 1-1][person:they g(wayne:paul) 3-3]
juan| We could also bring a good margarita mixer| [person:we g(juan:wayne:wayne:paul) 0-0]
wayne| Perfect Margaritas sound yummy I could go for one now Do you want me to pick up the tequilla and mixer| [person:wayne m 4-4][person:juan m 11-11][person:wayne m 13-13]
juan| Actually I pass by a liquor store on my way home from work so I will get the items we need| [person:juan m 1-1][person:juan m 8-8][location:home s 10-10][person:juan m 14-14][person:we g(juan:wayne:wayne:paul) 19-19]
wayne| Thanks Sounds like a good plan to me I will talk to you later| [person:wayne m 7-7][person:wayne m 8-8][person:juan m 12-12]

conv:people_2019081401_1:aug_0:chat_0:chataug_0| doug josh| [person:doug m 0-0][person:josh m 1-1]
doug| Let s get some drinks tomorrow|
josh| That sounds like a very good idea|
doug| where should we go| [person:we g(doug:josh) 2-2]
josh| The bar by your house| [location:bar s 1-1][person:doug m 3-3][location:house s 4-4]
doug| Okay that works for me| [person:doug m 4-4]
josh| who should I invite| [person:josh m 2-2]
doug| You should invite Larry Ivan and George| [person:josh m 0-0][person:larry m 3-3][person:ivan m 4-4][person:george m 6-6]
josh| How about I just invite George and you invite the other two| [person:josh m 2-2][person:george m 5-5][person:doug m 7-7]
doug| Okay that works for me| [person:doug m 4-4]
josh| do you have his number still| [person:doug m 1-1][person:george m 3-3]
doug| Yes I have it| [person:doug m 1-1]

conv:people_2019081401_2:aug_0:chat_0:chataug_0| andrea kathryn| [person:andrea f 0-0][person:kathryn f 1-1]
andrea| Hey Kathryn I know you have been to New Orleans and was wondering what you suggest that Diane Hannah and myself should do while here| [person:kathryn f 1-1][person:andrea f 2-2][person:kathryn f 4-4][location:new_orleans s 8-9][person:kathryn f 14-14][person:diane f 17-17][person:hannah f 18-18][person:andrea f 20-20]
kathryn| Oh there is so much to do and see| [location:new_orleans s 1-1]
andrea| Well what all do you suggest| [person:kathryn f 4-4]
kathryn| The nightlife in New Orleans is the best and when most people go hang out| [location:new_orleans s 3-4]
andrea| Hannah loves trying out different bars so I am sure we will do that at night| [person:hannah f 0-0][location:bars g() 5-5][person:andrea f 7-7][person:we g(andrea:diane:hannah) 10-10]
kathryn| Of course there are also the casinos I know you will check out those| [location:new_orleans s 2-2][location:casinos s 6-6][person:kathryn f 7-7][person:andrea f 9-9]
andrea| We definitely will have to do that| [person:we g(andrea:diane:hannah) 0-0]
kathryn| The French Quarter is also neat and something you should check out Diane would like this| [location:the_french_quarter s 1-1][person:andrea f 8-8][person:diane f 12-12]
andrea| Ok we will check that out as well| [person:we g(andrea:diane:hannah) 1-1]
kathryn| As for you Andrea any one of the swamp tours you would like| [person:andrea f 2-2][person:andrea f 3-3][person:andrea f 10-10]
andrea| Oh yes That sounds like lots of fun|

conv:people_2019081401_3:aug_0:chat_0:chataug_0| edgar edward| [person:edgar m 0-0][person:edward m 1-1]
edward| Hi Edgar I can t wait to go to the movie with you| [person:edgar m 1-1][person:edward m 2-2][person:edgar m 12-12]
edgar| Me too Nick and Tommy are looking forward to it as well| [person:edgar m 0-0][person:nick m 2-2][person:tommy m 4-4]
edward| What kind of movies do they like| [person:they g(nick:tommy) 5-5]
edgar| They like action movies What kind do you like| [person:they g(nick:tommy) 0-0][person:edward m 7-7]
edward| I enjoy drama myself How is Wednesday afternoon| [person:edward m 0-0][person:edward m 3-3]
edgar| I can t go then but can do Thursday at about 6 PM| [person:edgar m 0-0]
edward| What movie should we see| [person:we g(edward:edgar) 3-3]
edgar| How about The Avengers That sounds really good|
edward| Yes that sounds terrific I ll call and confirm with Nick and Tommy| [person:edward m 4-4][person:nick m 10-10][person:tommy m 12-12]
edgar| Cool that is terrific I can t wait to go| [person:edgar m 4-4]

conv:people_2019081401_4:aug_0:chat_0:chataug_0| charles sarah| [person:charles m 0-0][person:sarah f 1-1]
charles| Hey Sarah how are you doing| [person:sarah f 1-1][person:sarah f 4-4]
sarah| Hey Charles I ve been well how are you| [person:charles m 1-1][person:sarah f 2-2][person:charles m 8-8]
charles| Good good thanks for asking|
charles| I m thinking about going on a beach vacation and wanted to know if you had any recommendations| [person:charles m 0-0][location:beach s 7-7][person:sarah f 14-14]
sarah| You came to the right person| [person:charles m 0-0]
sarah| I just went on a few beach vacations recently with my friends Tony and Jean| [person:sarah f 0-0][location:beach s 6-6][person:sarah f 10-10][person:friends g() 11-11][person:tony m 12-12][person:jean f 14-14]
sarah| The most fun one I d have to say was Miami Beach in Florida| [person:sarah f 4-4][location:miami_beach s 10-10][location:miami_beach s 11-11][location:florida s 13-13]
charles| Oh that awesome what did you like about it there| [person:charles m 5-5][location:miami_beach s 8-8][location:florida s 9-9]
sarah| Well the weather was amazing and the food there was really nice| [location:florida s 8-8]
sarah| The only thing I could have done without was there was a lot of people at the beach and it was too crowded| [person:sarah f 3-3][location:miami_beach s 17-17][location:miami_beach s 19-19]
sarah| Other than that Tony Jean and I had a great time I highly recommend it| [person:tony m 3-3][person:jean f 4-4][person:sarah f 6-6][person:sarah f 11-11][location:miami_beach s 14-14]
charles| Thanks so much for your help Sarah I ll definitely check it out| [person:sarah f 4-4][person:sarah f 6-6][person:charles m 7-7][location:miami_beach s 11-11]

conv:people_2019081401_6:aug_0:chat_0:chataug_0| ivan logan| [person:ivan m 0-0][person:logan m 1-1]
logan| Hey so I m trying to figure out which concert Henry Raymond you and I should attend| [person:logan m 2-2][person:henry m 10-10][person:raymond m 11-11][person:ivan m 12-12][person:logan m 14-14]
logan| I was thinking about watching blues music but Henry and Raymond prefer hip hop music| [person:logan m 0-0][person:henry m 8-8][person:raymond m 10-10]
logan| what do you thin| [person:ivan m 2-2]
ivan| well based on the other twos preferences would you mind going to a hip hop concert| [person:logan m 8-8]
logan| I m not too sure I haven t listened to much hip hop| [person:logan m 0-0][person:logan m 5-5]
ivan| perhaps you should listen to some online| [person:logan m 1-1]
ivan| I don t mind either but it seems like the majority want to go see hip hop| [person:ivan m 0-0]
ivan| So do you think that is fine with you| [person:logan m 2-2][person:logan m 8-8]
logan| Yeah I ll definitely check it out| [person:logan m 1-1]
logan| you have a good point I guess it s final then Let s go to a hip hop concert| [person:ivan m 0-0][person:logan m 5-5]
logan| Are you free the the first saturday of next month| [person:ivan m 1-1]
ivan| Yep I am| [person:ivan m 1-1]
logan| yeah so is Raymond and Henry So lets pick that date| [person:raymond m 3-3][person:henry m 5-5]
logan| I ll see you later okay got to go| [person:logan m 0-0][person:ivan m 3-3]
ivan| alright see you| [person:logan m 2-2]

conv:people_2019081401_9:aug_0:chat_0:chataug_0| clyde kyle| [person:clyde m 0-0][person:kyle m 1-1]
clyde| Hey where should we watch the world series game| [person:we g(clyde:kyle) 3-3]
kyle| I guess we can watch it at my house we ought to check in with Karan and Nathan later if they can make it| [person:kyle m 0-0][person:we g(clyde:kyle) 2-2][person:kyle m 7-7][person:we g(clyde:kyle) 9-9][person:karan m 15-15][person:nathan m 17-17][person:they g(karan:nathan) 20-20]
clyde| I talked to them earlier and they should be able to make it this weekend to watch the World Series| [person:clyde m 0-0][person:they g(karan:nathan) 3-3][person:they g(karan:nathan) 6-6]
kyle| Oh did they have any preference on where we should meet up| [person:they g(karan:nathan) 2-2][person:we g(clyde:kyle) 8-8]
clyde| They were ambigious but I think they would rather prefer to watch the game at one of our houses| [person:they g(karan:nathan) 0-0][person:clyde m 4-4][person:they g(karan:nathan) 6-6][person:we g(clyde:kyle) 17-17][location:houses s 18-18]
kyle| Makes sense their houses aren t very big to host this kind of get together| [person:they g(karan:nathan) 2-2][location:houses s 3-3]
clyde| Besides both of us have gotten new TVs this year which would be perfect to watch the game on| [person:we g(clyde:kyle) 3-3]
kyle| Did they mention whether they will be bringing anything to eat| [person:they g(karan:nathan) 1-1][person:they g(karan:nathan) 4-4]
clyde| Nathan mentions he will bring chips dip and some other snacks Karan will probably be bringing a desert of some sort| [person:nathan m 0-0][person:nathan m 2-2][person:karan m 11-11]
kyle| So its up to one of us to bring in a main course or something substantial to eat right| [person:we g(clyde:kyle) 6-6]
clyde| Pretty much I can go buy some meats that we can cook we can use your grill right| [person:clyde m 2-2][person:we g(clyde:kyle) 9-9][person:we g(clyde:kyle) 12-12][person:kyle m 15-15]
kyle| Sure I made sure that it has a full propane tank and everything| [person:kyle m 1-1]
clyde| Then its settled will meet up at your house to watch the game You can stock up on drinks while the rest of us will get the other types of food| [person:kyle m 7-7][location:house s 8-8][person:kyle m 13-13][person:we g(clyde:kyle) 23-23]
kyle| Alright I ll stop by the store to pick up some drinks I ll see you then| [person:kyle m 1-1][person:kyle m 12-12][person:clyde m 15-15]

conv:people_2019081401_11:aug_0:chat_0:chataug_0| edgar peter| [person:edgar m 0-0][person:peter m 1-1]
peter| Hey how s it going|
edgar| Pretty good what s going on with you| [person:peter m 7-7]
peter| I m just here with my brother Bryan and his friend Clyde| [person:peter m 0-0][person:peter m 5-5][person:bryan m 6-6][person:bryan m 7-7][person:bryan m 9-9][person:clyde m 10-10][person:clyde m 11-11]
edgar| Nice I didn t know they were in town| [person:edgar m 1-1][person:they g(bryan:clyde) 5-5][location:town s 8-8]
peter| Yeah we were actually getting ready to watch the soccer game tonight but we can t decide on a place to go Any recommendations| [person:we g(edgar:bryan:clyde) 1-1][person:we g(edgar:bryan:clyde) 13-13][location:place s 19-19]
edgar| Cool Yeah there s a bar near my house with a real cool atmosphere that plays the games| [location:bar s 5-5][person:edgar m 7-7][location:house s 8-8]
peter| Sounds perfect Do you wanna join us It d be a lot of fun for all of us to be together| [person:edgar m 3-3][person:we g(edgar:bryan:clyde) 6-6][person:we g(edgar:bryan:clyde) 17-17]
edgar| Yeah sure|
peter| Ok cool Want to meet up there around 5PM| [location:bar s 6-6]
edgar| Sounds good to me| [person:edgar m 3-3]
peter| Nice I ll see you soon| [person:peter m 1-1][person:edgar m 4-4]
edgar| See you then| [person:peter m 1-1]

conv:people_2019081401_13:aug_0:chat_0:chataug_0| pamela tara| [person:pamela f 0-0][person:tara f 1-1]
tara| Hi Pamela I m planning to organize a lunch with friends| [person:pamela f 1-1][person:tara f 2-2][person:friends g(pamela) 10-10]
pamela| Hi Tara It seems like an excellent idea Who would you like to invite| [person:tara f 1-1][person:tara f 10-10]
tara| I would like to invite you Michelle Megan and Andrea but I do not know your food preferences well| [person:tara f 0-0][person:pamela f 5-5][person:michelle f 6-6][person:megan f 7-7][person:andrea f 9-9][person:tara f 11-11][person:your g(pamela:michelle:megan:andrea) 15-15]
tara| Could you give me some suggestions| [person:pamela f 1-1][person:tara f 3-3]
pamela| Sure I know that Michelle and Andrea love Mexican food| [person:pamela f 1-1][person:michelle f 4-4][person:andrea f 6-6]
pamela| Instead Megan loves burgers she would eat one a day| [person:megan f 1-1][person:megan f 4-4]
tara| Thanks a lot And you What do you like to eat| [person:pamela f 4-4][person:pamela f 7-7]
pamela| I have no problems I love eating| [person:pamela f 0-0][person:pamela f 4-4]
tara| Then to make everyone happy I ll make Mexican burgers| [person:everyone g(tara:pamela:michelle:megan:andrea) 3-3][person:tara f 5-5]
pamela| Hahaha is a great idea|

conv:people_2019081401_14:aug_0:chat_0:chataug_0| clyde kate| [person:clyde m 0-0][person:kate f 1-1]
kate| Have you left to pick up Denise yet| [person:clyde m 1-1][person:denise f 6-6]
clyde| No I m caught up at work right now Can you pick her up| [person:clyde m 1-1][person:kate f 10-10][person:denise f 12-12]
kate| Fine but you ll have to pick up the things for the party tonight| [person:clyde m 2-2][location:party s 12-12]
clyde| That s fine Who s all coming again|
kate| Mike Christine and their daughter Jean| [person:mike m 0-0][person:christine f 1-1][person:their g(mike:christine) 3-3][person:jean f 5-5]
clyde| Do you have any idea what type of food they like| [person:kate f 1-1][person:they g(mike:christine:jean) 9-9]
kate| Not a clue|
clyde| Do you think some tortilla chips and guac should be fine| [person:kate f 1-1]
kate| I don t see why not| [person:kate f 0-0]
clyde| Ok I ll pick some up And how about drinks| [person:clyde m 1-1]
kate| Some sodas should be fine And water too|
clyde| Ok I ll get that I ll see you when I get home| [person:clyde m 1-1][person:clyde m 5-5][person:kate f 8-8][person:clyde m 10-10][location:home s 12-12]
kate| Be safe|

conv:people_2019081401_15:aug_0:chat_0:chataug_0| jean rachel| [person:jean f 0-0][person:rachel f 1-1]
rachel| Hey Jean I m trying to decide what kind of food I should make for the dinner Any suggestions| [person:jean f 1-1][person:rachel f 2-2][person:rachel f 11-11]
jean| I love your lasagna How about you make that| [person:jean f 0-0][person:rachel f 2-2][person:rachel f 6-6]
rachel| I know about your tastes I want to know what everyone else might want| [person:rachel f 0-0][person:jean f 3-3][person:rachel f 5-5][person:everyone g(jean) 10-10]
jean| I see Well Jen and Nancy really love burgers| [person:jen f 0-0][person:jen f 3-3][person:nancy f 5-5]
rachel| Seriously So I should just grill up some burgers| [person:rachel f 2-2]
jean| Ah but Teresa loves Mexican food| [person:teresa f 2-2]
rachel| Huh That just complicates things What should I do| [person:rachel f 7-7]
jean| Just go with the lasagna|
rachel| Jean I want everyone to be able to eat something they like| [person:jean f 0-0][person:rachel f 1-1][person:everyone g(jean:jen:nancy:teresa) 3-3][person:everyone g(jean:jen:nancy:teresa) 10-10]
jean| Then how about making some burgers for Jen and Nancy some tacos for Teresa some lasagna for me and some steak for yourself| [person:jen f 7-7][person:nancy f 9-9][person:teresa f 13-13][person:jean f 17-17][person:rachel f 22-22]
rachel| That sounds like a lot of work|
jean| I can help you out if you want| [person:jean f 0-0][person:rachel f 3-3][person:rachel f 6-6]
rachel| Really Okay let s make everything|

conv:people_2019081401_16:aug_0:chat_0:chataug_0| debra jean| [person:debra f 0-0][person:jean f 1-1]
debra| Since we are going to Florida do you think the beach is a good idea for the 4th| [person:we g(debra:jean) 1-1][location:florida s 5-5][person:jean f 7-7][location:beach s 10-10]
debra| Do you think Stephanie will agree with the beach| [person:jean f 1-1][person:stephanie f 3-3][location:beach s 8-8]
jean| I m not sure| [person:jean f 0-0]
jean| I think a dinner cruise might be a better idea| [person:jean f 0-0]
debra| That s a fantastic idea|
jean| I will get in touch with Gloria Stephanie and Pam to see if the cruise will work| [person:jean f 0-0][person:gloria f 6-6][person:stephanie f 7-7][person:pam f 9-9]
debra| There are several options in the area|
debra| I will send a list of night cruise companies in the area| [person:debra f 0-0]
jean| Great send it to my email| [person:jean f 4-4]
debra| I will get on that right now| [person:debra f 0-0]
jean| I am excited about the 4th already| [person:jean f 0-0]
debra| Me too talk to you later| [person:debra f 0-0][person:jean f 4-4]

conv:people_2019081401_24:aug_0:chat_0:chataug_0| donald johnny| [person:donald m 0-0][person:johnny m 1-1]
donald| Hey Johnny how s it going| [person:johnny m 1-1]
johnny| Pretty good Donald what s up| [person:donald m 2-2]
donald| I wanted to catch a movie with my friends Ron and Ronald we decided to go to an area where you work and wondered if you had any recommendations| [person:donald m 0-0][person:donald m 7-7][person:friends g() 8-8][person:ron m 9-9][person:ronald m 11-11][person:we g(donald:ron:ronald) 12-12][person:johnny m 20-20][person:johnny m 25-25]
donald| Also wanted to know if you wanted to tag along with us| [person:johnny m 5-5][person:we g(donald:ron:ronald) 11-11]
johnny| Ok cool well you guys should definitely check out the theater on Main St the one on Pleasant st and the one near Happy High School| [person:we g(donald:ron:ronald) 3-3][location:high_school s 24-25]
johnny| Unfortunately I have plans and won t be able to make it but I ll definitely catch the next one| [person:johnny m 1-1][person:johnny m 13-13]
johnny| Thanks for the invite though I appreciate it| [person:johnny m 5-5]
donald| Hey now worries I completely understand your busy| [person:donald m 3-3][person:johnny m 6-6]
donald| I m thinking about checking out the theater near Happy High School is that a good one| [person:donald m 0-0][location:theater s 7-7][location:high_school s 10-11]
johnny| Yes I go there all the time I think you ll love it| [person:johnny m 1-1][location:theater s 3-3][person:johnny m 7-7][person:donald m 9-9][location:theater s 12-12]
donald| Thanks for all your help Johnny talk to you soon| [person:johnny m 3-3][person:johnny m 5-5][person:johnny m 8-8]

conv:people_2019081401_25:aug_0:chat_0:chataug_0| craig raymond| [person:craig m 0-0][person:raymond m 1-1]
raymond| Hey Craig Steve Ronald and I are planning to go to the beach next weekend for a few weeks You should totally come with us| [person:craig m 1-1][person:steve m 2-2][person:ronald m 3-3][person:raymond m 5-5][location:beach s 12-12][person:craig m 19-19][person:us g(raymond:steve:ronald) 24-24]
craig| I don t know I don t really know Steve and Ronald I d feel uncomfortable| [person:craig m 0-0][person:craig m 4-4][person:steve m 9-9][person:ronald m 11-11][person:craig m 12-12]
raymond| They are both really cool guys I think you d like them Steve is really into cars just like you| [person:they g(steve:ronald) 0-0][person:raymond m 6-6][person:craig m 8-8][person:they g(steve:ronald) 11-11][person:steve m 12-12][person:craig m 19-19]
craig| Really What kind does he like| [person:steve m 4-4]
raymond| He restores old muscle cars He goes to car shows all of the time| [person:steve m 0-0][person:steve m 5-5]
craig| Sounds like my type of person I still don t know though That s a long time to be around people I don t really know| [person:craig m 2-2][person:craig m 6-6][person:craig m 21-21]
raymond| I ll be there too it s not like you ll be all alone with them You have quite a bit in common with Ronald too| [person:raymond m 0-0][location:beach s 3-3][person:craig m 9-9][person:they g(steve:ronald) 15-15][person:craig m 16-16][person:ronald m 24-24]
craig| That s true What s Ronald like| [person:ronald m 5-5]
raymond| He s really funny He loves Kevin Smith movies I think you ll get along| [person:ronald m 0-0][person:ronald m 4-4][person:kevin_smith m 6-6][person:kevin_smith m 7-7][person:raymond m 9-9][person:craig m 11-11]
craig| Kevin Smith is my favorite director Okay I think I ll go too It sounds like fun| [person:kevin_smith m 0-0][person:kevin_smith m 1-1][person:craig m 3-3][person:craig m 7-7][person:craig m 9-9]

conv:people_2019081401_28:aug_0:chat_0:chataug_0| natalie ralph| [person:natalie f 0-0][person:ralph m 1-1]
ralph| Know of any good concerts coming up soon|
natalie| Me Jonathon and Virginia recently saw Khalid Bacstreet Boys and Disturbed| [person:natalie f 0-0][person:virginia f 3-3][person:boys g() 8-8]
ralph| How were the concerts|
natalie| Backstreet Boys were great Disturbed played too many old songs and it seemed the concert was short| [person:boys g() 1-1]
ralph| How was Khalid|
natalie| Khalid played some awesome songs but the sound system did not seem up to par|
ralph| Sounds like the Back Street Boys would be great| [person:boys g() 5-5]
natalie| The tickets are a bit more expensive and the crowd is loud but the music is great|
ralph| I just might check out the Back Street Bys| [person:ralph m 0-0]
natalie| I think you wil have a gret time| [person:natalie f 0-0][person:ralph m 2-2]
ralph| I am going to look into it right now| [person:ralph m 0-0]
natalie| Awesome Talk to you later| [person:ralph m 3-3]
ralph| See you later| [person:natalie f 1-1]

conv:people_2019081401_29:aug_0:chat_0:chataug_0| alan jeff| [person:alan m 0-0][person:jeff m 1-1]
alan| Hey Jeff have Raymond and Larry arrived| [person:jeff m 1-1][person:raymond m 3-3][person:larry m 5-5]
jeff| Yeah they just got here what s up| [person:they g(raymond:larry) 1-1][location:here s 4-4]
alan| Well this is their first time in boston so I was wondering if you could show them a good time in the city| [person:they g(raymond:larry) 3-3][location:boston s 7-7][person:alan m 9-9][person:jeff m 13-13][person:they g(raymond:larry) 16-16][location:boston s 22-22]
