conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
debra| That sounds great How on earth do you have time to give out free riding lesson| [person:luke m 7-7]
luke| Gwen cancelled on me this evening and there s no time to fill the slot so I thought of you| [person:gwen f 0-0][person:luke m 3-3][person:luke m 16-16][person:debra f 19-19]
debra| Awe well it s her loss then| [person:gwen f 4-4]
luke| You re right actually She had to cancel because her grandfather passed away| [person:debra f 0-0][person:debra f 4-4][person:gwen f 9-9]
debra| Oh I sound like a jerk now You know I didn t mean it that way| [person:debra f 1-1][person:luke m 7-7][person:debra f 9-9]
luke| I know I led you right into that one Do you remember Lance from the bank| [person:luke m 0-0][person:luke m 2-2][person:debra f 4-4][person:debra f 10-10][person:lance m 12-12]
debra| Was it him How awful You really shouldn t have made a joke out of that He was such a nice man| [person:lance m 2-2][person:luke m 5-5][person:lance m 16-16]
luke| oh come on it wasn t mean spirited|
debra| Well you shouldn t talk like that What if one of your clients got offended and you lose work| [person:luke m 1-1][person:luke m 11-11][person:clients g() 12-12][person:luke m 16-16]
luke| I know It wasn t that bad though was it| [person:luke m 0-0]

conv:people_chats_0628_63:aug_0:chat_0:chataug_0| elvis mary| [person:elvis m 0-0][person:mary f 1-1]
elvis| I want to watch a movie tonight| [person:elvis m 0-0]
mary| What movie do you want to watch| [person:elvis m 3-3]
elvis| I was thinking a spy movie| [person:elvis m 0-0]
mary| That sounds cool which one|
elvis| How about thrill seeker|
mary| I never heard of that movie| [person:mary f 0-0]
elvis| Its new look it up|
mary| Oh I see it looks like a good movie| [person:mary f 1-1]
elvis| Lets meet at 7 at the theater|
mary| OK Ill pay for the movie|

conv:people_chats_0628_64:aug_0:chat_0:chataug_0| robin tilly| [person:robin f 0-0][person:tilly f 1-1]
tilly| Hey have was the avengers|
tilly| I am tilly| [person:tilly f 0-0][person:tilly f 2-2]
robin| My name is Robin| [person:robin f 0-0][person:robin f 3-3]
robin| Robin texts Tilly asking her if she can ask her friend Siga Bonecrusher if she would go on a date with him| [person:robin f 0-0][person:tilly f 2-2][person:tilly f 4-4][person:robin f 6-6][person:tilly f 9-9][person:siga f 10-10][person:siga f 11-11][person:siga f 14-14]
tilly| telling him that it s far better to ask her himself| [person:him m 1-1][person:siga f 9-9][person:him m 10-10]
tilly| Does this Saturday work for you| [person:robin f 5-5]
robin| Let me check with her I will let you know| [person:robin f 1-1][person:tilly f 4-4][person:robin f 5-5][person:tilly f 8-8]
tilly| Diana and I really enjoyed the movie| [person:diana f 0-0][person:tilly f 2-2]
robin| Nice Yeah the trailer was very good too|
tilly| oh wow ha I can come along with you both too| [person:tilly f 3-3][person:robin f 8-8]
robin| Hey how was the Avengers|
tilly| Hey The movie was great|

conv:people_chats_0628_65:aug_0:chat_0:chataug_0| gavin maureen| [person:gavin m 0-0][person:maureen f 1-1]
maureen| Hello Did you watch the recent Liverpool vs everton game| [person:gavin m 2-2]
gavin| Yeah I did It was very tough| [person:gavin m 1-1]
gavin| Tackles were flying in here and there|
maureen| And the refree was really linient|
gavin| I feel LIverpool would have had a better chnace of winnig if Salah was played| [person:gavin m 0-0]
maureen| Yeah They lacked a little creativity| [person:they g() 1-1]
maureen| Mane was top notch though He was the best player in my opinion| [person:mane m 5-5][person:maureen f 11-11]
gavin| Yeah he was No debate| [person:mane m 1-1]
gavin| So you are a LIverpool fan| [person:maureen f 1-1]
maureen| Just asking|
maureen| Yes I am| [person:maureen f 1-1]

conv:people_chats_0628_66:aug_0:chat_0:chataug_0| ofra stuart| [person:ofra f 0-0][person:stuart m 1-1]
ofra| Hi|
ofra| How u doing| [person:stuart m 1-1]
stuart| Hi im doing fine and u| [person:ofra f 5-5]
ofra| Im glad to know that Well im actually having problems with my Kids| [person:ofra f 11-11][person:amira_and_janson g() 12-12]
ofra| Amira and Janson are doing badly in school| [person:kid f 0-0][location:school s 7-7]
stuart| Really|
stuart| Have u talked with them| [person:ofra f 1-1][person:amira_and_janson g() 4-4]
ofra| Yes really They are having such a poor attitude recently| [person:amira_and_janson g() 2-2]
ofra| A liitle bit|
stuart| You think it would help if i talk with them| [person:ofra f 0-0][person:stuart m 6-6][person:amira_and_janson g() 9-9]
ofra| Can you do that| [person:stuart m 1-1]
stuart| Of course i can everything for u guys| [person:stuart m 2-2][person:amira_and_janson g() 6-6]
ofra| Thanks i hope we can see u soon| [person:ofra f 1-1][person:ofra_and_stuart g() 2-2][person:ofra_and_stuart g() 3-3][person:stuart m 6-6]
stuart| We will| [person:ofra_and_stuart g() 0-0]

conv:people_chats_0628_67:aug_0:chat_0:chataug_0| rene will| [person:rene f 0-0][person:will u 1-1]
rene| Hi Will Good day Trust you are doing fine| [person:will u 5-5]
will| Yeah Rene| [person:rene f 1-1]
will| I m doing good| [person:will u 0-0]
rene| Good to hear I m at the store I just want to know if you need something| [person:rene f 3-3][person:rene f 8-8][person:will u 14-14]
will| Yeah Will you be picking diapers for your children at the store| [person:rene f 2-2][person:your_children g() 7-8]
rene| Yes I will Need some| [person:rene f 1-1]
will| Sure Please help me pick up some diapers for my children I m running low on them and I don t eant to be caught without any on hand| [person:will u 3-3][person:my_children g() 9-10][person:will u 11-11][person:will u 18-18]
rene| Okay I will do just that| [person:rene f 1-1]
will| Thanks I appreciate| [person:will u 1-1]
rene| I will be happy to help you with that What sizes of diapers will you be needing| [person:rene f 0-0][person:will u 6-6][person:will u 14-14]
will| Just get me similar sizes you would get for Melody and Winston| [person:will u 2-2][person:rene f 5-5][person:melody f 9-9][person:winston m 11-11]
rene| No problem then Stay safe|
will| Thanks You too| [person:will u 1-1]

conv:people_chats_0628_68:aug_0:chat_0:chataug_0| marissa nolan| [person:marissa f 0-0][person:nolan m 1-1]
nolan| hii|
nolan| what are u doing| [person:nolan m 2-2]
marissa| yes i am fine| [person:marissa f 1-1]
marissa| about u| [person:marissa f 1-1]
nolan| fine|
marissa| ur fave movie| [person:marissa f 0-0]
nolan| wrongtrun|
nolan| ur movie| [person:nolan m 0-0]
marissa| evil death|
nolan| u have lungh| [person:nolan m 0-0]
nolan| what food|
marissa| yes eat lunch|
marissa| noodles|
marissa| k|
nolan| burger and fries|
nolan| what are doing|
marissa| just working|
nolan| me also buddy| [person:nolan m 0-0][person:nolan m 2-2]

conv:people_chats_0628_69:aug_0:chat_0:chataug_0| janel scott| [person:janel f 0-0][person:scott m 1-1]
scott| Hey Janel How are you doing| [person:janel f 1-1][person:janel f 4-4]
janel| I am great How about you| [person:janel f 0-0][person:scott m 5-5]
scott| I am fantastic Just wanted to know if you will be coming to work today| [person:scott m 0-0][person:janel f 8-8]
janel| Yes I will| [person:janel f 1-1]
scott| Ok How is your son doing| [person:janel f 3-3][person:son m 4-4]
scott| I know bronchitis is bad news| [person:scott m 0-0]
janel| He is doing alot better Thanks for asking| [person:son m 0-0]
janel| Actually my sister Melissa is staying with him while I m at work| [person:janel f 1-1][person:sister f 2-2][person:sister f 3-3][person:son m 7-7][person:janel f 9-9]
scott| Ok great to hear That is so nice of your sister to do that| [person:janel f 9-9][person:sister f 10-10]
scott| Also how much longer will Jake have to be at home| [person:son m 5-5][location:home s 10-10]
janel| She had the day off and wanted to watch him while I was out| [person:sister f 0-0][person:son m 9-9][person:janel f 11-11]
janel| Jake is almost recovered but we just wanna keep him in the house for at least one more day| [person:son m 0-0][person:we g(janel:sister) 5-5][person:son m 9-9][location:house s 12-12]
scott| OK That is nice to hear See you at work| [person:janel f 7-7]
janel| Ok I ll see you too| [person:janel f 1-1][person:scott m 4-4]

conv:people_chats_0628_71:aug_0:chat_0:chataug_0| melissa tanner| [person:melissa f 0-0][person:tanner m 1-1]
melissa| Hey|
melissa| I need to ask you a favor| [person:melissa f 0-0][person:tanner m 4-4]
tanner| Sure whats up|
melissa| Can you help me with my backyard this weekend| [person:tanner m 1-1][person:melissa f 3-3][person:melissa f 5-5]
melissa| I need to lay some grass and trim some shrubs just a bunch of overall landscaping| [person:melissa f 0-0]
melissa| Pleaseeee the beer and pizza is on me| [person:melissa f 7-7]
tanner| Oooh you know I would but I already have plans this weekend| [person:melissa f 1-1][person:tanner m 3-3][person:tanner m 6-6]
tanner| Me and Wade Shannon are going jet skiing| [person:tanner m 0-0][person:wade m 2-2][person:shanno f 3-3]
tanner| Why dont you come with us| [person:melissa f 2-2][person:us g(melissa:tanner:wade:shanno) 5-5]
tanner| I ll help you with the yard next weekend deal| [person:tanner m 0-0][person:melissa f 3-3]
melissa| Okay yes|
melissa| Thank you you are the best| [person:tanner m 1-1][person:tanner m 2-2]
tanner| I know| [person:tanner m 0-0]

conv:people_chats_0628_72:aug_0:chat_0:chataug_0| allan karen| [person:allan m 0-0][person:karen f 1-1]
allan| Hi my love| [person:allan m 1-1]
karen| HHello baby how u doing| [person:allan m 3-3]
allan| im doing fine thanks|
allan| Hey did anybody passed by the ambush point yet| [person:anybody g() 2-2]
karen| A group did long ago|
karen| But they looked well armed| [person:anybody g() 1-1]
karen| so i didnt open fire| [person:karen f 1-1]
allan| Really|
allan| Lisa will be mad| [person:lisa f 0-0]
karen| im just a woman with this useless weapon|
karen| Lisa need to provide better weapon to us| [person:lisa f 0-0][person:us g(allan:karen) 7-7]
karen| if she wants us to ambush armed intruders| [person:lisa f 1-1][person:us g(allan:karen) 3-3]
allan| Ok u are right| [person:karen f 1-1]
allan| She have been scant with the good guns| [person:lisa f 0-0]
allan| i promise i will talk with George| [person:allan m 0-0][person:allan m 2-2][person:george m 6-6]
karen| Ok thanks can u get me a vape too| [person:allan m 3-3][person:karen f 5-5]
karen| Please|
allan| I will try but im not sure if the armourer has the spare parts of electronic know how to construct that| [person:allan m 0-0]
karen| Can you try anyways please| [person:allan m 1-1]
karen| So i can disappear into the vapor cloud if im found| [person:karen f 1-1]
allan| Are u serius| [person:karen f 1-1]
karen| hahaha|

conv:people_chats_0628_73:aug_0:chat_0:chataug_0| kalen kia| [person:kalen m 0-0][person:kia f 1-1]
kia| Hello|
kalen| Hey Kia How are you doing| [person:kia f 1-1][person:kia f 4-4]
kia| I am at the store right now and I just wanted to ask a question Do the kids like strawberry or grape jelly better| [person:kia f 0-0][person:kia f 8-8][person:kids g() 17-17]
kalen| I think Grape| [person:kalen m 0-0]
kia| Oh I always thought the kids preferred strawberry| [person:kia f 1-1][person:kids g() 5-5]
kalen| The grape flavor is much healthier and cheaper|
kia| That is true but I just want to get something the kids will love for the picnic| [person:kia f 4-4][person:kids g() 11-11]
kalen| I do not think the kids will care about either one| [person:kalen m 0-0][person:kids g() 5-5]
kia| You think so| [person:kalen m 0-0]
kalen| Yeah they will eat it anyway haha| [person:kids g() 1-1]
kia| OK I am just gonna get both of them to be on the safe side The two cheapest grape and strawberry jellies| [person:kia f 1-1][person:kids g() 8-8]
kalen| Sounds great|

conv:people_chats_0628_74:aug_0:chat_0:chataug_0| blake brianna| [person:blake m 0-0][person:brianna f 1-1]
brianna| Hey|
brianna| Have you been down by the creek lately| [person:blake m 1-1]
blake| No Why|
brianna| Chelsea and Ryan are building a fort down there| [person:chelsea f 0-0][person:ryan m 2-2][location:fort s 6-6]
brianna| It s pretty cute| [location:fort s 0-0]
blake| So thats why theyve been running don to the creek so much lately|
brianna| Haha yep|
brianna| They get their adventerous side from you| [person:they g(chelsea:ryan) 0-0][person:they g(chelsea:ryan) 2-2][person:blake m 6-6]
blake| I haven t seen it yet I ll have to check it out when I get home from work| [person:blake m 0-0][location:fort s 4-4][person:blake m 6-6][location:fort s 11-11][person:blake m 14-14][location:home s 16-16]
blake| Do you think they ll want help with it| [person:brianna f 1-1][person:they g(chelsea:ryan) 3-3][location:fort s 8-8]
brianna| Nah its coming along quite nicely|
brianna| I would let them finish it together I think its sweet how they re getting along| [person:brianna f 0-0][person:them g(chelsea:ryan) 3-3][location:fort s 5-5][person:brianna f 7-7][person:they g(chelsea:ryan) 12-12]
blake| Yeah they re definitely a lot closer than me and my sister were| [person:they g(chelsea:ryan) 1-1][person:blake m 8-8][person:blake m 10-10][person:sister f 11-11]

conv:people_chats_0628_75:aug_0:chat_0:chataug_0| link midna| [person:link f 0-0][person:midna f 1-1]
link| hey are you having any oinment for rash Ganon suggested me to use any oinment| [person:midna f 2-2][person:ganon m 8-8][person:link f 10-10]
midna| i m sorry actually it is over| [person:midna f 0-0]
midna| because i gave it to Jenny for her hives| [person:midna f 1-1][person:jenny f 5-5][person:jenny f 7-7]
link| okay remind me if a new one arrives| [person:link f 2-2]
midna| okay i will| [person:midna f 1-1]
link| how much does it costs that has been used by jenny| [person:jenny f 10-10]
midna| it comes around 10 dollars|
link| okay bye|
midna| bye see you later| [person:jenny f 2-2]
link| midna remind me when they are ready| [person:midna f 0-0][person:link f 2-2][person:they g(link:midna) 4-4]
midna| okay dont worry i will let you know| [person:midna f 3-3][person:link f 6-6]

conv:people_chats_0628_77:aug_0:chat_0:chataug_0| yani yvonne| [person:yani m 0-0][person:yvonne m 1-1]
yvonne| hi|
yvonne| I had a great time at the party last weekend| [person:yvonne m 0-0]
yvonne| So did Lottie and Donnie| [person:lottie f 2-2][person:donnie f 4-4]
yvonne| They told me that they would like to get together again to hang out some time| [person:they g(lottie:donnie) 0-0][person:yvonne m 2-2][person:they g(lottie:donnie) 4-4]
yvonne| Hopefully that works for you| [person:yani m 4-4]
yani| That s great I d love that| [person:yani m 3-3]
yani| What are you doing next weekend| [person:yvonne m 2-2]
yvonne| I don t have anything on my calendar yet| [person:yvonne m 0-0][person:yvonne m 6-6]
yani| Maybe you should come out| [person:yvonne m 1-1]
yvonne| I d love that| [person:yvonne m 0-0]
yani| Cool|
yvonne| I ll check with Lottie and Donnie too| [person:yvonne m 0-0][person:lottie f 4-4][person:donnie f 6-6]
yani| Great|

conv:people_chats_0628_80:aug_0:chat_0:chataug_0| colleen conrad| [person:colleen f 0-0][person:conrad m 1-1]
colleen| Did you remember my daughter s birthday party| [person:conrad m 1-1][person:colleen f 3-3][person:daughter f 4-4]
conrad| Ya I remember Candice s birthday party| [person:conrad m 1-1][person:candice f 3-3]
colleen| How many kids are attending the party| [person:kids g() 2-2]
conrad| Six kids are coming| [person:kids g() 1-1]
colleen| Candice wants all her friends have to come with goodie bag with king size| [person:candice f 0-0][person:candice f 3-3][person:friends g() 4-4]
conrad| Is that my son Evan has to stay the party because he wants to go to his friend s house| [person:conrad m 2-2][person:son m 3-3][person:evan m 4-4][person:evan m 11-11][person:evan m 16-16][person:friend u 17-17][location:house s 19-19]
colleen| Yes he needs to stay here for sometime| [person:conrad m 1-1]
conrad| Did you made any purchase today| [person:colleen f 1-1]
colleen| Yes I bought some Candy bars and other fun items to put in the bag| [person:colleen f 1-1]
conrad| Well that s a good idea to make the kids happy| [person:kids g() 9-9]
colleen| I want to make sure the party could be the best memorable one| [person:colleen f 0-0]

conv:people_chats_0628_83:aug_0:chat_0:chataug_0| homer shawna| [person:homer m 0-0][person:shawna f 1-1]
shawna| HI|
homer| HI|
shawna| WHAT ARE YOU DOING| [person:homer m 2-2]
homer| I AM WORKING| [person:homer m 0-0]
homer| U| [person:shawna f 0-0]
shawna| I AM ALSO| [person:shawna f 0-0]
homer| WHAT MOVIE YOU LIKE| [person:homer m 2-2]
shawna| JACK SPARROW MOVIE| [person:jack m 0-0]
homer| WHAT CLR YOU LIKE| [person:shawna f 2-2]
shawna| I LOVE BLUE| [person:shawna f 0-0]
homer| WHAT FRUITS WOULD YOU LIKE| [person:shawna f 3-3]
homer| I LIKE BANANA AND APPLE| [person:homer m 0-0]
homer| U| [person:shawna f 0-0]
shawna| I LIKE APPLES| [person:shawna f 0-0]

conv:people_chats_0628_84:aug_0:chat_0:chataug_0| greg noel| [person:greg m 0-0][person:noel m 1-1]
noel| Hey how s it going|
noel| I m going to be a little late Looks like I won t get to your house til around 630| [person:noel m 0-0][person:noel m 10-10][person:greg m 15-15][location:house s 16-16]
greg| Doing good That s okay Why are you going to be late though| [person:noel m 7-7]
greg| I m not mad or anything Just wondering| [person:greg m 0-0]
noel| No prob I m over at Ross and Isabel s house| [person:noel m 2-2][person:ross m 6-6][person:isabel f 8-8][location:house s 10-10]
noel| They are showing me their new pool and hottub they got installed| [person:they g(ross:isabel) 0-0][person:noel m 3-3][person:they g(ross:isabel) 4-4][person:they g(ross:isabel) 9-9]
greg| Nice So how do they look| [person:they g(ross:isabel) 4-4]
noel| They look good They ve asked me to come back next weekend to try them out| [person:they g(ross:isabel) 0-0][person:they g(ross:isabel) 3-3][person:noel m 6-6][person:they g(ross:isabel) 14-14]
greg| Yeah I hope they ask me too See if you can get an invite for me| [person:greg m 1-1][person:they g(ross:isabel) 3-3][person:greg m 5-5][person:noel m 9-9][person:greg m 15-15]
noel| I will Don t forget I ll be late tonight| [person:noel m 0-0][person:noel m 5-5]
greg| I know and it s fine No hurry or anything| [person:greg m 0-0]
greg| I will be waiting for you| [person:greg m 0-0][person:noel m 5-5]

conv:people_chats_0628_85:aug_0:chat_0:chataug_0| rene will| [person:rene f 0-0][person:will u 1-1]
rene| Hi Will Good day Trust you are doing fine| [person:will m 5-5]
will| Yeah Rene| [person:rene f 1-1]
will| I m doing good| [person:will m 0-0]
rene| Good to hear I m at the store I just want to know if you need something| [person:rene f 3-3][person:rene f 8-8][person:will m 14-14]
will| Yeah Will you be picking diapers for your children at the store| [person:rene f 2-2][person:rene f 7-7][person:will_s_children g() 8-8]
rene| Yes I will Need some| [person:rene f 1-1]
will| Sure Please help me pick up some diapers for my children I m running low on them and I don t eant to be caught without any on hand| [person:will m 3-3][person:will m 9-9][person:will m 11-11][person:will m 18-18]
rene| Okay I will do just that| [person:rene f 1-1]
will| Thanks I appreciate| [person:will m 1-1]
rene| I will be happy to help you with that What sizes of diapers will you be needing| [person:rene f 0-0][person:will m 6-6][person:will m 14-14]
will| Just get me similar sizes you would get for Melody and Winston| [person:will m 2-2][person:rene f 5-5][person:melody f 9-9][person:winston m 11-11]
rene| No problem then Stay safe|
will| Thanks You too| [person:rene f 1-1]

conv:people_chats_0628_86:aug_0:chat_0:chataug_0| dana larry| [person:dana f 0-0][person:larry m 1-1]
larry| Hello|
larry| Dana are you there| [person:dana f 0-0][person:dana f 2-2]
dana| Yeah I m here| [person:dana f 1-1]
dana| I think my apartment is haunted| [person:dana f 0-0][person:dana f 2-2][location:apartment s 3-3]
larry| why will you think so| [person:dana f 2-2]
dana| A ghastly voice screeches every night through my wall telling me some guy named Phil is to die and other terrible things too| [person:dana f 7-7][person:dana f 10-10][person:larry m 14-14]
larry| remember your neighbor is named Phil whose wife has several felony domestic violence charges| [person:dana f 1-1][person:phil m 2-2][person:phil m 5-5][person:dana f 7-7]
dana| I don t mean that Phil and neither does the voice| [person:dana f 0-0][person:larry m 5-5]
larry| How would you know If it s him or not| [person:dana f 2-2][person:larry m 7-7]
dana| the voice comes from the opposite wall and generally proceeds a stream of glowing ectoplasm flowing from the ventcovers|
larry| you might have started with the ectoplasm thing do you have a jar| [person:larry m 0-0][person:larry m 9-9]
dana| of course I have a sample jar of the stuff| [person:larry m 2-2]
larry| I will send my intern Naomi to pick it up so I can do some tests| [person:larry m 0-0][person:larry m 3-3][person:naomi f 5-5][person:larry m 11-11]
dana| How long will she take| [person:dana f 3-3]
larry| She s very speedy expect her in the next ten or fifteen minutes| [person:dana f 0-0][person:dana f 5-5]
dana| Should I arrange a tip| [person:dana f 1-1]

conv:people_chats_0628_87:aug_0:chat_0:chataug_0| anisha max| [person:anisha f 0-0][person:max m 1-1]
anisha| hi|
max| hello|
anisha| how are you| [person:max m 2-2]
max| I am Fine What about you| [person:max m 0-0][person:anisha f 5-5]
anisha| Yeah fine where are you from| [person:max m 4-4]
max| TX you| [location:tx s 0-0][person:anisha f 1-1]
anisha| Wow Me also TX| [person:anisha f 1-1][location:tx s 3-3]
max| wow really nice which city| [location:tx s 4-4]
anisha| sorry i can t Share some details| [person:anisha f 1-1]
max| its ok no problem|
anisha| what is your hobbies| [person:max m 2-2]
max| playing football yours| [person:anisha f 2-2]
anisha| i like to hear songs| [person:anisha f 0-0]

conv:people_chats_0628_88:aug_0:chat_0:chataug_0| debra luke| [person:debra f 0-0][person:luke m 1-1]
debra| Hey|
luke| Hey|
luke| I was just about to text you| [person:luke m 0-0][person:debra f 6-6]
debra| Haha why|
luke| I wanted to know if you want to learn how to ride a horse| [person:luke m 0-0][person:debra f 5-5]
debra| That sounds so fun|
debra| OMG|
luke| Awesome|
debra| Why do you have time to teach me for free| [person:luke m 2-2][person:debra f 7-7]
luke| My client for the evening Gwen cancelled on me and it s far too late to pick up another or shift a later appointment ahead| [person:luke m 0-0][person:gwen f 5-5][person:luke m 8-8]
debra| That is rude|
debra| Her loss| [person:gwen f 0-0]
luke| Yup her loss| [person:gwen f 1-1]
luke| Her grandfather s loss He died| [person:gwen f 0-0][person:grandfather m 4-4]
debra| OMG OMG I did not know that| [person:debra f 2-2]
debra| I am so sorry| [person:debra f 0-0]
luke| It is okay|
luke| Technically I was the one that turned it into a joke| [person:luke m 1-1]
debra| People could be offended by that|
debra| Like your client| [person:luke m 1-1]
luke| Agreed|

conv:people_chats_0628_90:aug_0:chat_0:chataug_0| daryl nola| [person:daryl m 0-0][person:nola f 1-1]
nola| Hey Daryl I heard about this new music festival in Austin| [person:daryl m 1-1][person:nola f 2-2][location:austin s 10-10]
daryl| Really What is it about|
nola| It s called North by Northeast and showcases artists and celebrities who produce educational material for children|
daryl| Oh yeah I think I read about it in the paper| [person:daryl m 2-2][person:daryl m 4-4]
daryl| You remember my daughter Bridget| [person:nola f 0-0][person:daryl m 2-2][person:bridget f 3-3][person:bridget f 4-4]
daryl| I think she would love to go| [person:daryl m 0-0][person:bridget f 2-2]
nola| That s great|
daryl| Yeah she s really into Bill Nye the Science Guy right now| [person:bridget f 1-1][person:bill m 5-5]
nola| I was hoping she d like it| [person:nola f 0-0][person:bridget f 3-3]
nola| Unfortunately my son Neil is a little too old for it| [person:nola f 1-1][person:neil m 2-2][person:neil m 3-3]
nola| He s more interested in sports and video games lately| [person:neil m 0-0]
daryl| Could you send me the festival s website address| [person:nola f 1-1][person:daryl m 3-3]

conv:people_chats_0628_91:aug_0:chat_0:chataug_0| franky vance| [person:franky m 0-0][person:vance m 1-1]
franky| hi|
franky| Hey man Are you there| [person:vance m 3-3]
franky| Hello|
vance| Hi|
vance| Hoe are you| [person:franky m 2-2]
franky| Yes I am fine You| [person:franky m 1-1][person:vance m 4-4]
vance| I am also fine man| [person:vance m 0-0]
vance| What are tou doing|
franky| Reading books Y ou|
vance| Watching telivision|
vance| How was day man|
franky| Not bad What about you| [person:franky m 4-4]
vance| Really good|
vance| What is your age| [person:franky m 2-2]
franky| 24 man Yours| [person:vance m 2-2]
vance| 26|

conv:people_chats_0628_93:aug_0:chat_0:chataug_0| melissa tanner| [person:melissa f 0-0][person:tanner m 1-1]
melissa| How are you today wade| [person:tanner m 2-2][person:tanner m 4-4]
melissa| Tanner rather Sorry Auto correct| [person:tanner m 0-0]
tanner| Well I m good| [person:tanner m 1-1]
tanner| I had a pretty hectic day| [person:tanner m 0-0]
melissa| Take a long bath you ll feel better| [person:tanner m 4-4]
melissa| i d like you to landscape and work on my yard this weekend| [person:melissa f 0-0][person:tanner m 3-3][person:melissa f 9-9]
tanner| I ll do just that| [person:tanner m 0-0]
tanner| Unforunately i ll not able to help this weekend| [person:tanner m 1-1]
tanner| Because I ll be already made plans with Shannon and Wade| [person:tanner m 1-1][person:shannon m 8-8][person:wade m 10-10]
tanner| We re going jet sking| [person:we g(tanner:shannon:wade) 0-0]
tanner| I ll be free next weekend| [person:tanner m 0-0]
melissa| ohh snap|
melissa| ild have loved it done this weekend|
tanner| Apologies How about you join us and go skiing this weekend| [person:melissa f 3-3][person:we g(tanner:shannon:wade) 5-5]
melissa| sounds nice|
melissa| I might just take you up on that offer| [person:melissa f 0-0][person:tanner m 4-4]
tanner| Great|
tanner| Do have Gear for Skiing| [person:melissa f 1-1]
melissa| Yes|
melissa| been a while since i used them tho| [person:melissa f 4-4]
melissa| got to go|
melissa| talk later|
tanner| Bye|

conv:people_chats_0628_94:aug_0:chat_0:chataug_0| ravi rose| [person:ravi m 0-0][person:rose f 1-1]
rose| Hey|
rose| Can you scheudle one more metting before the official launch date| [person:ravi m 1-1]
ravi| Yes I will do that and send you the time| [person:ravi m 1-1][person:rose f 7-7]
rose| Great Looking forward to it|
rose| I think this will be very successful| [person:rose f 0-0]
ravi| Me too| [person:ravi m 0-0]
ravi| Would you like me to email you the meeting time and place or text you it| [person:rose f 1-1][person:ravi m 3-3][person:rose f 6-6][location:place s 11-11][person:rose f 14-14]
rose| Either one is fine|
rose| Do you expect it to be this week| [person:ravi m 1-1]
ravi| I willl aim for the end of this week if not next week| [person:ravi m 0-0]
ravi| Thank you for being supportive and reaching out| [person:rose f 1-1]
ravi| Sonia feels great about the launch too| [person:sonia f 0-0]

conv:people_chats_0628_97:aug_0:chat_0:chataug_0| jared oliver| [person:jared m 0-0][person:oliver m 1-1]
oliver| Hey Jared Are you going fishing tonight| [person:jared m 1-1][person:jared m 3-3]
jared| I wasn t planning on it but it sounds great I have to check with Sara to see if she can watch the kids| [person:jared m 0-0][person:jared m 10-10][person:sara f 15-15][person:sara f 19-19][person:kids g() 23-23]
oliver| Why don t you just bring them along| [person:jared m 3-3][person:kids g() 6-6]
jared| Sandra and Trisha don t like fishing They ll just jump in the water and go swimming Not a great idea They d scare the fish| [person:sandra f 0-0][person:trisha f 2-2][person:kids g(sandra:trisha) 7-7][person:kids g(sandra:trisha) 21-21]
oliver| LOL I get it Talk to Sara and let me know| [person:oliver m 1-1][person:sara f 6-6][person:oliver m 9-9]
jared| I will She said she might have plans with her friends| [person:jared m 0-0][person:sara f 2-2][person:sara f 4-4][person:sara f 9-9][person:friends g() 10-10]
oliver| Well that s ok I get it| [person:oliver m 4-4]
jared| Yeah Maybe we can do something with the kids if that doesn t work out| [person:we g(oliver:jared) 2-2][person:kids g(sandra:trisha) 8-8]
oliver| OK What s your suggestion| [person:jared m 3-3]
jared| Maybe you could come over and we can go in the pool The kids love that Bring yours along| [person:oliver m 1-1][person:we g(oliver:jared) 6-6][person:kids g(sandra:trisha) 13-13][person:kids2 g() 17-17]
oliver| Nice idea The kids can swim and we can BBQ some dogs| [person:kids g(sandra:trisha) 3-3][person:we g(oliver:jared) 7-7]
jared| Either plan works for me Let me run it by Sara and I ll get back to you| [person:jared m 4-4][person:jared m 6-6][person:sara f 10-10][person:jared m 12-12][person:oliver m 17-17]
oliver| Great Keep me posted I m good either way too| [person:oliver m 2-2][person:oliver m 4-4]

conv:people_chats_0628_98:aug_0:chat_0:chataug_0| lewis megan| [person:lewis m 0-0][person:megan f 1-1]
megan| Hey Lewis I just wanted to let you know I m going to stay late after school today if that works for you| [person:lewis m 1-1][person:megan f 2-2][person:lewis m 7-7][person:megan f 9-9][location:school s 16-16][person:lewis m 22-22]
lewis| Sounds good so I can leave right after school| [person:lewis m 3-3][location:school s 8-8]
megan| Ya I will probably be here until around 6pm| [person:megan f 1-1][location:school s 5-5]
lewis| Why are you staying so late| [person:megan f 2-2]
megan| I m working on a group project with my classmates Larsen and Brandon| [person:megan f 0-0][person:megan f 8-8][person:classmates g() 9-9][person:larsen m 10-10][person:brandon m 12-12]
lewis| Oh that sounds like fun I can take them to the house after school if that would be better for you guys| [person:lewis m 5-5][person:classmates g(larsen:brandon) 8-8][location:school s 13-13][person:megan f 20-20]
megan| Thanks for the offer but we have to stay at school because we need access to the computer and books in the library| [person:we g(megan:lewis:larsen:brandon) 5-5][location:school s 10-10][person:we g(megan:lewis:larsen:brandon) 12-12][location:library s 22-22]
