conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
kelly| Because he is better than you He s nice and girls come up to him instead| [person:jake m 1-1][person:caleb m 5-5][person:jake m 6-6][person:girls g(tania:her) 10-10][person:jake m 14-14]
caleb| I am really offended by this| [person:caleb m 0-0]

conv:task_oriented_1231_amt_53:aug_0:chat_0:chataug_0| doug michelle| [person:doug m 0-0][person:michelle f 1-1]
doug| Hey Michelle What are your plans for tonight| [person:michelle f 1-1][person:michelle f 4-4]
michelle| Hey Doug I don t have any plans and what about you| [person:doug m 1-1][person:michelle f 2-2][person:doug m 11-11]
doug| How about going to a restaurant| [location:restaurant s 5-5]
michelle| Yeah that s a nice idea Whom should we invite| [person:we g(doug:michelle) 8-8]
doug| Let s invite Dennis and Belle but I think Dennis may be allergic to seafood| [person:dennis m 3-3][person:belle f 5-5][person:doug m 7-7][person:dennis m 9-9]
michelle| I do remember he is allergic to seafood So shall we go to an Italian restaurant| [person:michelle f 0-0][person:dennis m 3-3][person:we g(doug:michelle) 10-10][location:restaurant s 15-15]
doug| But Belle is on a lowcarb diet so that type of food may not be a great idea for her| [person:belle f 1-1][person:belle f 19-19]
michelle| Yeah you re right what should we do now| [person:doug m 1-1][person:we g(doug:michelle) 6-6]
doug| I think a steakhouse would be the best option| [person:doug m 0-0]
michelle| Yeah that s sounds great Let s go there| [location:restaurant s 8-8]

conv:task_oriented_1231_amt_54:aug_0:chat_0:chataug_0| brooke pam| [person:brooke f 0-0][person:pam f 1-1]
pam| Hello Brooke what are you doing are you ready for Brenda s wedding| [person:brooke f 1-1][person:brooke f 4-4][person:brooke f 7-7][person:brenda f 10-10]
brooke| Hey Pam yeah I m ready what about you| [person:pam f 1-1][person:brooke f 3-3][person:pam f 8-8]
pam| I m even ready and Brooke shall we organize a bridal shower for Brenda| [person:pam f 0-0][person:brooke f 5-5][person:we g(pam:brooke) 7-7][person:brenda f 13-13]
brooke| Sure let s do it It adds beauty to the wedding and let s maintain a dress code in the bridal shower and I want it to be a white theme for the party| [person:brooke f 23-23][location:party s 33-33]
pam| The idea is good but I think the rose gold theme looks pretty| [person:pam f 5-5]
brooke| I don t think so according to me white theme works out| [person:brooke f 0-0][person:brooke f 7-7]
pam| Okay let s take suggestion from our friends John and Tim| [person:we g(pam:brooke) 6-6][person:friends g() 7-7][person:john m 8-8][person:tim m 10-10]
brooke| I think that s not a good idea as it is Brenda s wedding we shall ask her about the dress code| [person:brooke f 0-0][person:brenda f 11-11][person:we g(pam:brooke) 14-14][person:brenda f 17-17]
pam| Okay let s ask her and do accordingly| [person:brenda f 4-4]
brooke| Cool let s meet in the wedding see you soon| [person:pam f 8-8]

conv:task_oriented_1231_amt_56:aug_0:chat_0:chataug_0| jack phillip| [person:jack m 0-0][person:phillip m 1-1]
jack| Hi Phillip How do you think we should spend our spring break| [person:phillip m 1-1][person:phillip m 4-4][person:we g(jack:phillip) 6-6][person:we g(jack:phillip) 9-9]
phillip| We should definitely plan something How about we go camping| [person:we g(jack:phillip) 0-0][person:we g(jack:phillip) 7-7]
jack| That s a good idea It will be very adventurous|
phillip| Whom should we invite on this trip| [person:we g(jack:phillip) 2-2][location:trip s 6-6]
jack| I want to invite Myra and Karen They like camping| [person:jack m 0-0][person:myra f 4-4][person:karen f 6-6][person:they g(myra:karen) 7-7]
phillip| I don t want Karen to come because we used to date| [person:phillip m 0-0][person:karen f 4-4][person:we g(phillip:karen) 8-8]
jack| Oh I completely forgot about that Okay let s not invite Karen Who else would be interested| [person:jack m 1-1][person:karen f 11-11]
phillip| What about my younger brother He would love to join us| [person:phillip m 2-2][person:brother m 4-4][person:brother m 5-5][person:we g(jack:phillip) 10-10]
jack| Alright you ask him and I ll ask Myra| [person:phillip m 1-1][person:brother m 3-3][person:jack m 5-5][person:myra f 8-8]
phillip| Yeah sure I hope we will have a great time| [person:phillip m 2-2][person:we g(jack:phillip) 4-4]

conv:task_oriented_1231_amt_57:aug_0:chat_0:chataug_0| darlene jody| [person:darlene f 0-0][person:jody f 1-1]
darlene| Jody have you completed your Christmas shopping| [person:jody f 0-0][person:jody f 2-2][person:jody f 4-4]
jody| Yes Darlene I ve finished shopping for myself but I m planning to shop for my boyfriend| [person:darlene f 1-1][person:jody f 2-2][person:jody f 7-7][person:jody f 9-9][person:jody f 15-15]
darlene| I ve neither completed shopping for myself nor for my boyfriend| [person:darlene f 0-0][person:darlene f 6-6][person:darlene f 9-9]
jody| Well in that case you need to hurry up because Christmas is already approaching| [person:darlene f 4-4]
darlene| I need your help Jody I m so confused about shopping for my boyfriend| [person:darlene f 0-0][person:jody f 2-2][person:jody f 4-4][person:darlene f 5-5][person:darlene f 12-12]
jody| Even I m so confused in that case Darlene| [person:jody f 1-1][person:darlene f 8-8]
darlene| What do we do We need someone to help us in picking up gifts for them| [person:we g(darlene:jody) 2-2][person:we g(darlene:jody) 4-4][person:someone u 6-6][person:we g(darlene:jody) 9-9][person:them g() 15-15]
jody| Yes or else we re going to ruin this pleasant plan| [person:we g(darlene:jody) 3-3]
darlene| John Grant are our good friends We can ask them to help us out| [person:john m 0-0][person:john m 1-1][person:we g(darlene:jody) 3-3][person:friends g() 5-5][person:we g(darlene:jody) 6-6][person:friends g() 9-9][person:we g(darlene:jody) 12-12]
jody| I ve already asked them to help me out and they are very happy to do so I can also ask them to help you as well| [person:jody f 0-0][person:them g() 4-4][person:jody f 7-7][person:them g() 10-10][person:jody f 17-17][person:them g() 21-21][person:darlene f 24-24]

conv:task_oriented_1231_amt_58:aug_0:chat_0:chataug_0| jim robert| [person:jim m 0-0][person:robert m 1-1]
jim| Hey Robert what are you doing are you busy| [person:robert m 1-1][person:robert m 4-4][person:robert m 7-7]
robert| Hi Jim I m not busy Tell me what s the matter| [person:jim m 1-1][person:robert m 2-2][person:robert m 7-7]
jim| Can you join yoga class this Thursday along with me it helps you| [person:robert m 1-1][person:jim m 9-9][person:robert m 12-12]
robert| Is it very necessary I mean I m a little nervous| [person:robert m 4-4][person:robert m 6-6]
jim| Don t worry Robert my yoga teachers Abraham and Clary are very patient and teach a very relaxed class| [person:robert m 3-3][person:jim m 4-4][person:abraham m 7-7][person:clary f 9-9]
robert| I never practiced yoga before that is the only reason I m thinking about| [person:robert m 0-0][person:robert m 10-10]
jim| Initially when I joined I was in the same thought but they helped me a lot and Abraham is a great teacher You shall not miss this chance| [person:jim m 2-2][person:jim m 4-4][person:abraham___clary g(abraham:clary) 11-11][person:jim m 13-13][person:abraham m 17-17][person:robert m 22-22]
robert| Okay I will join you on Thursday See you soon| [person:robert m 1-1][person:jim m 4-4][person:jim m 8-8]
jim| Cool I m sure you are going to have the best experience Meet you soon| [person:jim m 1-1][person:robert m 4-4][person:robert m 13-13]
robert| Thank you for suggesting hope everything goes well| [person:jim m 1-1]

conv:task_oriented_1231_amt_59:aug_0:chat_0:chataug_0| phillip serena| [person:phillip m 0-0][person:serena f 1-1]
phillip| Hey Serena I noticed that you were sad during class today Is everything alright| [person:serena f 1-1][person:phillip m 2-2][person:serena f 5-5]
serena| Hi Phillip How kind of you Sofia and Bernard were very mean to me and were saying mean things| [person:phillip m 1-1][person:phillip m 5-5][person:sofia f 6-6][person:bernard m 8-8][person:serena f 13-13]
phillip| I have noticed them do that a lot of times What did they say| [person:phillip m 0-0][person:them g(sofia:bernard) 3-3][person:they g(sofia:bernard) 12-12]
serena| They called me fat and ugly They always bully me I am tired of their taunts| [person:they g(sofia:bernard) 0-0][person:serena f 2-2][person:they g(sofia:bernard) 6-6][person:serena f 9-9][person:serena f 10-10][person:their g(sofia:bernard) 14-14]
phillip| Don t worry what they said is not true They are just jealous of your good scores| [person:they g(sofia:bernard) 4-4][person:they g(sofia:bernard) 9-9][person:serena f 14-14]
serena| But that does not give them the right to bully me| [person:them g(sofia:bernard) 5-5][person:serena f 10-10]
phillip| You re right You should tell them to back off| [person:serena f 0-0][person:serena f 3-3][person:them g(sofia:bernard) 6-6]
serena| They never listen to me I feel so helpless| [person:they g(sofia:bernard) 0-0][person:serena f 4-4][person:serena f 5-5]
phillip| I think you should make a report against them if the repeat it I ll help you| [person:phillip m 0-0][person:serena f 2-2][person:them g(sofia:bernard) 8-8][person:phillip m 13-13][person:serena f 16-16]
serena| Thank you for being so supportive| [person:phillip m 1-1]

conv:task_oriented_1231_amt_61:aug_0:chat_0:chataug_0| edwin ralph| [person:edwin m 0-0][person:ralph m 1-1]
edwin| Hey Ralph when are you going to arrive All our friends are already here| [person:ralph m 1-1][person:ralph m 4-4][person:our g(edwin:ralph) 9-9][person:friends g() 10-10][location:here s 13-13]
ralph| I will touch down by today evening since my flight is delayed by 2 hours| [person:ralph m 0-0][location:down s 3-3][person:ralph m 8-8]
edwin| You re arriving at the perfect time I m throwing out a party today evening We all shall have fun| [person:ralph m 0-0][person:edwin m 7-7][location:party s 12-12][person:our g(edwin:ralph) 15-15]
ralph| Who is going to be the best man Gerald or Samuel| [person:gerald m 8-8][person:samuel m 10-10]
edwin| Neither of them Things are not going well between me them| [person:them g(gerald:samuel) 2-2][person:edwin m 9-9][person:them g(gerald:samuel) 10-10]
ralph| You didn t tell me this Then who is it going to be| [person:edwin m 0-0][person:ralph m 4-4]
edwin| Please don t find it surprising to know that you re going to be my best man| [person:ralph m 9-9][person:edwin m 14-14]
ralph| Really Thank you so much for the honor I will be overwhelmed| [person:edwin m 2-2][person:ralph m 8-8]
ralph| But are they at least attending you wedding| [person:them g(gerald:samuel) 2-2][person:edwin m 6-6]
edwin| Things have gone so worse among us that I haven t invited them| [person:us g(edwin:gerald:samuel) 6-6][person:edwin m 8-8][person:them g(gerald:samuel) 12-12]

conv:task_oriented_1231_amt_63:aug_0:chat_0:chataug_0| pablo timothy| [person:pablo m 0-0][person:timothy m 1-1]
timothy| Hey Pablo have you seen my calculator| [person:pablo m 1-1][person:pablo m 3-3][person:timothy m 5-5]
pablo| Yes Timothy I noticed you left it at the study group at Issac s house| [person:timothy m 1-1][person:pablo m 2-2][person:timothy m 4-4][person:issac m 12-12][location:house s 14-14]
timothy| Thank God I didn t lose it I ve been searching for it| [person:timothy m 2-2][person:timothy m 7-7]
pablo| Issac and I gave it to Allison so she could give it to you because she said she was seeing you first thing tomorrow in homeroom| [person:issac m 0-0][person:pablo m 2-2][person:allison f 6-6][person:allison f 8-8][person:timothy m 13-13][person:allison f 15-15][person:allison f 17-17][person:timothy m 20-20]
timothy| Actually I m seeing Issac tonight at soccer practice I wonder if he forgot about that| [person:timothy m 1-1][person:issac m 4-4][person:timothy m 9-9][person:issac m 12-12]
pablo| He must ve forgotten You should remind him about it Also you can take your calculator from Allison tomorrow| [person:issac m 0-0][person:timothy m 4-4][person:issac m 7-7][person:timothy m 11-11][person:timothy m 14-14][person:allison f 17-17]
timothy| Yes that s fine Tomorrow morning is soon enough I don t need a calculator until then| [person:timothy m 9-9]
pablo| You re right we don t have homework anyway| [person:timothy m 0-0][person:we g(timothy:pablo) 3-3]
timothy| Yes Thank you so much for your help Pablo| [person:pablo m 2-2][person:pablo m 6-6][person:pablo m 8-8]
pablo| No problem See you tomorrow at school| [person:timothy m 3-3][location:school s 6-6]

conv:task_oriented_1231_amt_64:aug_0:chat_0:chataug_0| derrick edgar| [person:derrick m 0-0][person:edgar m 1-1]
edgar| Hey let s plan for a joint bachelor party for our brothers| [location:party s 8-8][person:our g(edgar:derrick) 10-10]
derrick| That would be a great idea|
derrick| Do you remember Phillip and Barry love to ski| [person:edgar m 1-1][person:phillip m 3-3][person:barry m 5-5]
edgar| Yeah let s plan to go somewhere where there are good ski hills|
derrick| That would put a lot of pressure on our pockets| [person:our g(edgar:derrick) 8-8]
edgar| But it would be great fun if we travel out of the city| [person:our g(edgar:derrick) 7-7][location:city s 12-12]
derrick| I think we should stay local and be more fiscally responsible| [person:derrick m 0-0][person:our g(edgar:derrick) 2-2]
edgar| Do you remember some of our friends live in Vancouver We can plan there| [person:derrick m 1-1][person:our g(edgar:derrick) 5-5][person:friends g() 6-6][location:vancouver s 9-9][person:our g(edgar:derrick) 10-10][location:vancouver s 13-13]
derrick| That would be a great idea They are going to love it| [person:they g(phillip:barry) 6-6][location:vancouver s 11-11]
edgar| It would be great fun there with all our friends together| [location:vancouver s 5-5][person:our g(edgar:derrick) 8-8][person:friends g() 9-9]

conv:task_oriented_1231_amt_65:aug_0:chat_0:chataug_0| helen kristian| [person:helen f 0-0][person:kristian m 1-1]
kristian| Hey Helen I need to talk with you about something urgently| [person:helen f 1-1][person:kristian m 2-2][person:helen f 7-7]
helen| Yeah tell me What is it Kristian| [person:helen f 2-2][location:it s 5-5][person:kristian m 6-6]
kristian| Our kids Bobby and Beverly are not interested in attending the state university| [person:our g(kristian:helen) 0-0][person:kids g() 1-1][person:bobby m 2-2][person:beverly f 4-4][location:state_university_ s 11-12]
helen| Then what is it they want to do| [location:it s 3-3][person:they g(bobby:beverly) 4-4]
kristian| They are interested in working at the local marina| [person:they g(bobby:beverly) 0-0][location:local_marina s 7-8]
helen| Are they out of their mind They are supposed to attend the school and have a good future| [person:they g(bobby:beverly) 1-1][person:their g(bobby:beverly) 4-4][person:they g(bobby:beverly) 6-6][location:state_university_ s 12-12]
kristian| But I am more concerned about their overall happiness| [person:kristian m 1-1][person:their g(bobby:beverly) 6-6]
helen| How do you think they ll be happy working at the local marina| [person:kristian m 2-2][person:they g(bobby:beverly) 4-4]
kristian| It is their desire to work instead of attending school and that itself will bring them happiness| [location:it s 0-0][person:their g(bobby:beverly) 2-2][location:state_university_ s 9-9][person:them g(bobby:beverly) 15-15]
helen| Let s see whether they ll be happy or not| [person:they g(bobby:beverly) 4-4]

conv:task_oriented_1231_amt_66:aug_0:chat_0:chataug_0| remy wilson| [person:remy m 0-0][person:wilson m 1-1]
wilson| Hey Remy what are you doing bro| [person:remy m 1-1][person:remy m 4-4]
remy| Hi Wilson nothing much Just casual| [person:wilson m 1-1]
wilson| Bro I heard that Sabrina visited Amanda over the weekend Is it so| [person:wilson m 1-1][person:sabrina f 4-4][person:amanda f 6-6]
remy| Yeah bro they met last weekend Since it was a very long time they haven t met each other| [person:they g(amanda:sabrina) 2-2][person:they g(amanda:sabrina) 13-13]
wilson| That s cool but I m confused that why didn t you tell me that our girlfriends were planning to hang out| [person:wilson m 4-4][person:remy m 11-11][person:wilson m 13-13][person:our g(wilson:remy) 15-15]
remy| Bro there is nothing to be hidden It all just happened suddenly and I was a little busy at that time that s the reason I didn t contact you| [person:remy m 13-13][person:remy m 25-25][person:wilson m 29-29]
wilson| Okay bro not a problem Let them enjoy each other s company| [person:they g(amanda:sabrina) 6-6]
remy| Cool bro we shall even plan for a vacation very soon Let s even hang out| [person:our g(wilson:remy) 2-2][location:vacation s 8-8]
wilson| Yeah sure Let s do it See you soon bro| [person:remy m 7-7]
remy| Take care bro bye Have a nice day|

conv:task_oriented_1231_amt_67:aug_0:chat_0:chataug_0| nicholas vince| [person:nicholas m 0-0][person:vince m 1-1]
nicholas| Vince shall we plan for a day trip next week| [person:vince m 0-0][person:we g(nicholas:vince) 2-2]
vince| Okay Nicholas I am interested in it Where shall we go| [person:nicholas m 1-1][person:vince m 2-2][location:where s 7-7][person:we g(nicholas:vince) 9-9]
nicholas| I m thinking of visiting either Georgetown or Dripping Springs What do you suggest| [person:vince m 0-0][location:georgetown s 6-6][location:dripping_springs s 8-9][person:vince m 12-12]
vince| I don t think Georgetown is good place to visit| [person:vince m 0-0][location:georgetown s 4-4][location:georgetown s 7-7]
nicholas| So shall we go to Dripping Springs| [person:we g(nicholas:vince) 2-2][location:dripping_springs s 5-6]
vince| Yeah Shall we invite our girlfriends Erin and Trish| [person:we g(nicholas:vince) 2-2][person:we g(nicholas:vince) 4-4][person:erin f 6-6][person:trish f 8-8]
nicholas| Yeah they will be a great company for the trip| [person:they g(nicholas:erin:trish) 1-1]
vince| I think they will enjoy tasting wine| [person:vince m 0-0][person:they g(nicholas:erin:trish) 2-2]
nicholas| Let s inform this to our girlfriends then| [person:we g(nicholas:vince) 5-5]
vince| Yeah sure Even I will inform my girlfriend and meet you next week| [person:vince m 3-3][person:vince m 6-6][person:girlfriend f 7-7][person:nicholas m 10-10]

conv:task_oriented_1231_amt_68:aug_0:chat_0:chataug_0| abraham brendan| [person:abraham m 0-0][person:brendan m 1-1]
abraham| Hey Brendan Are you free to join me the Travis Scott concert| [person:brendan m 1-1][person:brendan m 3-3][person:abraham m 7-7][person:travis_scott m 9-10][person:travis_scott m 10-10]
brendan| Yes I m free Abraham When are we going| [person:brendan m 1-1][person:abraham m 4-4][person:we g(abraham:brendan) 7-7]
abraham| The concert is at 7 this evening We start by 6| [person:we g(abraham:brendan) 7-7]
brendan| Okay done Who all will be joining us for the concert| [person:we g(abraham:brendan) 7-7]
abraham| I am thinking to ask Dorothy and Theresa to join us| [person:abraham m 0-0][person:dorothy f 5-5][person:theresa f 7-7][person:we g(abraham:brendan) 10-10]
brendan| I m not sure if they will be interested in it or not| [person:brendan m 0-0][person:they g(dorothy:theresa) 5-5]
abraham| I think they will be interested because we went to a similar concert previously| [person:abraham m 0-0][person:they g(dorothy:theresa) 2-2][person:we g(abraham:brendan) 7-7]
brendan| Okay call them and ask them for the concert| [person:they g(dorothy:theresa) 2-2][person:they g(dorothy:theresa) 5-5]
abraham| Okay I will inform them We will meet at 6 this evening| [person:abraham m 1-1][person:they g(dorothy:theresa) 4-4][person:we g(abraham:brendan) 5-5]
brendan| Yeah okay We ll have a great fun| [person:we g(abraham:brendan) 2-2]

conv:task_oriented_1231_amt_70:aug_0:chat_0:chataug_0| jenny randy| [person:jenny f 0-0][person:randy m 1-1]
jenny| Hey Randy Are you excited about tonight s party at Sarah and Judy s| [person:randy m 1-1][person:randy m 3-3][location:party s 8-8][person:sarah f 10-10][person:judy f 12-12]
randy| Yeah I am very excited Can t wait for it| [person:randy m 1-1][location:party s 9-9]
jenny| Yeah me too What do you think we should take with us to the party| [person:jenny f 1-1][person:randy m 5-5][person:we g(jenny:randy) 7-7][person:we g(jenny:randy) 11-11][location:party s 14-14]
randy| I think wine would be the most appropriate alcohol to bring| [person:randy m 0-0]
jenny| Wine seems a bit fancy to me Randy We should just take a bunch of beers What do you say| [person:jenny f 6-6][person:randy m 7-7][person:we g(jenny:randy) 8-8][person:randy m 18-18]
randy| I think we should go with wine as both Sarah and Judy love wine| [person:randy m 0-0][person:we g(jenny:randy) 2-2][person:sarah f 9-9][person:judy f 11-11]
jenny| There are going to be other guests too many of whom would surely prefer beer over wine|
randy| I have some really good bottles of wine that I was saving for tonight s party| [person:randy m 0-0][person:randy m 9-9][location:party s 15-15]
jenny| Oh really that s so cool of you Why don t you bring those bottles of wine and I ll pitch in the beers for tonight Sound good| [person:randy m 7-7][person:randy m 11-11][person:randy m 18-18]
randy| That sounds like a plan Get over there as soon as possible|

conv:task_oriented_1231_amt_71:aug_0:chat_0:chataug_0| duncan willie| [person:duncan m 0-0][person:willie m 1-1]
willie| Hey Duncan We should play a round of golf this weekend| [person:we g(willie:duncan) 2-2]
duncan| Yeah sure Willie It s been a while since we played golf together| [person:willie m 2-2][person:we g(willie:duncan) 9-9]
willie| Great We should go to the park close to your house| [person:we g(willie:duncan) 1-1][location:park s 6-6][person:duncan m 9-9]
duncan| Sounds like a plan We should invite our wives to come along with us| [person:we g(willie:duncan) 4-4][person:we g(willie:duncan) 7-7][person:we g(willie:duncan) 13-13]
willie| Great idea I ll propose the plan to Jen and let you know| [person:willie m 2-2][person:jen f 8-8][person:duncan m 11-11]
duncan| Cool I ll talk to Nina about it as well| [person:duncan m 1-1][person:nina f 5-5]
willie| Jen said she is not enthusiastic about the idea but will surely come if Nina is coming| [person:jen f 0-0][person:jen f 2-2][person:nina f 14-14]
duncan| Nina s replay was no different She ll come only if Jen is coming What shall we say to convince them| [person:nina f 0-0][person:nina f 6-6][person:jen f 11-11][person:we g(willie:duncan) 16-16][person:them g(jen:nina) 20-20]
willie| Okay Let s plan to spend the night at the golf resort We can indulge in dinner and drinks after the game I m sure this plan will change our wives mind| [location:resort s 11-11][person:we g(willie:duncan) 12-12][person:willie m 22-22][person:we g(willie:duncan) 29-29]
duncan| That is an awesome plan I can t see why they will not agree to come along now Cheers Willie| [person:duncan m 5-5][person:them g(jen:nina) 10-10][person:willie m 19-19]

conv:task_oriented_1231_amt_72:aug_0:chat_0:chataug_0| frances hillary| [person:frances f 0-0][person:hillary f 1-1]
hillary| Hi Frances We have filmed our project but I do not know how to edit it| [person:frances f 1-1][person:we g(hillary:frances) 2-2][person:we g(hillary:frances) 5-5][person:hillary f 8-8]
frances| Hey Hillary I don t know how to edit either What shall we do now| [person:hillary f 1-1][person:frances f 2-2][person:we g(hillary:frances) 12-12]
hillary| How about searching for ways to edit videos on the internet|
frances| Yes that s a nice idea I just found an online tutorial about easy editing techniques by Georgia and Quentin| [person:frances f 6-6][person:georgia f 17-17][person:quentin m 19-19]
hillary| Oh yes I ve heard about them They re internet celebrities Let s watch that video| [person:hillary f 2-2][person:them g(georgia:quentin) 6-6][person:them g(georgia:quentin) 7-7]
frances| Okay text me once you re done watching it| [person:frances f 2-2][person:hillary f 4-4]
hillary| I just finished the tutorial Now we can apply their techniques and produce a good quality video| [person:hillary f 0-0][person:we g(hillary:frances) 6-6][person:them g(georgia:quentin) 9-9]
frances| Yes you re right they have definitely made our work easier| [person:hillary f 1-1][person:them g(georgia:quentin) 4-4][person:we g(hillary:frances) 8-8]
hillary| Let s credit the couple in our assignment| [person:we g(hillary:frances) 6-6]
frances| That sounds good We should be thankful to them because we would be unable to do it on our own| [person:we g(hillary:frances) 3-3][person:them g(georgia:quentin) 8-8][person:we g(hillary:frances) 10-10][person:we g(hillary:frances) 18-18]

conv:task_oriented_1231_amt_73:aug_0:chat_0:chataug_0| issac marcus| [person:issac m 0-0][person:marcus m 1-1]
marcus| Hi Issac How was work today| [person:issac m 1-1]
issac| It was fine but my mother had a fall in the evening and she was admitted in the hospital| [person:issac m 4-4][person:mother f 13-13]
marcus| That sounds very scary Is she okay now| [person:mother f 5-5]
issac| Yeah I left work early to check on her She is stable now but I am more worried about my Dad| [person:issac m 1-1][person:mother f 8-8][person:mother f 9-9][person:issac m 14-14][person:issac m 19-19][person:dad m 20-20]
marcus| Why what happened to him How s he dealing with this situation| [person:dad m 4-4][person:dad m 7-7]
issac| He is not handling it well He has gone in shock He is unable to control his tears| [person:dad m 0-0][person:dad m 6-6][person:dad m 11-11][person:dad m 16-16]
marcus| Yeah that sounds like your dad I wish I could be there for you in hard times like these The long distance is wearing on me| [person:issac m 4-4][person:dad m 5-5][person:marcus m 6-6][person:marcus m 8-8][person:issac m 13-13][person:marcus m 25-25]
issac| It s only two more months until I can move back to Denver and we can be together again| [person:issac m 7-7][person:we g(marcus:issac) 14-14]
marcus| Yeah I want these two months to pass by quickly| [person:marcus m 1-1]
issac| Me too I am waiting for these two months to get over Also I hope mom will recover soon| [person:issac m 0-0][person:issac m 2-2][person:issac m 13-13][person:mother f 15-15]

conv:task_oriented_1231_amt_75:aug_0:chat_0:chataug_0| beverly jane| [person:beverly f 0-0][person:jane f 1-1]
jane| Hello Beverly are you busy Want some help from you| [person:beverly f 1-1][person:beverly f 3-3][person:beverly f 9-9]
beverly| Just came from office If I can I will definitely do it| [location:office s 3-3][person:beverly f 5-5][person:beverly f 7-7][location:surprise s 11-11]
jane| Day after tomorrow is Stephan s birthday I want to plan a surprise for him Give me some suggestions about the plan| [person:stephan m 4-4][person:jane f 7-7][location:surprise s 12-12][person:him m 14-14][person:jane f 16-16]
beverly| Wow that really great that you are planning a surprise birthday for him| [person:jane f 5-5][location:surprise s 9-9][person:him m 12-12]
jane| Yeah This is the first time I am planning for him So it should have to be very special| [person:jane f 6-6][person:him m 10-10][location:surprise s 12-12]
beverly| Well then you should plan a candle night dinner just beside the pool at Sasha s place| [person:jane f 2-2][location:dinner s 8-8][location:pool s 12-12][person:sasha f 14-14][location:place s 16-16]
jane| That s not at all a good idea because Stephan don t like her| [person:stephan m 9-9][person:beverly f 13-13]
beverly| But why Last time when we all went together for movie and they both where interacting properly| [person:we g(jane:beverly:stephan) 5-5][person:they g() 12-12]
jane| That s true but after that meeting Stephan told me that he was not comfortable with Sasha| [location:meeting s 6-6][person:stephan m 7-7][person:jane f 9-9][person:stephan m 11-11][person:sasha f 16-16]
beverly| Okay then we have to think about some other place for the dinner| [person:we g(jane:beverly:stephan) 2-2][location:place s 9-9][location:dinner s 12-12]

conv:task_oriented_1231_amt_76:aug_0:chat_0:chataug_0| anne nina| [person:anne f 0-0][person:nina f 1-1]
anne| Hey Nina Are you busy I need some help| [person:nina f 1-1][person:nina f 3-3][person:anne f 5-5]
nina| Hi Anne What is the matter| [person:anne f 1-1]
anne| I need someone to take me for my doctor s appointment| [person:anne f 0-0][person:someone u 2-2][person:anne f 5-5][person:anne f 7-7][person:doctor u 8-8]
nina| I would love to help you but unfortunately I am busy with work| [person:nina f 0-0][person:anne f 5-5][person:nina f 8-8]
anne| Do you have someone to help me out| [person:nina f 1-1][person:someone u 3-3][person:anne f 6-6]
nina| Why Isn t Russell available to take you| [person:russell m 3-3][person:anne f 7-7]
anne| Actually he is out of town That s why I asked for help| [person:russell m 1-1][location:town s 5-5][person:anne f 9-9]
nina| Alright I ll ask my brother if he can help you| [person:nina f 1-1][person:nina f 4-4][person:brother m 5-5][person:brother m 7-7][person:anne f 10-10]
nina| I just talked to him He said he s free to help you but he d need some money for gas| [person:nina f 0-0][person:brother m 4-4][person:brother m 5-5][person:brother m 7-7][person:anne f 12-12][person:brother m 14-14]
anne| Yeah sure That won t be a problem I will pay for that Thank you so much| [person:anne f 8-8][person:nina f 14-14]

conv:task_oriented_1231_amt_77:aug_0:chat_0:chataug_0| christopher victor| [person:christopher m 0-0][person:victor m 1-1]
victor| Hey Christopher How are you doing| [person:christopher m 1-1][person:christopher m 4-4]
christopher| I m good thank you and what about you Have you noticed that Casey and Keira are spending a lot of time together| [person:christopher m 0-0][person:victor m 4-4][person:victor m 8-8][person:victor m 10-10][person:casey f 13-13][person:keira f 15-15]
victor| Yes I noticed Isn t that nice| [person:victor m 1-1]
christopher| Why would you say so| [person:victor m 2-2]
victor| I think it would be nice if our girlfriends got to know each other| [person:victor m 0-0][person:victor___chris g(victor:christopher) 7-7]
christopher| But I don t think it s a nice idea| [person:christopher m 1-1]
victor| Why not If they become good friends we could go on trips together That would be a lot of fun| [person:casey___keira g(casey:keira) 3-3][person:whole_group g(victor:christopher:casey:keira) 7-7]
christopher| What if they start sharing our secrets and spoil our friendship| [person:casey___keira g(casey:keira) 2-2][person:victor___chris g(victor:christopher) 5-5][person:victor___chris g(victor:christopher) 9-9]
victor| I think we share a strong bond Nobody can spoil our friendship| [person:victor m 0-0][person:victor___chris g(victor:christopher) 2-2][person:victor___chris g(victor:christopher) 10-10]
christopher| Yeah you re right I was just overthinking the situation| [person:victor m 1-1][person:christopher m 4-4]

conv:task_oriented_1231_amt_79:aug_0:chat_0:chataug_0| brendan logan| [person:brendan m 0-0][person:logan m 1-1]
brendan| Hey Logan Are you free| [person:logan m 1-1][person:logan m 3-3]
logan| Why Brendan What s the matter| [person:brendan m 1-1]
brendan| I am very hungry but too tired to go out for dinner I was wondering if you could drive me out to get food| [person:brendan m 0-0][person:brendan m 12-12][person:logan m 16-16][person:brendan m 19-19]
logan| Why don t you try asking your roommates Madeline and Christine if they can drive you| [person:brendan m 3-3][person:brendan m 6-6][person:roommates g() 7-7][person:madeline f 8-8][person:christine f 10-10][person:roommates g(madeline:christine) 12-12][person:brendan m 15-15]
