conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
malcolm| They asked me to invite you They remember you from school They always wanted to get to know you better but you were so popular they didn t know how to approach you| [person:they g(larry:jerry) 0-0][person:malcolm m 2-2][person:joshua m 5-5][person:they g(larry:jerry) 6-6][person:joshua m 8-8][person:they g(larry:jerry) 11-11][person:joshua m 18-18]
joshua| I didn t feel very popular They really asked you to invite me| [person:joshua m 0-0][person:they g(larry:jerry) 6-6][person:malcolm m 9-9][person:joshua m 12-12]
malcolm| Yes they did It will be a great chance for us all to hang out and you may discover some good new friends| [person:they g(larry:jerry) 1-1][person:us g(malcolm:joshua) 10-10][person:joshua m 16-16][person:friends g(larry:jerry) 22-22]
joshua| Okay count me in| [person:joshua m 2-2]

conv:people_2019082201_116:aug_0:chat_0:chataug_0| megan ruth| [person:megan f 0-0][person:ruth f 1-1]
megan| Hi there Can you help with advice for the dinner this weekend| [person:ruth f 3-3]
ruth| Sure what are you thinking| [person:megan f 3-3]
megan| Not sure what every prefers to eat I think| [person:megan f 7-7]
ruth| Well Kayla and Jean are really easy since they seem to prefer burgers| [person:kayla f 1-1][person:jean f 3-3][person:they g(kayla:jean) 8-8]
megan| That is easy What about Amelie| [person:amelie f 5-5]
ruth| I think Amelie enjoys Italian a lot| [person:ruth f 0-0][person:amelie f 2-2]
megan| Hmmm trying to think of way to meld the options|
ruth| Since Kayla and Jean like hamburger meat what about a meat lasagna| [person:kayla f 1-1][person:jean f 3-3]
megan| That could work really well|
ruth| I think it would be great| [person:ruth f 0-0]

conv:people_2019082201_117:aug_0:chat_0:chataug_0| martin wilson| [person:martin m 0-0][person:wilson m 1-1]
martin| Hey Wilson how about seeing Spider Man this week You free| [person:wilson m 1-1][person:wilson m 9-9]
wilson| Sure Man Anytime after Tuesday But I don t know about Doris She wants to see it too| [person:wilson m 6-6][person:doris f 11-11][person:doris f 12-12]
martin| Yeah Henry was talking about it too We should all see it as a group you know That would be fun| [person:henry m 1-1][person:we g(martin:wilson) 7-7][person:wilson m 15-15]
wilson| Yeah I m good on Thursday What about you| [person:wilson m 1-1][person:martin m 8-8]
martin| That s cool for me Now we got to figure Doris and Henry s schedule They are always busy| [person:martin m 4-4][person:we g(martin:wilson) 6-6][person:doris f 10-10][person:henry m 12-12][person:they g(doris:henry) 15-15]
wilson| I know They work too much I ve barely seen Doris this week| [person:wilson m 0-0][person:they g(doris:henry) 2-2][person:wilson m 6-6][person:doris f 10-10]
martin| Why don t we plan on Saturday night then Nobody has any work so they have no excuse| [person:we g(martin:wilson) 3-3][person:they g(doris:henry) 14-14]
wilson| That s good with me I ll ask Doris| [person:wilson m 4-4][person:wilson m 5-5][person:doris f 8-8]
martin| OK I will get in touch with Henry| [person:martin m 1-1][person:henry m 7-7]
wilson| Lets grab some brews beforehand Everyone will be relaxed This should be a blast| [person:everyone g(martin:wilson:doris:henry) 5-5]
martin| Good idea I ll make sure Henry reserves the time| [person:martin m 2-2][person:henry m 6-6]

conv:people_2019082201_118:aug_0:chat_0:chataug_0| arthur darren| [person:arthur m 0-0][person:darren m 1-1]
darren| What about a plan to have breakfast with our friends outside tomorrow morning| [person:da g(darren:arthur) 8-8][person:friends g() 9-9]
arthur| Wow that is nice Whom do you want to invite| [person:darren m 6-6]
darren| I think Phillip and Willie are always ready to come with us| [person:darren m 0-0][person:phillip m 2-2][person:willie m 4-4][person:da g(darren:arthur) 11-11]
arthur| What about Stephen and Clyde They will also come| [person:stephen m 2-2][person:clyde m 4-4][person:sc g(stephen:clyde) 5-5]
darren| Oh I thought they are out of town When did they come| [person:darren m 1-1][person:sc g(stephen:clyde) 3-3][location:town s 7-7][person:sc g(stephen:clyde) 10-10]
arthur| Is it I don t know about this Give me some time I will check with them| [person:arthur m 2-2][person:arthur m 9-9][person:arthur m 12-12][person:sc g(stephen:clyde) 16-16]
darren| Okay you can check Shall I invite Phillip and Willie now| [person:arthur m 1-1][person:darren m 5-5][person:phillip m 7-7][person:willie m 9-9]
arthur| Of course go ahead|
arthur| I called them and still they were out of town only We will invite them later| [person:arthur m 0-0][person:pw g(phillip:willie) 2-2][person:pw g(phillip:willie) 5-5][location:town s 9-9][person:da g(darren:arthur) 11-11][person:pw g(phillip:willie) 14-14]
darren| Okay I invited Philip and he is okay to come with us Will check with Willie now| [person:darren m 1-1][person:phillip m 3-3][person:phillip m 5-5][person:da g(darren:arthur) 11-11][person:willie m 15-15]
arthur| Okay Where are we going now for the breakfast| [person:da g(darren:arthur) 3-3]
darren| Once our friends are here we will discuss and decide about this Okay| [person:da g(darren:arthur) 1-1][person:friends g(phillip:willie:stephen:clyde) 2-2][location:town s 4-4][person:da g(darren:arthur) 5-5]
arthur| Okay done|

conv:people_2019082201_119:aug_0:chat_0:chataug_0| julia pamela| [person:julia f 0-0][person:pamela f 1-1]
pamela| Hey so you know I m visiting Chicago soon right| [person:julia f 2-2][person:pamela f 4-4][location:chicago s 7-7]
julia| Yes I can t wait to finally see you| [person:julia f 1-1][person:pamela f 8-8]
pamela| I m hoping to also meet up with Kathleen Benjamin and Walter| [person:pamela f 0-0][person:kathleen f 8-8][person:benjamin m 9-9][person:walter m 11-11]
julia| I m sure they will be thrilled to see you| [person:julia f 0-0][person:they g(kathleen:benjamin:walter) 3-3][person:pamela f 9-9]
pamela| Do you know where they live Maybe we can all go out to eat somewhere close| [person:julia f 1-1][person:they g(kathleen:benjamin:walter) 4-4][person:we g(pamela:julia:kathleen:benjamin:walter) 7-7]
julia| They all live near downtown I know Benjamin doesn t like to drive too far so we should go somewhere close| [person:they g(kathleen:benjamin:walter) 0-0][location:downtown s 4-4][person:julia f 5-5][person:benjamin m 7-7][person:we g(pamela:julia:kathleen:benjamin:walter) 16-16]
pamela| Ok that sounds good We can go somewhere casual doesn t have to be fancy| [person:we g(pamela:julia:kathleen:benjamin:walter) 4-4]
julia| Yeah a pub or something would be great| [location:pub s 2-2]
pamela| Can you contact them and tell them the plan| [person:julia f 1-1][person:they g(kathleen:benjamin:walter) 3-3][person:they g(kathleen:benjamin:walter) 6-6]
julia| For sure I ll let them all know that you re coming| [person:julia f 2-2][person:they g(kathleen:benjamin:walter) 5-5][person:pamela f 9-9]
pamela| Great thanks so much I can t wait| [person:pamela f 4-4]

conv:people_2019082201_120:aug_0:chat_0:chataug_0| darren david| [person:darren m 0-0][person:david m 1-1]
darren| Where should we go watch the game with Phil and Marcus| [person:we g(darren:david) 2-2][person:phil m 8-8][person:marcus m 10-10]
david| We should find a place that s close to all of us and has good food| [person:we g(darren:david) 0-0][location:place s 4-4][person:us g(darren:david:phil:marcus) 11-11]
darren| What about the pub that s up the street from me| [location:pub s 3-3][person:darren m 10-10]
david| That sounds good What kind of food do they have| [person:they g() 8-8]
darren| They have gourmet pub food like Irish nachos garlic butter steak bites pretzel bites and beer cheese| [person:they g() 0-0]
david| Awesome Let s meet there at 7| [location:pub s 4-4]
darren| Okay Can you pick up Phil and Marcus I have to work until 6| [person:david m 2-2][person:phil m 5-5][person:marcus m 7-7][person:darren m 8-8]
david| Yeah I can grab them on the way| [person:david m 1-1][person:them g(phil:marcus) 4-4]
darren| Thanks so much See you guys later| [person:david m 4-4]
david| See you later We ll probably get there early for a drink| [person:darren m 1-1][person:we g(david:phil:marcus) 3-3][location:pub s 7-7]

conv:people_2019082201_123:aug_0:chat_0:chataug_0| helen mary| [person:helen f 0-0][person:mary f 1-1]
helen| Mary I saw Gregory this morning and gave me bad news| [person:mary f 0-0][person:helen f 1-1][person:gregory m 3-3][person:helen f 8-8]
mary| oh no what happened|
helen| Nothing serious sorry Just that Hannah and him can t meet us for breakfast this weekend| [person:hannah f 5-5][person:gregory m 7-7][person:us g(helen:mary) 11-11]
mary| Oh that s all I was worried for a moment| [person:mary f 4-4]
helen| Sorry about that So do you still want to meet for breakfast| [person:mary f 5-5]
mary| Sure thing What time works for you| [person:helen f 6-6]
helen| I m flexible between 700 and 830 am How about you| [person:helen f 0-0][person:mary f 10-10]
mary| I think 800 am would be good for me| [person:mary f 0-0][person:mary f 8-8]
helen| Sounds good Lets meet and at the corner of Oak and Maple| [location:oak_and_maple s 9-11]
mary| Ok I ll be there with my appetite| [person:mary f 1-1][location:oak_and_maple s 4-4][person:mary f 6-6]

conv:people_2019082201_124:aug_0:chat_0:chataug_0| jacob jordan| [person:jacob m 0-0][person:jordan m 1-1]
jacob| Hey Jordan the Super Bowl is going to be awesome| [person:jordan m 1-1]
jordan| I know man it s the best one in years| [person:jordan m 0-0]
jacob| Dwayne and Charles want to know if we have any concrete plans for the game| [person:dwayne m 0-0][person:charles m 2-2][person:jacob__jordan g(jacob:jordan) 7-7]
jordan| There are a few things we can do The sports bar downtown is hosting it There s also that steak place showing it Or we can watch it at my place| [person:everyone g(jacob:jordan:dwayne:charles) 5-5][location:sports_bar s 9-10][location:downtown s 11-11][location:steak_place s 19-20][person:everyone g(jacob:jordan:dwayne:charles) 24-24][person:jordan m 29-29]
jacob| The sports bar doesn t have any food I really want some good food for the game| [location:sports_bar s 1-2][person:jacob m 8-8]
jordan| The steak place is pretty far from everyone And it ll be busy| [location:steak_place s 1-2][location:place s 2-2][person:everyone g(jacob:jordan:dwayne:charles) 7-7]
jacob| Yeah that s no good Maybe we should just have it at your place| [person:everyone g(jacob:jordan:dwayne:charles) 6-6][person:jordan m 12-12][location:place s 13-13]
jordan| Yeah we can order some food from the spots near me they re good| [person:everyone g(jacob:jordan:dwayne:charles) 1-1][person:jordan m 10-10]
jacob| Okay that sounds good I can also bring over some desserts| [person:jacob m 4-4]
jordan| Nice I ll tell Dwayne and Charles about the plans| [person:jordan m 1-1][person:dwayne m 4-4][person:charles m 6-6]
jacob| Cool I ll talk to you later| [person:jacob m 1-1][person:jordan m 5-5]

conv:people_2019082201_125:aug_0:chat_0:chataug_0| denise mary| [person:denise f 0-0][person:mary f 1-1]
denise| Hey how are you| [person:mary f 3-3]
mary| Doing great And you| [person:denise f 3-3]
denise| Could be doing better I was supposed to show my coworkers Richard and Henry around today since they re visiting but I m swamped at work| [person:denise f 4-4][person:denise f 9-9][person:coworkers g() 10-10][person:richard m 11-11][person:henry m 13-13][person:coworkers g(richard:henry) 17-17][person:denise f 21-21]
mary| Oh no Do you think you ll be able to make it| [person:denise f 3-3][person:denise f 5-5]
denise| Probably not unfortunately|
mary| Is there anything I can do to help| [person:mary f 3-3]
denise| If you re not too busy would you mind showing them around for me| [person:mary f 1-1][person:mary f 7-7][person:coworkers g(richard:henry) 10-10][person:denise f 13-13]
mary| Sure I can do that Where do they like to go| [person:mary f 1-1][person:coworkers g(richard:henry) 7-7]
denise| Richard loves to go to bars and Henry likes to shop| [person:richard m 0-0][location:bars g() 5-5][person:henry m 7-7]
mary| Okay I ll think of some places to visit| [person:mary f 1-1][location:places g() 6-6]
denise| Thank you so much| [person:mary f 1-1]

conv:people_2019082201_128:aug_0:chat_0:chataug_0| cynthia julie| [person:cynthia f 0-0][person:julie f 1-1]
julie| Hey Cynthia Don t forget the pizza party we are hosting this Saturday| [person:cynthia f 1-1][person:we g(julie:cynthia) 8-8]
cynthia| Oh thats right The Watson s are coming to our place this weekend| [person:mrs__watson f 4-4][person:we g(julie:cynthia) 9-9][location:place s 10-10]
julie| Yeah And the Murphy s are coming with them We need to prepare| [person:mrs__murphy f 3-3][person:watsons g() 8-8][person:we g(julie:cynthia) 9-9]
cynthia| What s the big deal We just buy a whole bunch of pizza for them| [person:we g(julie:cynthia) 5-5][person:them g() 14-14]
julie| You can t just serve pizza at a pizza party We need to prepare some fine Italian dishes for them| [person:cynthia f 0-0][person:we g(julie:cynthia) 10-10][person:them g() 19-19]
cynthia| Why can t you just serve pizza at a pizza party Isn t that what they expect| [person:julie f 3-3][person:them g() 15-15]
julie| Nobody expects only pizza at a pizza party anymore than they expect to take a shower at a bridal one Come on We have to impress them| [person:them g() 10-10][person:we g(julie:cynthia) 22-22][person:them g() 26-26]
cynthia| Whatever Let s just order the top five dishes at Luigi s Everybody will love that| [person:them g() 12-12]
julie| I must admit that sounds like a simple and quick plan They will drool over Luigi s| [person:julie f 0-0][person:them g() 11-11]
cynthia| So we are done with the planning then| [person:we g(julie:cynthia) 1-1]
julie| I think so I don t see what else we need for them| [person:julie f 0-0][person:julie f 3-3][person:we g(julie:cynthia) 9-9][person:them g() 12-12]

conv:people_2019082201_129:aug_0:chat_0:chataug_0| robert steven| [person:robert m 0-0][person:steven m 1-1]
steven| Hello|
robert| Hi how are yoy|
steven| I am fine My bro Bryan and his friend Greg will be visiting| [person:steven m 0-0][person:steven m 3-3][person:bryan m 5-5][person:bryan m 7-7][person:greg m 8-8][person:greg m 9-9]
robert| Wow thats nice|
steven| Haha thanks|
steven| We will be watching soccer you know the new English premier League is on Already| [person:we g(steven:bryan:greg) 0-0][person:robert m 5-5]
robert| Ooh yeah there will be a match today|
steven| Trye where do you watch soccer| [person:robert m 3-3]
robert| I like Lacoste they have very good drinks and their bills are not exxagerated| [person:robert m 0-0][location:lacoste s 2-2]
steven| Is it the one next to the Villas| [location:lacoste s 1-1][location:villas s 7-7]
robert| Yes its a nice place i know they will like it| [location:place s 4-4][person:robert m 5-5][person:they g(bryan:greg) 7-7][location:lacoste s 10-10]
steven| Eow thanks do you mind joining us| [person:robert m 3-3][person:we g(steven:bryan:greg) 6-6]
robert| No problem i will let you know when if i will be free then| [person:robert m 2-2][person:steven m 5-5][person:robert m 9-9]
steven| Awesome thanks|
robert| You are welcome| [person:steven m 0-0]

conv:people_2019082201_133:aug_0:chat_0:chataug_0| jerry justin| [person:jerry m 0-0][person:justin m 1-1]
jerry| Hi Justin I will be organizing a party for the Stevens next week could you give me some advice| [person:justin m 1-1][person:jerry m 2-2][person:justin m 14-14][person:jerry m 16-16]
justin| Sure What advice do you need| [person:jerry m 4-4]
jerry| I was thinking about the place to hold the party but I can t seem to find a suitable one so far| [person:jerry m 0-0][location:place s 5-5][person:jerry m 11-11]
justin| You know just hold it at a bar the one they mentioned they like the other time we met them| [person:jerry m 0-0][person:they g() 10-10][person:they g() 12-12][person:we g(jerry:justin) 17-17][person:frank m 19-19]
jerry| Oh the Chocolate Bar That sounds perfect Tom especially loves chocolate| [location:chocolate_bar s 2-3][location:chocolate_bar s 3-3][person:tom m 7-7]
justin| Yes I was referring to that I think Frank also knows the Stevens you can also seek his advice about this| [person:justin m 1-1][person:justin m 6-6][person:frank m 8-8][person:jerry m 13-13][person:frank m 17-17]
jerry| Oh do they I didn t know about this Let me try asking him| [person:they g(frank:tom) 2-2][person:jerry m 3-3][person:jerry m 10-10][person:frank m 13-13]
justin| Yes I remember that Frank actually mentioned about them before so he must have known them| [person:justin m 1-1][person:frank m 4-4][person:they g(frank:tom) 8-8][person:frank m 11-11][person:they g(frank:tom) 15-15]
jerry| I see that s not an issue then I will just contact him about this Thank you so much| [person:jerry m 0-0][person:jerry m 8-8][person:frank m 12-12][person:justin m 16-16]
justin| No worries I am always glad to help you| [person:justin m 2-2][person:jerry m 8-8]

conv:people_2019082201_134:aug_0:chat_0:chataug_0| harold tyler| [person:harold m 0-0][person:tyler m 1-1]
tyler| Hi Harold| [person:harold m 1-1]
harold| Hi Tyler| [person:tyler m 1-1]
tyler| Do you think about our show| [person:harold m 1-1][person:our g(tyler:harold) 4-4]
harold| Yes I am always thinking about our show| [person:harold m 1-1][person:our g(tyler:harold) 6-6]
tyler| Then Whom you want to invite| [person:harold m 2-2]
harold| We can invite Edgar and Roy| [person:we g(tyler:harold) 0-0][person:edgar m 3-3][person:roy m 5-5]
tyler| What about Peter| [person:peter m 2-2]
harold| I asked him 2 days ago But he told that he had work for the day| [person:harold m 0-0][person:peter m 2-2][person:peter m 7-7][person:peter m 10-10]
tyler| No problem I will convince him| [person:tyler m 2-2][person:peter m 5-5]
harold| That s nice|
tyler| Ok Then do you invite Edgar and Roy| [person:harold m 3-3][person:edgar m 5-5][person:roy m 7-7]
harold| No But I will invite Edgar because he is close to our house| [person:harold m 2-2][person:edgar m 5-5][person:edgar m 7-7][person:harold m 11-11][location:house s 12-12]
tyler| Then I will invite Roy| [person:tyler m 1-1][person:roy m 4-4]
harold| Perfect If they all are in the show it will be fun| [person:they g(edgar:roy:peter) 2-2]
tyler| Sure I am really excited about the show| [person:tyler m 1-1]

conv:people_2019082201_135:aug_0:chat_0:chataug_0| emily frances| [person:emily f 0-0][person:frances f 1-1]
frances| Hey you available this week for some soccer practice| [person:emily f 1-1]
emily| Apart from class I think so you want me to help you practice a bit more| [person:emily f 3-3][person:frances f 6-6][person:emily f 8-8][person:frances f 11-11]
frances| I feel that I need to practice some techniciques I don t think I am getting it when I do the drills in class| [person:frances f 0-0][person:frances f 3-3][person:emily f 9-9][person:emily f 13-13][person:emily f 18-18]
emily| I see I should be able to help you out then were you thinking on bringing along someone else| [person:emily f 0-0][person:emily f 2-2][person:frances f 8-8][person:frances f 12-12][person:someone u 17-17]
frances| Yeah but I could not think of someone else that would be willing or able to practice with us this week| [person:frances f 2-2][person:someone u 7-7][person:us g(frances:emily) 18-18]
emily| Have you asked Rachel or the others before asking me| [person:frances f 1-1][person:rachel f 3-3][person:others g() 6-6][person:emily f 9-9]
frances| I did ask Rachel and Eve if they were available this week for additional practice but they said they were quite busy| [person:frances f 0-0][person:rachel f 3-3][person:they g(rachel) 7-7][person:they g(rachel) 16-16][person:they g(rachel) 18-18]
emily| What about Tiffany She shouldn t have anything major this week that might occupy her time| [person:tiffany f 2-2][person:tiffany f 3-3][person:tiffany f 14-14]
frances| I did not think about Tiffany before that would be great as she is quite committed to practice| [person:frances f 0-0][person:tiffany f 5-5][person:tiffany f 12-12]
emily| Send her a text today and tell her we should meet up at the park near my house| [person:tiffany f 1-1][person:tiffany f 7-7][person:we g(frances:emily:tiffany) 8-8][location:park s 14-14][person:emily f 16-16][location:house s 17-17]
frances| Alright I think I know where that is I ll invite Tiffany today and tell her where were meeting sometime this week| [person:frances f 1-1][person:frances f 3-3][person:frances f 8-8][person:tiffany f 11-11][person:tiffany f 15-15]

conv:people_2019082201_137:aug_0:chat_0:chataug_0| eddie shane| [person:eddie m 0-0][person:shane m 1-1]
eddie| Shane what about a show time with our friends Do you think this is nice plan| [person:shane m 0-0][person:our g(eddie:shane) 7-7][person:friends g() 8-8][person:shane m 10-10]
shane| Yes that is nice Whom do you want to invite to the show| [person:eddie m 6-6]
eddie| Nicholas Jeremy Alex and Douglas I think they are the funniest guys and they will make this show time the best one| [person:nicholas m 0-0][person:jeremy m 1-1][person:alex m 2-2][person:douglas m 4-4][person:eddie m 5-5][person:friends g(nicholas:jeremy:alex:douglas) 7-7][person:friends g(nicholas:jeremy:alex:douglas) 13-13]
shane| What about me you are not willing to invite me| [person:shane m 2-2][person:eddie m 3-3][person:shane m 9-9]
eddie| Hey Shane come on We are the organizers of this plan buddy| [person:shane m 1-1][person:our g(eddie:shane) 4-4][person:shane m 11-11]
shane| It s just a joke Don t feel Okay What about Alex I think He always don t like to go outside shows| [person:alex m 11-11][person:shane m 12-12][person:alex m 14-14]
eddie| Yes I know But If we are telling him that all our friends are come then he may accept this| [person:eddie m 1-1][person:our g(eddie:shane) 5-5][person:alex m 8-8][person:our g(eddie:shane) 11-11][person:friends g(nicholas:jeremy:alex:douglas) 12-12][person:alex m 16-16]
shane| That is great idea Also Douglas is very close to him If Douglas ask him to come the he will compulsory come| [person:douglas m 5-5][person:alex m 10-10][person:douglas m 12-12][person:alex m 14-14][person:alex m 18-18]
eddie| Yes will also try that What about your idea of the place where we have to go for the show| [person:shane m 7-7][location:place s 11-11][person:everyone g(eddie:shane:nicholas:jeremy:alex:douglas) 13-13]
shane| Don t you finalize it| [person:eddie m 2-2]
eddie| No still not|
shane| Okay let s do one thing first we invite them all and then discuss the place and decide with everyone s choice Okay| [person:our g(eddie:shane) 7-7][person:friends g(nicholas:jeremy:alex:douglas) 9-9][location:place s 15-15][person:everyone g(eddie:shane:nicholas:jeremy:alex:douglas) 19-19]
eddie| Done|

conv:people_2019082201_138:aug_0:chat_0:chataug_0| doug karen| [person:doug m 0-0][person:karen f 1-1]
doug| Hey Karen how s it going| [person:karen f 1-1]
karen| Pretty good Doug how about you| [person:doug m 2-2][person:doug m 5-5]
doug| Good thanks for asking|
doug| I m hanging out with my friends Joan Emily and Alan this weekend would you like to come| [person:doug m 0-0][person:doug m 5-5][person:friends g() 6-6][person:joan f 7-7][person:emily f 8-8][person:alan m 10-10][person:karen f 14-14]
karen| Um I m not sure I don t really know those people too well| [person:karen f 1-1][person:karen f 5-5]
karen| Have I met them before| [person:karen f 1-1][person:friends g(joan:emily:alan) 3-3]
doug| Yes Emily and Joan were at my birthday party last year And you don t know Alan but he s super cool| [person:emily f 1-1][person:joan f 3-3][person:doug m 6-6][person:karen f 12-12][person:alan m 16-16][person:alan m 18-18]
doug| They are all chill people who have great personalities| [person:friends g(joan:emily:alan) 0-0]
karen| Well ok what do you guys plan to do| [person:friends g(joan:emily:alan) 4-4]
doug| We are thinking about getting dinner and maybe a movie afterwards| [person:friends g(joan:emily:alan) 0-0]
karen| Well that sounds fun what time are you guys going| [person:friends g(joan:emily:alan) 7-7]
doug| We were thinking Saturday around 7pm| [person:friends g(joan:emily:alan) 0-0]
doug| So can you come| [person:karen f 2-2]
karen| Yeah sure I can make it I will be there| [person:karen f 2-2][person:karen f 6-6]
doug| Great Can t wait till this weekend|
karen| Me too I can t wait to hang out with you guys| [person:karen f 0-0][person:karen f 2-2][person:friends g(joan:emily:alan) 10-10]

conv:people_2019082201_139:aug_0:chat_0:chataug_0| andy kayla| [person:andy m 0-0][person:kayla f 1-1]
kayla| Hey I accidentally forgot my bag at my friend Teresa s place| [person:kayla f 1-1][person:kayla f 4-4][person:kayla f 7-7][person:teresa f 8-8][person:teresa f 9-9][location:place s 11-11]
andy| Sorry to hear that|
kayla| I was supposed to pick it up today But I got stuck having drinks with my work friends| [person:kayla f 0-0][person:kayla f 9-9][person:kayla f 15-15][person:friends g() 17-17]
andy| Oh|
kayla| Are you at home You live only five minutes from her| [person:andy m 1-1][location:home s 3-3][person:andy m 4-4][person:teresa f 10-10]
andy| Yeah I guess I could pick it up for you if I need to| [person:andy m 1-1][person:andy m 3-3][person:kayla f 9-9][person:andy m 11-11]
kayla| Thank you so much You re really the best I m sorry for making you do this for me| [person:andy m 1-1][person:andy m 4-4][person:kayla f 9-9][person:andy m 14-14][person:kayla f 18-18]
andy| It s no problem I like getting out on such a nice day anyway I just hope you manage to remember your stuff in the future| [person:andy m 4-4][person:andy m 14-14][person:kayla f 17-17][person:kayla f 21-21]
kayla| I always try I don t know why I m so forgetful| [person:kayla f 0-0][person:kayla f 3-3][person:kayla f 8-8]
andy| I guess it s not your fault I can bring your bag over tomorrow| [person:andy m 0-0][person:kayla f 5-5][person:andy m 7-7][person:kayla f 10-10]
kayla| Thank you so much| [person:andy m 1-1]

conv:people_2019082201_140:aug_0:chat_0:chataug_0| louis roger| [person:louis m 0-0][person:roger m 1-1]
roger| Hi Louis I have a huge favor to ask you my man| [person:louis m 1-1][person:roger m 2-2][person:louis m 9-9][person:roger m 10-10]
louis| Hi I ll gladly help if I m able to Shoot What s it about| [person:louis m 1-1][person:louis m 6-6]
roger| My friend Phil and Jason are visiting Boston I was wondering if by any chance you would be so kind as to show them around| [person:roger m 0-0][person:friends g() 1-1][person:phil m 2-2][person:jason m 4-4][person:roger m 8-8][person:louis m 15-15][person:friends g(phil:jason) 23-23]
louis| Sure no problem But you definitely owe me one| [person:roger m 4-4][person:louis m 7-7]
roger| Of course I do And as a plus they are actually great guys You ll have fun| [person:roger m 2-2][person:friends g(phil:jason) 8-8][person:louis m 13-13]
louis| Nice Any ideas where to take them| [person:friends g(phil:jason) 6-6]
roger| Phil is a history buff and he has travelled quite a lot He s very much into museums historical sites but he also enjoys scenic views and just taking in the city one step at a time| [person:phil m 0-0][person:phil m 6-6][person:phil m 12-12][location:museums g() 17-17][person:phil m 21-21][location:city s 31-31]
louis| OK How about Jason What s he into| [person:jason m 3-3][person:jason m 6-6]
roger| Jason is more simple He ll go along with the gang to whatever locations they like to visit as long as at the end of the journey there is a nice restaurant| [person:jason m 0-0][person:jason m 4-4][person:friends g(phil:jason) 14-14][location:restaurant s 31-31]
louis| Oh he s a foodie| [person:jason m 1-1]
louis| I have the perfect day already planned out for them in my mind They ll for sure enjoy Boston| [person:louis m 0-0][person:friends g(phil:jason) 9-9][person:louis m 11-11][person:friends g(phil:jason) 13-13][location:boston s 18-18]
roger| Thanks man I knew I could count on you| [person:roger m 2-2][person:roger m 4-4][person:louis m 8-8]
louis| Anytime man anytime|

conv:people_2019082201_141:aug_0:chat_0:chataug_0| christine grace| [person:christine f 0-0][person:grace f 1-1]
christine| I can t wait to see the movie tonight| [person:christine f 0-0]
grace| What movie is it that Virginia and Cheryl want to see| [person:virginia f 5-5][person:cheryl f 7-7]
christine| They seem to enjoy love stories but also like horror| [person:they g(virginia:cheryl) 0-0]
grace| That s kind of different I don t like horror but don t mind love stories| [person:grace f 5-5]
christine| I think they are flexible I can talk to them if you have a suggestion| [person:christine f 0-0][person:they g(virginia:cheryl) 2-2][person:christine f 5-5][person:them g(virginia:cheryl) 9-9][person:christine f 11-11]
grace| Sure I suggest the new movie at Cinemaid Theatres tonight| [person:grace f 1-1][location:cinemaid_theatres s 7-8]
christine| That sounds like a nice theatre plan I like the popcorn there| [location:cinemaid_theatres s 5-5][person:christine f 7-7][location:cinemaid_theatres s 11-11]
grace| Yes they have nice recliners and great popcorn| [person:they g(virginia:cheryl) 1-1]
christine| Let s go to the 900 show if that s okay with Virginia and Cheryl| [person:virginia f 12-12][person:cheryl f 14-14]
grace| That sounds good to me I ll call them| [person:grace f 4-4][person:grace f 5-5][person:them g(virginia:cheryl) 8-8]

conv:people_2019082201_143:aug_0:chat_0:chataug_0| andy melissa| [person:andy m 0-0][person:melissa f 1-1]
melissa| Hey Kim and Jane are coming this weekend| [person:kim f 1-1][person:jane f 3-3]
andy| Hey Yes they told me On what time will they come| [person:they g(kim:jane) 2-2][person:andy m 4-4][person:they g(kim:jane) 9-9]
melissa| They will be here at 3 pm| [person:they g(kim:jane) 0-0]
andy| great what are you planning| [person:melissa f 3-3]
melissa| there are two options|
andy| and what are they|
melissa| one is let s prepare some food at home and watch Netflix| [location:home s 8-8]
melissa| other is go out for a movie and have dinner out|
andy| second one is great they will enjoy too| [person:they g(kim:jane) 4-4]
melissa| ok then let me inform them about the plan| [person:melissa f 3-3][person:they g(kim:jane) 5-5]
andy| ok then|
melissa| be ready on time andy| [person:andy m 4-4]
andy| Yeah sure|
melissa| See you then| [person:andy m 1-1]
andy| Bye|

conv:people_2019082201_144:aug_0:chat_0:chataug_0| johnny michael| [person:johnny m 0-0][person:michael m 1-1]
johnny| Hey Michael| [person:michael m 1-1]
michael| What s up|
johnny| Just going over some last minute details for the lunch|
michael| Nice Hey do you think it ll be okay if I invite Joe and Darren to the lunch too| [person:johnny m 3-3][person:michael m 10-10][person:joe m 12-12][person:darren m 14-14]
johnny| Doesn t Darren really prefer to eat at steakhouses| [person:darren m 2-2][location:steakhouses g() 8-8]
michael| Yeah but I think we can find a place we all like| [person:michael m 2-2][person:we g(johnny:michael) 4-4][location:place s 8-8][person:we g(johnny:michael) 9-9]
johnny| I guess What does Joe like| [person:johnny m 0-0][person:joe m 4-4]
michael| Joe will eat anything| [person:joe m 0-0]
johnny| Let s maybe try a bbq place that everyone will like| [location:place s 6-6][person:everyone g(johnny:michael:joe:darren) 8-8]
michael| Sounds good to me| [person:michael m 3-3]
johnny| Okay good I ll run it by everyone| [person:johnny m 2-2][person:everyone g(johnny:michael:joe:darren) 7-7]
