conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
colin| I really enjoyed the party| [person:darick m 0-0]
darick| I couldn t attend I was sick| [person:darick m 0-0][person:darick m 4-4]
colin| It was fun There was a live cover band performing popular popular rock songs|
darick| I feels awful to have missed out on such a party| [person:darick m 0-0]
colin| We should hang out again when you are better| [person:we g(colin:darick) 0-0][person:darick m 6-6]
darick| Yes i will like that idea too| [person:darick m 1-1]
darick| Okay so then we will surely hangout| [person:we g(colin:darick) 3-3]

conv:people_chats_0520_97:aug_0:chat_0:chataug_0| margo millie| [person:margo f 0-0][person:millie f 1-1]
millie| Hey sis How s it going Still coming for Christmas|
margo| Hey Millie Yes just for Christmas day though| [person:millie f 1-1]
millie| Oh shoot Kristian and Rodger are only here until Christmas Eve Then they re going to their dad s| [person:kristian m 2-2][person:rodger m 4-4][person:they g(kristian:rodger) 12-12][person:they g(kristian:rodger) 16-16][person:kristian_and_rodger_s_dad m 17-17]
margo| Ah I m so sorry I didn t realize| [person:margo f 1-1][person:margo f 5-5]
margo| Let me see| [person:margo f 1-1]
margo| I will try to come up a day earlier that way I can spend some time with them| [person:margo f 0-0][person:margo f 11-11][person:they g(kristian:rodger) 17-17]
millie| Really|
millie| if you can that would be amazing| [person:margo f 1-1]
millie| I know they would really enjoy seeing you| [person:millie f 0-0][person:they g(kristian:rodger) 2-2][person:margo f 7-7]
margo| I really want to see them too We still need to finish our game of Monopoly| [person:margo f 0-0][person:they g(kristian:rodger) 5-5][person:we g(millie:margo) 7-7][person:we g(millie:margo) 12-12]
millie| No you don t Trust me But I think Kristian enjoys it more than you| [person:margo f 1-1][person:millie f 5-5][person:millie f 7-7][person:kristian m 9-9][person:margo f 14-14]

conv:people_chats_0520_98:aug_0:chat_0:chataug_0| chuck randy| [person:chuck m 0-0][person:randy m 1-1]
chuck| Hey man bad news I just got laid off| [person:chuck m 4-4]
randy| Oh no that s horrible You good| [person:chuck m 5-5]
chuck| I don t know man I don t have much savings I m not sure how I can pay for rent this month| [person:chuck m 0-0][person:chuck m 5-5][person:chuck m 11-11][person:chuck m 16-16]
randy| It s going to be okay|
randy| Why don t you try talking with Felix and Zach maybe they can help Maybe ask if they can lend you the money| [person:chuck m 3-3][person:felix m 7-7][person:zach m 9-9][person:they g(felix:zach) 11-11][person:they g(felix:zach) 17-17][person:chuck m 20-20]
chuck| Ugh I don t like asking for money| [person:chuck m 1-1]
chuck| Especially my roommates| [person:chuck m 1-1]
randy| I understand how you feel Don t worry we re here for you| [person:randy m 0-0][person:chuck m 3-3][person:we g(randy:felix:zach) 8-8][person:chuck m 12-12]
chuck| Thanks bud I appreciate it| [person:chuck m 2-2]
randy| Absolutely Don t worry I think they can help| [person:randy m 4-4][person:they g(felix:zach) 6-6]
chuck| I know but like I said I really don t like asking people for money especially my roommates| [person:chuck m 0-0][person:chuck m 4-4][person:chuck m 6-6][person:chuck m 16-16]

conv:people_chats_0520_100:aug_0:chat_0:chataug_0| carolyn malcolm| [person:carolyn f 0-0][person:malcolm m 1-1]
carolyn| AAAHHHH Guess What|
malcolm| Pigs can fly|
carolyn| No P I just got tickets for Friday s game| [person:carolyn f 2-2]
malcolm| Oh sweet That will be aweseom|
carolyn| Yeah I actually won four tickets do you want to join| [person:carolyn f 1-1][person:malcolm m 7-7]
malcolm| Seriously That d be awesome|
malcolm| Who else gets to come|
carolyn| I m not sure i don t know if anyone would enjoy going as much| [person:carolyn f 0-0][person:carolyn f 4-4][person:anyone g() 9-9]
carolyn| Do you know anyone that would want to go| [person:malcolm m 1-1][person:anyone g() 3-3]
malcolm| Mary and Maxine really enjoy UT football I think they were going to go to the tailgating party I bet they d love to actually go too| [person:mary f 0-0][person:maxine f 2-2][person:malcolm m 7-7][person:they g(mary:maxine) 9-9][location:tailgating_party s 16-17][person:malcolm m 18-18][person:they g(mary:maxine) 20-20]
carolyn| Oh awesome I ll send them a message then| [person:carolyn f 2-2][person:them g(mary:maxine) 5-5]

conv:people_chats_0520_101:aug_0:chat_0:chataug_0| jessica lana| [person:jessica f 0-0][person:lana f 1-1]
lana| Hey Jessica I hate to bother you but I have a question for you| [person:jessica f 1-1][person:lana f 2-2][person:jessica f 6-6][person:lana f 8-8][person:jessica f 13-13]
jessica| Shoot what s up|
lana| Okay so I know you just built a tiny house Lester and I want to build one too| [person:lana f 2-2][person:jessica f 4-4][location:house s 9-9][person:lester m 10-10][person:lana f 12-12]
jessica| Nice|
lana| I wanted to know like how your experience was We want to build one up too but we aren t sure how to get around to it Did you hire a contractor| [person:lana f 0-0][person:jessica f 6-6][person:we g(lana:lester) 9-9][person:we g(lana:lester) 17-17][location:house s 26-26][person:jessica f 28-28]
jessica| Nah Chester did the majority of it He has a background with some construction| [person:chester m 1-1][location:house s 6-6][person:chester m 7-7]
lana| Lester has some experience building from school We are super excited about it| [person:lester m 0-0][location:building s 4-4][location:school s 6-6][person:we g(lana:lester) 7-7]
jessica| Whoa Hold on now There s a difference between having construction experience and some course work That s not such a good idea|
jessica| Like you could have a really unsafe house have wiring fiascos the works You need to hire a professional| [person:lana f 1-1][person:lana f 13-13]
lana| But that gets expensive Lester might not like the idea of that since building it ourselves would be cheaper| [person:lester m 4-4][location:building s 13-13]
jessica| Yeah but without proper experience or having someone professional it could fail building code If you wire it wrongly it could have a fire Dude insurance won t even cover you if you mess up Hire a legit person| [location:building s 12-12][person:lana f 15-15][location:building s 17-17][location:building s 19-19][person:lana f 30-30][person:lana f 32-32]
lana| I ll talk with Lester about it but I ll deff keep it in mind| [person:lana f 0-0][person:lester m 4-4][location:building s 6-6][person:lana f 8-8]
jessica| Word Let me know Chester might know some people you can get in contact with to get a starting quote and if anything that will get you started in terms of figuring things out| [person:jessica f 2-2][person:chester m 4-4][person:lana f 9-9][person:lana f 26-26]

conv:people_chats_0520_102:aug_0:chat_0:chataug_0| gilbert margaret| [person:gilbert m 0-0][person:margaret f 1-1]
gilbert| Hey Margaret Mom and Dad s roof is leaking I m thinking we should find the best roofer within the area to fix the leak as soon as possible| [person:margaret f 1-1][person:mom f 2-2][person:dad m 4-4][person:gilbert m 9-9][person:we g(gilbert:margaret) 12-12]
margaret| I agree Mom called and told me that puddles are building up rapidly Who do you have in mind| [person:margaret f 0-0][person:mom f 2-2][person:margaret f 6-6][person:gilbert m 15-15]
gilbert| Well we need the repairs to be quick yet also effective It ll be a waste of time and money if the repairs don t last long| [person:we g(gilbert:margaret) 1-1]
margaret| Didn t your friend had his roof fixed recently You told me from what you saw when you visited him last week that the job was beautiful| [person:gilbert m 2-2][person:friend m 3-3][person:friend m 5-5][person:gilbert m 9-9][person:margaret f 11-11][person:gilbert m 14-14][person:gilbert m 17-17][person:friend m 19-19]
gilbert| Good point I ll call my friend to get the roofers business information I ll also call them to come in and take a look at mom s and dad s roof Can you find any contractors that can examine and fix any water damages Not doubt there ll be something Better to be safe| [person:gilbert m 2-2][person:gilbert m 5-5][person:friend m 6-6][person:gilbert m 13-13][person:them g() 17-17][person:mom f 26-26][person:dad m 29-29][person:margaret f 33-33]
margaret| Yeah let me know when the roofer is coming in I ll try to schedule the contractor to come in after I ll also let mom and dad know so they ll be expecting the contractors to come by| [person:margaret f 2-2][person:margaret f 10-10][person:margaret f 21-21][person:mom f 25-25][person:dad m 27-27][person:they g(mom:dad) 30-30]
gilbert| Sounds like a plan I ll let you know as soon as possible| [person:gilbert m 4-4][person:margaret f 7-7]
margaret| Oh don t forget to ask the roofer if he provides free estimates Sometimes contractors have some fees here and there so I don t want any surprises I ll do the same for the contractor coming in to fix any water damages| [person:them g() 9-9][person:margaret f 22-22][person:margaret f 28-28]
gilbert| Good point also should I put the name under our parents Franklin and Thelma Or do you want me to put it under our names| [person:gilbert m 4-4][person:we g(gilbert:margaret) 9-9][person:they g(mom:dad) 10-10][person:dad m 11-11][person:margaret f 16-16][person:gilbert m 18-18][person:we g(gilbert:margaret) 23-23]
margaret| For better communication I think it s best to have the contract placed for their names We ll give our contact info and everything so there shouldn t be any mix ups| [person:margaret f 3-3][person:they g(mom:dad) 14-14][person:we g(gilbert:margaret) 16-16][person:we g(gilbert:margaret) 19-19]
gilbert| Ok I ll let you know when I set the appointment| [person:gilbert m 1-1][person:margaret f 4-4][person:gilbert m 7-7]

conv:people_chats_0520_103:aug_0:chat_0:chataug_0| shirley tim| [person:shirley f 0-0][person:tim m 1-1]
tim| Shirley where do you think we should take the kids this summer| [person:shirley f 0-0][person:tim m 3-3][person:we g(tim:shirley) 5-5][person:kids g() 9-9]
shirley| We should go all in and take them to The Great Wolf Lodge in Niagara They would love it What do you think| [person:we g(tim:shirley) 0-0][person:we g(tim:shirley) 7-7][location:great_wolf_lodge s 11-11][location:niagara s 14-14][person:kids g() 15-15][person:tim m 21-21]
tim| While that sounds like a splendid idea we have to think about our financial situation| [person:we g(tim:shirley) 7-7][person:we g(tim:shirley) 12-12]
tim| I think Canada s Wonderland would offer the same amount of fun but would not cost as much to travel there| [person:tim m 0-0][location:wonderland s 4-4][location:wonderland s 20-20]
shirley| I agree but Matthias and Mae have not been to Niagara yet and very rarely get to travel far from home| [person:shirley f 0-0][person:matthias m 3-3][person:mae f 5-5][location:niagara s 10-10][location:home s 20-20]
tim| Mae has told me she is eager to go visit Canada s Wonderland and I do not think Matthias would be upset if we put off The Great Wolf Lodge till next year| [person:mae f 0-0][person:tim m 3-3][person:mae f 4-4][location:wonderland s 12-12][person:tim m 14-14][person:matthias m 18-18][person:we g(tim:shirley) 23-23]
tim| I think a pro of the of Wonderland is that we can save the money to visit The Great Wolf Lodge another time What do you think of that Idea| [person:tim m 0-0][location:wonderland s 7-7][person:we g(tim:shirley) 10-10][location:the_great_wolf_lodge s 18-18][person:shirley f 25-25]
shirley| While that Idea makes sense there is a special ride and exhibit that is only going to be offered this year at The Great Wolf Lodge It is a once in a lifetime opportunity for Mae and Matthias| [location:the_great_wolf_lodge s 23-23][person:mae f 35-35][person:matthias m 37-37]
tim| I read about that ride and Mae is not old enough to go on it and would feel left out Plus Wonderland is closer and we can spend more time there because we would not have to travel as far| [person:shirley f 0-0][person:mae f 6-6][location:wonderland s 21-21][person:we g(tim:shirley) 25-25][person:we g(tim:shirley) 32-32]
shirley| Ok how does this sound We go to Wonderland this year and will save up to go to The Great Wolf Lodge next year| [person:we g(tim:shirley) 5-5][location:wonderland s 8-8][location:the_great_wolf_lodge s 20-20]
tim| Sounds like a good idea|
shirley| But you have to tell Matthias and Mae the plans for this year and next year| [person:tim m 1-1][person:matthias m 5-5][person:mae f 7-7]

conv:people_chats_0520_104:aug_0:chat_0:chataug_0| anne marcus| [person:anne f 0-0][person:marcus m 1-1]
marcus| Does Brad have a black belt| [person:brad m 1-1]
anne| I m not sure if he does| [person:anne f 0-0][person:brad m 5-5]
marcus| Where did he get his training| [person:brad m 2-2][person:brad m 4-4]
anne| Trina mentioned to me that he learned some from being in the military| [person:trina f 0-0][person:anne f 3-3][person:brad m 5-5]
marcus| Oh wow was he in the army| [person:brad m 3-3]
anne| He was in navy| [person:brad m 0-0]
marcus| He learned martial arts in the navy That seems strange| [person:brad m 0-0]
anne| He was a Navy Seal member for three years| [person:brad m 0-0]
marcus| Oh I guess that makes sense They must use martial arts during war| [person:marcus m 1-1][person:navy_seal_members g() 6-6]
anne| He never talks about his military experiences with me I m not sure| [person:brad m 0-0][person:brad m 4-4][person:anne f 8-8][person:anne f 9-9]
marcus| Let him know that I would be interested in training with him| [person:brad m 1-1][person:marcus m 4-4][person:brad m 11-11]
anne| Ok I ll give him your number| [person:anne f 1-1][person:brad m 4-4][person:marcus m 5-5]

conv:people_chats_0520_105:aug_0:chat_0:chataug_0| marvin stella| [person:marvin m 0-0][person:stella f 1-1]
marvin| Hey Stella are you ready for Evelyn and Cassie to come over for dinner| [person:stella f 1-1][person:stella f 3-3][person:evelyn f 6-6][person:cassie f 8-8]
stella| Of course house is work going|
marvin| Nothing much is happening I m so excited to see our daughters tonight| [person:marvin m 4-4][person:our g(marvin:stella) 10-10]
stella| Me too I ve been making sure everything is right| [person:stella f 0-0][person:stella f 2-2]
marvin| Do you need me to pick up anything on the way home| [person:marvin m 1-1][person:marvin m 3-3][location:home s 11-11]
stella| No I have everything I need for dinner at six| [person:stella f 1-1][person:stella f 4-4]
marvin| That s good I ll be sure to get home on time| [person:marvin m 3-3][location:home s 9-9]
stella| Marvin remember not to mention Cassie s break up| [person:marvin m 0-0][person:cassie f 5-5]
marvin| She s the oldest She needs to be mature about it and not too sensitive| [person:cassie f 0-0][person:cassie f 4-4]
stella| It s still fresh for her| [person:cassie f 5-5]
marvin| It was six months ago it s time she moved on| [person:cassie f 8-8]
stella| Just try to talk about other things|
marvin| Okay I ll try| [person:marvin m 1-1]

conv:people_chats_0520_108:aug_0:chat_0:chataug_0| alicia dwayne| [person:alicia f 0-0][person:dwayne m 1-1]
alicia| what should we bring to the dinner| [person:we g(alicia:dwayne) 2-2]
dwayne| Are you talking about Thanksgiving| [person:alicia f 1-1][person:thanksgiving u 4-4]
alicia| Of course I am silly| [person:alicia f 2-2]
dwayne| Is it at Newton s house this year| [person:newton m 3-3][location:house s 5-5]
alicia| Yes it is there|
dwayne| I am not sure what to bring| [person:dwayne m 0-0]
alicia| Bryan is bringing fruit even though I wanted to| [person:bryan m 0-0][person:alicia f 6-6]
dwayne| I will bring dessert and you bring some drinks| [person:dwayne m 0-0][person:alicia f 5-5]
alicia| Okay I can do that| [person:alicia f 1-1]
dwayne| We gotta tell Newton and Bryan as well| [person:we g(alicia:dwayne) 0-0][person:newton m 3-3][person:bryan m 5-5]

conv:people_chats_0520_111:aug_0:chat_0:chataug_0| joan ted| [person:joan f 0-0][person:ted m 1-1]
joan| Hi Ted how s it going| [person:ted m 1-1]
ted| Hey it s good how are you| [person:joan f 6-6]
joan| It s going good I was thinking about starting up a winter activity to keep up with my fitness| [person:joan f 4-4][person:joan f 17-17]
ted| What were you thinking about doing| [person:joan f 2-2]
joan| I was thinking I should start skiing| [person:joan f 0-0][person:joan f 3-3]
ted| I don t think that s a good idea| [person:ted m 0-0]
joan| Why don t you think so| [person:ted m 3-3]
ted| Skiing is expensive due to equipment and travel|
joan| Oh you re right What do you think I should do| [person:ted m 1-1][person:ted m 6-6][person:joan f 8-8]
ted| I think you should start ice skating| [person:ted m 0-0][person:joan f 2-2]
joan| Oh that doesn t sound too exciting|
ted| Well if you re interested my friends Fred and Velma teach ice skating lessons| [person:joan f 2-2][person:ted m 5-5][person:friends g() 6-6][person:fred m 7-7][person:velma f 9-9]
joan| I just don t know which activity I should do| [person:joan f 0-0][person:joan f 7-7]

conv:people_chats_0520_112:aug_0:chat_0:chataug_0| daniel joseph| [person:daniel m 0-0][person:joseph m 1-1]
daniel| Hey Joseph| [person:joseph m 1-1]
daniel| Looking forward to Thanksgiving dinner|
joseph| For sure Daniel What you planning on bringing| [person:daniel m 2-2][person:daniel m 4-4]
daniel| The turkey of course| [location:turkey s 1-1]
joseph| I got the side of mashed potatoes covered| [person:joseph m 0-0]
joseph| We re inviting Lara right| [person:we g(daniel:joseph) 0-0][person:lara f 3-3]
daniel| Yeah she makes a mean casserole| [person:lara f 1-1]
daniel| What do you think about inviting Joe as well| [person:joseph m 2-2][person:joe m 6-6]
joseph| The more the merrier I don t know what he d bring though| [person:joseph m 4-4][person:joe m 9-9]
daniel| I ll talk to him and find out| [person:daniel m 0-0][person:joe m 4-4]
joseph| Sounds good See you then| [person:daniel m 3-3]

conv:people_chats_0520_114:aug_0:chat_0:chataug_0| hana olivia| [person:hana f 0-0][person:olivia f 1-1]
olivia| Hey I was thinking my boyfriend s birthday is coming up| [person:olivia f 1-1][person:olivia f 4-4]
olivia| I ve got to surprise him Do you have any suggestions| [person:olivia f 0-0][person:marcus m 5-5][person:hana f 7-7]
hana| Do you think we should surprise him at Zoey s place| [person:olivia f 1-1][person:we g(olivia:hana) 3-3][person:marcus m 6-6][person:zoey f 8-8][location:place s 10-10]
olivia| I don t think that s a very good idea| [person:olivia f 0-0]
hana| Why not We can set up everything we need to Zoey s got a big living room and dining room too so it d be fun if we have a dinner there| [person:we g(olivia:hana) 2-2][person:we g(olivia:hana) 7-7][person:zoey f 10-10][location:living_room s 15-15][location:dining_room s 18-18][person:we g(olivia:hana) 27-27]
olivia| Well remember that time Marcus and Zoey got into that big fight| [person:marcus m 4-4][person:zoey f 6-6]
hana| Yeah but that was a year ago wasn t it|
hana| He s probably over it by now| [person:marcus m 0-0]
olivia| I don t think so Marcus has kept saying bad things about Zoey| [person:olivia f 0-0][person:marcus m 5-5][person:zoey f 12-12]
hana| Really He seemed fine with Zoey that one time when we all went out to the restaurant| [person:marcus m 1-1][person:zoey f 5-5][person:we g(olivia:hana:zoey:marcus) 10-10][location:restaurant s 16-16]
olivia| Yeah but that was one time Marcus can be civil when he wants to but I think he might just argue with Zoey| [person:marcus m 6-6][person:marcus m 11-11][person:olivia f 15-15][person:marcus m 17-17][person:zoey f 22-22]
hana| I guess that s a possibility| [person:hana f 0-0]
olivia| Zoey has also been saying bad things about Marcus recently| [person:zoey f 0-0][person:marcus m 8-8]
hana| Maybe you ll want to do it somewhere else then| [person:olivia f 1-1]
olivia| Yeah Any ideas|

conv:people_chats_0520_115:aug_0:chat_0:chataug_0| aubrey sherrie| [person:aubrey f 0-0][person:sherrie f 1-1]
aubrey| So Dad s birthday is coming up Should we get him something to do with golf| [person:dad m 1-1][person:we g(aubrey:sherrie) 8-8][person:dad m 10-10]
sherrie| What are you thinking specifically| [person:aubrey f 2-2]
aubrey| How about a new club to go with those he already has| [location:club s 4-4][person:dad m 9-9]
sherrie| Honestly that doesn t sound like that great of a gift We should get him something more experiencebased| [person:we g(aubrey:sherrie) 11-11][person:dad m 14-14]
aubrey| Some kind of gift certificate then|
sherrie| Yeah like a travel voucher|
aubrey| I don t know Do you think he d really plan a trip| [person:aubrey f 0-0][person:sherrie f 5-5][person:dad m 7-7]
sherrie| He has been talking about wanting to visit the Grand Canyon| [person:dad m 0-0][location:grand_canyon s 9-10]
aubrey| I don t know Maybe we should see what Dany thinks| [person:aubrey f 0-0][person:we g(aubrey:sherrie) 5-5][person:dany f 9-9]
sherrie| Good idea She knows Dad best| [person:dany f 2-2][person:dad m 4-4]
aubrey| Alright I ll start a group text where we can discuss| [person:aubrey f 1-1][person:we2 g(aubrey:sherrie:dany) 8-8]
sherrie| Good idea|

conv:people_chats_0520_116:aug_0:chat_0:chataug_0| ell nick| [person:ell f 0-0][person:nick m 1-1]
ell| Lets go over the last minute details of our trip| [person:our g(ell:nick) 8-8]
nick| Yes I am excited to go to South Africa| [person:nick m 1-1][location:south_africa s 7-8]
ell| Why the excitement|
nick| I cannot wait to see Sheema to propose to her| [person:nick m 0-0][person:sheema f 5-5][person:sheema f 9-9]
ell| Are you sure about this Nick I do not think you should rush this decision| [person:nick m 1-1][person:nick m 5-5][person:ell f 6-6][person:nick m 10-10]
ell| Maybe you should talk to your sister Summaiya to see if she approves| [person:nick m 1-1][person:nick m 5-5][person:sister f 6-6][person:summaiya f 7-7][person:summaiya f 11-11]
ell| She knows you well| [person:summaiya f 0-0][person:nick m 2-2]
nick| Hmmmm|
nick| Yes I am sure| [person:nick m 1-1]
nick| I do not know however| [person:nick m 0-0]
ell| Its all upt o you| [person:nick m 4-4]

conv:people_chats_0520_118:aug_0:chat_0:chataug_0| ellen lily| [person:ellen f 0-0][person:lily f 1-1]
lily| HI Ellen| [person:ellen f 1-1]
lily| Shall we discuss about the concert on Friday| [person:we g(lily:ellen) 1-1]
ellen| Ya sure|
ellen| But our parents Cathy and Melvin will likely be in bed by 10 pm| [person:we g(lily:ellen) 1-1][person:parents g() 2-2][person:cathy f 3-3][person:melvin m 5-5]
ellen| How can we get out from this place| [person:we g(lily:ellen) 2-2][location:place s 7-7]
ellen| We have to think different plans like going through the basement or the window| [person:we g(lily:ellen) 0-0]
lily| Also we should think about how to get back in| [person:we g(lily:ellen) 1-1]
lily| We should discuss about all the pros and cons| [person:we g(lily:ellen) 0-0]
ellen| Yes lilly we will make a good decision| [person:lily f 1-1][person:we g(lily:ellen) 2-2]
lily| We discussed a lot| [person:we g(lily:ellen) 0-0]
lily| Atlast we finally found a plan| [person:we g(lily:ellen) 1-1]
ellen| Yes Lily| [person:lily f 1-1]

conv:people_chats_0520_119:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
rita| hello jane| [person:jane f 1-1]
jane| hello rita how about your job| [person:rita f 1-1][person:rita f 4-4]
rita| you i got a new job| [person:jane f 0-0][person:rita f 1-1]
jane| congratulation rita| [person:rita f 1-1]
rita| my exboyfriend Adam as supervisor at the new job| [person:rita f 0-0][person:ada f 2-2]
jane| yeah great rita| [person:rita f 2-2]
jane| john also working there| [person:john m 0-0]
rita| yeah really|
rita| but i significantly less enthusiastic to work now that Adam will be there too| [person:rita f 1-1][person:ada f 9-9]
jane| rita only concentrate on your career| [person:rita f 0-0][person:rita f 4-4]
rita| i agrees that nothing good will come from dwelling on past mistakes| [person:rita f 0-0]
jane| that is great rita| [person:rita f 3-3]
jane| you have to move going forward| [person:rita f 0-0]

conv:people_chats_0520_120:aug_0:chat_0:chataug_0| matt nolan| [person:matt m 0-0][person:nolan m 1-1]
nolan| Hey Matt| [person:matt m 1-1]
matt| What s up Nolan| [person:nolan m 3-3]
nolan| You seen Ashley or Catherine lately| [person:matt m 0-0][person:ashley f 2-2][person:catherine f 4-4]
matt| Lately I saw them last night Does that help| [person:matt m 1-1][person:ashley_and_cath g(ashley:catherine) 3-3]
nolan| When was that exactly|
matt| Dinner time That was the last time I saw them Why| [person:matt m 7-7][person:ashley_and_cath g(ashley:catherine) 9-9]
matt| Is everything ok|
nolan| I m not sure| [person:nolan m 0-0]
matt| Why were you looking for them| [person:nolan m 2-2][person:ashley_and_cath g(ashley:catherine) 5-5]
nolan| We were supposed to go into town together at ten| [person:nolan__ash__cath g(nolan:ashley:catherine) 0-0][location:town s 6-6]
matt| Oh well I m sure they ll show up soon| [person:matt m 2-2][person:ashley_and_cath g(ashley:catherine) 5-5]

conv:people_chats_0520_121:aug_0:chat_0:chataug_0| julie maddie| [person:julie f 0-0][person:maddie f 1-1]
maddie| Hey Julie| [person:julie f 1-1]
julie| Sup Maddie| [person:maddie f 1-1]
maddie| We need to plan this party for dad| [person:we g(maddie:julie) 0-0][person:dad m 7-7]
julie| It should be a surprise party|
maddie| Yes great idea|
julie| Can we include Pete| [person:we g(maddie:julie) 1-1][person:pete m 3-3]
maddie| Oh maybe|
julie| Wait we don t have to do a surprise| [person:we g(maddie:julie) 1-1]
julie| that s kinda extra|
maddie| Hmm Let me think| [person:maddie f 2-2]
julie| Pete is hard to reach| [person:pete m 0-0]
julie| I don t even think he likes parties| [person:julie f 0-0][person:pete m 5-5]
maddie| Wait a second I forgot dad literally mentioned it to me the other day how much he disliked them| [person:maddie f 3-3][person:dad m 5-5][person:maddie f 10-10][person:dad m 16-16]
julie| Shoot|

conv:people_chats_0520_123:aug_0:chat_0:chataug_0| henry neil| [person:henry m 0-0][person:neil m 1-1]
henry| I am really excited to get some new leadership for our team| [person:henry m 0-0][person:our g(henry:neil) 10-10][person:team g(henry:neil) 11-11]
neil| Me too I think Keith and Kyle would be great choices| [person:neil m 0-0][person:neil m 2-2][person:keith m 4-4][person:kyle m 6-6]
henry| I m not so sure about them personally| [person:henry m 0-0][person:them g(keith:kyle) 6-6]
neil| Really They both have really great experience with football and I think they would be natural choices| [person:they g(keith:kyle) 1-1][person:neil m 10-10][person:they g(keith:kyle) 12-12]
henry| I can see your point but I really would prefer to bring in a fresh face with no experience so they can have a chance| [person:henry m 0-0][person:neil m 3-3][person:henry m 6-6][person:someone u 20-20]
neil| Giving someone a chance is nice but we already know Keith and Kyle and know their experience already| [person:someone u 1-1][person:we g(henry:neil) 7-7][person:keith m 10-10][person:kyle m 12-12][person:their g(keith:kyle) 15-15]
henry| I understand but I worry about letting go of too much control if we bring them in I don t want the balance of power to shift too much| [person:henry m 0-0][person:henry m 3-3][person:we g(henry:neil) 13-13][person:them g(keith:kyle) 15-15][person:henry m 17-17]
neil| I have some hesitation about bringing in someone we don t know though| [person:neil m 0-0][person:someone u 7-7][person:we g(henry:neil) 8-8]
neil| It seems like it s a bit of a gamble especially when we already have some solid choices| [person:we g(henry:neil) 12-12]
henry| Keith and Kyle are great guys and great friends but they tend to dominate situations| [person:keith m 0-0][person:kyle m 2-2][person:friends g(keith:kyle) 8-8][person:they g(keith:kyle) 10-10]
henry| I think a new person would yield more to us as the leaders I really am proud of this idea and am not ready to let it go yet| [person:henry m 0-0][person:us g(henry:neil) 9-9][person:henry m 13-13]
neil| Well I can understand that I guess we can at least look at some new people| [person:neil m 1-1][person:neil m 5-5][person:we g(henry:neil) 7-7]

conv:people_chats_0520_127:aug_0:chat_0:chataug_0| alicia danny| [person:alicia f 0-0][person:danny m 1-1]
alicia| Hey there We re all set for our night out except the babysitter for Ella and Emma| [person:we g(alicia:danny) 2-2][person:we g(alicia:danny) 7-7][person:ella f 14-14][person:emma f 16-16]
danny| Huh I asked mom and dad and they said the would do it| [person:danny m 1-1][person:mom f 3-3][person:dad m 5-5][person:they g(mom:dad) 7-7]
alicia| Thats cool but do you think they can handle the girls| [person:danny m 4-4][person:they g(mom:dad) 6-6][person:girls g(ella:emma) 10-10]
danny| Sure They handled me| [person:they g(mom:dad) 1-1][person:danny m 3-3]
alicia| It s not the same Girls are different| [person:girls g(ella:emma) 5-5]
alicia| I dunno Maybe I should hire a babysitter| [person:alicia f 0-0][person:alicia f 3-3]
danny| No I really wouldn t be comfortable with anybody else besides mom and dad| [person:danny m 1-1][person:mom f 11-11][person:dad m 13-13]
alicia| I think they ll be OK but don t you think just for this time I should hire a sitter| [person:alicia f 0-0][person:they g(mom:dad) 2-2][person:danny m 9-9][person:alicia f 15-15]
danny| No|
danny| I think the girls would really like having grandma and grandpa babysit them| [person:danny m 0-0][person:girls g(ella:emma) 3-3][person:they g(mom:dad) 12-12]
alicia| Well OK|
danny| And I m going to feel a whole lot better knowing people I trust are watching the girls Gotta run love you and see you later| [person:danny m 1-1][person:danny m 12-12][person:girls g(ella:emma) 17-17][person:alicia f 21-21][person:alicia f 24-24]
alicia| OK See you later| [person:danny m 2-2]

conv:people_chats_0520_128:aug_0:chat_0:chataug_0| danielle pierre| [person:danielle f 0-0][person:pierre m 1-1]
danielle| Have you done the homework yet I am stuck on number 5 Eeek| [person:pierre m 1-1][person:danielle f 6-6]
pierre| I just sat down to start the homework I can t help yet And even if I could you are the brain here not me If you can t get it why would you think I even had a chance| [person:pierre m 0-0][person:pierre m 8-8][person:pierre m 16-16][person:danielle f 18-18][person:pierre m 24-24][person:danielle f 26-26][person:danielle f 33-33][person:pierre m 35-35]
danielle| I knew you would get it either But I still need your help| [person:danielle f 0-0][person:pierre m 2-2][person:danielle f 8-8][person:pierre m 11-11]
pierre| Well that t a real vote of confidence|
danielle| All we need to do is reach out to the teacher He has all the answers| [person:we g(danielle:pierre) 1-1][person:teacher m 11-11]
pierre| Why don t you reach out to Ron| [person:danielle f 3-3][person:ron m 7-7]
danielle| No way He is always so mean to me| [person:ron m 2-2][person:danielle f 8-8]
pierre| You know that is because he like you| [person:danielle f 0-0][person:ron m 5-5][person:danielle f 7-7]
danielle| Eeeeewwww Ron might be a genius but he acts more like a snob Last thing I am going to do is reach out to that dweeb It would only encourage him| [person:ron m 1-1][person:ron m 7-7][person:danielle f 15-15][person:ron m 30-30]
pierre| Well then call the Teacher Good old Captain Darren I am sure he would help you| [person:teacher m 8-8][person:pierre m 9-9][person:teacher m 12-12][person:danielle f 15-15]
