conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
abigail| She says she ll bring it She will be coming in 15 minutes meet her there Good luck with your projects| [person:rebecca f 0-0][person:rebecca f 2-2][location:dorm s 5-5][person:rebecca f 6-6][person:rebecca f 14-14][location:dorm s 15-15][person:martha f 19-19]
martha| Thank you so much Abigail| [person:abigail f 1-1][person:abigail f 4-4]
abigail| Don t mention it| [location:dorm s 3-3]

conv:people_0917_2145_3:aug_0:chat_0:chataug_0| grace samantha| [person:grace f 0-0][person:samantha f 1-1]
samantha| Hi Grace are you excited for our upcoming show by the rock band The Housemakers| [person:grace f 1-1][person:grace f 3-3][person:our g(samantha:grace) 6-6]
grace| Oh yes of course I have been looking forward to it for ages| [person:grace f 4-4]
samantha| Me too Who is your favorite band member anyway| [person:samantha f 0-0][person:grace f 4-4]
grace| I love Benjamin the drummer as he is so charming and handsome| [person:grace f 0-0][person:benjamin m 2-2][person:benjamin m 6-6]
samantha| I agree But I love Nicholas the lead guitarist more as he wears amazing stage outfits| [person:samantha f 0-0][person:samantha f 3-3][person:nicholas m 5-5][person:nicholas m 11-11]
grace| I noticed that he wears outstandingly too| [person:grace f 0-0][person:nicholas m 3-3]
samantha| Of course Anyway have you heard the rumor that Benjamin and Nicholas got into a fight last week| [person:grace f 4-4][person:benjamin m 9-9][person:nicholas m 11-11]
grace| Yes of course it was all over the news But I personally felt that the issue was way overblown| [person:grace f 10-10]
samantha| Me too Fights happen sometimes between us too but we don t make a big fuss out of it| [person:samantha f 0-0][person:our g(samantha:grace) 6-6][person:our g(samantha:grace) 9-9]
grace| Haha Anyway could you drive me to the show I could save on the cab fare| [person:samantha f 3-3][person:grace f 5-5][person:grace f 9-9]
samantha| Sure thing Tell me when you are free then and i ll gladly pick you up| [person:samantha f 3-3][person:grace f 5-5][person:samantha f 10-10][person:grace f 14-14]

conv:people_0917_2145_4:aug_0:chat_0:chataug_0| anthony rodger| [person:anthony m 0-0][person:rodger m 1-1]
anthony| Hey Roger what you up to boy| [person:rodger m 1-1][person:rodger m 3-3]
anthony| That battle was insane in the brain|
rodger| Bro the mermaid and the dragon almost got me for good Lol| [person:rodger m 8-8]
anthony| Yo but Nate actually murked that dragon for good Haha| [person:nate m 2-2]
rodger| I saw that It was insane and saved me| [person:rodger m 0-0][person:rodger m 8-8]
rodger| We need to thank Nate| [person:we g(anthony:rodger) 0-0][person:nate m 4-4]
anthony| Seriously though Nate came in clutch| [person:nate m 2-2]
rodger| I also acquired at least 2K crystals for our inventory and I m on the lookout for more recruitable monsters right now Oh and Michelle is going to be out next week cause she s going to Greece| [person:rodger m 0-0][person:we g(anthony:rodger) 8-8][person:rodger m 11-11][person:michelle f 24-24][person:michelle f 33-33][location:greece s 37-37]
anthony| Alright that sounds good And we need to hit up Nate about that| [person:we g(anthony:rodger) 5-5][person:nate m 10-10]
anthony| I think he wanted to begin a whole new campaign and set out to Umpire Island next week sometime| [person:anthony m 0-0][person:nate m 2-2][location:umpire_island s 14-15][location:umpire_island s 15-15]
rodger| Yeah I l let him know about Michelle And I m so psyched| [person:rodger m 1-1][person:nate m 4-4][person:michelle f 7-7][person:rodger m 9-9]
anthony| Same bro I m gonna text you in a sec| [person:anthony m 2-2][person:rodger m 6-6]
rodger| Aight|

conv:people_0917_2145_5:aug_0:chat_0:chataug_0| beverly deborah| [person:beverly f 0-0][person:deborah f 1-1]
beverly| Hey are you still at the dorm| [person:deborah f 2-2][location:dorm s 6-6]
deborah| Yes what s up|
beverly| I forgot my phone charger could you grab it for me| [person:beverly f 0-0][person:beverly f 2-2][person:deborah f 6-6][person:beverly f 10-10]
deborah| Oh I wasn t planning on coming down to campus today| [person:deborah f 1-1]
beverly| Oh shoot I really need that charger my phone is almost dead| [person:beverly f 2-2][person:beverly f 7-7]
deborah| I think Natalie is headed that way could I give it to her| [person:deborah f 0-0][person:natalie f 2-2][person:deborah f 8-8][person:natalie f 12-12]
beverly| Oh that s perfect Let her know I m in the food court| [person:natalie f 5-5][person:beverly f 7-7]
deborah| OK I just gave it to her she ll be there soon| [person:deborah f 1-1][person:natalie f 6-6][person:natalie f 7-7][location:there s 10-10]
beverly| You re a lifesaver Thank you| [person:deborah f 0-0][person:deborah f 5-5]
deborah| You re welcome| [person:beverly f 0-0]
beverly| Enjoy your day off| [person:deborah f 1-1]
deborah| Enjoy your phone charger| [person:beverly f 1-1]

conv:people_0917_2145_8:aug_0:chat_0:chataug_0| danielle gabriel| [person:danielle f 0-0][person:gabriel m 1-1]
danielle| Hey are we still on to see West of Virginia on Thursday| [person:we g(danielle:gabriel) 2-2]
gabriel| Yeah of course I m excited to see it| [person:gabriel m 3-3]
danielle| Do you think we should invite Joyce and Chloe too| [person:danielle f 1-1][person:we g(danielle:gabriel) 3-3][person:joyce f 6-6][person:chloe f 8-8]
gabriel| Yeah let s tell them to join us| [person:them g(joyce:chloe) 4-4][person:we g(danielle:gabriel) 7-7]
danielle| Ok I will text them| [person:danielle f 1-1][person:them g(joyce:chloe) 4-4]
gabriel| Great We should go for dinner before it starts| [person:we g(danielle:gabriel:joyce:chloe) 1-1]
danielle| Sounds good Joyce mentioned a new restaurant we should go there| [person:joyce f 2-2][person:we g(danielle:gabriel:joyce:chloe) 7-7]
gabriel| Awesome that works|
danielle| I ll call Joyce and you can call Margert and ask if she wants to come too| [person:danielle f 0-0][person:joyce f 3-3][person:gabriel m 5-5][person:margert f 12-12]
gabriel| Ok I ll do that I ll talk to you later then| [person:gabriel m 1-1][person:gabriel m 5-5][person:danielle f 9-9]

conv:people_0917_2145_14:aug_0:chat_0:chataug_0| lawrence monica| [person:lawrence m 0-0][person:monica f 1-1]
monica| What do you think we should do this weekend| [person:lawrence m 2-2][person:we g(monica:lawrence) 4-4]
monica| You know Carl is invited to Samantha s birthday party right| [person:lawrence m 0-0][person:carl m 2-2][person:samantha f 6-6]
lawrence| Who is Samantha| [person:samantha f 2-2]
monica| She is Clyde and Marie s daughter| [person:samantha f 0-0][person:clyde m 2-2][person:marie f 4-4]
lawrence| Oh the neighbors that s right| [person:neighbors g(clyde:marie) 2-2]
monica| Which one of us is going to drive him| [person:us g(monica:lawrence) 3-3][person:carl m 8-8]
lawrence| I don t know we still have to buy a gift| [person:lawrence m 0-0][person:us g(monica:lawrence) 4-4]
monica| Ok how about you buy the present and I ll join Samantha at the party| [person:lawrence m 3-3][person:monica f 8-8][person:samantha f 11-11][location:samantha_s_birthday_party s 14-14]
lawrence| Ok get back to me with gift suggestions| [person:lawrence m 4-4]
monica| I will We will figure it out later| [person:monica f 0-0][person:us g(monica:lawrence) 2-2]
lawrence| Sounds like a plan|

conv:people_0917_2145_15:aug_0:chat_0:chataug_0| john mary| [person:john m 0-0][person:mary f 1-1]
john| Hi How are you doing| [person:mary f 3-3]
mary| I m good How about you| [person:mary f 0-0][person:john m 5-5]
john| I m good Thanks what is the weekend plan| [person:john m 0-0]
mary| I will have drinks with Tara on Wednesday and there is Michael s birthday party on Friday Can you join with us| [person:mary f 0-0][person:tara f 5-5][person:michael m 11-11][person:john m 18-18][person:us g(mary:tara) 21-21]
john| yep off course|
mary| Ok will decide what to bring for the birthday party any ideas|
john| Will bring a bottle of wine what you say| [person:mary f 7-7]
mary| Sounds good for me can buy one when on the way home from work on Thursday| [person:mary f 3-3][location:home s 11-11]
john| great even i can buy one bottle of wine cheers| [person:john m 2-2]
mary| have a nice day will meet you there on party| [person:john m 6-6][location:there s 7-7]

conv:people_0917_2145_17:aug_0:chat_0:chataug_0| aaron jason| [person:aaron m 0-0][person:jason m 1-1]
aaron| So how is the student exchange program in spain| [location:spain s 8-8]
jason| I and Doris went through it in quite a bit of detail| [person:jason m 0-0][person:doris f 2-2][location:spain s 5-5]
aaron| Have you decided on it| [person:jason m 1-1][location:spain s 4-4]
jason| yes we are not going as we are not sure that we will be allowed to stay together| [person:we g(jason:doris) 1-1][person:we g(jason:doris) 6-6][person:we g(jason:doris) 11-11]
aaron| I am ok with that and anything else| [person:aaron m 0-0]
jason| what else do you want to know| [person:aaron m 3-3]
aaron| how about the prerequisites like grade country field| [location:country s 6-6]
jason| well i you better get in touch with Doris she will explain it in much more details| [person:jason m 1-1][person:aaron m 2-2][person:doris f 8-8][person:doris f 9-9][location:country s 12-12]
aaron| sure let me do that any idea when she is available| [person:aaron m 2-2][person:doris f 8-8]
jason| i am meeting with her in the evening today you can tag along with me| [person:jason m 0-0][person:doris f 4-4][person:aaron m 9-9][person:jason m 14-14]

conv:people_0917_2145_18:aug_0:chat_0:chataug_0| deborah karen| [person:deborah f 0-0][person:karen f 1-1]
deborah| Hi Karen what about weekend plan Do you have any choice| [person:karen f 1-1][person:karen f 7-7]
karen| Yes I want to purchase new Shoes for me and I need to go to Shopping Mall| [person:karen f 1-1][person:karen f 8-8][person:karen f 10-10][location:shopping_mall s 15-16]
karen| Do you want to join with me or do you have some other plan| [person:deborah f 1-1][person:karen f 6-6][person:deborah f 9-9]
deborah| No I have nothing for do on this week end I have not plans| [person:deborah f 1-1][person:deborah f 10-10]
deborah| Our Friend Cathy has told me that she need to purchase some Birthday present so she may wants to join with you Shall I ask her| [person:our g(deborah:karen) 0-0][person:cathy f 1-1][person:cathy f 2-2][person:deborah f 5-5][person:cathy f 7-7][person:cathy f 15-15][person:karen f 21-21][person:deborah f 23-23]
karen| Definitely I am happy to join with her and You may also come with us We can enjoy| [person:karen f 1-1][person:cathy f 7-7][person:deborah f 9-9][person:us g(karen:cathy) 14-14][person:we g(deborah:karen:cathy) 15-15]
deborah| But at present I have no money in my hand to spend for the Shopping| [person:deborah f 3-3][person:deborah f 8-8]
karen| Don t think about money I will spend it for you Do you like to come with us or not| [person:karen f 5-5][location:shopping_mall s 8-8][person:deborah f 10-10][person:deborah f 12-12][person:us g(karen:cathy) 17-17]
deborah| Definitely I want to join you and I will inform about this to Cathy| [person:deborah f 1-1][person:karen f 5-5][person:deborah f 7-7][person:cathy f 13-13]
karen| That s a nice idea If you select some nice shoes for me then I will offer ice cream to you as a complement| [person:deborah f 6-6][person:karen f 12-12][person:karen f 14-14][person:deborah f 20-20]
deborah| Thank you so much| [person:karen f 1-1]

conv:people_0917_2145_19:aug_0:chat_0:chataug_0| brenda ralph| [person:brenda f 0-0][person:ralph m 1-1]
ralph| hai brenda what is your plan for this weekend saturday| [person:brenda f 1-1][person:brenda f 4-4]
brenda| hai ralph good to hear you My plan is to go to my friend emma s party on saturday You should join with me| [person:ralph m 1-1][person:ralph m 5-5][person:brenda f 6-6][person:brenda f 12-12][person:emma f 13-13][person:emma f 14-14][person:ralph m 19-19][person:brenda f 23-23]
ralph| sorry brenda i am not interested Whether any other plan is there for you| [person:brenda f 1-1][person:ralph m 2-2][person:brenda f 13-13]
brenda| Along with me my friends mary russell and ryan also joining with me you should come ralph| [person:brenda f 2-2][person:brenda f 3-3][person:friends g() 4-4][person:mary f 5-5][person:russell m 6-6][person:ryan m 8-8][person:brenda f 12-12]
ralph| ok but i doesn t like to hang out with Russell| [person:ralph m 2-2][person:russell m 10-10]
ralph| whether Russell friend Nick is coming with him| [person:russell m 1-1][person:nick m 2-2][person:nick m 3-3][person:russell m 7-7]
brenda| Yes i think nick is also joining along with us| [person:brenda f 1-1][person:nick m 3-3][person:us g(brenda:mary:russell:ryan) 9-9]
ralph| ok nick is a good person to hang out if russell alone means i will not come| [person:nick m 1-1][person:russell m 10-10][person:ralph m 13-13]
brenda| No Ralph Nick is also coming and our other friends is also coming it will be very nice| [person:ralph m 1-1][person:nick m 2-2][person:our g(ralph:brenda) 7-7][person:friends g() 9-9]
ralph| ok brenda i will join with you at the weekend| [person:brenda f 1-1][person:ralph m 2-2][person:brenda f 6-6]
brenda| very find thats like a good friend while you coming bring some flowers which i like| [person:ralph m 6-6][person:ralph m 8-8][person:brenda f 14-14]
ralph| ok bye bye|

conv:people_0917_2145_20:aug_0:chat_0:chataug_0| amanda cathy| [person:amanda f 0-0][person:cathy f 1-1]
cathy| What course should I take next semester at the university| [person:cathy f 3-3][location:university s 9-9]
amanda| What course are you considering| [person:cathy f 3-3]
cathy| I wanted to take Geotechnical Engineering| [person:cathy f 0-0]
amanda| Willie and Sharon took that course last semester| [person:willie m 0-0][person:sharon f 2-2]
cathy| I heard that Professor Veiler is difficult to work with| [person:cathy f 0-0]
amanda| Willie liked the professor but Sharon said the notes were difficult to follow| [person:willie m 0-0][person:sharon f 5-5]
cathy| Can you please give me Willie and Sharon s contact information so I can talk to them about it| [person:amanda f 1-1][person:cathy f 4-4][person:willie m 5-5][person:sharon f 7-7][person:cathy f 12-12][person:them g(willie:sharon) 16-16][location:it u 18-18]
amanda| Sure no problem I will do that| [person:amanda f 3-3]
cathy| Thanks so much for your help| [person:amanda f 4-4]
amanda| You are very welcome Good luck to you| [person:cathy f 0-0][person:cathy f 7-7]

conv:people_0917_2145_22:aug_0:chat_0:chataug_0| brenda pam| [person:brenda f 0-0][person:pam f 1-1]
brenda| Pam I m so glad you picked up Have you left the dorm yet| [person:pam f 0-0][person:brenda f 1-1][person:pam f 5-5][person:pam f 9-9][location:dorm s 12-12]
pam| No I m going to be heading out soon though What s up| [person:pam f 1-1]
brenda| Is there any way you can grab my keys off my nightstand I forgot them and I m going to need them today| [person:pam f 4-4][person:brenda f 7-7][person:brenda f 10-10][person:brenda f 12-12][person:brenda f 16-16]
pam| Maybe but depends on where you are Where are you| [person:brenda f 5-5][person:brenda f 9-9]
brenda| I m at class right now I have classes all day| [person:brenda f 0-0][person:brenda f 6-6]
pam| Oh I m actually not going to the college today Remember I don t have class on Tuesday| [person:pam f 1-1][person:pam f 11-11]
brenda| Oh dang I forgot I m not sure what I am going to do I need my keys since it has my card to get back into the dorm And my ID is on there too and I know I ll need it today| [person:brenda f 2-2][person:brenda f 4-4][person:brenda f 9-9][person:brenda f 14-14][person:brenda f 16-16][person:brenda f 21-21][person:brenda f 30-30][person:brenda f 37-37]
pam| I m about to meet up with Amanda for breakfast before going to work She told me last night she s going to class today I can give them to her if that works for you| [person:pam f 0-0][person:amanda f 7-7][person:amanda f 14-14][person:pam f 16-16][person:amanda f 19-19][person:pam f 25-25][person:amanda f 30-30][person:brenda f 35-35]
brenda| Oh thanks Pam that would be great I can meet her in the library since it will be close for her| [person:pam f 2-2][person:brenda f 7-7][person:amanda f 10-10][person:amanda f 20-20]
pam| No problem girl I ve done the same thing Can you meet her at 10| [person:pam f 3-3][person:brenda f 10-10][person:amanda f 12-12]
brenda| Sure Thanks again chic|

conv:people_0917_2145_23:aug_0:chat_0:chataug_0| ivan karen| [person:ivan m 0-0][person:karen f 1-1]
karen| Hi Ivan How about our new song Any development| [person:ivan m 1-1][person:our g(karen:ivan) 4-4]
ivan| Yes I had new lyrics for the song and I need to check it with our band| [person:ivan m 1-1][person:ivan m 9-9][person:our g(karen:ivan) 15-15]
karen| I think Derek will play the best of base guitar to this song and we have to ask for that one| [person:karen f 0-0][person:derek m 2-2][person:our g(karen:ivan) 14-14]
ivan| I also think so but when it comes to the Drums Amy will not play as good as possible for the fast and peppier songs| [person:ivan m 0-0][person:amy f 11-11]
karen| Yes but we have to discuss this with our team and come to a conclusion| [person:our g(karen:ivan) 2-2][person:our g(karen:ivan) 8-8]
ivan| How about a plan to get our band for a additional jam session| [person:our g(karen:ivan) 6-6]
karen| When do you want to do this as I have a lot of work this week| [person:ivan m 2-2][person:karen f 8-8]
ivan| I think this Thursday will be the convenient day for this How about you| [person:ivan m 0-0][person:karen f 13-13]
karen| Sorry I am not available on that day and I have to go out of town for some work But I can arrange others to join with you| [person:karen f 1-1][person:karen f 9-9][location:town g() 15-15][person:karen f 20-20][person:others g() 23-23][person:ivan m 27-27]
ivan| Okay that is also good Do which is possible to you and inform me| [person:karen f 10-10][person:ivan m 13-13]
karen| Okay then|

conv:people_0917_2145_25:aug_0:chat_0:chataug_0| dorothy martha| [person:dorothy f 0-0][person:martha f 1-1]
dorothy| Hey how are you doing Do you know anything about the geotechnical engineering course| [person:martha f 3-3][person:martha f 6-6]
martha| A little bit Which professor are you considering| [person:dorothy f 6-6]
dorothy| Professor Veiler s class| [location:class_ s 3-3]
martha| Oh I think he can be challenging Alexander and Leslie took her class last year I believe| [person:martha f 1-1][person:professor_veiler f 3-3][person:alexander m 7-7][person:leslie f 9-9][person:professor_veiler f 11-11][person:martha f 15-15]
dorothy| Would they be open to talking to me about it| [person:they g(alexander:leslie) 1-1][person:dorothy f 7-7][location:course s 9-9]
martha| I am sure they would Alexander enjoyed the class but Leslie found some of the material difficult to follow at times| [person:martha f 0-0][person:they g(alexander:leslie) 3-3][person:alexander m 5-5][person:leslie f 10-10]
dorothy| Differing opinions the interesting I would love to hear more details Do you mind giving me their contact info| [person:dorothy f 4-4][person:martha f 12-12][person:dorothy f 15-15][person:they g(alexander:leslie) 16-16]
martha| Of course I will get that to you in a little bit| [person:martha f 2-2][person:dorothy f 7-7]
dorothy| Great thank you| [person:martha f 2-2]
martha| Maybe I will see if we can get together instead to talk about the clas| [person:martha f 1-1][person:we g(dorothy:martha) 5-5]
dorothy| That would be even better pefect|
martha| I spoke to Alexander and Leslie and they are available next Tuesday or Thursday| [person:martha f 0-0][person:alexander m 3-3][person:leslie f 5-5][person:they g(alexander:leslie) 7-7]
dorothy| Tuesday works or me great| [person:dorothy f 3-3]

conv:people_0917_2145_26:aug_0:chat_0:chataug_0| kenneth tony| [person:kenneth m 0-0][person:tony m 1-1]
tony| Yo Ken how s it going|
kenneth| Decent School has been kicking my ass| [location:school s 1-1][person:kenneth m 5-5]
tony| I hear you I barely have any time for the extra curriculars| [person:tony m 0-0][person:kenneth m 2-2][person:tony m 3-3]
kenneth| Yeah I don t do anything but study| [person:kenneth m 1-1]
tony| I do have some juicy news Roy and Grace broke up| [person:tony m 0-0][person:roy m 6-6][person:grace f 8-8]
kenneth| They ve been going out forever What happened| [person:they g(roy:grace) 0-0]
tony| I guess being around other people in school was just too much for their relationship| [person:tony m 0-0][location:school s 7-7][person:they g(roy:grace) 13-13]
kenneth| I do remember them fighting two weeks ago in a pub| [person:kenneth m 0-0][person:they g(roy:grace) 3-3]
tony| I think it was more of Grace wanting to see other people| [person:tony m 0-0][person:grace f 6-6]
kenneth| Roy must be hurting Let s set up a drink night I think it would be good for all of us| [person:roy m 0-0][person:kenneth m 11-11][person:us g(tony:kenneth:roy) 20-20]
tony| Yeah we can relieve some stress How about Friday| [person:us g(tony:kenneth:roy) 1-1]
kenneth| Sounds good I ll tell Roy See you then| [person:kenneth m 2-2][person:roy m 5-5][person:tony m 7-7]

conv:people_0917_2145_27:aug_0:chat_0:chataug_0| dwight margaret| [person:dwight m 0-0][person:margaret f 1-1]
dwight| So what are we doing this weekend| [person:we g(dwight:margaret) 3-3]
margaret| I don t know Carl has to go to Betty s birthday party though| [location:i s 0-0][person:carl m 4-4][person:betty f 9-9]
dwight| that s right Who should take him there| [person:carl m 6-6]
margaret| I ll take him and you can buy Betty s present| [person:margaret f 0-0][person:carl m 3-3][person:dwight m 5-5][person:betty f 8-8]
dwight| What should I buy though| [person:dwight m 2-2]
margaret| I don t know Maybe ask Richard to get some ideas| [person:margaret f 0-0][person:richard m 6-6]
dwight| Maybe I should just buy her some dolls| [person:dwight m 1-1][person:betty f 5-5]
margaret| That should be fine but she probably has plenty of dolls| [person:betty f 5-5]
dwight| Good point I ll just ask Richard for some ideas| [person:dwight m 2-2][person:richard m 6-6]
margaret| That d be a good idea|

conv:people_0917_2145_29:aug_0:chat_0:chataug_0| cameron joan| [person:cameron f 0-0][person:joan f 1-1]
joan| You doing anything this weekend| [person:cameron f 0-0]
cameron| I promised my sister help her plan her birthday party| [person:cameron f 0-0][person:cameron f 2-2][person:sister f 3-3][person:sister f 5-5][person:sister f 7-7]
joan| That s exciting When s the party|
cameron| In a couple of weeks I need new shoes Maybe I ll go check out the mall| [person:cameron f 5-5][person:cameron f 10-10][location:mall s 16-16]
joan| Dorothy is having a birthday party next weekend I need to find a present for her May I join you| [person:dorothy f 0-0][person:joan f 8-8][person:dorothy f 15-15][person:joan f 17-17][person:cameron f 19-19]
cameron| Sure we can go to the mall together| [person:we g(joan:cameron) 1-1][location:mall s 6-6]
joan| Well I am on a tight budget| [person:joan f 1-1]
cameron| You can ride with me I ll get us ice cream if you help me find some shoes| [person:joan f 0-0][person:cameron f 4-4][person:cameron f 5-5][person:we g(joan:cameron) 8-8][person:joan f 12-12][person:cameron f 14-14]
joan| That s nice of you to offer| [person:cameron f 4-4]
cameron| So is that a yes|
joan| Can I invite Dorothy to come with us too| [person:joan f 1-1][person:dorothy f 3-3][person:we g(joan:cameron) 7-7]
cameron| Sure That would be fun|

conv:people_0917_2145_30:aug_0:chat_0:chataug_0| lori ralph| [person:lori f 0-0][person:ralph m 1-1]
lori| Hi Ralph do you know a matter| [person:ralph m 1-1][person:ralph m 3-3]
ralph| What is that Lori Anything important| [person:lori f 3-3]
lori| The most awaited movie West of Virginia will get broadcast on Thursday| [location:virginia s 6-6]
ralph| Super dear I am very excited about it| [person:ralph m 2-2][location:virginia s 7-7]
lori| Shall we go to that movie on that day| [person:we g(lori:ralph) 1-1]
ralph| Sure dear Definitely Shall we ask our friends Jackie and Susan to join with us| [person:we g(lori:ralph) 4-4][person:we g(lori:ralph) 6-6][person:friends g() 7-7][person:jackie f 8-8][person:susan f 10-10][person:we g(lori:ralph) 14-14]
lori| It is a good idea dear Let us invite them too| [location:virginia s 0-0][person:we g(lori:ralph) 7-7][person:friends g(jackie:susan) 9-9]
ralph| Shall we go for a dinner before the movie| [person:we g(lori:ralph) 1-1][location:dinner s 5-5]
lori| Sure dear Already Jackie told me that there is a new restaurant nearby Shall we go to that restaurant| [person:jackie f 3-3][person:lori f 5-5][location:dinner s 7-7][location:restaurant s 11-11][person:we g(lori:ralph) 14-14][location:restaurant s 18-18]
ralph| I agree with it I will inform Margert about our plan| [person:ralph m 0-0][location:restaurant s 3-3][person:ralph m 4-4][person:we g(lori:ralph) 9-9]
lori| Ok dear Let me inform Jackie about our plan| [person:lori f 3-3][person:jackie f 5-5][person:we g(lori:ralph) 7-7]
ralph| Ok dear Bye|
lori| Bye|

conv:people_0917_2145_34:aug_0:chat_0:chataug_0| linda melissa| [person:linda f 0-0][person:melissa f 1-1]
linda| I can t contain my excitement for the show How about you| [person:linda f 0-0][person:linda f 4-4][person:melissa f 11-11]
melissa| I was thinking the same thing I still can t believe we are going to see The Housemakers| [person:melissa f 0-0][person:melissa f 6-6][person:we g(linda:melissa) 11-11]
linda| So who s your favorite band member For me it has to be Martin and his amazing outfits| [person:melissa f 3-3][person:linda f 8-8][person:martin m 13-13][person:martin m 15-15]
melissa| Martin is cool and all but I much prefer Doug He makes the songs for me| [person:martin m 0-0][person:melissa f 6-6][person:doug m 9-9][person:doug m 10-10][person:melissa f 15-15]
linda| Oh it s weird you mentioned Doug Did you hear him and Martin got into it Isn t that crazy| [person:melissa f 4-4][person:doug m 6-6][person:melissa f 8-8][person:doug m 10-10][person:martin m 12-12]
melissa| I know right They always seemed so close to one another Maybe it s nothing more than a rumor| [person:melissa f 0-0][person:they g(martin:doug) 3-3]
linda| I hope so I would be so upset if that band split up because of it| [person:linda f 0-0][person:linda f 3-3]
melissa| I doubt it They are too good to break up I m sure it s just a small dispute They ll work it out| [person:melissa f 0-0][person:they g(martin:doug) 3-3][person:melissa f 10-10][person:they g(martin:doug) 19-19]
linda| Yeah you are right I ll be wearing my favorite outfit to the show| [person:melissa f 1-1][person:linda f 4-4][person:linda f 8-8]
melissa| Speaking of the show Is there anyway you can give me a lift to it It s a bit far for me Please| [person:linda f 7-7][person:melissa f 10-10][location:it s 14-14][location:it s 15-15][person:melissa f 21-21]
linda| Oh it won t be any trouble at all I ll pick you up about two hours before it starts| [person:linda f 9-9][person:melissa f 12-12][location:it s 18-18]
melissa| You are the best I appreciate it| [person:linda f 0-0][person:melissa f 4-4]
linda| Anytime Okay I gotta go for now I ll talk to you soon| [person:linda f 2-2][person:linda f 7-7][person:melissa f 11-11]
melissa| Sure Talk to you later| [person:linda f 3-3]

conv:people_0917_2145_35:aug_0:chat_0:chataug_0| carolyn teresa| [person:carolyn f 0-0][person:teresa f 1-1]
carolyn| Hi|
teresa| Hello Whats up|
carolyn| Nothing much|
carolyn| Are you still at the dorm| [person:teresa f 1-1][location:dorm s 5-5]
teresa| Yes Are ypu coming|
carolyn| No I forgot my keys and notebook I thought you are coming to class ypu bring them with you| [person:carolyn f 1-1][person:carolyn f 3-3][person:carolyn f 7-7][person:teresa f 9-9][person:teresa f 18-18]
teresa| No i dont feel like attending class today| [person:teresa f 1-1]
carolyn| Wow|
teresa| What i am i going to do know| [person:teresa f 1-1][person:teresa f 3-3]
carolyn| Is sharon around| [person:sharon f 1-1]
teresa| Yes|
carolyn| Request her to bring them this way if she is coming to college| [person:sharon f 1-1][person:sharon f 8-8]
teresa| Ok No worries|
teresa| I will hand them to her since i see she is getting ready| [person:teresa f 0-0][person:sharon f 5-5][person:teresa f 7-7][person:sharon f 9-9]
carolyn| Awesome thanks a lot|
teresa| You are welcome| [person:carolyn f 0-0]
carolyn| Let me know when you get them| [person:carolyn f 1-1][person:teresa f 4-4]
teresa| Ok No worries Key and notebook right|
carolyn| Yes|

conv:people_0917_2145_39:aug_0:chat_0:chataug_0| anthony sharon| [person:anthony m 0-0][person:sharon f 1-1]
sharon| hai anthony how are you and i need few details about the band| [person:anthony m 1-1][person:anthony m 4-4][person:sharon f 6-6]
anthony| i am fine sharon What information do you need about the band| [person:anthony m 0-0][person:sharon f 3-3][person:sharon f 7-7]
sharon| whether you have any lyrics for the song| [person:anthony m 1-1]
anthony| Yes sharon i have new lyrics for the song we are working for| [person:sharon f 1-1][person:anthony m 2-2][person:we g(sharon:anthony) 9-9]
sharon| ok thats good we can inform stanley about this becuase he is good in guitar| [person:we g(sharon:anthony) 3-3][person:stanley m 6-6][person:stanley m 10-10]
anthony| of course we will also inform to victoria because she is good in drums| [person:we g(sharon:anthony) 2-2][person:victoria f 7-7][person:victoria f 9-9]
sharon| ok thats good idea we will make our band to have on reharssal| [person:we g(sharon:anthony) 4-4][person:we g(sharon:anthony) 7-7]
anthony| ok sharon whether this thursday shall we arrange our band to work together| [person:sharon f 1-1][person:we g(sharon:anthony) 6-6][person:we g(sharon:anthony) 8-8]
sharon| no anthony not this thursday but for some other day we will plan for band session| [person:anthony m 1-1][person:we g(sharon:anthony) 10-10][location:band_session s 14-15]
anthony| ok not this thursday means we can plan for coming weekend to have a band session| [person:we g(sharon:anthony) 5-5]
sharon| ok fine bye for now|

conv:people_0917_2145_40:aug_0:chat_0:chataug_0| eric rachel| [person:eric m 0-0][person:rachel f 1-1]
eric| Hey sweetheart Do you have anything in mind for Sam s Christmas present| [person:rachel f 3-3][person:sam m 9-9]
rachel| I don t know What do you think| [person:rachel f 0-0][person:eric m 6-6]
eric| I think we should get him a phone| [person:eric m 0-0][person:we g(eric:rachel) 2-2][person:sam m 5-5]
rachel| A phone I think it is a bit too early for that honey Kids get spoilt with phones| [person:rachel f 2-2]
eric| Too early Justin and Nancy got Stephanie a phone remember And she is a year younger than Sam| [person:justin m 2-2][person:nancy f 4-4][person:stephanie f 6-6][person:stephanie f 11-11][person:sam m 17-17]
rachel| Yeah but Nancy was really against it and she still complains| [person:nancy f 2-2][person:nancy f 8-8]
eric| So you really think it is a bad idea| [person:rachel f 1-1]
rachel| I really think it is a terrible idea How about that gaming console instead He would love it| [person:rachel f 0-0][person:sam m 14-14]
eric| Ok we will drop the mobile phone idea if you aren t happy about it| [person:we g(eric:rachel) 1-1][person:rachel f 9-9]
