conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
jill| Yes do that They will definitely join you then| [person:they g(sasha:brooke) 3-3][person:charlotte f 7-7]
charlotte| Yeah please make sure you don t tell anything about it| [person:jill f 4-4]
jill| Don t worry I won t tell them anything| [person:jill f 3-3][person:them g(sasha:brooke) 7-7]

conv:people_chats_04182020_521:aug_0:chat_0:chataug_0| felix william| [person:felix m 0-0][person:william m 1-1]
william| Hi Felix How are you| [person:felix m 1-1][person:felix m 4-4]
felix| Hello William I am fine What about you| [person:william m 1-1][person:felix m 2-2][person:william m 7-7]
william| I am fine Are you free to talk now| [person:william m 0-0][person:felix m 4-4]
felix| Yes I am free to tell What is the matter| [person:felix m 1-1]
william| Shall we join the bachelor party of our brothers Owen and Woody| [person:we g(william:felix) 1-1][person:our g(william:felix) 7-7][person:owen m 9-9][person:woody m 11-11]
felix| Oh sure We will join them for the party I know Owen and Woody love to ski so we want to go somewhere with good ski hills| [person:we g(william:felix) 2-2][person:them g(owen:woody) 5-5][person:felix m 9-9][person:owen m 11-11][person:woody m 13-13][person:we g(william:felix) 18-18]
william| No we should stay local and be more fiscally responsible| [person:we g(william:felix) 1-1]
felix| But I think our brothers would enjoy going to Vancouver because they have friends that live there| [person:felix m 1-1][person:our g(william:felix) 3-3][location:vancouver s 9-9][person:they g(owen:woody) 11-11][person:friends g() 13-13][location:vancouver s 16-16]
william| Okay we need not argue in this matter let us ask them at the party| [person:we g(william:felix) 1-1][person:us g(william:felix) 9-9][person:them g(owen:woody) 11-11]
felix| Yeah You are right We will ask them| [person:william m 1-1][person:we g(william:felix) 4-4][person:them g(owen:woody) 7-7]

conv:people_chats_04182020_524:aug_0:chat_0:chataug_0| kathleen ricky| [person:kathleen f 0-0][person:ricky m 1-1]
kathleen| Hey Ricky I am planning to go for a road trip Will you join me| [person:ricky m 1-1][person:kathleen f 2-2][location:road s 9-9][location:road s 10-10][person:ricky m 12-12][person:kathleen f 14-14]
ricky| Hey Kathleen That s nice to hear Even I would like to join you| [person:kathleen f 1-1][person:ricky m 8-8][person:kathleen f 13-13]
kathleen| Okay Shall we invite more friends so that the expenses can be split| [person:we g(kathleen:ricky) 2-2][person:friends g() 5-5]
ricky| Oh sure we shall invite Scott Johnny and Debra to join us| [person:we g(kathleen:ricky) 2-2][person:scott m 5-5][person:johnny m 6-6][person:debra f 8-8][person:us g(kathleen:ricky) 11-11]
kathleen| Johnny is out of station as of now for a business meeting| [person:johnny m 0-0][location:station s 4-4]
ricky| Okay then we shall invite the other two friends to join us| [person:we g(kathleen:ricky) 2-2][person:friends g(scott:johnny:debra) 8-8][person:us g(kathleen:ricky) 11-11]
kathleen| Would they accept to split the expenses for the road trip| [person:they g(scott:johnny:debra) 1-1][location:road s 9-9][location:road s 10-10]
ricky| Yeah They will accept to share the expenses| [person:they g(scott:johnny:debra) 1-1]
kathleen| Okay We shall invite them in the evening today| [person:we g(kathleen:ricky) 1-1][person:them g(scott:johnny:debra) 4-4]
ricky| Okay fine I will be waiting for you in my room| [person:ricky m 2-2][person:kathleen f 7-7][person:ricky m 9-9]

conv:people_chats_04182020_525:aug_0:chat_0:chataug_0| dom nicholas| [person:dom m 0-0][person:nicholas m 1-1]
nicholas| Hey Dom I am very hungry Shall we order pizza now| [person:dom m 1-1][person:nicholas m 2-2][person:we g(nicholas:dom) 7-7]
dom| Yeah I am also hungry But let us wait for our friends Kevin and Harry to come| [person:dom m 1-1][person:we g(nicholas:dom) 7-7][person:we g(nicholas:dom) 10-10][person:friends g() 11-11][person:kevin m 12-12][person:harry m 14-14]
nicholas| Okay let us discuss what toppings to be added on the pizza| [person:we g(nicholas:dom) 2-2]
dom| Anything is fine for me but Harry prefers cheese and capsicum| [person:dom m 4-4][person:harry m 6-6]
dom| Harry will drink mango beer Kevin is very particular about the toppings| [person:harry m 0-0][person:kevin m 5-5]
nicholas| Oh What pizza toppings does he like to add to the pizza| [person:kevin m 5-5]
dom| Even I am not pretty sure about what he likes exactly| [person:dom m 1-1][person:kevin m 8-8]
nicholas| Why are they late And where are they now| [person:friends g(harry:kevin) 2-2][person:friends g(harry:kevin) 7-7]
dom| I think that they got stuck up in the heavy traffic| [person:dom m 0-0][person:friends g(harry:kevin) 3-3]
nicholas| I think they are going to reach us late We shall order what they like and wait for their arrival| [person:nicholas m 0-0][person:friends g(harry:kevin) 2-2][person:we g(nicholas:dom) 7-7][person:we g(nicholas:dom) 9-9][person:friends g(harry:kevin) 13-13][person:friends g(harry:kevin) 18-18]
dom| No we shall wait for their arrival and then we can place an order| [person:we g(nicholas:dom) 1-1][person:friends g(harry:kevin) 5-5][person:we g(nicholas:dom) 9-9]

conv:people_chats_04182020_526:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
rita| Hey Adam Are you free tomorrow| [person:adam m 1-1][person:adam m 3-3]
adam| Yeah is there any plan for me tomorrow| [person:adam m 6-6]
rita| Yeah I have planned a dinner with our friends Jane and John| [person:rita f 1-1][person:our g(rita:adam) 7-7][person:friends g() 8-8][person:jane f 9-9][person:john m 11-11]
adam| Cool do you want me to bring any thing for the dinner| [person:rita f 2-2][person:adam m 4-4]
rita| I need you to bring some chicken for tomorrow s dinner| [person:rita f 0-0][person:adam m 2-2]
adam| Sure I will bring it for you do you need anything else| [person:adam m 1-1][person:rita f 6-6][person:rita f 8-8]
rita| Actually I need some more items for dinner I will send you the list| [person:rita f 1-1][person:rita f 8-8][person:adam m 11-11]
adam| I think you are been a bit excessive with the menu| [person:adam m 0-0][person:rita f 2-2]
rita| No we always make a lot of food when all our friends come together| [person:we g(rita:adam) 1-1][person:our g(rita:adam) 10-10][person:friends g(john:jane) 11-11]
adam| Okay I will bring all the items as soon as possible| [person:adam m 1-1]
rita| Can you leave work early tomorrow I need you to help me in the kitchen| [person:adam m 1-1][person:rita f 6-6][person:adam m 8-8][person:rita f 11-11][location:kitchen s 14-14]
adam| I think I won t be able to join you as my work schedule is very hectic this week| [person:adam m 0-0][person:adam m 2-2][person:rita f 9-9][person:adam m 11-11]
adam| You would have told me earlier So I could have made plans accordingly| [person:rita f 0-0][person:adam m 4-4][person:adam m 7-7]
rita| Okay I will manage it myself But you should attend the party on time| [person:rita f 1-1][person:rita f 5-5][person:adam m 7-7]

conv:people_chats_04182020_527:aug_0:chat_0:chataug_0| amy terry| [person:amy f 0-0][person:terry m 1-1]
amy| Hey Terry what are you doing| [person:terry m 1-1][person:terry m 4-4]
terry| Hey Amy I m going downtown| [person:amy f 1-1][person:terry m 2-2][location:downtown s 5-5]
amy| Why What is the reason|
terry| I m going to get some drinks Would you like to join me| [person:terry m 0-0][person:amy f 8-8][person:terry m 12-12]
amy| Sure I would love to come| [person:amy f 1-1]
terry| Great I ll pick you up in 15 minutes| [person:terry m 1-1][person:amy f 4-4]
amy| I want to invite Ann and Johnny Would you be cool with them coming| [person:amy f 0-0][person:ann f 4-4][person:johnny m 6-6][person:terry m 8-8][person:them g(ann:johnny) 12-12]
terry| I d rather they not come because I thought this was a date| [person:terry m 0-0][person:they g(ann:johnny) 3-3][person:terry m 7-7]
amy| Oh I am sorry that s so sweet of you I ll go and get ready| [person:amy f 1-1][person:terry m 9-9][person:amy f 10-10]
terry| Alright I ll be there soon| [person:terry m 1-1]

conv:people_chats_04182020_529:aug_0:chat_0:chataug_0| juan trevor| [person:juan m 0-0][person:trevor m 1-1]
juan| Have you heard about the new kids Troy and Brandon| [person:trevor m 1-1][person:troy_and_brandon g() 6-6][person:troy m 7-7][person:brandon m 9-9]
trevor| I heard that they are very good at basketball| [person:trevor m 0-0][person:troy_and_brandon g(troy:brandon) 3-3]
juan| Are you thinking of having a match with them| [person:trevor m 1-1][person:troy_and_brandon g(troy:brandon) 8-8]
trevor| We should first challenge a game Then we should judge| [person:juan_and_trevor g(juan:trevor) 0-0][person:juan_and_trevor g(juan:trevor) 7-7]
juan| That s very good idea Lei s organize the match this Sunday|
trevor| I will inform all the team members along with them| [person:trevor m 0-0][person:team g() 5-5][person:troy_and_brandon g(troy:brandon) 9-9]
juan| We can also first take them to our team then we can have the match too| [person:juan_and_trevor g(juan:trevor) 0-0][person:troy_and_brandon g(troy:brandon) 5-5][person:juan_and_trevor g(juan:trevor) 7-7][person:team g() 8-8][person:juan_and_trevor g(juan:trevor) 10-10]
juan| If we first take them to our team we can discuss their flaws| [person:juan_and_trevor g(juan:trevor) 1-1][person:troy_and_brandon g(troy:brandon) 4-4][person:juan_and_trevor g(juan:trevor) 6-6][person:team g() 7-7][person:juan_and_trevor g(juan:trevor) 8-8]
trevor| Yeah I can suggest them a better strategy to play| [person:trevor m 1-1][person:troy_and_brandon g(troy:brandon) 4-4]
trevor| So let s take them to our team| [person:troy_and_brandon g(troy:brandon) 4-4][person:juan_and_trevor g(juan:trevor) 6-6][person:team g() 7-7]

conv:people_chats_04182020_530:aug_0:chat_0:chataug_0| lorenzo marilyn| [person:lorenzo m 0-0][person:marilyn f 1-1]
lorenzo| Marilyn thank God you picked up I have been trying to reach Rebecca Have you tried Jeremy s| [person:marilyn f 0-0][person:marilyn f 3-3][person:lorenzo m 6-6][person:rebecca f 12-12][person:marilyn f 14-14][person:jeremy m 16-16]
marilyn| For the last half hour I am trying to get a face time with him I hope he is alive| [person:marilyn f 5-5][person:jeremy m 14-14][person:marilyn f 15-15][person:jeremy m 17-17]
lorenzo| Don t kill the kid babes He is too young to die At least not before we all meet at Las Vegas and do our hangover part 5| [person:jeremy m 6-6][person:we g(lorenzo:marilyn:rebecca:jeremy) 16-16][location:las_vegas s 20-21][person:we g(lorenzo:marilyn:rebecca:jeremy) 24-24]
marilyn| Just saying those guys turn up for the trip I need to book the flight tickets The airlines are filling up fast It s Christmas time| [person:marilyn f 9-9]
lorenzo| Yeah I can imagine the grimace bombshell Guess what I am on 45E On my way to Rebecca s office Curse the traffic| [person:lorenzo m 1-1][person:lorenzo m 9-9][location:45e s 12-12][person:lorenzo m 14-14][person:rebecca f 17-17][location:office s 19-19]
marilyn| Hurry up dude Last flight is tomorrow If we don t make it then better we be doomed| [person:we g(lorenzo:marilyn:rebecca:jeremy) 8-8][person:we g(lorenzo:marilyn:rebecca:jeremy) 15-15]
lorenzo| Damn you Rebecca I sent many voicemails to her number She is permanently unavailable This is even worse than every Kevin Costner movies I saw| [person:rebecca f 1-1][person:rebecca f 2-2][person:lorenzo m 3-3][person:rebecca f 8-8][person:rebecca f 10-10][person:kevin m 20-20][person:lorenzo m 23-23]
lorenzo| I am going to ring you as soon as I reach to her You keep trying Jeremy May God has mercy on us| [person:lorenzo m 0-0][person:marilyn f 5-5][person:lorenzo m 9-9][person:rebecca f 12-12][person:marilyn f 13-13][person:jeremy m 16-16][person:mercy f 20-20]
marilyn| I bet we need an apocalypse only then these guys will come out running for their lives I am so angry| [person:marilyn f 0-0][person:we g(lorenzo:marilyn:rebecca:jeremy) 2-2][person:their g() 15-15][person:marilyn f 17-17]
marilyn| You ring me as soon as you reach I am headed to Jeremy now| [person:lorenzo m 0-0][person:marilyn f 2-2][person:marilyn f 6-6][person:marilyn f 8-8][person:jeremy m 12-12]

conv:people_chats_04182020_533:aug_0:chat_0:chataug_0| cory tina| [person:cory m 0-0][person:tina f 1-1]
cory| Hi Tina are you free on Tuesday night| [person:tina f 1-1][person:tina f 3-3]
tina| Yeah Cory I am free on Tuesday| [person:cory m 1-1][person:tina f 2-2]
cory| I am having a work party on that day I don t want to go there alone| [person:cory m 0-0][person:cory m 9-9]
cory| Would you like to join me as my date for the party| [person:tina f 1-1][person:cory m 5-5][person:cory m 7-7]
tina| I am not sure about coming with you for the party| [person:tina f 0-0][person:cory m 7-7]
tina| As I don t know anyone at the party and I won t be confortable there| [person:tina f 1-1][person:anyone u 5-5][person:tina f 10-10]
cory| Don t worry hope you remember Jake and Ann I think even they are also coming to the party| [person:tina f 4-4][person:jake m 6-6][person:ann f 8-8][person:cory m 9-9][person:they g(jake:ann) 12-12]
tina| Yeah I remember them Are you sure they are coming to party| [person:tina f 1-1][person:they g(jake:ann) 3-3][person:cory m 5-5][person:they g(jake:ann) 7-7]
tina| I wish I could join you if they are coming| [person:tina f 0-0][person:tina f 2-2][person:cory m 5-5][person:they g(jake:ann) 7-7]
cory| Let me confirm it from them and will let you know| [person:cory m 1-1][person:they g(jake:ann) 5-5][person:tina f 9-9]
cory| There is good news they said that they are going to attend the party| [person:they g(jake:ann) 4-4][person:they g(jake:ann) 7-7]
tina| That s a great news I think I will join you for party| [person:tina f 5-5][person:tina f 7-7][person:cory m 10-10]
cory| Can we meet up for desert| [person:we g(cory:tina) 1-1]
tina| No I am busy right now I will meet you Tuesday| [person:tina f 1-1][person:tina f 6-6][person:cory m 9-9]

conv:people_chats_04182020_535:aug_0:chat_0:chataug_0| kevin vince| [person:kevin m 0-0][person:vince m 1-1]
kevin| Oh safari seems like a good idea|
kevin| I m going to ask my sisters what they think| [person:kevin m 0-0][person:kevin m 5-5][person:sisters f 6-6][person:sisters f 8-8]
vince| Ok I m also thinking of other possibilities| [person:vince m 1-1]
kevin| They loved the idea| [person:sisters f 0-0]
kevin| They are eager to see giraffes and elephants| [person:sisters f 0-0]
vince| Yeah We can also see zebras monkeys and other animals| [person:we g(kevin:vince:sisters) 1-1]
vince| And then we can all go to the amusement park| [person:we g(kevin:vince:sisters) 2-2]
kevin| Yes I am very excited and so are the girls It will be really fun| [person:kevin m 1-1][person:sisters f 9-9]
vince| Then we can go get something to eat| [person:we g(kevin:vince:sisters) 1-1]
vince| What do you think| [person:kevin m 2-2]
kevin| Yes we have to go get something to eat later We will be very tired after doing all of this| [person:we g(kevin:vince:sisters) 1-1][person:we g(kevin:vince:sisters) 10-10]
vince| Do you have any preference for the type of food| [person:kevin m 1-1]
kevin| Well the girls and I like fast food and Japanese food| [person:sisters f 2-2][person:kevin m 4-4]
vince| Yeah I like those foods too| [person:vince m 1-1]
vince| So let s go to fast food later right|
kevin| Yes We love the idea| [person:we g(kevin:vince:sisters) 1-1]

conv:people_chats_04182020_538:aug_0:chat_0:chataug_0| lilly wayne| [person:lilly f 0-0][person:wayne m 1-1]
lilly| Hey Wayne Did you see what our neighbors doing| [person:wayne m 1-1][person:wayne m 3-3][person:our g(lilly:wayne) 6-6][person:neighbors g() 7-7]
wayne| No I don t know what they are doing What does it matter| [person:wayne m 1-1][person:neighbors g() 6-6]
lilly| Our neighbors Sarah and Robert were planning to buy the decorations and items| [person:our g(lilly:wayne) 0-0][person:neighbors g() 1-1][person:sarah f 2-2][person:robert m 4-4]
wayne| Okay for what purpose they are buying all those things| [person:neighbors g(sarah:robert) 4-4]
lilly| They are planning to remodel their house this month| [person:neighbors g(sarah:robert) 0-0][person:neighbors g(sarah:robert) 5-5]
wayne| Oh That s nice remodeling their house will help them to get more space| [person:neighbors g(sarah:robert) 5-5][person:neighbors g(sarah:robert) 9-9]
lilly| Yeah that s correct It would be nice if we remodel our house| [person:our g(lilly:wayne) 9-9][person:our g(lilly:wayne) 11-11]
wayne| No need Lilly we have enough of space in the house| [person:lilly f 2-2][person:our g(lilly:wayne) 3-3]
lilly| Our house is about five years old I think it s the time to remodel our house We shall install chimney in the kitchen and air condition in all the rooms| [person:our g(lilly:wayne) 0-0][person:lilly f 7-7][person:our g(lilly:wayne) 15-15][person:our g(lilly:wayne) 17-17]
wayne| Okay then we shall buy all the things and remodel our house by next month| [person:our g(lilly:wayne) 2-2][person:our g(lilly:wayne) 10-10]

conv:people_chats_04182020_539:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John nowadays you are not attending the club it seems you are very busy Is it| [person:john m 1-1][person:john m 3-3][location:club s 8-8][person:john m 11-11]
john| Yes I am a bit busy and worried about my daughter| [person:john m 1-1][person:john m 9-9][person:daughter f 10-10]
adam| Why What is the issue with Rita They have just passed with good grades from school and joined the college| [person:rita f 6-6][person:rita f 7-7][location:school s 15-15][location:college s 19-19]
john| After joining the college she was attending few of the rallies and recently she joined a revolutionary group| [location:college s 3-3][person:rita f 4-4][person:rita f 13-13]
adam| Are you serious She didn t spoke to you before joining it| [person:john m 1-1][person:rita f 3-3][person:john m 8-8]
john| No she didn t inform me One of my neighbors told me about this| [person:rita f 1-1][person:john m 5-5][person:john m 8-8][person:neighbors g() 9-9][person:john m 11-11]
adam| That s a really very bad step from her end I think you should have a conversation with her about it| [person:rita f 8-8][person:adam m 10-10][person:john m 12-12][person:rita f 18-18]
john| She is stubborn about this matter and doesn t want to discuss it with me So I need your help to convince her| [person:rita f 0-0][person:john m 14-14][person:john m 16-16][person:adam m 18-18][person:rita f 22-22]
john| If I can t convince her it will hurt my image as a politician| [person:john m 1-1][person:rita f 5-5][person:john m 9-9]
adam| I will definitely try my best Just tell me how can I help you| [person:adam m 0-0][person:adam m 4-4][person:adam m 8-8][person:adam m 11-11][person:john m 13-13]
john| Can you please ask Jane to have a conversation with her| [person:adam m 1-1][person:jane f 4-4][person:rita f 10-10]
adam| Sure I will talk to Jane to convince her not to be in the group As they are close friends I hope she will listen to her| [person:adam m 1-1][person:jane f 5-5][person:rita f 8-8][person:they g(rita:jane) 16-16][person:friends g(rita:jane) 19-19][person:adam m 20-20][person:rita f 22-22]
john| Thank you so much dear hearing this I got relief| [person:adam m 1-1][person:john m 7-7]
adam| Don t be formal Well I will let you what she replies| [person:adam m 5-5][person:john m 8-8][person:rita f 10-10]

conv:people_chats_04182020_540:aug_0:chat_0:chataug_0| ivan patricia| [person:ivan m 0-0][person:patricia f 1-1]
ivan| Hey Patrica How about taking Gary for shopping a new boat| [person:gary m 5-5]
patricia| Hey Ivan Even I was thinking of the same As Gary is an expert Let us ask him| [person:ivan m 1-1][person:patricia f 3-3][person:gary m 10-10][person:us g(ivan:patricia) 15-15][person:gary m 17-17]
ivan| I also think about Carlos to come along with us As Carlos has a good taste and I generally like what he selects| [person:ivan m 0-0][person:carlos m 4-4][person:us g(ivan:patricia) 9-9][person:carlos m 11-11][person:ivan m 17-17][person:ivan m 21-21]
patricia| What you are thinking will be fine with us But u know that Gary and Carlos do not get along with each other How do we manage| [person:ivan m 1-1][person:us g(ivan:patricia) 8-8][person:ivan m 10-10][person:gary m 13-13][person:gary m 15-15][person:us g(ivan:patricia) 25-25]
ivan| That is what we have to decide and think about them to get with each other Let us think of it| [person:us g(ivan:patricia) 3-3][person:them g(gary:carlos) 10-10][person:us g(ivan:patricia) 17-17]
patricia| As Gary is an expert he knows the things that are required for a new boat Carlos has a good taste in the selection of things| [person:gary m 1-1][person:gary m 5-5][person:gary m 16-16]
ivan| Yes With these two scenarios we can seek their help What do you say| [person:us g(ivan:patricia) 5-5][person:them g(gary:carlos) 8-8][person:patricia f 12-12]
patricia| You are right We have to handle the both situations and get them each other| [person:ivan m 0-0][person:us g(ivan:patricia) 3-3][person:them g(gary:carlos) 12-12]
ivan| I will be with the Carlos While he is in the selection of the good materials for the boat| [person:ivan m 0-0][person:ivan m 5-5][person:carlos m 7-7]
patricia| Okay I will handle the situation by being with the Gary As Gary is an expert He will suggest the mandatory things for the boat| [person:patricia f 1-1][person:patricia f 10-10][person:gary m 12-12][person:gary m 16-16]

conv:people_chats_04182020_541:aug_0:chat_0:chataug_0| brad vincent| [person:brad m 0-0][person:vincent m 1-1]
brad| Are you ready for the cooking class Then I will pick you while going| [person:vincent m 1-1][person:brad m 8-8][person:vincent m 11-11]
vincent| Yes I m ready I m glad that we are investing our time in doing something that is useful| [person:vincent m 1-1][person:vincent m 4-4][person:we g(brad:vincent) 8-8][person:we g(brad:vincent) 11-11]
brad| What about Elena and Emma Are they attending the class this week| [person:elena f 2-2][person:emma f 4-4][person:they g(elena:emma) 6-6]
vincent| I don t think so Brad They are more into video games than the real world around| [person:vincent m 0-0][person:brad m 5-5][person:they g(elena:emma) 6-6]
brad| I think we should take a different class Every day this can t be tolerated| [person:brad m 0-0][person:we g(brad:vincent) 2-2]
vincent| They need to be informed about the different types of classes that are being conducted around so that they change their mind| [person:they g(elena:emma) 0-0][person:they g(elena:emma) 18-18][person:they g(elena:emma) 20-20]
brad| But I don t think this can be done as they both will start convincing us with their experiences| [person:brad m 1-1][person:they g(elena:emma) 10-10][person:we g(brad:vincent) 15-15][person:they g(elena:emma) 17-17]
vincent| Let s ask them to attend at least one class with us| [person:they g(elena:emma) 3-3][person:we g(brad:vincent) 11-11]
brad| Okay we can request them to come along with us today itself| [person:we g(brad:vincent) 1-1][person:they g(elena:emma) 4-4][person:we g(brad:vincent) 9-9]
vincent| I have already told them But they said that they will join us from the next week| [person:vincent m 0-0][person:they g(elena:emma) 4-4][person:they g(elena:emma) 6-6][person:they g(elena:emma) 9-9][person:we g(brad:vincent) 12-12]

conv:people_chats_04182020_542:aug_0:chat_0:chataug_0| henry lucy| [person:henry m 0-0][person:lucy f 1-1]
lucy| Hey Henry I am planning to prepare a special dinner| [person:henry m 1-1][person:lucy f 2-2]
henry| Hey Lucy That s nice but why is it special about the dinner| [person:lucy f 1-1]
lucy| I invited four of my closest friends for the today s dinner| [person:lucy f 0-0][person:lucy_friend u 4-4][person:lucy_friend u 6-6]
henry| Oh Do you mean Steve Janice Zachary and Judith| [person:lucy f 2-2][person:steve m 4-4][person:janice f 5-5][person:zachary m 6-6][person:judith f 8-8]
lucy| Exactly But Henry I am running low on the vegetables that I need to use for the side dishes| [person:henry m 2-2][person:lucy f 3-3][person:lucy f 11-11]
henry| Okay no problem just tell me what are all the vegetables and other things that I need to purchase| [person:henry m 5-5][person:henry m 15-15]
lucy| Get Chicken Paneer Potatos cabbage capsicum carrots and tomatos|
henry| Okay I will get those I think they would also like to eat some sweets So I will get some sweets| [person:henry m 1-1][person:henry m 5-5][person:lucy_friend g(steve:janice:judith:zachary) 7-7][person:henry m 16-16]
lucy| Okay fine But come within an hour so that I can start preparing| [person:lucy f 9-9]
henry| Okay I am living now If you need anything extra just give me a call| [person:henry m 1-1][person:lucy f 6-6][person:henry m 12-12]

conv:people_chats_04182020_544:aug_0:chat_0:chataug_0| kendall peggy| [person:kendall m 0-0][person:peggy f 1-1]
peggy| Kendall did u notice our neighbors Johnny and Meredith are preparing for the Independence day celebrations| [person:kendall m 0-0][person:kendall m 2-2][person:our g(peggy:kendall) 4-4][person:neighbors g() 5-5][person:neighbors g() 6-6][person:neighbors g() 8-8]
kendall| Yeah Peggy I noticed what are you planning| [person:peggy f 1-1][person:kendall m 2-2][person:peggy f 6-6]
peggy| I don t know all our previous plans didn t work out due to bad weather conditions I hope the weather favors us this time| [person:peggy f 0-0][person:neighbors g(peggy:peggy) 5-5][person:peggy f 17-17][person:neighbors g(peggy:peggy) 22-22]
kendall| Yeah I know but we still need a plan to celebrate| [person:kendall m 1-1][person:neighbors g(peggy:peggy) 4-4]
peggy| I think we should celebrate Independence day with our neighbors What do you say| [person:peggy f 0-0][person:neighbors g(peggy:peggy) 2-2][person:our g(peggy:kendall) 8-8][person:neighbors g(peggy:peggy) 9-9][person:kendall m 12-12]
kendall| That s a good idea But how shall we approach them| [person:our g(peggy:kendall) 8-8][person:neighbors g(peggy:peggy) 10-10]
peggy| There are some common things that Johnny and I share like we do bowling every Thursdays I will ask him about it on the coming Thursday| [person:johnny m 6-6][person:peggy f 8-8][person:we g(peggy:johnny) 11-11][person:peggy f 16-16][person:johnny m 19-19]
kendall| Sounds good also ask him if we can help him in the preparations| [person:johnny m 4-4][person:we g(peggy:kendall) 6-6][person:johnny m 9-9]
peggy| Okay I ll talk to him and I ll inform you| [person:peggy f 1-1][person:johnny m 5-5][person:peggy f 7-7][person:kendall m 10-10]
kendall| I just can t wait for the celebrations| [person:kendall m 0-0]

conv:people_chats_04182020_546:aug_0:chat_0:chataug_0| cheryl margo| [person:cheryl f 0-0][person:margo f 1-1]
cheryl| Hey Margo we should enjoy our field trip without any disturbances| [person:margo f 1-1][person:margo_and_cheryl g(cheryl:margo) 2-2][person:margo_and_cheryl g(cheryl:margo) 5-5]
margo| Hi Cheryl yes this trip should be the best memory ever| [person:cheryl f 1-1]
cheryl| Sure but for now I m hungry I think we have to eat something or other and then proceed further| [person:cheryl f 4-4][person:cheryl f 7-7][person:margo_and_cheryl g(cheryl:margo) 9-9]
margo| Once my friends Gregory and Jonathan have gone on this trip and suggested me to have pizza if I go so let s eat pizza| [person:margo f 1-1][person:greg_and_jon g() 2-2][person:gregory m 3-3][person:jonathan m 5-5][person:margo f 13-13][person:margo f 18-18]
cheryl| Alright We shall eat pizza but where is the pizza hut location| [person:margo_and_cheryl g(cheryl:margo) 1-1][location:pizza_hut s 9-10]
margo| It s just opposite to our lane turn to your right you will find it| [location:pizza_hut s 0-0][person:margo_and_cheryl g(cheryl:margo) 5-5][person:cheryl f 9-9][person:cheryl f 11-11][location:pizza_hut s 14-14]
cheryl| Cool let go and have pizza I can t wait anymore| [person:cheryl f 6-6]
margo| Yeah let s go I am even hungry| [person:margo f 4-4]
cheryl| Anyways Gregory and Jonathan have good taste| [person:gregory m 1-1][person:jonathan m 3-3]
margo| Yes they have and we shall say to them that we tasted pizza which they suggested| [person:greg_and_jon g(gregory:jonathan) 1-1][person:margo_and_cheryl g(cheryl:margo) 4-4][person:greg_and_jon g(gregory:jonathan) 8-8][person:margo_and_cheryl g(cheryl:margo) 10-10][person:greg_and_jon g(gregory:jonathan) 14-14]

conv:people_chats_04182020_550:aug_0:chat_0:chataug_0| kathy lena| [person:kathy f 0-0][person:lena f 1-1]
lena| Hey Kathy did you visit our store How is our salon work going on| [person:kathy f 1-1][person:kathy f 3-3][person:our g(lena:kathy) 5-5][person:our g(lena:kathy) 9-9]
kathy| The interiors work is just about to complete Dave The rest of the work is going on as per plan|
lena| Yeah that sounds good Kathy but will it complete by the plan of our opening date| [person:kathy f 4-4][person:our g(lena:kathy) 13-13]
kathy| If everything goes as per plan then we can expect its opening within the stipulated time Lena| [person:our g(lena:kathy) 7-7][person:lena f 16-16]
lena| But kathy Im worried about working crew for our salon| [person:kathy f 1-1][person:our g(lena:kathy) 8-8]
kathy| Don t worry Lena The support staff is completely ready| [person:lena f 3-3]
lena| Yeah I know that supporting staff of our store is ready but I m worried about the nail professionals| [person:lena f 1-1][person:our g(lena:kathy) 7-7][person:lena f 12-12]
kathy| Yes we still have to look into the matter of hiring the nail professionals Can you suggest me some of them| [person:our g(lena:kathy) 1-1][person:lena f 15-15][person:kathy f 17-17][person:them g() 20-20]
lena| I have an idea of using the nail professionals from reputed stores to work as part time workers for our store| [person:lena f 0-0][person:our g(lena:kathy) 19-19]
kathy| I don t think we should hire part time professionals We need fully committed staff| [person:kathy f 0-0][person:our g(lena:kathy) 4-4][person:our g(lena:kathy) 10-10]
lena| In that case we can t open our store in expected time Do you have any other ideas| [person:our g(lena:kathy) 3-3][person:our g(lena:kathy) 7-7][person:kathy f 13-13]
kathy| I ve done a little research online about Melanie and Ruth| [person:kathy f 0-0][person:melanie f 8-8][person:ruth f 10-10]
kathy| They seemed to fit in perfectly for our nail salon| [person:them g(melanie:ruth) 0-0][person:our g(lena:kathy) 7-7]
lena| Wow that sounds good I will contact them later in the day| [person:lena f 4-4][person:them g(melanie:ruth) 7-7]

conv:people_chats_04182020_551:aug_0:chat_0:chataug_0| cynthia jason| [person:cynthia f 0-0][person:jason m 1-1]
jason| Hi Cynthia Let s plan a trip for the following summer| [person:cynthia f 1-1]
cynthia| Hey Jason That sound s like a great idea Europe is a beautiful place where we can go| [person:jason m 1-1][location:europe s 9-9][location:europe s 13-13][person:we g(jason:cynthia) 15-15]
jason| That s a nice idea Which countries do you think we should visit| [location:countries g() 6-6][person:cynthia f 8-8][person:we g(jason:cynthia) 10-10]
