conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
cheryl| What are the options that youre thinking about| [person:ethan m 5-5]
ethan| I m really unsure I know Ben and Grace are vegan so we ll have to make something that they can eat too| [person:ethan m 0-0][person:ethan m 4-4][person:ben m 6-6][person:grace f 8-8][person:we g(ethan:cheryl) 12-12][person:they g(ben:grace) 19-19]
cheryl| Thats great I ve been trying to eat vegan on mondays| [person:cheryl f 2-2]
ethan| We could always make vegan soul food| [person:we g(ethan:cheryl) 0-0]
cheryl| Thats amazing I love vegan fried chicken I have most of the stuff to make it If you would pick up some Seitan on the way home We should probably reach out to Janet and Brandon to make sure they aren t allergic to anything| [person:cheryl f 2-2][person:cheryl f 7-7][person:ethan m 17-17][person:we g(ethan:cheryl) 27-27][person:janet f 33-33][person:brandon m 35-35][person:they_2 g(janet:brandon) 39-39]
ethan| That sounds amazing I reached out to them and they aren t allergic to anything| [person:ethan m 3-3][person:they_2 g(janet:brandon) 7-7][person:they_2 g(janet:brandon) 9-9]
cheryl| Sweet so i m thinking Vegan Fried Chicken Collard Greens and Mac and Cheese with Vegan Cheese| [person:cheryl f 2-2]
ethan| Mouth is watering That sounds fantastic Are you sure you have everything besides the Seitan| [person:cheryl f 7-7][person:cheryl f 9-9]
cheryl| Yeah I went grocery shopping yesterday but didn t buy enough Seitan| [person:cheryl f 1-1]
ethan| Sounds good I ll facetime you while i m at the store so you can help me find a good brand| [person:ethan m 2-2][person:cheryl f 5-5][person:ethan m 7-7][person:cheryl f 13-13][person:ethan m 16-16]

conv:people_2019082201_316:aug_0:chat_0:chataug_0| edward paul| [person:edward m 0-0][person:paul m 1-1]
paul| Hey Edward how does dinnner sound Say tomorrow night| [person:edward m 1-1]
edward| Hey Paul that sounds really great Will it just be us two| [person:paul m 1-1][person:us g(paul:edward) 10-10]
paul| I was thinking that we could invite our friends Danielle and Steve I think it d be a lot of fun| [person:paul m 0-0][person:we g(paul:edward) 4-4][person:our g(paul:edward) 7-7][person:friends g() 8-8][person:danielle f 9-9][person:steve m 11-11][person:paul m 12-12]
edward| Yeah you re right I guess what s left is to decide where to go| [person:paul m 1-1][person:edward m 4-4]
paul| I really miss our Taco Tuesday nights from back in the day I know Danielle and Steve also miss it How does tacos at our regular spot sound| [person:paul m 0-0][person:our g(paul:edward) 3-3][person:paul m 12-12][person:danielle f 14-14][person:steve m 16-16][person:our g(paul:edward) 24-24]
edward| That sounds amazing Yes let s do that for sure|
paul| Alright so do you think you could book us a table for four| [person:edward m 3-3][person:edward m 5-5][person:us g(paul:edward:danielle:steve) 8-8]
edward| Sure I ll make sure to do that I ll book it right now| [person:edward m 1-1][person:edward m 8-8]
paul| Great thanks for doing that we ll see you Tuesday then| [person:we g(paul:danielle:steve) 5-5][person:edward m 8-8]
edward| Yes for sure take care and have a great day ahead|

conv:people_2019082201_318:aug_0:chat_0:chataug_0| gary john| [person:gary m 0-0][person:john m 1-1]
gary| I wanna go to dinner| [person:gary m 0-0]
john| Where do you wanna go| [person:gary m 2-2]
gary| Lets get a burger|
john| I wanna invite Edward and Tom| [person:john m 0-0][person:edward m 3-3][person:tom m 5-5]
gary| sure they can come with us| [person:they g(edward:tom) 1-1][person:us g(gary:john) 5-5]
john| Tom is a big burger fan| [person:tom m 0-0]
gary| Good to know We will go to a burger place| [person:we g(gary:john:edward:tom) 3-3][location:place s 9-9]
john| I will let them know then| [person:john m 0-0][person:they g(edward:tom) 3-3]
gary| Let s go in a couple hours|
john| sounds good to me| [person:john m 3-3]

conv:people_2019082201_319:aug_0:chat_0:chataug_0| james judy| [person:james m 0-0][person:judy f 1-1]
james| Hey Judy are you working this weekend| [person:judy f 1-1][person:judy f 3-3]
judy| No thank goodness I m finally getting a weekend off Did you want to do something| [person:judy f 3-3][person:james m 11-11]
james| Well I m off too so I thought it might be nice to have a dinner party Friday night We could invite the Rangers and Parkers over What do you think| [person:james m 1-1][person:james m 6-6][person:we g(james:judy) 19-19][person:rangers g() 23-23][person:parkers g() 25-25][person:judy f 29-29]
judy| I think it would be lovely They are both such great couples The Rangers are so funny together| [person:judy f 0-0][person:they g() 6-6][person:rangers g() 13-13]
james| Yes and the Parkers always tell the best stories about their travel I can ask the Rangers tomorrow I ll see him at work| [person:parkers g() 3-3][person:parkers g() 10-10][person:james m 12-12][person:rangers g() 16-16][person:james m 18-18][person:rangers g() 21-21]
judy| Okay that s a good time then Tell them around 8 pm Saturday would be great| [person:they g() 8-8]
james| You got it| [person:judy f 0-0]
judy| I ll ask the Parkers this evening We have Pilates class at 5| [person:judy f 0-0][person:parkers g() 4-4][person:we g(james:judy) 7-7]
james| Sounds like a plan I think it will do us all some good| [person:james m 4-4][person:we g(james:judy) 9-9]
judy| Very true I know they are so busy and have hectic schedules But I think it ll work out good for all of us| [person:judy f 2-2][person:they g() 4-4][person:judy f 13-13][person:we g(james:judy) 23-23]

conv:people_2019082201_320:aug_0:chat_0:chataug_0| billy matt| [person:billy m 0-0][person:matt m 1-1]
matt| So where you invited to Smith s place for breakfast as well this weekend| [person:billy m 2-2][person:smith m 5-5][location:place s 7-7]
billy| Yeah he gave me an invite yesterday and said it would be a casual gettogether| [person:billy m 1-1][person:billy m 3-3]
matt| Do you know what we should bring along I m stumped on what food Smith and his family likes| [person:matt m 1-1][person:we g(matt:billy) 4-4][person:matt m 8-8][person:smith m 14-14][person:billy m 16-16][person:family g(matt:billy:smith) 17-17]
billy| Same I think something typical might work out at least as long as it is a breakfast item| [person:billy m 1-1]
matt| Like some assorted fruit or even some pastries could work|
billy| I think in general something that doesn t require preparation or cooking so no meats or egg products| [person:billy m 0-0]
matt| Agreed it will make it much more difficult to transport and they might already have some at their home| [person:they g(smith) 11-11][person:their g(smith) 17-17][location:home s 18-18]
matt| You know we should ask David on what we should bring to the event| [person:billy m 0-0][person:we g(matt:billy) 2-2][person:david m 5-5][person:we g(matt:billy) 8-8]
billy| Why s that does David know Smith well enough to know what he likes| [person:david m 4-4][person:david m 6-6][person:matt m 12-12]
matt| Definitely you should send him a text asking him for advice on what to bring for breakfast| [person:billy m 1-1][person:billy m 4-4][person:billy m 8-8]
billy| I ll send one right away he should respond in a couple of minutes or so| [person:billy m 0-0][person:matt m 6-6]

conv:people_2019082201_322:aug_0:chat_0:chataug_0| andy derek| [person:andy m 0-0][person:derek m 1-1]
derek| Are you coming to the movie at smith s place Andy| [person:derek m 1-1][person:smith g() 7-7][location:place s 9-9][person:andy m 10-10]
andy| Yes definitely Do you know we have to bring some gifts to Smith s| [person:derek m 3-3][person:derek m 5-5][person:smith g() 12-12]
derek| Yes if we get some things to enjoy the movie then it will be the best gift to Smith s I think| [person:andy m 2-2][person:smith g() 18-18][person:andy m 20-20]
andy| Wow that is nice idea What are they Do you have any choice| [person:andy m 7-7][person:derek m 9-9]
derek| No we have to discuss about it Do you know anything about the one which is interested to Smith s| [person:derek m 1-1][person:andy m 8-8][person:smith g() 18-18]
andy| Yes I think Smith s love to eat always So we can bring some snacks and cool drinks to him| [person:andy m 1-1][person:smith g() 3-3][person:andy m 10-10][person:derek m 19-19]
derek| It s okay But he is the one invited us so he already prepared for the snacks I think| [person:andy m 4-4][person:andy m 9-9][person:andy m 11-11][person:derek m 17-17]
andy| Then what do we do now I have no other idea| [person:derek m 3-3][person:andy m 6-6]
derek| What about our friend Henry He will know more about Smith s than us Shall we ask his idea for this| [person:andy m 2-2][person:friend u 3-3][person:smith g() 4-4][person:andy m 5-5][person:smith g() 10-10][person:andy m 13-13][person:derek m 15-15]
andy| Ofcourse we will Now I am so happy Definitely we are going to enjoy the movie| [person:derek m 1-1][person:andy m 4-4][person:andy m 9-9]

conv:people_2019082201_324:aug_0:chat_0:chataug_0| alexis melinda| [person:alexis f 0-0][person:melinda f 1-1]
melinda| Hi I am so excited for the party on Friday| [person:melinda f 1-1]
alexis| I know Me too Cannot wait| [person:alexis f 0-0][person:alexis f 2-2]
melinda| What should I have the girls bring to the planning evening tomorrow| [person:melinda f 2-2][person:girls g() 5-5]
alexis| We will need some snacks and drinks Since it is at 7 we will have all eaten| [person:we g(melinda:alexis) 0-0][person:we g(melinda:alexis) 12-12]
melinda| Okay Lucy offered to bring a fruit bowl and some chips and dip| [person:lucy f 1-1]
alexis| Can you ask Deborah to bring some drinks and mixer| [person:melinda f 1-1][person:deborah f 3-3]
melinda| Sure she is great at making the best drinks so good idea on letting her decide that| [person:lucy f 1-1][person:lucy f 14-14]
alexis| I ll ask Sarah to bring a meat and cheese tray| [person:alexis f 0-0][person:sarah f 3-3]
melinda| Okay I will bring the planning board home from work so we can write everything down and then snap a pic so we know what to get| [person:melinda f 1-1][location:home s 7-7][person:we g(melinda:alexis) 11-11][person:we g(melinda:alexis) 22-22]
alexis| Sounds good I ll send out the invites after we get a list of people we want to confirm for attendance| [person:alexis f 2-2][person:we g(melinda:alexis) 9-9][person:we g(melinda:alexis) 15-15]
melinda| Yea See you later tonight| [person:alexis f 2-2]
alexis| TTYS|

conv:people_2019082201_325:aug_0:chat_0:chataug_0| dorothy kathleen| [person:dorothy f 0-0][person:kathleen f 1-1]
dorothy| Hi Kathleen How are you doing| [person:kathleen f 1-1][person:kathleen f 4-4]
kathleen| I am good Thank you How are you| [person:kathleen f 0-0][person:dorothy f 4-4][person:dorothy f 7-7]
dorothy| I am good Thanks Do you have any plans this weekend I am planning to go for hiking| [person:dorothy f 0-0][person:kathleen f 5-5][person:dorothy f 11-11]
kathleen| oh nice I have some work for this weekend| [person:kathleen f 2-2]
dorothy| Is that important work I thought you will accompany| [person:dorothy f 4-4][person:kathleen f 6-6]
kathleen| oh sorry I have some important work| [person:kathleen f 2-2]
dorothy| oh sad Looks like i dont have anyone to accompany Can you give you a try| [person:dorothy f 4-4][person:kathleen f 11-11][person:kathleen f 13-13]
kathleen| sorry i cant make it but i have friend whose name is abigail who usually interested in hiking| [person:kathleen f 1-1][person:kathleen f 6-6][person:abigail f 8-8][person:abigail f 12-12]
dorothy| oh nice that will help|
kathleen| Please note abigail contact number| [person:abigail f 2-2]

conv:people_2019082201_331:aug_0:chat_0:chataug_0| philip stephanie| [person:philip m 0-0][person:stephanie f 1-1]
philip| Hello Stephanie How are you today| [person:stephanie f 1-1][person:stephanie f 4-4]
stephanie| I m doing well Philip but I m kind of concerned about the barbeque later with Jen Sophia Albert and Ethan| [person:stephanie f 0-0][person:philip m 4-4][person:stephanie f 6-6][person:jen f 16-16][person:sophia f 17-17][person:albert m 18-18][person:ethan m 20-20]
philip| Oh yeah Why do you feel that way| [person:stephanie f 4-4]
stephanie| Well you know me I like to please people and I want to make sure that they all have a good time and enjoy the food and atmosphere you know| [person:philip m 1-1][person:stephanie f 3-3][person:stephanie f 4-4][person:stephanie f 10-10][person:they g(jen:sophia:albert:ethan) 16-16][person:philip m 28-28]
philip| I totally get you Well I know that they all love pork and ribs| [person:philip m 0-0][person:stephanie f 3-3][person:philip m 5-5][person:they g(jen:sophia:albert:ethan) 8-8]
stephanie| Good to know that I don t have to think about that then How about drinks though| [person:stephanie f 4-4]
philip| Jen and Sophia are wine cooler girls and the guys are big on beer if I m not mistaken| [person:jen f 0-0][person:sophia f 2-2][person:girls g(jen:sophia) 6-6][person:philip m 15-15]
stephanie| Cool do you think you could pick up the drinks and I ll buy the food I ll pay you back on the same day| [person:philip m 2-2][person:philip m 4-4][person:stephanie f 11-11][person:stephanie f 16-16][person:philip m 19-19]
philip| OK I d be happy to make it easier for you See you then| [person:philip m 1-1][person:stephanie f 10-10][person:stephanie f 12-12]
stephanie| Thanks so much for making it easier for me see you soon yes| [person:stephanie f 8-8][person:philip m 10-10]

conv:people_2019082201_333:aug_0:chat_0:chataug_0| katherine tara| [person:katherine f 0-0][person:tara f 1-1]
katherine| Hi Tara How are you| [person:tara f 1-1][person:tara f 4-4]
tara| Doing well How are you I m looking forward to cooking class next week| [person:katherine f 4-4][person:tara f 5-5]
katherine| I m nervous about the class and really need more practice| [person:katherine f 0-0]
tara| I feel pretty confident and have learned some great tricks to make preparation and cooking go more smoothly| [person:tara f 0-0]
katherine| Can you help me to better prepare food Want to have a meal on Friday as a practice| [person:tara f 1-1][person:katherine f 3-3]
tara| Sure Lucy and Eve also could use some speedy tips and tricks to getting things prepped Should we invite them or ask to do it at their house| [person:lucy f 1-1][person:we g(katherine:tara) 17-17][person:them g(lucy) 19-19][person:them g(lucy) 26-26]
katherine| We can do it over here on Friday if you want I also need help with how to time the meal to get everything out at once Do you think Grace would like to join us too| [person:we g(katherine:tara) 0-0][person:tara f 9-9][person:katherine f 11-11][person:tara f 28-28][person:grace f 30-30][person:we g(katherine:tara) 35-35]
tara| Yes but do you think we should ask Lucy and meet at her house It is more centrally located for everyone| [person:katherine f 3-3][person:we g(katherine:tara) 5-5][person:lucy f 8-8][person:lucy f 12-12][person:everyone g(katherine:tara:lucy:grace) 20-20]
katherine| Okay want to ask to do it at her place and the rest of us can bring the food to prepare| [person:lucy f 8-8][location:place s 9-9][person:we g(katherine:tara) 14-14]
tara| Yes that would work well I have the perfect idea on what to cook and some great tips to help you girls out| [person:tara f 5-5][person:girls g(katherine:grace) 20-20][person:girls g(katherine:grace) 21-21]
katherine| Looking forward to it I ll text Lucy and confirm her place is good and invite Even and Grace Let me know when you have the list of items you want us to bring| [person:katherine f 4-4][person:lucy f 7-7][person:lucy f 10-10][location:place s 11-11][person:grace f 18-18][person:katherine f 20-20][person:tara f 23-23][person:tara f 29-29]
tara| Sounds good talk to you soon| [person:katherine f 4-4]

conv:people_2019082201_334:aug_0:chat_0:chataug_0| jason louis| [person:jason m 0-0][person:louis m 1-1]
louis| Jason I have a nice plan for the upcoming long Summer Vacation Can you join with me| [person:jason m 0-0][person:louis m 1-1][person:jason m 13-13][person:louis m 16-16]
jason| What s that plan I think I have some other works for this Summer holidays| [person:jason m 4-4][person:jason m 6-6]
louis| Just visiting some nice places Do you know our cousins Kevin and Tommy| [location:places g() 4-4][person:jason m 6-6][person:our g(louis:jason) 8-8][person:cousins g() 9-9][person:kevin m 10-10][person:tommy m 12-12]
louis| They are also coming with us as they are willing to spend this holidays with us| [person:they g(kevin:tommy) 0-0][person:us g(louis:jason) 5-5][person:they g(kevin:tommy) 7-7][person:us g(louis:jason) 15-15]
jason| What Cousins Sorry I am not coming I don t know much about them| [person:cousins g(kevin:tommy) 1-1][person:jason m 3-3][person:jason m 7-7][person:them g(kevin:tommy) 13-13]
jason| I feel that I cannot freely spend with them| [person:jason m 0-0][person:jason m 3-3][person:them g(kevin:tommy) 8-8]
louis| No no They are very sociable guys and they are funniest also You can come and we all enjoy this trip| [person:they g(kevin:tommy) 2-2][person:they g(kevin:tommy) 8-8][person:jason m 12-12][person:we g(louis:jason:kevin:tommy) 16-16]
jason| But I can t I have some work and I am feeling little nervous| [person:jason m 1-1][person:jason m 4-4][person:jason m 9-9]
louis| No I definitely tell you that you will enjoy this trip Try it I am also with you| [person:louis m 1-1][person:jason m 4-4][person:jason m 6-6][person:louis m 13-13][person:jason m 17-17]
jason| Okay I will try to come and you have to be with me always| [person:jason m 1-1][person:louis m 7-7][person:jason m 12-12]
louis| Always|

conv:people_2019082201_336:aug_0:chat_0:chataug_0| andrea deborah| [person:andrea f 0-0][person:deborah f 1-1]
deborah| Hi Andrea Would you like to go boating with me this weekend| [person:andrea f 1-1][person:andrea f 3-3][person:deborah f 9-9]
andrea| Aw hon I can t I have to work this weekend It sounds fun| [person:andrea f 2-2][person:andrea f 5-5]
deborah| Could you swap hours with someone else| [person:andrea f 1-1][person:someone u 5-5]
andrea| No I have a few client appointments If I swap the commission will go to whoever is working| [person:andrea f 1-1][person:andrea f 8-8]
deborah| I m not sure if I should go alone| [person:deborah f 0-0][person:deborah f 5-5]
andrea| Do you remember my friend Melissa She often likes to go boating| [person:deborah f 1-1][person:andrea f 3-3][person:melissa f 4-4][person:melissa f 5-5][person:melissa f 6-6]
deborah| She seems nice do you think she will be ok with going with me even though I don t know her well| [person:melissa f 0-0][person:andrea f 4-4][person:melissa f 6-6][person:deborah f 13-13][person:deborah f 16-16][person:melissa f 20-20]
andrea| I think so I ll give you her number| [person:andrea f 0-0][person:andrea f 3-3][person:deborah f 6-6][person:melissa f 7-7]
deborah| Thanks Andrea That was a good idea| [person:andrea f 1-1]
andrea| No problem I will let her know you plan to call Have fun| [person:andrea f 2-2][person:melissa f 5-5][person:deborah f 7-7]

conv:people_2019082201_337:aug_0:chat_0:chataug_0| alan tyler| [person:alan m 0-0][person:tyler m 1-1]
tyler| Hey Alan| [person:alan m 1-1]
alan| Hello Tyler What is going on| [person:tyler m 1-1]
tyler| I was wondering if you wanted to go to the movies tomorrow with me| [person:tyler m 0-0][person:alan m 4-4][person:tyler m 13-13]
alan| That sounds like fun Do you mind if I invite our friends Anna and Barry to go too| [person:tyler m 5-5][person:alan m 8-8][person:our g(tyler:alan) 10-10][person:friends g() 11-11][person:anna f 12-12][person:barry m 14-14]
tyler| No I don t mind I enjoy hanging out with them| [person:tyler m 1-1][person:tyler m 5-5][person:friends g(anna:barry) 10-10]
alan| Great What movie theater did you have in mind| [person:tyler m 5-5]
tyler| I was thinking of going to Cinema 5 but that is kind of far away for Anna and Barry| [person:tyler m 0-0][person:anna f 16-16][person:barry m 18-18]
alan| Yeah we don t want to inconvenience them| [person:our g(tyler:alan) 1-1][person:friends g(anna:barry) 7-7]
tyler| What about the IMAX Theater That is close for everyone and we really enjoy that| [person:everyone g(tyler:alan:anna:barry) 9-9][person:everyone g(tyler:alan:anna:barry) 11-11]
alan| That sounds great i m sure our friends will like it too| [person:alan m 3-3][person:our g(tyler:alan) 6-6][person:friends g(anna:barry) 7-7]
tyler| All right See you tomorrow at 645 pm then at IMAX Theater| [person:alan m 3-3]

conv:people_2019082201_338:aug_0:chat_0:chataug_0| carl christina| [person:carl m 0-0][person:christina f 1-1]
carl| Hi Christina What kind of game do you think we should play with Leslie Christopher Amber and Pete| [person:christina f 1-1][person:christina f 7-7][person:we g(carl:christina) 9-9][person:leslie f 13-13][person:christopher m 14-14][person:amber f 15-15]
christina| I know that everyone knows how to play poker except Pete| [person:christina f 0-0][person:everyone g(carl:christina:leslie:christopher:amber) 3-3][person:pete m 10-10]
carl| That sounds like fun I m sure Pete will pick it up in no time| [person:carl m 4-4][person:pete m 7-7]
christina| I ve played a lot so I can help him with the rules How about food| [person:christina f 0-0][person:christina f 6-6][person:pete m 9-9]
carl| Leslie is lactose intolerant so I was thinking pizza is easiest and we can get something else for Leslie| [person:leslie f 0-0][person:carl m 5-5][person:we g(carl:christina) 12-12][person:leslie f 18-18]
christina| I m on a diet and I think Christina is doing low carbs so maybe we should get pizza and ill make something healthy as a different option| [person:christina f 0-0][person:christina f 6-6][person:christina f 8-8][person:we g(carl:christina) 15-15]
carl| Ok sure For drinks I know Amber and Pete like cocktails and I was thinking beer and wine so people can choose themselves| [person:carl m 4-4][person:amber f 6-6][person:pete m 8-8][person:carl m 12-12][person:everyone g(carl:christina:leslie:christopher:amber:pete) 22-22]
christina| Yeah sure I m calling at the store later so would you like me to pick anything up| [person:christina f 2-2][person:carl m 11-11][person:christina f 13-13]
carl| Yeah grab some beers and vodka I ve already got some wine| [person:carl m 6-6]
christina| No problem I ll get some snacks too I ll call you later| [person:christina f 2-2][person:christina f 8-8][person:carl m 11-11]

conv:people_2019082201_339:aug_0:chat_0:chataug_0| beverly jessica| [person:beverly f 0-0][person:jessica f 1-1]
beverly| Good morning Do you remember my friends Benjamin and Charles| [person:jessica f 3-3][person:beverly f 5-5][person:friends g() 6-6][person:benjamin m 7-7][person:charles m 9-9]
jessica| Sure I do They re a lot of fun| [person:jessica f 1-1][person:friends g(benjamin:charles) 3-3]
beverly| They re in town visiting I was supposed to take them around tomorrow but I m stuck at work and won t be able to I don t suppose you d be willing to show them around| [person:friends g(benjamin:charles) 0-0][person:beverly f 5-5][person:friends g(benjamin:charles) 10-10][person:beverly f 14-14][person:beverly f 25-25][person:jessica f 29-29][person:friends g(benjamin:charles) 35-35]
jessica| Sure I m free tomorrow What sort of things do they like| [person:jessica f 1-1][person:friends g(benjamin:charles) 10-10]
beverly| Anything really it s their first time visiting| [person:friends g(benjamin:charles) 4-4]
jessica| Would they enjoy hiking Or something in town| [person:friends g(benjamin:charles) 1-1][location:town s 7-7]
beverly| They d probably prefer something in town Maybe take them to the capital then your favorite place for lunch| [person:friends g(benjamin:charles) 0-0][location:town s 6-6][person:friends g(benjamin:charles) 9-9][location:capital s 12-12][person:jessica f 14-14][location:place s 16-16]
jessica| Sure that s easy enough Should we meet you in the evening| [person:we g(jessica:benjamin:charles) 6-6][person:beverly f 8-8]
beverly| That would be great I ll be done working by 4| [person:beverly f 4-4]
jessica| Sounds like a plan I ll show them a good time| [person:jessica f 4-4][person:friends g(benjamin:charles) 7-7]

conv:people_2019082201_340:aug_0:chat_0:chataug_0| jason sarah| [person:jason m 0-0][person:sarah f 1-1]
jason| Hey we need to finalize the invite to the coopers and johnsons for this weekend| [person:we g(jason:sarah) 1-1][person:coopers g() 9-9][person:johnsons g() 11-11]
sarah| Right I almost forgot Should we do this on Saturday or sunday| [person:sarah f 1-1][person:we g(jason:sarah) 5-5]
jason| Babe Sunday is better as I have errands to run on saturday I think you forgot about that| [person:jason m 5-5][person:jason m 12-12][person:sarah f 14-14]
sarah| That s right I almost forgot Sunday sounds good I will invite the coopers and you can invite the Johnsons| [person:sarah f 3-3][person:sarah f 9-9][person:coopers g() 13-13][person:jason m 15-15][person:johnsons g() 19-19]
jason| I would prefer to invite the Coopers as we have more in common| [person:jason m 0-0][person:coopers g() 6-6][person:we g(jason:sarah) 8-8]
sarah| That s ok with me I will invite the Johnsons| [person:sarah f 4-4][person:sarah f 5-5][person:johnsons g() 9-9]
jason| I know I will see them on Friday so I will let them know then| [person:jason m 0-0][person:johnsons g() 2-2][person:coopers g() 5-5][person:jason m 9-9][person:coopers g() 12-12]
sarah| ok I will send a text to the johnsons on Saturday and let them know of our plans| [person:sarah f 1-1][person:johnsons g() 8-8][person:johnsons g() 13-13][person:we g(jason:sarah) 16-16]
jason| wonderful Just let them know that they will be joining the coopers at our place as well and I will do the same with the coopers| [person:johnsons g() 3-3][person:johnsons g() 6-6][person:coopers g() 11-11][person:we g(jason:sarah) 13-13][person:jason m 18-18][person:coopers g() 25-25]
sarah| great I think we will have a great time together catching up| [person:sarah f 1-1][person:we g(jason:sarah) 3-3]
jason| Looing forward to it|

conv:people_2019082201_341:aug_0:chat_0:chataug_0| beverly hannah| [person:beverly f 0-0][person:hannah f 1-1]
beverly| Hello Hannah| [person:hannah f 1-1]
hannah| Hi Beverly what s up| [person:beverly f 1-1]
beverly| Well you know how we were supposed to meet Edward and Madison Clark for Lunch on Friday or Saturday| [person:hannah f 1-1][person:we g(beverly:hannah) 4-4][person:edward m 9-9][location:madison s 11-11]
hannah| Yeah as far as I know that was still going on| [person:hannah f 4-4]
beverly| Well this morning while getting coffee I bumped into Edward and he told me that him and Madison can t make it on those days| [person:beverly f 6-6][person:edward m 9-9][person:edward m 11-11][person:beverly f 13-13][person:edward m 15-15][location:madison s 17-17]
hannah| Oh bummer Do you want to cancel plans completely| [person:beverly f 3-3]
beverly| No I figured since we both blocked off those days why don t we do something fun| [person:beverly f 1-1][person:we g(beverly:hannah) 4-4][person:we g(beverly:hannah) 13-13]
hannah| Sure What did you have in mind| [person:beverly f 3-3]
beverly| How about we go laser tagging on Saturday at around 11AM then we can grab a late lunch by the pier around 1PM| [person:we g(beverly:hannah) 2-2][person:we g(beverly:hannah) 12-12]
hannah| That sounds like a plan see you on Saturday morning| [person:beverly f 6-6]
beverly| See you can t wait| [person:hannah f 1-1]

conv:people_2019082201_342:aug_0:chat_0:chataug_0| cameron jen| [person:cameron f 0-0][person:jen f 1-1]
jen| Hi Cameron When are Kathleen and Teresa coming over| [person:cameron f 1-1][person:kathleen f 4-4][person:teresa f 6-6]
cameron| They are suppose to show by 8pm tonight| [person:kathleen_and_teresa g(kathleen:teresa) 0-0]
jen| They wanted to grab dinner right and maybe a late night movie| [person:kathleen_and_teresa g(kathleen:teresa) 0-0]
cameron| I know Kathleen has an early morning meeting tomorrow They definitely want to grab a bite| [person:cameron f 0-0][person:kathleen f 2-2][person:kathleen_and_teresa g(kathleen:teresa) 9-9]
jen| What kind of food are they into| [person:kathleen_and_teresa g(kathleen:teresa) 5-5]
cameron| Kathleen is a vegetarian but Teresa will eat anything| [person:kathleen f 0-0][person:teresa f 5-5]
jen| Okay There s this Indian restaurant that serves delicious vegetarian dishes by my gym| [location:indian s 4-4][location:restaurant s 5-5][person:jen f 12-12][location:gym s 13-13]
cameron| Kathleen is Indian so I am sure she would be okay with that| [person:kathleen f 0-0][location:indian s 2-2][person:cameron f 4-4][person:kathleen f 7-7]
jen| My gym is about midway for everyone so I think that might work out| [person:jen f 0-0][location:gym s 1-1][person:everyone g(jen:cameron:kathleen:teresa) 6-6][person:jen f 8-8]
cameron| I ll run it by them and see what they think What s the name of the restaurant| [person:cameron f 0-0][person:kathleen_and_teresa g(kathleen:teresa) 5-5][person:kathleen_and_teresa g(kathleen:teresa) 9-9][location:restaurant s 17-17]
cameron| It s Dalia s You can find great reviews on Yelp I hope they like the place| [person:jen f 4-4][person:cameron f 11-11][person:kathleen_and_teresa g(kathleen:teresa) 13-13][location:place s 16-16]

conv:people_2019082201_343:aug_0:chat_0:chataug_0| christian dennis| [person:christian m 0-0][person:dennis m 1-1]
christian| what are you doing| [person:dennis m 2-2]
dennis| I have been trying to solve this physics problem for the last half hour and I still have no idea how to do it| [person:dennis m 0-0][person:dennis m 15-15]
christian| When do you have to turn it in| [person:dennis m 2-2]
dennis| It is due at the end of this week|
christian| Well it is only Monday Why don t you get some afterschooltutoring tomorrow|
dennis| I have to sign up for it first I guess I will go sign up for the Wednesday session tomorrow| [person:dennis m 0-0][person:dennis m 8-8][person:dennis m 10-10]
christian| You should reread the chapter before you show up for the session It will help you understand the subject matter better| [person:dennis m 0-0][person:dennis m 6-6][person:dennis m 15-15]
dennis| OK I will do that| [person:dennis m 1-1]
christian| Now that your problem is solved I need you to lend me a hand with my problem| [person:dennis m 2-2][person:christian m 6-6][person:dennis m 8-8][person:christian m 11-11][person:christian m 15-15]
dennis| What is up|
christian| I need to build a new doll house for Nancy I was putting her doll house away and somehow I accidentally dropped it It was broken into pieces| [person:christian m 0-0][person:nancy f 9-9][person:christian m 10-10][person:nancy f 13-13][person:christian m 19-19]
dennis| How clumsy of you Does she know| [person:christian m 3-3][person:nancy f 5-5]
christian| I told her about it I could not lie to her| [person:christian m 0-0][person:nancy f 2-2][person:christian m 5-5][person:nancy f 10-10]
dennis| How did she take it| [person:nancy f 2-2]
christian| My sister really liked that doll house and obviously she was not very happy But I told her that I would build a better one for her So I need your help| [person:christian m 0-0][person:sister f 1-1][person:sister f 9-9][person:christian m 15-15][person:sister f 17-17][person:christian m 19-19][person:sister f 26-26][person:christian m 28-28]
dennis| Me Help you I have never built anything in my life| [person:dennis m 0-0][person:christian m 2-2][person:dennis m 3-3][person:dennis m 9-9]
christian| Me neither But don t worry Putting together pieces of wood is not going to be difficult| [person:dennis m 0-0]
dennis| It is more than just putting pieces of wood together You need to put in windows and doors Have you thought about how you would do that| [person:christian m 10-10][person:christian m 19-19][person:christian m 23-23]
christian| Who says houses need to have windows and doors|
dennis| So you are going to build a doll house with no windows and no doors| [person:christian m 1-1]
christian| Yes I do not see anything wrong with that Do you| [person:christian m 1-1][person:dennis m 10-10]
dennis| No It makes the project easier to handle now But are you sure that Nancy will not mind having a doll house with no doors and no windows| [person:christian m 11-11][person:nancy f 14-14]
christian| Yes I am sure| [person:christian m 1-1]
dennis| K bye see u later| [person:christian m 3-3]

