conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
sonja| He started working again| [person:bob m 0-0]
sonja| It ll help with our unfortuantel money situation| [person:we g(sonja:bob) 4-4]
sonja| He s loving though since he s reconnecting with old students of his| [person:bob m 0-0][person:bob m 5-5][person:bob m 12-12]
conrad| You think he s you know selling drugs still to pay of the treatment| [person:sonja f 0-0][person:bob m 2-2][person:sonja f 4-4]
sonja| No I don t think so| [person:sonja f 1-1]
sonja| It would be counterproductive to do that since he s trying to give it up| [person:bob m 8-8]
sonja| Where did you get that idea| [person:conrad m 2-2]
conrad| Matty just through the idea out there| [person:matty f 0-0]
conrad| Although she has been watching Break Bad lately| [person:matty f 1-1]
sonja| Ya She can get a little crazy with shows| [person:matty f 1-1]
sonja| To be honest she was about to call the cops about Bob because of the idea| [person:matty f 3-3][person:bob m 11-11]
conrad| Keep your girl in check| [person:sonja f 1-1]

conv:people_chats_0629_190:aug_0:chat_0:chataug_0| orngar vira| [person:orngar m 0-0][person:vira f 1-1]
vira| Hey Orngar What s up Me and Maggie are coming up to Oregon to visit Could we stay with you| [person:orngar m 1-1][person:vira f 5-5][person:maggie f 7-7][person:viral___maggie g(vira:maggie) 16-16][person:orngar m 19-19]
orngar| Hey sis I m so sorry but Hans and I just won t have the room for you guys| [person:orngar m 2-2][person:hans m 7-7][person:orngar m 9-9][person:viral___maggie g(vira:maggie) 17-17]
vira| Dang bro why not|
orngar| You know we re really cramped in this small apartment Our lease is almost up though and we will be looking for a bigger place| [person:vira f 0-0][person:orngar___hans g(orngar:hans) 2-2][location:apartment s 9-9][person:orngar___hans g(orngar:hans) 10-10][person:orngar___hans g(orngar:hans) 17-17]
vira| I understand totally How s the new job going| [person:vira f 0-0]
orngar| It s great It s really close to our apartment and I am making pretty good money| [person:orngar___hans g(orngar:hans) 8-8][location:apartment s 9-9][person:orngar m 11-11]
vira| Cool Hopefully me and Maggie can see your workplace when we come visit| [person:vira f 2-2][person:maggie f 4-4][person:orngar m 7-7][person:viral___maggie g(vira:maggie) 10-10]
orngar| For sure|
vira| We ll have to figure out where we can stay though since you don t have room for us| [person:viral___maggie g(vira:maggie) 0-0][person:viral___maggie g(vira:maggie) 7-7][person:orngar m 12-12][person:viral___maggie g(vira:maggie) 18-18]
orngar| I can suggest a couple of hotels in the area for you| [person:orngar m 0-0][location:hotels g() 6-6][person:vira f 11-11]
vira| Sound good That would help us out| [person:viral___maggie g(vira:maggie) 5-5]
orngar| I d even be willing to pay for a couple of nights for you since you are coming to see me| [person:orngar m 0-0][person:vira f 13-13][person:vira f 15-15][person:orngar m 20-20]
vira| You re the best| [person:orngar m 0-0]

conv:people_chats_0629_192:aug_0:chat_0:chataug_0| daina jarvis| [person:daina f 0-0][person:jarvis m 1-1]
jarvis| Hey|
daina| hey jarvis| [person:jarvis m 1-1]
jarvis| What time will you be done with class| [person:daina f 3-3]
daina| We re running a bit late| [person:daina_and_friend g(daina) 0-0]
daina| you can pick me up at 615| [person:jarvis m 0-0][person:daina f 3-3]
jarvis| why are you running late| [person:daina f 2-2]
daina| she started late| [person:daina_s_friend f 0-0]
daina| there is a new student in the dance class today|
jarvis| Ok ill go to Brad s for awhile| [person:brad m 4-4]
jarvis| he wants me to come over and see his new car| [person:brad m 0-0][person:jarvis m 2-2][person:brad m 8-8]
jarvis| he just got it on Monday| [person:brad m 0-0]
daina| Ok My class is done| [person:daina f 1-1]

conv:people_chats_0629_193:aug_0:chat_0:chataug_0| isacc shawn| [person:isacc m 0-0][person:shawn m 1-1]
isacc| hi dr|
isacc| wanna climb roses|
shawn| hey yeah iwas thinking|
isacc| me too| [person:isacc m 0-0]
shawn| i dont mind this yr i was kidding| [person:shawn m 0-0][person:shawn m 5-5]
shawn| am just speaking to neighbor| [person:neighbors g() 4-4]
isacc| why dr we only created the backyard right| [person:we g(isacc:shawn) 2-2]
shawn| yeah my neighbors Anita and Zack last week and they prefer climbing roses because they don t need as much pruning| [person:shawn m 1-1][person:neighbors g() 2-2][person:anita f 3-3][person:zack m 5-5][person:neighbors g(anita:zack) 9-9][person:neighbors g(anita:zack) 14-14]
isacc| i ll get climbing roses| [person:isacc m 0-0]
shawn| okay please|
isacc| And what color|
isacc| you thinks would look good near their gazebo| [person:shawn m 0-0][person:neighbors g(anita:zack) 6-6]
shawn| i like all the color in roses get me one is enough| [person:shawn m 0-0][person:shawn m 8-8]
isacc| okay am coming|
shawn| waiting|
shawn| thanks|

conv:people_chats_0629_194:aug_0:chat_0:chataug_0| carson heidi| [person:carson m 0-0][person:heidi f 1-1]
heidi| Ahhhh that music festival was amazing|
carson| Is it decent for kids Thinking about taking my daughter| [person:kids g() 4-4][person:carson m 8-8][person:daughter f 9-9]
heidi| Yes definitely I mean of course Neil was not as into it because no video games lol but I think Bridget would love it| [person:heidi f 2-2][person:neil m 6-6][person:heidi f 18-18][person:bridget f 20-20]
carson| Who is actually putting on the show|
heidi| Well it s North by Northest They showcase all kinds of artists and celebrities that do educational stuff for kids It s literally made to entertain the kids But it s awesome for the parents too| [person:kids g(daughter:neil:bridget) 19-19][person:kids g(daughter:neil:bridget) 27-27][person:parents g(heidi:carson) 34-34]
carson| Yeah I read something about it in the paper recently| [person:carson m 1-1]
heidi| I m telling you Bridget would totally enjoy it They have science stuff too It s right up her alley| [person:heidi f 0-0][person:carson m 3-3][person:bridget f 4-4][person:bridget f 18-18]
carson| She might not be interested if she hears Neil isn t into it| [person:bridget f 0-0][person:bridget f 6-6][person:neil m 8-8]
heidi| I mean it might not be his thing right now but I could tell him we are going and he would enjoy it| [person:heidi f 0-0][person:neil m 6-6][person:heidi f 11-11][person:neil m 14-14][person:we g(heidi:neil) 15-15][person:neil m 19-19]
heidi| It s always more fun once you are there Haha you remember being a kid and thinking you ve outgrown something until you are there and it s still fun| [person:carson m 6-6][person:carson m 10-10][person:carson m 17-17][person:carson m 22-22]
carson| Send me the website and info about it I think it would be awesome if we could all go| [person:carson m 1-1][person:carson m 8-8][person:we g(heidi:carson:daughter:neil:bridget) 15-15]
heidi| Definitely I ll send you all the info now| [person:heidi f 1-1][person:carson m 4-4]

conv:people_chats_0629_195:aug_0:chat_0:chataug_0| alexzandra zenni| [person:alexzandra f 0-0][person:zenni f 1-1]
alexzandra| Hi Zenni| [person:zenni f 1-1]
zenni| Hey what s up|
alexzandra| Are you planning on meeting up with us Friday afternoon| [person:zenni f 1-1][person:us g(alexzandra) 7-7]
zenni| What coffee shop are ya ll meeting up at| [location:coffee_shop s 1-2]
zenni| I forget| [person:zenni f 0-0]
alexzandra| It s Cafe Java right next to the grocery store| [location:cafe_java s 2-3][location:store s 9-9]
alexzandra| It s not far from where you live| [location:cafe_java s 0-0][person:zenni f 6-6]
zenni| Oh I heard that Ed and Nicholas are planning on coming too| [person:zenni f 1-1][person:ed m 4-4][person:nicholas m 6-6]
alexzandra| Yep|
zenni| Sweet|
zenni| You know I ve missed the last two get togethers| [person:alexzandra f 0-0][person:zenni f 2-2]
zenni| I know we ve missed you| [person:zenni f 0-0][person:we g(zenni) 2-2][person:alexzandra f 5-5]
alexzandra| I know we ve missed you| [person:alexzandra f 0-0][person:us g(alexzandra:ed:nicholas) 2-2][person:zenni f 5-5]
zenni| I will try my best to make it this time| [person:zenni f 0-0][person:zenni f 3-3]

conv:people_chats_0629_198:aug_0:chat_0:chataug_0| jackie nolan| [person:jackie f 0-0][person:nolan m 1-1]
nolan| Hi Jackie| [person:jackie f 1-1]
jackie| hello how are you| [person:nolan m 3-3]
nolan| am fine Do you know my family have a well in their property| [person:jackie f 3-3][person:nolan m 5-5][person:family g(nolan) 6-6][person:family g(nolan) 11-11]
jackie| I am actually aware of it in fact| [person:jackie f 0-0]
nolan| why do you have a strong reaction to it| [person:jackie f 2-2]
jackie| Because my younger brother Hector had fallen down the well several years ago| [person:jackie f 1-1][person:hector m 3-3][person:hector m 4-4]
nolan| oh i didn t know you had a brother| [person:nolan m 1-1][person:jackie f 5-5][person:hector m 8-8]
nolan| why i never heard of him| [person:nolan m 1-1][person:hector m 5-5]
jackie| I don t anymore since the whole well thing| [person:jackie f 0-0]
nolan| my condolences| [person:nolan m 0-0]
nolan| I had a sister named Anaise she fell to a similar incident| [person:nolan m 0-0][person:anaise f 3-3][person:anaise f 5-5][person:anaise f 6-6]
jackie| how similar it could be|
nolan| My sister was wandering the desert a few years back and fell into one of the toothed pits| [person:nolan m 0-0][person:anaise f 1-1][location:desert s 5-5]
jackie| how could she accidentally fall in something as defining and horrific a part of the landscape as a massive toothed hole in the sands| [person:anaise f 2-2]

conv:people_chats_0629_199:aug_0:chat_0:chataug_0| alexis leila| [person:alexis f 0-0][person:leila f 1-1]
leila| Do you want to go dress shopping me her later| [person:alexis f 1-1][person:leila f 7-7]
alexis| Yeah but why do you need to go dress shopping| [person:leila f 4-4]
leila| The dress will be for when I attend Cam s wedding| [person:leila f 6-6][person:cam m 8-8]
alexis| Oh yeah Cam is getting married about 30 days from now in Las Vegas| [person:cam m 2-2][location:las_vegas s 12-13]
leila| So will you help me find a nice dress| [person:alexis f 2-2][person:leila f 4-4]
alexis| I m having lunch with Jack right now at Rio s| [person:alexis f 0-0][person:jack m 5-5]
leila| You didn t tell me about that When can you help me then| [person:alexis f 0-0][person:leila f 4-4][person:alexis f 9-9][person:leila f 11-11]
alexis| I met Jack on his lunch break We should wrap it up soon| [person:alexis f 0-0][person:jack m 2-2][person:jack m 4-4][person:we g(leila:alexis) 7-7]
leila| Let me know when you re done and back at home| [person:leila f 1-1][person:alexis f 4-4][location:home s 10-10]
alexis| It s going to be pretty soon okay|
leila| Okay I ll can pick you up when you re back home| [person:leila f 1-1][person:alexis f 5-5][person:alexis f 8-8][location:home s 11-11]

conv:people_chats_0629_202:aug_0:chat_0:chataug_0| jen kaylen| [person:jen f 0-0][person:kaylen m 1-1]
jen| Hey Kaylen you remember the couple that we met over the weekend at the concert hall| [person:kaylen m 1-1][person:kaylen m 2-2][person:we g(jen:kaylen) 7-7]
kaylen| Oh do you mean Jeremy and Lisa| [person:jen f 2-2][person:jeremy m 4-4][person:lisa f 6-6]
jen| Yea I gave Lisa my phone number and she gave me hers I think we hang with them sometime| [person:jen f 1-1][person:lisa f 3-3][person:jen f 4-4][person:lisa f 8-8][person:jen f 10-10][person:lisa f 11-11][person:jen f 12-12][person:we g(jen:kaylen) 14-14]
kaylen| Oh really|
jen| Yea they were super chill and fun to hang out with so I think I would like to do it again sometime| [person:them g(jeremy:lisa) 1-1][person:jen f 12-12][person:jen f 14-14]
kaylen| Well I agree I think it would be pretty fun if we hung out with them again| [person:kaylen m 1-1][person:kaylen m 3-3][person:we g(jen:kaylen) 11-11][person:them g(jeremy:lisa) 15-15]
jen| Yea we just have so much in common| [person:we g(jen:kaylen:jeremy:lisa) 1-1]
kaylen| They also live pretty close as well| [person:them g(jeremy:lisa) 0-0]
jen| Oh you are right they do You think we could have them over sometime soon| [person:kaylen m 1-1][person:them g(jeremy:lisa) 4-4][person:kaylen m 6-6][person:we g(jen:kaylen) 8-8][person:them g(jeremy:lisa) 11-11]
kaylen| Maybe we could invite them over for a cookout soon| [person:we g(jen:kaylen) 1-1][person:them g(jeremy:lisa) 4-4]
jen| That sounds like a great idea|
kaylen| I will arrange for it then| [person:kaylen m 0-0]

conv:people_chats_0629_203:aug_0:chat_0:chataug_0| amber jaime| [person:amber f 0-0][person:jaime m 1-1]
amber| Oh wow I just got into the store the line is so long| [person:amber f 2-2][location:store s 7-7]
jaime| Get everything while you are there then you won t have to go back The kids are fine| [person:amber f 3-3][location:store s 5-5][person:amber f 7-7][person:kids g() 15-15]
amber| Do you think we should take peanut butter and jelly sandwiches on the picnic| [person:jaime m 1-1][person:we g(amber:jaime) 3-3]
amber| Yes the kids love those and devilled ham too| [person:kids g() 2-2]
jaime| I want hardboiled eggs don t forget those and some fresh fruit| [person:jaime m 0-0]
amber| What kind of jelly do Paola and Burt want I can t remember are they in a strawberry phase or a grape phase| [person:paola f 5-5][person:burt m 7-7][person:amber f 9-9][person:they g(paola:burt) 14-14]
jaime| I think they are in strawberry at the moment that s what the last jar in the trash was anyway| [person:jaime m 0-0][person:they g(paola:burt) 2-2]
amber| Shall I get both while I m here that way I won t have to come back| [person:amber f 1-1][person:amber f 5-5][location:store s 7-7][person:amber f 10-10]
jaime| Yes that s a good idea the fewer trips we have to make the better Check the napkins and wipes too| [person:we g(amber:jaime) 9-9]
amber| Oh ok I ll do that and plastic knives and forks and some biodegradable plates| [person:amber f 2-2]
amber| That sounds good then we won t have to bring everything home to wash and we can go for a walk in the woods afterwards| [person:we g(amber:jaime) 4-4][location:home s 11-11][person:we g(amber:jaime) 15-15]
jaime| You think of everything that s why I love you honey| [person:amber f 0-0][person:jaime m 7-7][person:amber f 9-9]

conv:people_chats_0629_205:aug_0:chat_0:chataug_0| mabel nat| [person:mabel f 0-0][person:nat m 1-1]
nat| I have been having some problems with my cats lately| [person:nat m 0-0][person:nat m 7-7][person:cats u 8-8]
mabel| What issues have you been having with them| [person:nat m 3-3][person:cats u 7-7]
nat| They keep fighting with each other and i dont know what to do| [person:cats u 0-0][person:nat m 7-7]
mabel| I know kathy who works at a rescue and may have some advice| [person:mabel f 0-0][person:kathy f 2-2]
nat| sweet|
mabel| I ll email her and see if she has any suggestion on how to get your cats to get along better| [person:mabel f 0-0][person:kathy f 3-3][person:kathy f 7-7][person:nat m 15-15]
nat| That would be perfect|
mabel| Do you know anyone else that has had this problem before| [person:nat m 1-1]
nat| My frined Chris at work has had this problem before with his three cats and he had to reintroduce them| [person:nat m 0-0][person:chris m 2-2][person:chris m 11-11][person:chris m 15-15][person:cats u 19-19]
mabel| Lets see what kathy has to say and you could also try reintroducing them slowing as well| [person:kathy f 3-3][person:nat m 8-8][person:cats u 13-13]
nat| Thank you for helping me out| [person:mabel f 1-1][person:nat m 4-4]
mabel| No problem|

conv:people_chats_0629_206:aug_0:chat_0:chataug_0| hunter warren| [person:hunter m 0-0][person:warren m 1-1]
warren| Hi Hunter Do you know where Suzy likes to hang out| [person:hunter m 1-1][person:hunter m 3-3][person:suzy f 6-6]
hunter| Yes she used to hang out at the Dog House but now they re closed so I m not sure| [person:suzy f 1-1][person:hunter m 16-16]
warren| Thanks let me know if you hear anything else| [person:warren m 2-2][person:hunter m 5-5]
hunter| Why do you ask What s wrong| [person:warren m 2-2]
warren| I need to talk to you about some important issues involving you daughter Mona| [person:warren m 0-0][person:hunter m 5-5][person:hunter m 11-11][person:mona f 12-12][person:mona f 13-13]
hunter| what is it|
warren| She has been hanging out with some very unsavory characters recently| [person:mona f 0-0]
hunter| oh no thank you for telling me| [person:warren m 3-3][person:hunter m 6-6]
warren| no problem I thought it was important that you know| [person:warren m 2-2][person:hunter m 8-8]
hunter| Yes I agree Please let me know if you hear anything else about her| [person:hunter m 1-1][person:hunter m 5-5][person:warren m 8-8][person:mona f 13-13]
warren| Yes I definitely will| [person:warren m 1-1]
hunter| I ll do the same thing for you| [person:hunter m 0-0][person:warren m 7-7]

conv:people_chats_0629_207:aug_0:chat_0:chataug_0| annika haiden| [person:annika f 0-0][person:haiden m 1-1]
annika| Hey Haiden Do we have the stuff to to make our famous chili| [person:haiden m 1-1][person:we g(annika:haiden) 3-3][person:our g(annika:haiden) 10-10]
haiden| I don t believe so but I can stop at the store Why do we need it| [person:haiden m 0-0][person:haiden m 6-6][location:store s 11-11][person:we g(annika:haiden) 14-14]
annika| My boss Owen is throwing a party and that s what I want to bring| [person:annika f 0-0][person:owen m 2-2][person:annika f 11-11]
haiden| Who s birthday is it|
annika| His wife Kathleen| [person:owen m 0-0][person:kathleen f 1-1][person:kathleen f 2-2]
haiden| She works at the office right| [person:kathleen f 0-0][location:office s 4-4]
annika| Yes|
haiden| Don t you think that s a form of nepotism since he s only celebrating his wife s birthday at work and nobody else s| [person:annika f 2-2][person:owen m 11-11][person:owen m 15-15][person:kathleen f 16-16]
annika| I think you re getting off topic dear I just need to know about the chili No need to debate office politics| [person:annika f 0-0][person:haiden m 2-2][person:annika f 8-8][location:office s 20-20]
haiden| Being a little touchy|
annika| Whatever|
haiden| Do you want the chili burning hot or molten hot| [person:annika f 1-1]

conv:people_chats_0629_208:aug_0:chat_0:chataug_0| myke paris| [person:myke m 0-0][person:paris f 1-1]
myke| how are things with you and Bob| [person:paris f 4-4][person:bob m 6-6]
paris| things are a bit dice since his diagnosis but i think things are getting better| [person:bob m 6-6][person:paris f 9-9]
myke| how so|
paris| bob has started making money again and has been reconnecting with old students| [person:bob m 0-0]
myke| do you think its possible Bob might be selling meth to pay for his treatment| [person:paris f 1-1][person:bob m 5-5][person:bob m 13-13]
paris| selling meth to pay for psychiatric help with depression seems counter productive it would make more sense if he was doing meth rather than making and distributing meth| [person:bob m 18-18]
paris| where did you even get that idea| [person:myke m 2-2]
myke| Me and Matty have been watching breaking bad recently| [person:myke m 0-0][person:matty f 2-2]
paris| you are way to impressionable you need to stop taking that kind of stuff to heart| [person:myke m 0-0][person:myke m 5-5]
myke| im not as bad as Matty| [person:myke m 0-0][person:matty f 5-5]
myke| she was contemplating calling the cops with an anonymous tip about Bob| [person:matty f 0-0][person:bob m 11-11]
paris| can you please try to prevent that sort of stupidity in the future| [person:myke m 1-1]

conv:people_chats_0629_209:aug_0:chat_0:chataug_0| frances tracy| [person:frances f 0-0][person:tracy f 1-1]
tracy| Hey Frances are you taking your boys to the circus tomorrow| [person:frances f 1-1][person:frances f 3-3][person:frances f 5-5][person:boys g() 6-6]
frances| Parker and Logan have been asking about that They want to go but I don t think that s a good idea| [person:parker m 0-0][person:logan m 2-2][person:boys g(parker:logan) 8-8][person:frances f 13-13]
tracy| Why not I think they would enjoy it| [person:tracy f 2-2][person:boys g(parker:logan) 4-4]
frances| I ve taken Parker and Logan in the past when the circus came to town but I don t think they should go anymore I read that the animals are not treated very well| [person:frances f 0-0][person:parker m 3-3][person:logan m 5-5][location:town s 14-14][person:frances f 16-16][person:boys g(parker:logan) 20-20][person:frances f 24-24]
tracy| Yeah I read that too The animals are treated with cruelty at the circus| [person:tracy f 1-1]
frances| It s not a good life for these animals and I don t think we should support that| [person:frances f 10-10][person:we g(tracy:frances) 14-14]
tracy| I get it but kids just want to have a great time and experience new things| [person:tracy f 0-0][person:kids g() 4-4]
frances| I tried explaining the cruel treatment of animals at the circus to the boys but they don t seem to understand| [person:frances f 0-0][person:boys g(parker:logan) 13-13][person:boys g(parker:logan) 15-15]
tracy| They are probably just young They are just thinking about the fun they are missing out on| [person:boys g(parker:logan) 0-0][person:boys g(parker:logan) 5-5][person:boys g(parker:logan) 12-12]
frances| Logan and Parker kept begging me to take them and it s difficult to refuse them| [person:logan m 0-0][person:parker m 2-2][person:frances f 5-5][person:boys g(parker:logan) 8-8][person:boys g(parker:logan) 15-15]
tracy| You have to do what you believe is the right thing| [person:frances f 0-0][person:frances f 5-5]
tracy| So many parents take their kids anyways even with the controversy of animal cruelty| [person:parents g() 2-2][person:parents g() 4-4][person:kids g() 5-5]
frances| I am glad you understand I am trying to do the right thing| [person:tracy f 3-3][person:frances f 5-5]

conv:people_chats_0629_210:aug_0:chat_0:chataug_0| aubrey erwan| [person:aubrey f 0-0][person:erwan m 1-1]
aubrey| Hey at the grocery store you need any creamer| [location:store s 4-4][person:erwan m 5-5]
erwan| Hey babe yep don t forget it needs to be a sugarfree brand|
erwan| also I think Brandy was whining about not having chocolate milk yesterday morning for breakfast We should probably pick up some for her and Tim| [person:erwan m 1-1][person:brandy f 3-3][person:we g(aubrey:erwan) 15-15][person:brandy f 22-22][person:tim m 24-24]
aubrey| Do you think we should be getting them chocolate milk Is it healthy| [person:erwan m 1-1][person:we g(aubrey:erwan) 3-3][person:kids g(brandy:tim) 7-7]
erwan| Not the healthiest but better than soda I think They prefer it over soda for some reason| [person:erwan m 7-7][person:kids g(brandy:tim) 9-9]
aubrey| Ok I will grab some Not a lot though Anything else| [person:aubrey f 1-1]
aubrey| I am in check out and just remembered I did not check the fridge for eggs Can you look for me| [person:aubrey f 0-0][person:aubrey f 8-8][person:erwan m 17-17][person:aubrey f 20-20]
erwan| Looks like we are good to go with eggs but need some milk Down to the bottom of the jug| [person:we g(aubrey:erwan) 2-2]
aubrey| Oh shoot I do not want to get out of line to grab it| [person:aubrey f 2-2]
erwan| Don t worry we will just drink off the kids chocolate milk for a few days| [person:we g(aubrey:erwan) 3-3][person:kids g(brandy:tim) 9-9]
aubrey| You are so funny Oh well milk is milk ok checking out now| [person:erwan m 0-0]
erwan| Alright baby hurry home we miss you See you soon| [location:home s 3-3][person:we g(aubrey:brandy:tim:erwan) 4-4][person:aubrey f 6-6][person:aubrey f 8-8]

conv:people_chats_0629_211:aug_0:chat_0:chataug_0| bruce lottie| [person:bruce m 0-0][person:lottie f 1-1]
bruce| Hey Lottie have you ever felt like the world you know is just a surface level stimulation| [person:lottie f 1-1][person:lottie f 3-3][person:lottie f 9-9]
lottie| What are you worried about now Have you been getting your sleep| [person:bruce m 2-2][person:bruce m 7-7][person:bruce m 10-10]
bruce| The underlying rules are making less sense with technology It doesn t help that Smith the agent is constantly coming around| [person:smith g() 14-14]
lottie| I dont feel that way and Smith is not an agent he is the postman| [person:lottie f 0-0][person:smith g() 6-6][person:smith m 11-11]
lottie| You really need to get some sleep and stop drinking so many energy drinks| [person:bruce m 0-0]
bruce| That s when the agent gets you when you are sleeping| [person:lottie f 6-6][person:lottie f 8-8]
lottie| I will send my sister Karen to watch over you while you sleep| [person:lottie f 0-0][person:lottie f 3-3][person:karen f 4-4][person:karen f 5-5][person:bruce m 9-9][person:bruce m 11-11]
bruce| Is that when you will implant a giant mechanical squid in my belly button| [person:lottie f 3-3][person:bruce m 11-11]
lottie| I don t plan to unless it will help the situation| [person:lottie f 0-0]
bruce| Its impossible for me to trust you if you don t know if belly button squids are good| [person:bruce m 3-3][person:lottie f 6-6][person:lottie f 8-8]
bruce| Do you even know what they are| [person:lottie f 1-1][person:they g(smith) 5-5]

conv:people_chats_0629_212:aug_0:chat_0:chataug_0| calvin louise| [person:calvin m 0-0][person:louise f 1-1]
louise| MY sweet Calvin How do I turn my videogames on again| [person:louise f 0-0][person:calvin m 2-2][person:louise f 5-5][person:louise f 7-7]
calvin| Hi grandma Do you mean that you wanna watch a movie on your PS| [person:grandma f 1-1][person:grandma f 3-3][person:grandma f 6-6][person:grandma f 12-12]
louise| No my buddy Thomas in the next hall over invited me to play a game He wants to crush some kids| [person:louise f 1-1][person:thomas m 2-2][person:thomas m 3-3][person:louise f 10-10][person:thomas m 15-15]
calvin| Oh wow What kind of game Press the big button on the middle of your controller Gma| [person:grandma f 14-14][person:grandma f 16-16]
calvin| Your friend sounds nice btw| [person:louise f 0-0][person:thomas m 1-1]
louise| Thanks and it s a popular FPS I m in the know now Calvin And he only sounds nice til he s beating the snot out of his granddaughter Jane| [person:louise f 7-7][person:calvin m 13-13][person:thomas m 15-15][person:thomas m 20-20]
calvin| Well don t let him beat her too bad or she ll never wanna play again| [person:thomas m 4-4][person:jane f 6-6][person:jane f 10-10]
louise| Oh I m sorry to confuse you I didn t mean in the game| [person:louise f 1-1][person:calvin m 6-6][person:louise f 7-7]
calvin| should I be laughing or calling the cops gma| [person:calvin m 1-1][person:cops g() 7-7][person:grandma f 8-8]
louise| weren t you raised better than to be a snitch| [person:calvin m 2-2]
louise| sigh|
calvin| ha ha ha I think Um have fun gma| [person:calvin m 3-3][person:grandma f 8-8]
louise| LOL of course my dear| [person:louise f 3-3]

conv:people_chats_0629_213:aug_0:chat_0:chataug_0| miranda warren| [person:miranda f 0-0][person:warren m 1-1]
warren| Hey has anyone passed by the ambush point yet| [person:anyone u 2-2]
miranda| A group did several hours go but they looked wellarmed so I didn t open fire| [person:group g() 1-1][person:group g() 7-7][person:miranda f 11-11]
warren| Lisa would be disappointed by your cowardice| [person:lisa f 0-0][person:miranda f 5-5]
miranda| I am one woman with only a bolt action rifle The leader will need to provide better weapons if you expect me to bushwack strangers with machine guns| [person:miranda f 0-0][person:warren m 19-19][person:miranda f 21-21]
warren| We don t have good weapons right now| [person:we g(warren:miranda) 0-0]
warren| I ll talk to the boss and the armorer to get something better for armed instruders| [person:warren m 0-0]
miranda| See if you can get me a vape too| [person:warren m 2-2][person:miranda f 5-5]
warren| I m not sure that George has spare parts or knows how to construct that| [person:warren m 0-0][person:george m 5-5]
miranda| He should try anyways I could use the vapor cloud to disappear| [person:george m 0-0][person:miranda f 4-4]
warren| Are you serious| [person:miranda f 1-1]
miranda| Yes I think it will work| [person:miranda f 1-1]

conv:people_chats_0629_214:aug_0:chat_0:chataug_0| dwight nathan| [person:dwight m 0-0][person:nathan m 1-1]
dwight| What is up Nathan I was wondering if you are down for some dinner tonight fresh off the grill| [person:nathan m 3-3][person:dwight m 4-4][person:nathan m 8-8]
nathan| Ah shucks Dwight I wish you told me earlier dude I already made plans with Lisa I was planning on taking her out to eat tonight| [person:dwight m 2-2][person:nathan m 3-3][person:dwight m 5-5][person:nathan m 7-7][person:nathan m 10-10][person:lisa f 15-15][person:nathan m 16-16][person:lisa f 21-21]
dwight| No worries home splice I will cook you guys up a good dinner here if you decide to come| [location:home s 2-2][person:dwight m 4-4][person:nathan m 7-7][location:home s 13-13][person:nathan m 15-15]
nathan| I will run it by Lisa but I can t make any promises man Sounds really fun though Why don t you ask Lucinda if she wants to go too| [person:dwight m 0-0][person:lisa f 5-5][person:nathan m 7-7][person:dwight m 21-21][person:lucinda f 23-23][person:lucinda f 25-25]
dwight| That is a decent Idea I really should ask her You know what I will| [person:dwight m 5-5][person:lucinda f 9-9][person:nathan m 10-10][person:dwight m 13-13]
nathan| My man Let me know what she says| [person:nathan m 0-0][person:nathan m 3-3][person:lucinda f 6-6]
dwight| All right By the way I am going to fire up the grill around 7 tonight| [person:dwight m 5-5]
nathan| All right Dwight Like I said though Lisa was pretty set on sushi tonight I may not be able to make it| [person:dwight m 2-2][person:nathan m 4-4][person:lisa f 7-7][person:nathan m 14-14]
dwight| That is all right just make sure to keep me updated| [person:dwight m 9-9]
nathan| You already know I will Dwight| [person:dwight m 0-0][person:nathan m 3-3][person:dwight m 5-5]
dwight| Sounds good man I will hopefully see you soon Peace out| [person:dwight m 3-3][person:nathan m 7-7]
nathan| Peace|

conv:people_chats_0629_216:aug_0:chat_0:chataug_0| clifford louise| [person:clifford m 0-0][person:louise f 1-1]
clifford| Hi|
clifford| why her productivity seems to have plummeted at work| [person:her f 1-1]
louise| My brother thinks that he s werewolf| [person:louise f 0-0][person:brother m 1-1][person:brother m 4-4]
clifford| If she is sure she sent message to the the correct person| [person:her f 1-1][person:her f 4-4]
clifford| She confirms that it s what she meant to send| [person:her f 0-0][person:her f 6-6]
louise| she s needed to find a silversmith buy a good camera| [person:her f 0-0]
clifford| if Louise actually believes her brother| [person:louise f 1-1][person:louise f 4-4][person:brother m 5-5]
louise| She says that she has no reason not to| [person:her f 0-0][person:her f 3-3]
clifford| Louise retorts that she trusts her brother quite enough that she s willing to indulge him for at least a month| [person:louise f 0-0][person:louise f 3-3][person:louise f 5-5][person:brother m 6-6][person:louise f 10-10][person:brother m 15-15]
clifford| fine but asks that she not let her work suffer as her partner Hera has been made to pick up the slack for the last week and she s not happy about it| [person:her f 4-4][person:her f 7-7][person:her f 11-11][person:hera f 13-13][person:hera f 27-27]
louise| I belive in my brother| [person:louise f 0-0][person:louise f 3-3][person:brother m 4-4]
louise| she ll talk it out with her partner and come to some sort of agreement on the matter| [person:her f 0-0][person:her f 6-6]
louise| f she could just use some of her vacation days instead| [person:her f 1-1][person:her f 7-7]

