conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
jasmin| Can you join with me for shopping| [person:jasmin f 1-1][person:dean m 4-4]
dean| Oh wow I am also interested in shopping| [person:dean m 2-2]
jasmin| When will you be available Dean| [person:dean m 2-2][person:dean m 5-5]
dean| Let me check and tell you about the date| [person:dean m 1-1][person:jasmin f 5-5]

conv:people_long_0313_165:aug_0:chat_0:chataug_0| claire rick| [person:claire f 0-0][person:rick m 1-1]
claire| Hi Leo I have updated my excel file with my latest job interview details as your asked| [person:leo m 1-1][person:claire f 2-2][person:claire f 5-5][person:claire f 9-9][person:rick m 15-15]
rick| That s great Leo just sent me the file looks great| [person:leo m 3-3][person:rick m 6-6]
rick| Do you still want to keep the interview with Anna I can get Leo to organise it| [person:claire f 1-1][person:anna f 9-9][person:rick m 10-10][person:leo m 13-13]
claire| I dl ove to keep the interview with Anna I think her firm has the most potential growth for me| [person:claire f 0-0][person:anna f 8-8][person:claire f 9-9][person:anna f 11-11][person:claire f 19-19]
rick| She s doing very well and you look like the ideal candidate fo rus| [person:anna f 0-0][person:claire f 6-6]
rick| Remember to ask her lots of questions about the company aswell in your interview| [person:anna f 3-3][person:claire f 12-12]
claire| I ve got a list already such as how long she s been there where I can progess to etc| [person:claire f 0-0][person:anna f 10-10][person:claire f 15-15]
rick| Try to remember to be 5 minutes early as I know she always like that from an interviewee| [person:rick m 9-9][person:anna f 11-11]
claire| That s a great idea|
rick| She normally likes to ask about what you can bring to the company so remember to have that answer prepared| [person:anna f 0-0][person:claire f 7-7]
claire| I ve got that answered prepared and googled some more questions they might ask aswell so I ve got a couple of prepared answeres just incase| [person:claire f 0-0][person:they g(leo:anna) 11-11][person:claire f 16-16]
rick| That s a good idea she liked you in the first interview so just be yourself and I m sure you ll be fine| [person:anna f 5-5][person:claire f 7-7][person:claire f 15-15][person:rick m 17-17][person:claire f 20-20]
claire| I hope so it looks like a really good company and Anna was so nice| [person:claire f 0-0][person:anna f 11-11]
rick| It might help aswell to look at some of the initiatives for the company aswell show you ve done a little background research on your own| [person:claire f 16-16][person:claire f 24-24]
claire| I ve had a quick look any tips for bringing them up in the interview| [person:claire f 0-0][person:them g(leo:anna) 10-10]
claire| Should I mention them directly or just slip them into some answers| [person:claire f 1-1][person:them g(leo:anna) 3-3][person:them g(leo:anna) 8-8]
rick| If you can chat about 1 naturally that s great if not just a quick mention would do| [person:claire f 1-1]

conv:people_long_0313_166:aug_0:chat_0:chataug_0| cole connor| [person:cole m 0-0][person:connor m 1-1]
connor| Hey Cole I guess your 20th birthday is approaching near Isn t it| [person:cole m 1-1][person:connor m 2-2][person:cole m 4-4]
cole| Yes Connor I m glad that you remembered my birthday| [person:connor m 1-1][person:cole m 2-2][person:connor m 6-6][person:cole m 8-8]
connor| Where have you decided to throw your party dude| [person:cole m 2-2][person:cole m 6-6]
cole| I m unsure about it Connor and thinking in which bar I have to give| [person:cole m 0-0][person:connor m 5-5][location:bar s 10-10][person:cole m 11-11]
connor| Hey how about McDoogles We have been there before many a time| [location:mcdoogles s 3-3][person:we g(connor:cole) 4-4][location:mcdoogles s 7-7]
cole| Yeah McDoogles is a good place but my exgirlfriend have been known to go their| [location:mcdoogles s 1-1][location:mcdoogles s 5-5][person:cole m 7-7][person:their g() 14-14]
connor| Oh man do you want to change the venue because of that silly reason| [person:cole m 3-3]
cole| No I don t want to run into Rena on my birthday| [person:cole m 1-1][person:rena f 8-8][person:cole m 10-10]
connor| Then why don t we go to McMojos I m sure we would like it| [person:we g(connor:cole) 4-4][person:connor m 8-8][person:we g(connor:cole) 11-11][location:mcdoogles s 14-14]
cole| How do you know that place Have you been there before| [person:connor m 2-2][location:mcdoogles s 5-5][person:connor m 7-7][location:mcdoogles s 9-9]
connor| No I haven t been there earlier but it s highly recommended by my friend Helen| [person:connor m 1-1][location:mcdoogles s 5-5][location:mcdoogles s 8-8][person:connor m 13-13][person:helen f 14-14][person:helen f 15-15]
cole| Helen has a good choice in terms of bars But dude they two are at a loss| [person:helen f 0-0][location:bars g() 8-8][person:they g(rena:helen) 11-11]
cole| Have you forgot last episode Marty was banned for life for spilling salt on a bar stool| [person:connor m 1-1][person:marty m 5-5][location:bar s 15-15]
connor| Oh yes that incident completely slipped out of my mind We must brainstorm then decide| [person:connor m 8-8][person:we g(connor:cole) 10-10]

conv:people_long_0313_167:aug_0:chat_0:chataug_0| kylie tania| [person:kylie f 0-0][person:tania f 1-1]
kylie| Hey Tania how are you It s been a long time since we have talked| [person:tania f 1-1][person:tania f 4-4][person:tania f 12-12]
tania| Yeah Kylie I m good and I heard that you are on a trip Is that true| [person:kylie f 1-1][person:tania f 2-2][person:tania f 6-6][person:tania f 9-9]
kylie| Yes you heard it right Tania I ve recently completed touring Dubai and Europe| [person:tania f 1-1][person:tania f 5-5][person:kylie f 6-6][location:dubai s 11-11][location:europe s 13-13]
tania| Oh that s good then how was your journey and where are you at present| [person:your g(kylie:tania) 7-7][person:tania f 12-12]
kylie| I ve landed in Paris just yesterday dear The journey was very tiring| [person:kylie f 0-0][location:paris s 4-4]
tania| Oh that s cool then how do you feel Paris| [person:tania f 7-7][location:paris s 9-9]
kylie| It s a very beautiful city I m already in love with this city| [location:city s 5-5][person:tania f 6-6][location:city s 13-13]
tania| It s been so long that I ve been on a vacation I just badly need a holiday| [person:tania f 6-6][person:tania f 12-12]
kylie| There s one more news that ll surely blow up your mind| [person:your g() 10-10]
tania| Is that so Tell me quickly I m very excited about it| [person:tania f 4-4][person:tania f 6-6]
kylie| Our friends Janet and Lourdes are hosting me here in London I ve met them after such a long time| [person:tania f 0-0][person:friends g(kylie:tania) 1-1][person:tania f 2-2][person:tania f 4-4][person:tania f 7-7][location:london s 10-10][person:tania f 11-11]
tania| That is a great news You guys must be having a great time| [person:tania f 5-5]
kylie| They are giving me an amazing hospitality I love being in their company I wish you could be here with all of us| [person:tania f 0-0][person:tania f 3-3][person:kylie f 7-7][person:their g() 11-11][person:kylie f 13-13][person:kylie f 15-15][location:london s 18-18][person:kylie f 22-22]
tania| I ll definitely try to join with you people it s been so long that I met all of you I m not sure if I can meet all 3 of you together again anytime soon| [person:kylie f 0-0][person:kylie f 7-7][person:kylie f 15-15][person:kylie f 19-19][person:tania f 20-20][person:tania f 25-25][person:tania f 31-31]

conv:people_long_0313_168:aug_0:chat_0:chataug_0| scotty tommy| [person:scotty m 0-0][person:tommy m 1-1]
scotty| Hey Tommy this weekend is going to be filled with so much fun Isn t it| [person:tommy m 1-1]
tommy| Yeah I m very excited about it because both Mackenzie and Destiny are coming| [person:tommy m 1-1][person:mackenzie f 9-9][person:destiny f 11-11]
scotty| Our girlfriends are also going to have a jolly time at the beach| [person:our g(scotty:tommy) 0-0][location:beach s 12-12]
tommy| Yes they have been waiting for this party since long| [person:they g(mackenzie:destiny) 1-1]
scotty| I hope you are going to take a day off from the office that day Aren t you| [person:scotty m 0-0][person:tommy m 2-2][location:office s 12-12][person:tommy m 17-17]
tommy| Yes I have planned for the day off because it s going to be a big day for us| [person:tommy m 1-1][person:us g(scotty:tommy:mackenzie:destiny) 18-18]
scotty| Great All 4 of us will be finishing our breakfast at home before leaving right| [person:us g(scotty:tommy:mackenzie:destiny) 4-4][person:our g(scotty:tommy:mackenzie:destiny) 8-8][location:home s 11-11]
tommy| Yes Scotty let s have lunch after beach What do you say| [person:scotty m 1-1][location:beach s 7-7][person:scotty m 10-10]
scotty| I m a bit unsure about the lunch dude I m in a dilemma| [person:scotty m 0-0][person:scotty m 9-9]
tommy| But why What problem do you have with the lunch Scotty| [person:scotty m 5-5][person:scotty m 10-10]
scotty| Destiny would want to have lunch before the beach as she might be hungry after coming straight from school| [person:destiny f 0-0][location:beach s 8-8][person:destiny f 10-10][location:school s 18-18]
tommy| But Mackenzie will most likely want to eat after swimming because she doesn t want to swim with a full stomach| [person:mackenzie f 1-1][person:mackenzie f 11-11]
scotty| Oh is it so What do we do then Both are just the opposite| [person:we g(scotty:tommy) 6-6]
tommy| Well then let s look into the best possible alternative|

conv:people_long_0313_169:aug_0:chat_0:chataug_0| annika leanne| [person:annika f 0-0][person:leanne f 1-1]
leanne| Hey Annika what s up| [person:annika f 1-1]
annika| I got a few weeks off of work What about you| [person:annika f 0-0][person:leanne f 10-10]
leanne| I m planning on taking my boyfriend Mike on a surprise vacation Do you wanna take Callum and join us too| [person:leanne f 0-0][person:leanne f 5-5][person:mike m 7-7][person:annika f 13-13][person:callum m 16-16][person:us g(leanne:mike) 19-19]
annika| OMG yes I ve been wanting to do something special with him for a while| [person:annika f 2-2][person:callum m 11-11]
leanne| Great I m thinking of going somewhere warm and tropical like Miami I went to a ski resort last time so I want to get away from the cold| [person:leanne f 1-1][location:miami s 11-11][person:leanne f 12-12][location:resort s 17-17][person:leanne f 21-21]
annika| I liked the ski resort though It was fun to go skiing with my boyfriend Callum| [person:annika f 0-0][location:miami s 4-4][person:annika f 13-13][person:callum m 15-15]
leanne| It s always nice to have variety in your vacations|
annika| I guess so but I just liked the ski resort so much| [person:annika f 0-0][person:annika f 4-4][location:resort s 9-9]
leanne| Do you think we should keep this vacation a surprise from our boyfriends| [person:annika f 1-1][person:we g(leanne:annika) 3-3][person:our g(leanne:annika) 11-11]
annika| Probably but doesn t your boyfriend have a busy and erratic work schedule I always see him working overtime during the weekends| [person:leanne f 4-4][person:annika f 13-13][person:mike m 16-16]
leanne| Yeah but I can just ask him about his work schedule for something else and not bring up the vacation around him| [person:leanne f 2-2][person:mike m 6-6][person:mike m 8-8][person:mike m 21-21]
annika| Oh yeah true|
leanne| So how about it Do you want to go on this Miami vacation with me| [person:annika f 5-5][location:miami s 11-11][person:leanne f 14-14]
annika| I ll think about it I ll let you know if I eventually want to go Thanks for offering| [person:annika f 0-0][person:annika f 5-5][person:leanne f 8-8][person:annika f 11-11]
leanne| No problem see you later| [person:annika f 3-3]

conv:people_long_0313_171:aug_0:chat_0:chataug_0| issa linda| [person:issa f 0-0][person:linda f 1-1]
linda| Hi|
issa| Hi what are you up to today| [person:issa f 3-3]
linda| Why don t we go out for dinner| [person:linda f 3-3]
issa| great Idea I know of a place that serves great Italian food X| [person:linda f 2-2][location:place s 6-6]
linda| Today I am craving spicy Mexican food| [person:linda f 1-1]
issa| My friend Jessica and Tom were there the other day and they told me they serve both Italian and Mexican foods| [person:linda f 0-0][person:linda f 1-1][person:linda f 2-2][person:linda f 4-4][location:place s 6-6][person:linda f 11-11][person:linda f 13-13][person:linda f 14-14]
linda| wow That will be great|
issa| SO we go at six| [person:linda f 1-1]
linda| I am not sure Of the time I will be free since I am meeting a friend at 5| [person:linda f 0-0][person:linda f 7-7][person:linda f 12-12][person:linda f 16-16]
issa| Then I will let you call me when you will be ready| [person:linda f 1-1][person:linda f 4-4][person:linda f 6-6][person:linda f 8-8]
linda| Sure I will call you when I am done| [person:linda f 1-1][person:linda f 4-4][person:linda f 6-6]
issa| Greet your friend for me| [person:linda f 1-1][person:linda f 2-2][person:linda f 4-4]
linda| I will Remember to reserve a table please| [person:linda f 0-0]
issa| I have already reserved one| [person:linda f 0-0]
linda| Then I guess I will see you later| [person:linda f 1-1][person:linda f 3-3][person:linda f 6-6]
issa| Sure see you later today| [person:linda f 2-2]

conv:people_long_0313_172:aug_0:chat_0:chataug_0| angela patricia| [person:angela f 0-0][person:patricia f 1-1]
angela| amiga vamos viajar mesmo ne|
patricia| vamos sim|
angela| entao vamos para qual praia|
patricia| como estamos de ferias podemos ir para um destino tropical se voce quiser|
angela| que tal a gente chamar nossos amigos tamy e david| [person:david m 9-9]
patricia| otima ideia curtir as ferias todos juntos|
angela| certo entao ta estarei pesquisando valores das passagens|
patricia| ok amiga|
angela| vamos ver se tem algumas ofertas promocionais de viagens|
patricia| ok sendo assim a gente podemos ver o destino tropical que todos gostariam de ir|
patricia| ja que vamos chamar david e tamy ne| [person:david m 4-4]
angela| vamos ver sim para curtimos bastante as ferias|
angela| estou verificando os valores das passagens|
patricia| ta certo amiga tambem irei dar uma olhada em algum site de ofertas|
angela| estou verificando as ofertas em um grupo de estudantes|
patricia| ta certo|
patricia| o importante e ser adequado a todo mundo o destino|
angela| verdade|
angela| estou analisando os valores amiga|
angela| voce ja comunico a davis e a tamy sobre a viagem| [person:davis m 4-4]
patricia| ja sim eles gostaram da ideia e querem curtir as ferias conosco|

conv:people_long_0313_175:aug_0:chat_0:chataug_0| jamie joe| [person:jamie m 0-0][person:joe m 1-1]
joe| Jamie Dom can t come| [person:jamie m 0-0][person:dom m 1-1]
jamie| Oh no Amelia has plans too| [person:amelia f 2-2]
joe| She can t come either| [person:amelia f 0-0]
jamie| She says she ll try to switch her plans but she s not sure she can| [person:amelia f 0-0][person:amelia f 2-2][person:amelia f 7-7][person:amelia f 10-10][person:amelia f 14-14]
joe| Maybe we should just forget it| [person:we g(joe:jamie) 1-1]
jamie| Oh but it s a long weekend I want to do something special| [person:jamie m 7-7]
joe| So let s you and I go somewhere| [person:jamie m 3-3][person:joe m 5-5]
jamie| We could meet at Dom s maybe that s easier for Amelia| [person:we g(joe:jamie) 0-0][person:dom m 4-4][person:amelia f 11-11]
joe| No he s traveling for work| [person:dom m 1-1]
jamie| So what do you want to do| [person:joe m 3-3]
joe| I don t know weather s nice Wanna go camping| [person:joe m 0-0]
jamie| Maybe where|
joe| Well the lake will be crowded But maybe we can drive to the coast and camp at the beach| [person:we g(joe:jamie) 8-8]
jamie| I want to bring my dogs wherever we go| [person:jamie m 0-0][person:jamie m 4-4][person:we g(joe:jamie) 7-7]
joe| Come on sis there s not enough room|
jamie| We can take my car we ll all fit you ll see| [person:we g(joe:jamie) 0-0][person:jamie m 3-3][person:we g(joe:jamie) 5-5][person:joe m 9-9]

conv:people_long_0313_176:aug_0:chat_0:chataug_0| mona nilo| [person:mona f 0-0][person:nilo m 1-1]
mona| Hey let s chat about the surprise party for Erum and Summera| [person:erum f 9-9][person:summera f 11-11]
nilo| Ok should we surprise them at work| [person:nilo m 2-2][person:nilo m 4-4]
mona| Wouldn t it be better to do it on the weekend|
nilo| It would be easier to do it on a weekday right here at work where everybody is already| [location:here u 11-11][person:nilo m 15-15]
mona| We can have more fun on the weekend with inviting other people that don t work with us| [person:erum f 0-0][person:nilo m 17-17]
nilo| Ok so now we have to figure location and the time and the place| [person:nilo m 3-3][location:place s 13-13]
mona| Another plus with having it on the weekend is we can have booze| [person:nilo m 9-9]
nilo| I still say easier at work and we don t always have to have booze| [person:nilo m 0-0][person:nilo m 7-7]
mona| I still say it will be more fun ouside of work and we don t have to worry about time| [person:mona f 0-0][person:erum f 12-12]
nilo| Ok so let have it on Sunday at 3pm at The Spot|
mona| On a Sunday are you kidding I want to stay out all night long| [person:erum f 4-4][person:nilo m 6-6]
nilo| Well lets still do it at The Spot I love it there| [person:nilo m 8-8][location:place s 11-11]
mona| Location is fine now let s agree about the time|
nilo| Ok The Spot on Saturday evening at 8 pm|
mona| Sounds good lets get those evites out|
nilo| I think we will be in agreement for the guest list so let s get started| [person:nilo m 0-0][person:mona f 2-2]

conv:people_long_0313_178:aug_0:chat_0:chataug_0| ben ellie| [person:ben m 0-0][person:ellie f 1-1]
ben| Good Morning Ellie| [person:ellie f 2-2]
ellie| Good morning Ben how are you| [person:ben m 2-2][person:ben m 5-5]
ben| I feel great this morning| [person:ben m 0-0]
ben| so hey I was wondering| [person:ben m 2-2]
ben| Since we both has an amazing time on the last date I was hoping to go out with you again| [person:we g(ben:ellie) 1-1][person:ben m 11-11][person:ellie f 18-18]
ellie| Great Ben I would love that| [person:ben m 1-1][person:ellie f 2-2]
ben| ice skating or bowling|
ellie| I would love to go Bowling| [person:ellie f 0-0]
ben| OK great are you free Saturday| [person:ellie f 3-3]
ellie| Yes I am| [person:ellie f 1-1]
ellie| Can I bring my siblings Chad and Loni| [person:ellie f 1-1][person:ellie f 3-3][person:chad m 5-5][person:loni f 7-7]
ben| Yes bowling is more fun with extra people|
ellie| Ok great because they are in a bowling league| [person:they g(chad:loni) 3-3]
ben| Thats a little advanced Im a little nervous lol|
ellie| Dont worry they ll take it easy on you lol| [person:they g(chad:loni) 2-2][person:ben m 8-8]
ben| Great I ll check groupon for a bowling package| [person:ben m 1-1]

conv:people_long_0313_180:aug_0:chat_0:chataug_0| charlie craig| [person:charlie f 0-0][person:craig m 1-1]
charlie| Craig how about planning for an outing this weekend| [person:craig m 0-0]
craig| I am planning to take my family to the free family day at the museum this Sunday| [person:craig m 0-0][person:craig m 5-5][person:charlie f 6-6][person:charlie f 10-10][location:museum s 14-14]
craig| Would you like to join us along with your family| [person:charlie f 1-1][person:craig m 5-5][person:craig m 8-8][person:charlie f 9-9]
charlie| I would love to but I need to find out with my wife Vicky| [person:charlie f 0-0][person:charlie f 5-5][person:charlie f 11-11][person:charlie f 12-12][person:vicky m 13-13]
craig| Yeah sure Reach me after contacting them| [person:craig m 3-3][person:craig m 6-6]
charlie| Well Vicky is planning to visit the symphony on the same day| [person:vicky m 1-1]
craig| Is she planning alone to go there| [person:charlie f 1-1][location:museum s 6-6]
charlie| No she has planned to go with your wife Ruth and family| [person:charlie f 1-1][person:craig m 7-7][person:charlie f 8-8][person:ruth f 9-9][person:craig m 11-11]
craig| No problem I will convince Ruth as she enjoys touring museums| [person:craig m 2-2][person:ruth f 5-5][person:craig m 7-7][location:museums g() 10-10]
craig| And it will be easy enough to get Vicky onboard if Ruth gets convinced| [person:vicky m 8-8][person:ruth f 11-11]
charlie| Okay then I am booking the reservations for both the families| [person:charlie f 2-2]
charlie| All we need to get is confirmation from Ruth and her availability| [person:vicky m 1-1][person:ruth f 8-8][person:craig m 10-10]
craig| I will let you know about her availability after talking to her| [person:craig m 0-0][person:charlie f 3-3][person:charlie f 6-6][person:charlie f 11-11]
charlie| I hope we can have a wonderful weekend| [person:charlie f 0-0][person:charlie f 2-2]

conv:people_long_0313_181:aug_0:chat_0:chataug_0| sana tina| [person:sana f 0-0][person:tina f 1-1]
tina| Hey Sana Did you brought your groceries this month| [person:sana f 1-1][person:sana f 3-3][person:sana f 5-5]
sana| No Tina I was about to ask you about it| [person:tina f 1-1][person:sana f 2-2][person:tina f 7-7]
sana| Can you tell every month how much you spend on groceries| [person:tina f 1-1][person:tina f 7-7]
tina| It is different every month as we buy in bulk for some items| [person:we g(tina) 6-6]
sana| Well we spend 500 in two weeks buying groceries| [person:we g(sana) 1-1]
tina| I think you both are spending too much on buying groceries| [person:tina f 0-0][person:sana f 2-2]
tina| You should try a budgeting app as it helped us in reducing prices| [person:sana f 0-0][person:we g(tina) 9-9]
sana| Wow is it possible to manage the expenses through an app|
sana| Can you tell me the app I will also try to use it to reduce the budget| [person:tina f 1-1][person:sana f 3-3][person:sana f 6-6]
tina| Yes it will help you to manage your expenses| [person:sana f 4-4][person:sana f 7-7]
tina| But I don t remember the name for the app as it is installed on Mason s phone| [person:tina f 1-1][person:mason m 15-15]
sana| Fine tell me the name after asking him| [person:sana f 2-2][person:mason m 7-7]
tina| Okay I will let you after asking him| [person:tina f 1-1][person:sana f 4-4][person:mason m 7-7]
sana| Thank you so much Tina I will ask you if I find any problems with the app| [person:tina f 1-1][person:tina f 4-4][person:sana f 5-5][person:tina f 8-8][person:sana f 10-10]

conv:people_long_0313_183:aug_0:chat_0:chataug_0| anne marcus| [person:anne f 0-0][person:marcus m 1-1]
marcus| Hey Anne I want to ask you for a suggestion| [person:anne f 1-1][person:marcus m 2-2][person:anne f 6-6]
anne| Yeah tell me What is it Marcus| [person:anne f 2-2][person:marcus m 6-6]
marcus| I am thinking to start martial arts training What do you think about it| [person:marcus m 0-0][person:anne f 10-10]
anne| That s a nice idea Marcus It will really be helpful for you| [person:marcus m 5-5][person:marcus m 12-12]
marcus| I do not know anyone who could train me for a reasonable cost| [person:marcus m 0-0][person:anyone u 4-4][person:marcus m 8-8]
anne| Why don t you get in touch with your brother Brad He is a martial arts fanatic and has been training my friend Trina for the last few months| [person:marcus m 3-3][person:marcus m 8-8][person:brother m 9-9][person:brad m 10-10][person:brad m 11-11][person:anne f 21-21][person:friend f 22-22]
anne| And she has been really enjoying it and thinks Brad is excellent| [person:trina f 1-1][person:brad m 9-9]
marcus| I am really worried about your idea| [person:marcus m 0-0][person:anne f 5-5]
marcus| Because I don t think Brad has enough experience about martial arts| [person:marcus m 1-1][person:brad m 5-5]
anne| If you really want to be trained for martial arts then I think joining Brad will be the best option| [person:marcus m 1-1][person:anne f 11-11][person:brad m 14-14]
marcus| I am unable to decide whether to join Brad or some other professional trainer| [person:marcus m 0-0][person:brad m 8-8]
anne| That is your decision to make I gave you the suggestion| [person:marcus m 2-2][person:anne f 6-6][person:marcus m 8-8]
marcus| As I am confused let me analyze the pros and cons and then I will decide whom to join| [person:marcus m 1-1][person:marcus m 5-5][person:marcus m 13-13]
anne| Okay choose the best trainer at a reasonable cost|

conv:people_long_0313_184:aug_0:chat_0:chataug_0| cynthia lori| [person:cynthia f 0-0][person:lori f 1-1]
lori| Hey Cynthia I am planning a brunch party for our friends| [person:cynthia f 1-1][person:lori f 2-2][person:our g(lori:cynthia) 9-9][person:friends g() 10-10]
lori| I need your suggestions for the menu at the party| [person:lori f 0-0][person:cynthia f 2-2]
cynthia| For whom are you planning| [person:lori f 3-3]
cynthia| Yeah sure I will definitely help you with the menu| [person:cynthia f 2-2][person:lori f 6-6]
lori| I want to invite our friends Victoria and Alexander| [person:lori f 0-0][person:our g(lori:cynthia) 4-4][person:friends g() 5-5][person:victoria f 6-6][person:alexander m 8-8]
cynthia| Wow that s great Have you thought of anything for breakfast| [person:lori f 5-5]
lori| I think we should arrange a light breakfast with pastries parfaits and orange juice| [person:lori f 0-0][person:our g(lori:cynthia) 2-2]
lori| Do you have any idea of Victoria s preference for breakfast| [person:cynthia f 1-1][person:victoria f 6-6]
cynthia| Well I think she feels differently We should consider a more traditional breakfast to serve to them such as hashbrowns bacon and eggs and coffee| [person:cynthia f 1-1][person:victoria f 3-3][person:our g(lori:cynthia) 6-6][person:friends g(victoria:alexander) 16-16]
lori| Do Alexander like this breakfast option Is he okay with eggs| [person:alexander m 1-1][person:alexander m 7-7]
cynthia| No Alexander has a food allergy to eggs and that we should consider the light breakfast option| [person:alexander m 1-1][person:our g(lori:cynthia) 10-10]
cynthia| We should decide on a brunch menu that our friends would like| [person:our g(lori:cynthia) 0-0][person:our g(lori:cynthia) 8-8][person:friends g(victoria:alexander) 9-9]
lori| Okay you decide on the brunch menu while I will invite them to the party| [person:cynthia f 1-1][person:lori f 8-8][person:friends g(victoria:alexander) 11-11]
cynthia| I hope they will enjoy the party and have a great time| [person:cynthia f 0-0][person:friends g(victoria:alexander) 2-2]

conv:people_long_0313_185:aug_0:chat_0:chataug_0| fernando martina| [person:fernando m 0-0][person:martina f 1-1]
martina| Hey Fernando I have prepared the algorithm for our new saver app| [person:fernando m 1-1][person:martina f 2-2][person:martina f 8-8]
fernando| Great I ve collected all the data required so that we can complete our project within this week| [person:fernando m 1-1][person:martina f 10-10][person:martina f 13-13]
martina| Are you ready with some memory too So that we can save the internet data and so use it when we are out of network or in an emergency| [person:fernando m 1-1][person:fernando m 9-9][person:martina f 20-20]
fernando| Yeah I m all set with memory and other tools required for the project| [person:fernando m 1-1]
martina| I wanted us not to face any issues while testing the application| [person:martina f 0-0][person:martina f 2-2]
fernando| Okay I ll forward all the collection to your mail Just check it once| [person:fernando m 1-1][person:martina f 8-8]
martina| Yeah It is all set and I think we need a network engineer| [person:martina f 6-6][person:martina f 8-8]
fernando| Tasha and Tunisha were interested in being a part of the project We can use them as they are also network engineers| [person:tasha f 0-0][person:tunisha f 2-2][person:tasha f 12-12][person:fernando m 15-15][person:martina f 17-17]
martina| I think this is not a good idea As we need a veteran to be a part in our project| [person:martina f 0-0][person:fernando m 9-9][person:fernando m 18-18]
fernando| Even though they re juniors they have good knowledge about networks| [person:martina f 2-2][person:martina f 5-5]
martina| I do not approve your suggestion because we need some who is an expert in networks| [person:martina f 0-0][person:fernando m 4-4][person:fernando m 7-7]
fernando| Why don t you just check their work and decide if they re really fit for the project| [person:martina f 3-3][person:fernando m 6-6][person:martina f 11-11]
martina| As we do not have enough time to check their work test their skills and approve them will check if there are any other engineers who are capable for this| [person:fernando m 1-1][person:martina f 9-9][person:fernando m 12-12][person:tasha f 16-16]
fernando| Okay we ll take them along with us so that they ll be useful for us in the next projects| [person:martina f 1-1][person:fernando m 4-4][person:martina f 7-7][person:martina f 10-10][person:tunisha f 15-15]

conv:people_long_0313_186:aug_0:chat_0:chataug_0| flynn sophie| [person:flynn f 0-0][person:sophie f 1-1]
sophie| Hey Flynn Do you mind if we reconsider our weekend plan| [person:flynn f 1-1][person:flynn f 3-3][person:we g(sophie:flynn) 6-6][person:our g(sophie:flynn) 8-8]
flynn| Why What happened We planned to take a helicopter tour right| [person:we g(sophie:flynn) 3-3]
sophie| Yeah Have you heard about the recent helicopter accident that made the news| [person:flynn f 2-2]
sophie| I am really very scared to fly after hearing about that incident| [person:sophie f 0-0]
flynn| Yeah it was a tragic accident that has occurred and I feel sorry for the people who died| [person:flynn f 10-10][person:people g() 15-15]
flynn| But that should not discourage us from flying right| [person:us g(sophie:flynn) 5-5]
sophie| I think you are right I must not be discouraged over other incidents| [person:sophie f 0-0][person:flynn f 2-2][person:sophie f 5-5]
sophie| But I still feel scared about flying| [person:sophie f 1-1]
flynn| What will make you feel better so that you come with me on a helicopter tour| [person:sophie f 3-3][person:sophie f 8-8][person:flynn f 11-11]
sophie| I think that if I could speak to somebody familiar with helicopters it might alleviate my worries| [person:sophie f 0-0][person:sophie f 4-4][person:somebody u 8-8][person:sophie f 15-15]
flynn| I suggest you to talk to my friends Shaunise and Luke| [person:flynn f 0-0][person:sophie f 2-2][person:flynn f 6-6][person:friends g() 7-7][person:shaunise f 8-8][person:luke m 10-10]
flynn| They take helicopters often and are both aviation experts and I guess they can make you feel better| [person:friends g(shaunise:luke) 0-0][person:both g(shaunise:luke) 6-6][person:flynn f 10-10][person:they g(shaunise:luke) 12-12][person:sophie f 15-15]
sophie| Yeah Give me their phone numbers so that I can contact them| [person:sophie f 2-2][person:friends g(shaunise:luke) 3-3][person:sophie f 8-8][person:friends g(shaunise:luke) 11-11]
flynn| Please wait for a minute I ll search and send their contacts to you| [person:flynn f 5-5][person:friends g(shaunise:luke) 10-10][person:sophie f 13-13]

conv:people_long_0313_189:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
jane| Soooo what do you think| [person:john m 3-3]
john| un freaking believable|
john| Jane this is sooo much money| [person:jane f 0-0]
jane| I know it is insane| [person:jane f 0-0]
john| We will never have to work again| [person:we g(jane:john) 0-0]
john| Rita and Adam will be set for life| [person:rita f 0-0][person:adam m 2-2]
john| They can go to whatever college they want| [person:they g(rita:adam) 0-0][person:they g(rita:adam) 6-6]
jane| No more just getting by|
jane| No more worries|
jane| but John| [person:john m 1-1]
john| yes|
jane| How did they have so much money| [person:they g(rita:adam) 2-2]
jane| What if it is a mistake|
john| Jane its a will| [person:jane f 0-0]
john| I dont think it was any mistakes| [person:john m 0-0]
jane| So you dont think I should do some investigating Just to make sure this is real| [person:john m 1-1][person:jane f 4-4]
john| Jane| [person:jane f 0-0]
john| No its real|
jane| okay I ll just except it| [person:jane f 1-1]

conv:people_long_0313_194:aug_0:chat_0:chataug_0| chad rina| [person:chad m 0-0][person:rina f 1-1]
rina| Hey Chad can you suggest me what kind of pinata to gift my son on his birthday| [person:chad m 1-1][person:chad m 3-3][person:rina f 5-5][person:rina f 12-12][person:son m 13-13][person:son m 15-15]
chad| Yeah Rina I think he will like traditional Mexican pinata| [person:rina f 1-1][person:chad m 2-2][person:son m 4-4]
