conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
roger| Best of luck at the event Yeah no worries I ll drop by on my way home to grab them for you| [person:roger m 9-9][person:roger m 14-14][location:home s 16-16][person:rachel f 21-21]
rachel| Thanks so much You are the best I m really excited about this event Things are really going well| [person:roger m 3-3][person:rachel f 7-7]
roger| You re welcome You ll have to tell me all about it when I bring your shoes over I ll bring a bottle of wine| [person:rachel f 0-0][person:rachel f 3-3][person:roger m 8-8][person:roger m 13-13][person:rachel f 15-15][person:roger m 18-18]
rachel| Sounds like a plan 3|
roger| What time you do think you ll be done| [person:rachel f 2-2][person:rachel f 5-5]
rachel| I m thinking around 8pm Does that work for you I dont wanna be an inconvenience| [person:rachel f 0-0][person:roger m 9-9][person:rachel f 10-10]
roger| Yeah that works for me I m a night owl any way and i m off tomorrow| [person:roger m 4-4][person:roger m 5-5][person:roger m 13-13]

conv:people_2019081201_8:aug_0:chat_0:chataug_0| nicholas timothy| [person:nicholas m 0-0][person:timothy m 1-1]
timothy| Hey Nocholas|
nicholas| Hey Timothy| [person:timothy m 1-1]
timothy| I was wondering if you would like to have a barabecue today| [person:timothy m 0-0][person:nicholas m 4-4]
nicholas| Sure that sounds great Who is coming|
timothy| I was going to ask you that question Who do you think we should invite| [person:timothy m 0-0][person:nicholas m 5-5][person:nicholas m 10-10][person:we g(timothy:nicholas) 12-12]
nicholas| I think we should invite all Barry Lawrence George and Russell| [person:nicholas m 0-0][person:we g(timothy:nicholas) 2-2][person:barry m 6-6][person:lawrence m 7-7][person:george m 8-8][person:russell m 10-10]
timothy| Not Russell because he was just over yesterday| [person:russell m 1-1][person:russell m 3-3]
nicholas| Are you sure What if he finds out| [person:timothy m 1-1][person:russell m 5-5]
timothy| No worries Russell works today too| [person:russell m 2-2]
nicholas| That s fine|
timothy| Where should we go| [person:we g(timothy:nicholas:barry:lawrence:george) 2-2]
nicholas| How about the Korean BBQ Restaurant| [location:restaurant s 3-3][location:restaurant s 5-5]
timothy| That sounds great Let s go there I will call all the guys| [location:restaurant s 6-6][person:timothy m 7-7]
nicholas| See you there| [person:timothy m 1-1][location:restaurant s 2-2]

conv:people_2019081201_10:aug_0:chat_0:chataug_0| anna natalie| [person:anna f 0-0][person:natalie f 1-1]
natalie| Hi Anna Guess what I m in Los Angeles| [person:anna f 1-1][person:natalie f 4-4][location:los_angeles s 7-8]
anna| What When did you get here| [person:natalie f 3-3][location:los_angeles s 5-5]
natalie| Last night I wanted to surprise everyone Do you think we could all meet| [person:natalie f 2-2][person:everyone g(anna) 6-6][person:anna f 8-8][person:everyone g(anna) 10-10]
anna| It s been ages Yes of course we could all meet Who would you like to see| [person:everyone g(anna) 7-7][person:natalie f 13-13]
natalie| Stephanie Ron and Pete of course Are Stephanie and Pete still together| [person:stephanie f 0-0][person:ron m 1-1][person:pete m 3-3][person:stephanie f 7-7][person:pete m 9-9]
anna| Of course Those two are inseperable You know Ron doesn t like to drive right| [person:natalie f 6-6][person:ron m 8-8]
natalie| Sure can he catch a ride with one of you guys though Where do you think we should go| [person:ron m 2-2][person:everyone g(anna:stephanie:ron:pete) 9-9][person:anna f 14-14][person:everyone g(anna:stephanie:ron:pete) 16-16]
anna| How about we meet at the bar next to Ron s place They have great food too That way we can all see you| [person:everyone g(anna:stephanie:ron:pete) 2-2][location:bar s 6-6][person:ron m 9-9][location:ron_s_place s 11-11][person:everyone g(anna:stephanie:ron:pete) 19-19][person:natalie f 23-23]
anna| That would be perfect I can t wait to see everyone| [person:anna f 4-4][person:everyone g(anna:stephanie:ron:pete) 10-10]
natalie| Me too I thought it would be a nice surprise to get the gang back together| [person:natalie f 0-0][person:natalie f 2-2][location:los_angeles s 4-4]

conv:people_2019081201_13:aug_0:chat_0:chataug_0| dan vincent| [person:dan m 0-0][person:vincent m 1-1]
vincent| Hey Dan so I m planning to go to the movies with Barry and Eduardo| [person:dan m 1-1][person:vincent m 3-3][person:barry m 12-12][person:eduardo m 14-14]
vincent| Was wondering if you knew any good theatres around the area where you work| [person:dan m 3-3][location:theatres g() 7-7][person:dan m 12-12]
dan| Yeah man AMC near my workplace has reclining chairs It s bomb they allow drinks you should definitely check it out| [location:amc s 2-2][person:dan m 4-4][location:amc s 9-9][person:vincent m 15-15]
dan| There s also Regal and Cinema 2 I would also recommend those if that is too far for you| [location:regal s 3-3][location:cinema_2 s 5-5][person:dan m 7-7][person:vincent m 18-18]
vincent| Ah okay thanks i ll check those out and decide later then Thanks for the recommendation| [person:vincent m 3-3]
vincent| We are going to watch Us do you want to come along| [person:we g(vincent:barry:eduardo) 0-0][person:dan m 7-7]
dan| hmm When are you guys going to go| [person:we g(vincent:barry:eduardo) 3-3]
vincent| it ll be on saturday the 16th of this month around 7pm|
dan| yeah I have time then I m down Been wanting to see that show wooo| [person:dan m 1-1][person:dan m 5-5]
vincent| Haha awesome Well after looking up the theaters you recommended i m going to go with AMC I m planning to carpool you can just meet at my house and I can drive everyone| [person:dan m 8-8][person:vincent m 10-10][person:vincent m 17-17][person:dan m 22-22][person:vincent m 27-27][person:vincent m 30-30][person:everyone g(vincent:dan:barry:eduardo) 33-33]
dan| Alright sounds good man i ll ping you around 6pm to let you know when i m coming over See you then| [person:dan m 4-4][person:vincent m 7-7][person:vincent m 12-12][person:dan m 15-15][person:vincent m 20-20]
vincent| Yeah can t wait to catch up with you See ya dude| [person:dan m 8-8]

conv:people_2019081201_14:aug_0:chat_0:chataug_0| dwight wilson| [person:dwight m 0-0][person:wilson m 1-1]
wilson| Hey Dwight Where should we watch the game tonight| [person:dwight m 1-1][person:we g(wilson:dwight) 4-4]
dwight| Are Stephan and Shane coming| [person:stephan m 1-1][person:shane m 3-3]
wilson| Yeah|
dwight| Well they live in the burbs so somewhere near a train station would be good| [person:they g(stephan:shane) 1-1][location:burbs s 5-5][location:train_station s 10-11]
wilson| Well there s the bars on Clark but they ll be full of drunk Cubs fans throwing up all over| [location:bars g() 4-4]
dwight| True How about Gamekeepers in Lincon Park| [location:gamekeepers s 3-3][location:lincon_park s 6-6]
wilson| Oh I love that place but the food is questionable| [person:wilson m 1-1][location:lincon_park s 4-4]
dwight| True Shane and Stephan are so picky| [person:shane m 1-1][person:stephan m 3-3]
wilson| What about Sweetwater down on Michigan then|
dwight| Oh that s perfect Easy train access and great food|
wilson| And best of all no Cubs fans|
dwight| Okay we ll meet there about thirty minutes before game time See ya| [person:we g(wilson:dwight:stephan:shane) 1-1][location:lincon_park s 4-4]

conv:people_2019081201_15:aug_0:chat_0:chataug_0| timothy zachary| [person:timothy m 0-0][person:zachary m 1-1]
zachary| Hi timothy| [person:timothy m 1-1]
zachary| Tim do you still plan on going to the game| [person:timothy m 0-0][person:timothy m 2-2]
timothy| Yes I would like to get some advise from you about the playoffs tonight| [person:timothy m 1-1][person:zachary m 9-9]
zachary| Where do you want to go| [person:timothy m 2-2]
timothy| That s what I would like for you to suggest| [person:timothy m 3-3][person:zachary m 7-7]
zachary| well for the playoffs the best stadium to go is at Barclay s in the Bronx| [location:stadium s 6-6][location:bronx s 15-15]
timothy| How far away is that|
zachary| within 10 minutes drive from where you are at| [person:timothy m 6-6]
timothy| Great Pedro and vincent is visiting with me so we will be going Do you want to come along| [person:pedro m 1-1][person:vincent m 3-3][person:timothy m 7-7][person:we g(timothy:pedro:vincent) 9-9][person:zachary m 14-14]
zachary| Thanks for the invite I would love to join you guys| [person:zachary m 4-4][person:we g(timothy:pedro:vincent) 9-9]
timothy| How about meeting me at my place at 630pm| [person:timothy m 3-3][person:timothy m 5-5][location:place s 6-6]
zachary| That would be fine I will see you soon| [person:zachary m 4-4][person:timothy m 7-7]
timothy| Thanks for accepting I think we will all have a great time| [person:timothy m 3-3][person:we g(zachary:timothy:pedro:vincent) 5-5]
zachary| way to go see you later| [person:timothy m 4-4]

conv:people_2019081201_16:aug_0:chat_0:chataug_0| olivia stephen| [person:olivia f 0-0][person:stephen m 1-1]
olivia| Hey Steven what are you up to| [person:stephen m 1-1][person:stephen m 4-4]
stephen| Not much I get off in about an hour why| [person:stephen m 2-2]
olivia| Can you do me a big favor on your way home| [person:stephen m 1-1][person:olivia f 3-3][person:stephen m 8-8][location:home s 10-10]
stephen| Yes of course what is it|
olivia| I left my keys and wallet at Evelyn s house can you stop by and get them for me| [person:olivia f 0-0][person:olivia f 2-2][person:evelyn f 7-7][location:evelyn_s_house s 9-9][person:stephen m 11-11][person:olivia f 18-18]
stephen| Okay just send me Evelyn s address when you get a chance| [person:stephen m 3-3][person:evelyn f 4-4][person:stephen m 8-8]
olivia| 1234 W North St|
stephen| Perfect let her know I ll be there in a little over an hour| [person:evelyn f 2-2][person:stephen m 4-4][location:1234_w__n s 7-7]
olivia| Will do thank you so much sorry I had to ask I got stuck here at the mall| [person:stephen m 3-3][person:olivia f 7-7][person:olivia f 11-11][location:mall s 14-14][location:mall s 17-17]
stephen| It s no problem see you soon| [person:olivia f 5-5]
olivia| Sounds good let me know if Evelyn doesn t bring them out to you| [person:olivia f 3-3][person:evelyn f 6-6][person:stephen m 13-13]
stephen| I got them anything else you want me to get on my way home| [person:stephen m 0-0][person:olivia f 5-5][person:stephen m 7-7][person:stephen m 11-11][location:home s 13-13]

conv:people_2019081201_17:aug_0:chat_0:chataug_0| kimberly shirley| [person:kimberly f 0-0][person:shirley f 1-1]
shirley| Hi Kimberly What do you friends like for dinner| [person:kimberly f 1-1][person:kimberly f 4-4][person:friends g() 5-5]
shirley| Can I make it for lunch| [person:shirley f 1-1]
kimberly| Um Nicole and Deborah like Italian They love anything with pasta| [person:nicole f 1-1][person:deborah f 3-3][person:friends g(nicole:deborah) 6-6]
shirley| Cool What about Lauren| [person:lauren f 3-3]
kimberly| I think she is a pizza girl She seems to love anything on a pizza crust| [person:kimberly f 0-0][person:lauren f 2-2][person:lauren f 7-7]
shirley| I wonder if I can do like a Pizza Hut theme Lunch Like Pick your own pasta and pizza| [person:shirley f 0-0][person:shirley f 3-3][location:pizza_hut s 9-9][person:your g(shirley:kimberly:nicole:deborah:lauren) 14-14]
kimberly| That sounds awesome What kind of ingredients would you use| [person:shirley f 8-8]
shirley| Probably a pasta and pizza base then have out pepperoni different sauces onions etc|
kimberly| What about bread sticks|
kimberly| Then you can make your own dip up too| [person:shirley f 1-1][person:shirley f 4-4]
kimberly| Thats a great idea Would you want to bring them| [person:shirley f 5-5]
shirley| Could you That way I could focus on the pasta and the pizza bases| [person:shirley f 1-1][person:shirley f 4-4]

conv:people_2019081201_19:aug_0:chat_0:chataug_0| andrew kathryn| [person:andrew m 0-0][person:kathryn f 1-1]
kathryn| Hey Andrew what s up| [person:andrew m 1-1]
andrew| Hey Kathryn I m good Have you heard anything from Deborah and Ann| [person:kathryn f 1-1][person:andrew m 2-2][person:kathryn f 6-6][person:deborah f 10-10][person:ann f 12-12]
kathryn| I just got off the phone with Deborah They re on their way they ll be in town around 3 pm| [person:kathryn f 0-0][person:deborah f 7-7][person:they g(deborah:ann) 8-8][person:they g(deborah:ann) 11-11][person:they g(deborah:ann) 13-13][location:town s 17-17]
andrew| Cool I ve got a new spot I want to show you guys| [person:andrew m 1-1][location:spot s 6-6][person:andrew m 7-7][person:kathryn f 11-11]
kathryn| Is it a restaurant Do they serve drinks Is it better than the last time Deborah and Ann came through and you had us drinking margaritas in the middle of nowhere LOL| [location:spot s 1-1][location:restaurant s 3-3][person:they g(deborah:ann) 5-5][person:deborah f 15-15][person:ann f 17-17][person:andrew m 21-21][person:us g(kathryn:andrew) 23-23]
andrew| LOL You re supposed to have forgotten that by now Ann was already giving me a hard time about that night now you Give me a break lol Nah it s a nice spot on the edge of town known for making good mojitos| [person:kathryn f 1-1][person:ann f 10-10][person:andrew m 14-14][person:kathryn f 22-22][person:andrew m 24-24][location:restaurant s 29-29][location:town s 38-38]
kathryn| Oh ok are you talking about Wag s That sounds like Wag s Deborah was asking me about that place just last week I told her I haven t been yet| [person:andrew m 3-3][person:deborah f 13-13][person:kathryn f 16-16][location:wag_s s 19-19][person:kathryn f 23-23][person:deborah f 25-25][person:kathryn f 26-26]
andrew| Oh wow it is indeed Wag s Besides their drinks I ve been told that the food s really good as well And there s a cinema right next door we can eat up get lit off a few drinks and then check out what s at the movies You think the ladies will be cool with that| [person:they g(deborah:ann) 8-8][person:andrew m 10-10][person:us g(kathryn:andrew) 30-30][person:kathryn f 49-49]
kathryn| Sure I know I am already I m about to take a quick shower and then head to the airport we ll see you in a few Later gator| [person:kathryn f 1-1][person:kathryn f 3-3][person:kathryn f 6-6][person:us g(kathryn:andrew) 20-20][person:andrew m 23-23]
andrew| Sounds like a plan can t wait Roger dodger| [person:roger m 7-7]
kathryn| Oh yeah you still there| [person:andrew m 2-2][location:wag_s s 4-4]
andrew| I m still here what s up| [person:andrew m 0-0][location:wag_s s 3-3]
kathryn| I forgot to tell you earlier Deborah said to make sure you get the tickets for the concert I know it s in a few days but she s worried about them selling out| [person:kathryn f 0-0][person:andrew m 4-4][person:deborah f 6-6][person:andrew m 11-11][location:concert s 17-17][person:kathryn f 18-18][person:deborah f 27-27][person:they g(deborah:ann) 31-31]
andrew| Come on now well when you scoop them up let Deborah and Ann know that I ve already got them we re already ready already LOL| [person:kathryn f 5-5][person:they g(deborah:ann) 7-7][person:deborah f 10-10][person:ann f 12-12][person:andrew m 15-15][person:they g(deborah:ann) 19-19][person:us g(kathryn:andrew) 20-20]
kathryn| Check you out I ll let her know Later| [person:andrew m 1-1][person:kathryn f 3-3][person:deborah f 6-6]
andrew| Later|

conv:people_2019081201_20:aug_0:chat_0:chataug_0| robert ron| [person:robert m 0-0][person:ron m 1-1]
robert| Hey Ron what are you doing tonight| [person:ron m 1-1][person:ron m 4-4]
ron| Nothing I should be free after work What s going on| [person:ron m 1-1]
robert| Do you remember my brother Kevin| [person:ron m 1-1][person:robert m 3-3][person:brother m 4-4][person:brother m 5-5]
ron| Yes Is he in town| [person:brother m 2-2][location:town s 4-4]
robert| Yes Kevin is in with his friend Howard They wanted to watch the soccer game tonight| [person:brother m 1-1][person:brother m 5-5][person:friend m 6-6][person:friend m 7-7][person:they g(brother:friend) 8-8]
ron| Oh awesome I m good to come Where does he want to go| [person:ron m 2-2][person:brother m 9-9]
robert| We were actually hoping to ask you He wants to go to Buffalo Wild Wings but open to you reccomendations| [person:we g(robert:brother:friend) 0-0][person:ron m 6-6][person:brother m 7-7][location:buffalo_wild_wings s 12-12][person:ron m 18-18]
ron| The one on Mulbury Rd is my favorite I would recommend going there They have faster service and a better scene| [location:mulbury_rd s 3-3][person:ron m 6-6][person:ron m 8-8][location:mulbury_rd s 12-12]
robert| Oh good I ll let the guys know| [person:robert m 2-2]
ron| Great what time should I meet you all there| [person:ron m 4-4][person:robert m 6-6][location:mulbury_rd s 8-8]
robert| How is 7pm right before the soccer game|
ron| Great See ya|

conv:people_2019081201_21:aug_0:chat_0:chataug_0| edgar roger| [person:edgar m 0-0][person:roger m 1-1]
edgar| are you coming to watch the basket ball match| [person:roger m 1-1]
roger| yes but Ben and Christian are fans of New York Knicks| [person:ben m 2-2][person:christian m 4-4]
edgar| so what we will go to watch LA Lakers game| [person:we g(edgar:roger:ben:christian) 2-2]
roger| ok but ill dicide with my dates| [person:roger m 5-5]
edgar| fine say soon|
roger| ok|
edgar| ask them to come along with us| [person:them g(ben:christian) 1-1][person:us g(edgar:roger) 6-6]
roger| ill ask them and ill call y0i| [person:them g(ben:christian) 2-2]
edgar| ill arrange every thing for them in game| [person:them g(ben:christian) 5-5]
roger| then ill gather them| [person:them g(ben:christian) 3-3]
edgar| make me a clearly to arrange in advance| [person:edgar m 1-1]
roger| definitely i make it clear in time| [person:roger m 1-1]

conv:people_2019081201_22:aug_0:chat_0:chataug_0| nicholas phil| [person:nicholas m 0-0][person:phil m 1-1]
phil| Hey Nicholas| [person:nicholas m 1-1]
nicholas| Phil what s up buddy| [person:phil m 0-0][person:phil m 4-4]
phil| I was thinking we should go have a night out we could bring Albert Nick Dave and Jerry| [person:phil m 0-0][person:we g(phil:nicholas) 3-3][person:we g(phil:nicholas) 10-10][person:albert m 13-13][person:nick m 14-14][person:dave m 15-15][person:jerry m 17-17]
nicholas| Oh neat that sounds great but what do you think we should do| [person:phil m 8-8][person:we g(phil:nicholas) 10-10]
phil| Well I know that Albert and Dave love camping but I don t know about Nick and Jerry| [person:phil m 1-1][person:albert m 4-4][person:dave m 6-6][person:phil m 10-10][person:nick m 15-15][person:jerry m 17-17]
nicholas| I don t think Nick is into camping but I do know that both Nick and Jerry love to play frisbee| [person:nicholas m 0-0][person:nick m 4-4][person:nicholas m 9-9][person:nick m 14-14][person:jerry m 16-16]
phil| Oh good idea Albert and Dave used to play frisbee in high school and I love to play for fun| [person:albert m 3-3][person:dave m 5-5][location:high_school s 11-12][person:phil m 14-14]
phil| But do you like frisbee| [person:nicholas m 2-2]
nicholas| Yes I love playing it for fun like you Should we plan a frisbee night then| [person:nicholas m 1-1][person:phil m 8-8][person:we g(phil:nicholas) 10-10]
phil| Yeah let s do it frisbee night with the boys| [person:boys g(phil:nicholas:albert:nick:dave:jerry) 9-9]
nicholas| OK let s make it happen let s play at the field by your house next Monday| [person:phil m 13-13]
phil| Sure see you 8PM| [person:nicholas m 2-2]

conv:people_2019081201_27:aug_0:chat_0:chataug_0| denise jessica| [person:denise f 0-0][person:jessica f 1-1]
jessica| hi denise| [person:denise f 1-1]
denise| hi jessica| [person:jessica f 1-1]
jessica| did you saw hannah and anna in that movie intervel| [person:denise f 1-1][person:hannah f 3-3][person:anna f 5-5]
denise| yes i seen| [person:denise f 1-1]
jessica| does they also lliked that movie ah| [person:they g(hannah:anna) 1-1]
denise| i think sooo| [person:denise f 0-0]
jessica| what about you i liked it lot| [person:denise f 2-2][person:jessica f 3-3]
denise| i too loved it lot such an great movie to see| [person:denise f 0-0]
jessica| actually who choice for went to that movie either hanna or anna| [person:anna f 11-11]
denise| i think both are suggested movie because they great fan for him so that only| [person:denise f 0-0][person:they g(hannah:anna) 7-7]
jessica| so what part did you enjoy most| [person:denise f 4-4]
denise| i think intervel block is very twist what about you| [person:denise f 0-0][person:jessica f 9-9]
jessica| i love climax| [person:jessica f 0-0]
denise| ask them to when we agian go movie| [person:they g(hannah:anna) 1-1][person:we g(jessica:denise:hannah:anna) 4-4]
jessica| already i asked they told next week| [person:jessica f 1-1][person:they g(hannah:anna) 3-3]
denise| i have work on next week what about you| [person:denise f 0-0][person:jessica f 8-8]
jessica| even i have to work on next week| [person:jessica f 1-1]

conv:people_2019081201_28:aug_0:chat_0:chataug_0| jordan mary| [person:jordan m 0-0][person:mary f 1-1]
jordan| hi Mary| [person:mary f 1-1]
mary| HI Jordan| [person:jordan m 1-1]
jordan| So you want to invite Robinson and Martins for dinner| [person:mary f 1-1][person:robinson u 5-5][person:martins g() 7-7]
mary| Yes I do| [person:mary f 1-1]
jordan| do you know their schedule| [person:mary f 1-1][person:they g(robinson) 3-3]
mary| I am trying to figure that out| [person:mary f 0-0]
jordan| I know Robinson schedule| [person:jordan m 0-0][person:robinson u 2-2]
mary| I know martins schedule| [person:mary f 0-0][person:martins g() 2-2]
jordan| we should check with them about when everyone is free I think Robinson is free Saturday| [person:we g(jordan:mary) 0-0][person:they g(robinson) 4-4][person:they g(robinson) 7-7][person:jordan m 10-10][person:robinson u 12-12]
mary| I think Martin is also free saturday| [person:mary f 0-0][person:martin m 2-2]
jordan| Let s all meet saturday for dinner than|
mary| sounds good we should check with them to make sure they are really free for Saturday as well| [person:we g(jordan:mary) 2-2][person:they g(robinson:martin) 6-6][person:they g(robinson:martin) 10-10]
jordan| I agree let s do that| [person:jordan m 0-0]

conv:people_2019081201_29:aug_0:chat_0:chataug_0| arthur eddie| [person:arthur m 0-0][person:eddie m 1-1]
arthur| Hey there|
eddie| Arthur Hi I was just going to touch base with you about dinner| [person:arthur m 0-0][person:eddie m 2-2][person:arthur m 10-10]
arthur| I ve been trying to figure out a restaurant all day Have any ideas| [person:arthur m 0-0][location:restaurant s 8-8]
eddie| Well before we get to that I wanted to ask you something| [person:we g(arthur:eddie) 2-2][person:eddie m 6-6][person:arthur m 10-10]
arthur| oh ok what is it|
eddie| I was thinking of inviting Wayne and William tonight What are your thoughts| [person:eddie m 0-0][person:wayne m 5-5][person:william m 7-7][person:arthur m 11-11]
arthur| Hm I guess I don t mind| [person:arthur m 1-1][person:arthur m 3-3]
eddie| I know Wayne is difficult| [person:eddie m 0-0][person:wayne m 2-2]
arthur| Yeah he has such a strong preference with dinner that it gets frustrating| [person:wayne m 1-1]
eddie| I agree But William and Wayne talk daily and I know he ll make it a big thing once he finds out we went out and didn t invite him| [person:eddie m 0-0][person:william m 3-3][person:wayne m 5-5][person:eddie m 9-9][person:wayne m 11-11][person:wayne m 19-19][person:we g(arthur:eddie) 22-22][person:wayne m 29-29]
arthur| I suppose it s probably best if we invite them both Now back to where to go| [person:arthur m 0-0][person:we g(arthur:eddie) 7-7][person:we g(arthur:eddie) 9-9]
eddie| How about that new place Ocean Tavern on fifth| [location:place s 4-4][location:place s 6-6]
arthur| I ll be there Make sure you tell Wayne and William also 6pm| [person:arthur m 0-0][location:place s 3-3][person:eddie m 6-6][person:wayne m 8-8][person:william m 10-10]

conv:people_2019081201_30:aug_0:chat_0:chataug_0| harold stephanie| [person:harold m 0-0][person:stephanie f 1-1]
harold| Hey Stephanie| [person:stephanie f 1-1]
stephanie| Harold How are you| [person:harold m 0-0][person:harold m 3-3]
harold| I am doing well I had a question to ask you| [person:harold m 0-0][person:harold m 4-4][person:stephanie f 10-10]
stephanie| Of course what is it|
harold| So I was thinking of going to an amuesement park and I was hoping to get some recommendations from you since you recently went with Bill and Anna| [person:harold m 1-1][location:park s 9-9][person:harold m 11-11][person:stephanie f 19-19][person:stephanie f 21-21][person:bill m 25-25][person:anna f 27-27]
stephanie| Oh yes We wish you were around to come We missed you Anyways anything in particular that you are looking for| [person:we g(stephanie:anna:bill) 2-2][person:harold m 4-4][person:we g(stephanie:anna:bill) 9-9][person:harold m 11-11][person:harold m 17-17]
harold| I do like a mixture of water rides roller coasters I don t want to spend a ton of money either| [person:harold m 0-0][person:harold m 10-10]
stephanie| I think you ll really like Shark Meadows then They had more water rides that Log Mountain And View Point| [person:stephanie f 0-0][person:harold m 2-2][location:shark_meadows s 6-6][person:they g(anna:bill) 9-9][location:mountain s 16-16]
harold| Anything you liked disliked about the parks| [person:stephanie f 1-1]
stephanie| Well the food menu was probably better at View Point but only if you eat meat I like that Shark Meadows has water rides and Log Mountain was really busy| [person:harold m 13-13][person:stephanie f 16-16][location:shark_meadows s 19-19][location:mountain s 26-26]
harold| Yeah I heard that it s always busy therem too| [person:harold m 1-1][location:shark_meadows s 4-4]
stephanie| Definitely Any other questions|
harold| I think that is it I am going to go to Shark Meadows Hopefully you Anna and Bill and I can go one time| [person:harold m 0-0][person:harold m 5-5][location:shark_meadows s 11-11][person:stephanie f 14-14][person:anna f 15-15][person:bill m 17-17][person:harold m 19-19]

conv:people_2019081201_31:aug_0:chat_0:chataug_0| phil stanley| [person:phil m 0-0][person:stanley m 1-1]
stanley| Hey Phil Do you want to get drinks tomorrow| [person:phil m 1-1][person:phil m 3-3]
phil| Yeah sure Lets invite Jen and Richard| [person:jen f 4-4][person:richard m 6-6]
stanley| Ok what pub do you want to go to| [person:phil m 4-4]
phil| I don t really know how about the one close by my house Irish Inn| [person:phil m 0-0][person:phil m 11-11]
stanley| Well I don t really think that Jen and Richard would like that one Maybe lets do the Sports Bar near work| [person:stanley m 1-1][person:jen f 7-7][person:richard m 9-9]
phil| Ok let us go to that one I will let Jen and Richard know| [person:us g(stanley:phil:jen:richard) 2-2][person:phil m 7-7][person:jen f 10-10][person:richard m 12-12]
stanley| Alright can you make the reservation for that pub| [person:phil m 2-2]
phil| Of course I ll do it right away for 4 people| [person:phil m 2-2]
stanley| Alright I ll see you tomorrow at the pub| [person:stanley m 1-1][person:phil m 4-4]
phil| See you there| [person:stanley m 1-1]
stanley| Ok I ll pick up Jen and you can pick up Richard| [person:stanley m 1-1][person:jen f 5-5][person:phil m 7-7][person:richard m 11-11]
phil| Sounds good|

conv:people_2019081201_32:aug_0:chat_0:chataug_0| craig larry| [person:craig m 0-0][person:larry m 1-1]
larry| Hi Craig are you down to go to a concert this weekend| [person:craig m 1-1][person:craig m 3-3]
craig| Hey Larry Yes I m up for a concert Is it on Saturday or Sunday| [person:larry m 1-1][person:craig m 3-3]
larry| Probably Saturday Steven and Jonathan want to come as well| [person:steven m 2-2][person:jonathan m 4-4]
craig| That s cool I haven t seen them in a while What kind of music is the concert playing| [person:craig m 3-3][person:them g(steven:jonathan) 7-7]
larry| Well you know Steven and Jonathan They re really into pop music I wanted to go to the hiphop concert on Sunday| [person:craig m 1-1][person:steven m 3-3][person:jonathan m 5-5][person:them g(steven:jonathan) 6-6][person:larry m 12-12]
craig| I see I m ok with either really Just hanging out with my friends at a concert is enough Are you busy on Sunday| [person:craig m 0-0][person:craig m 2-2][person:craig m 12-12][person:friends g(larry:steven:jonathan) 13-13][person:larry m 20-20]
larry| No I could go to the Sunday one but I thought if Steven and Jonathan are coming I should consider what music they like| [person:larry m 1-1][person:larry m 9-9][person:steven m 12-12][person:jonathan m 14-14][person:larry m 17-17][person:them g(steven:jonathan) 22-22]
craig| That s thoughtful I would prefer Saturday too since it allows us to sleep in the next day if the concert runs late| [person:craig m 3-3][person:us g(larry:craig:steven:jonathan) 11-11]
larry| That makes sense I ll let Steven and Jonathan know about the pop concert on Saturday then| [person:larry m 3-3][person:steven m 6-6][person:jonathan m 8-8]
craig| Sounds good I m looking forward to it| [person:craig m 2-2]

conv:people_2019081201_33:aug_0:chat_0:chataug_0| emma susie| [person:emma f 0-0][person:susie f 1-1]
susie| So tell me what do Joshua and Carlos usually like to do in their free time| [person:susie f 2-2][person:joshua m 5-5][person:carlos m 7-7][person:their g(joshua:carlos) 13-13]
emma| They love to just go outside and enjoy the weather or have picnic| [person:their g(joshua:carlos) 0-0]
susie| Great I know exactly where we can go| [person:susie f 1-1][person:we g(susie:emma:joshua:carlos) 5-5]
emma| That s awesome what is it|
susie| There s this beautiful park not far away from here where we could have a nice picnic| [location:park s 4-4][location:here s 9-9][person:we g(susie:emma:joshua:carlos) 11-11]
emma| Tell me more about the park and then I ll call Joshua and Carlos to ask if they want to go| [person:emma f 1-1][location:park s 5-5][person:emma f 8-8][person:joshua m 11-11][person:carlos m 13-13][person:their g(joshua:carlos) 17-17]
susie| Well the park has a beautiful lake and nice spots where you can just lay down and relax| [location:park s 2-2]
emma| I m sure they ll like it a lot I will give them a call now| [person:emma f 0-0][person:their g(joshua:carlos) 3-3][location:park s 6-6][person:emma f 9-9][person:their g(joshua:carlos) 12-12]
emma| Okay I called them and they said that they would love to go to the park with you| [person:emma f 1-1][person:their g(joshua:carlos) 3-3][person:their g(joshua:carlos) 5-5][person:their g(joshua:carlos) 8-8][location:park s 15-15][person:susie f 17-17]
susie| Yay I m looking forward to it| [person:susie f 1-1][location:park s 6-6]

conv:people_2019081201_34:aug_0:chat_0:chataug_0| joe tony| [person:joe m 0-0][person:tony m 1-1]
joe| Hi Tony| [person:tony m 1-1]
tony| Hey Joe| [person:joe m 1-1]
joe| We still on for the movie later| [person:we g(joe:tony) 0-0]
tony| Yup Joshua and Paul are already on the way to the theater actually| [person:joshua m 1-1][person:paul m 3-3][location:theater s 11-11]
tony| But I do want to grab something to eat before then| [person:tony m 1-1]
joe| Sounds good do you wanna eat at the diner next to the theater so it s not too far of a walk| [person:tony m 3-3][location:theater s 12-12]
tony| Yeah that sounds great I love their pizza there| [person:tony m 4-4][location:theater s 8-8]
