conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
sara| Maybe they d like to do that again Lincoln Park Zoo is awesome and I know a really good pizza place for afters| [person:diana_s_aunt_and_uncle g(lawrence) 1-1][location:lincoln_park_zoo s 8-10][person:sara f 14-14][location:pizza_place s 20-20]
diana| This could turn out really fun for them I really appreciate you doing this| [person:diana_s_aunt_and_uncle g(lawrence) 7-7][person:diana f 8-8][person:sara f 11-11]
sara| My pleasure I really like your aunt and uncle Just have Beverly call me| [person:sara f 0-0][person:sara f 2-2][person:diana f 5-5][person:diana_s_aunt f 6-6][person:diana_s_aunt f 11-11][person:sara f 13-13]

conv:people_2019090101_131:aug_0:chat_0:chataug_0| juan rodger| [person:juan m 0-0][person:rodger m 1-1]
rodger| Hi Juan I want to throw a welcome party for my friends Jonathan and Caroline| [person:juan m 1-1][person:rodger m 2-2][person:rodger m 10-10][person:friends g() 11-11][person:jonathan m 12-12][person:caroline f 14-14]
juan| The Alexanders who just got married|
rodger| Yes They bought a house in my neighborhood and I want to welcome them| [person:friends g(jonathan:caroline) 1-1][person:rodger m 6-6][person:rodger m 9-9][person:friends g(jonathan:caroline) 13-13]
juan| That s very nice of you Where are you going to have the welcome party| [person:rodger m 5-5][person:rodger m 8-8]
rodger| I haven t decided yet I was wondering if you have an ideas| [person:rodger m 0-0][person:rodger m 5-5][person:juan m 9-9]
juan| Alan knows Jonathan pretty well I think They worked together Maybe you should ask him too| [person:alan m 0-0][person:jonathan m 2-2][person:juan m 5-5][person:they g(jonathan:alan) 7-7][person:rodger m 11-11][person:jonathan m 14-14]
rodger| That s right I forgot about that| [person:rodger m 3-3]
juan| You could do it at your house by the pool It s nice outside| [person:rodger m 0-0][location:restaurant s 3-3][person:rodger m 5-5][location:it s 10-10]
rodger| I ve thought about that That s one option I was thinking maybe a restaurant where we can order food and drinks| [person:rodger m 0-0][person:rodger m 9-9][location:restaurant s 14-14][person:we g(rodger:juan) 16-16]
juan| That would be less hassle|
rodger| Exactly I ll find out from Alan what he thinks| [person:rodger m 1-1][person:alan m 6-6][person:alan m 8-8]

conv:people_2019090101_133:aug_0:chat_0:chataug_0| alice joyce| [person:alice f 0-0][person:joyce f 1-1]
alice| Have you already decided what to bring for lunch for the gettogether this week| [person:joyce f 1-1][location:lunch s 8-8]
joyce| Actually I have been having trouble deciding what to bring I don t want to buy something that the Parkers won t like| [person:joyce f 1-1][person:joyce f 10-10][person:parkers g() 19-19]
alice| I feel like I am in the same boat I have decided either what to bring for them| [person:alice f 0-0][person:alice f 3-3][person:alice f 9-9][person:parkers g() 17-17]
joyce| Perhaps we should bring something like a nice ornament for their house like some premium candles| [person:we g(alice:joyce) 1-1][person:parkers g() 10-10]
alice| That could work and we can also bring them a certificate for dinner so they can enjoy a nice family meal sometime in the future| [person:we g(alice:joyce) 4-4][person:parkers g() 8-8][location:lunch s 12-12][person:parkers g() 14-14][person:parkers g() 19-19]
joyce| What kind of place do you think they would like to dine out from something like a steakhouse| [location:lunch s 3-3][person:alice f 5-5][person:parkers g() 7-7]
alice| I think a steakhouse would be great I don t think they have any dietary restrictions or allergies| [person:alice f 0-0][person:alice f 7-7][person:parkers g() 11-11]
joyce| I think I know the perfect place to buy a certificate from I can go buy it today so it can give it to them when we meet up with them| [person:joyce f 0-0][person:joyce f 2-2][location:lunch s 6-6][person:joyce f 12-12][location:lunch s 16-16][person:parkers g() 24-24][person:we g(alice:joyce) 26-26][person:parkers g() 30-30]
alice| In that case I ll buy the candles I ll try to see if they have any specials or packages at this store nearby my house so they can try out several| [person:alice f 3-3][person:alice f 8-8][person:parkers g() 14-14][person:alice f 24-24][person:parkers g() 27-27]
joyce| Great in that case I hope it goes well for you and I ll se you at the Parker s place for lunch| [person:joyce f 4-4][location:lunch s 6-6][person:alice f 10-10][person:joyce f 12-12][person:alice f 15-15][person:parkers g() 18-18][location:lunch s 20-20][location:lunch s 22-22]

conv:people_2019090101_134:aug_0:chat_0:chataug_0| dylan logan| [person:dylan m 0-0][person:logan m 1-1]
logan| hai dylan how are you how is your work going| [person:dylan m 1-1][person:dylan m 4-4][person:dylan m 7-7]
dylan| Hai Logan what a sweet surprise i am fine over here my work is also going fine When are you coming to my home for coffee| [person:logan m 1-1][person:dylan m 6-6][person:dylan m 11-11][person:logan m 19-19][person:dylan m 22-22][location:home s 23-23]
logan| Shall i bring my friends carolyn and johnny with me| [person:logan m 1-1][person:logan m 3-3][person:friends g() 4-4][person:carolyn f 5-5][person:johnny m 7-7][person:logan m 9-9]
dylan| oh sure logan at what day and time are you coming| [person:logan m 2-2][person:logan m 9-9]
logan| I have a plan to come this week end i will ask to carolyn and Johnny about their conveinent time| [person:logan m 0-0][person:logan m 9-9][person:carolyn f 13-13][person:johnny m 15-15][person:their g(carolyn:johnny) 17-17]
dylan| ok logan tell the time and date conveinent for both you and carolyn| [person:logan m 1-1][person:logan m 10-10][person:carolyn f 12-12]
logan| ok sure at 05sep19 545 pm is it opt for you dylan| [person:dylan m 10-10][person:dylan m 11-11]
dylan| oh ya thats nice i think my kids will be at home only on that day we all have a wonderful coffee day| [person:dylan m 4-4][person:dylan m 6-6][location:home s 11-11][person:we g(logan:dylan) 16-16]
logan| oh thats nice so we fix it on that day| [person:we g(logan:dylan) 4-4]
dylan| ok bye for now take care i tell to your friends about this meet| [person:dylan m 6-6][person:logan m 9-9][person:friends g(carolyn:johnny) 10-10]
logan| sure bye|

conv:people_2019090101_135:aug_0:chat_0:chataug_0| abigail alice| [person:abigail f 0-0][person:alice f 1-1]
abigail| Hey Alice I m looking forward to our movie night at the Harpers| [person:alice f 1-1][person:abigail f 2-2][person:our g(abigail:alice) 7-7][location:the_harpers s 11-12][person:harpers g() 12-12]
alice| Me too We should bring them something What do you think they would like| [person:alice f 0-0][person:we g(abigail:alice) 2-2][person:them g() 5-5][person:abigail f 9-9][person:they g() 11-11]
abigail| For Doug we could give him a bottle of wine| [person:doug m 1-1][person:we g(abigail:alice) 2-2][person:doug m 5-5]
alice| Yeah he would like that We should give Janice a cake I know she loves desserts| [person:doug m 1-1][person:we g(abigail:alice) 5-5][person:janice f 8-8][person:alice f 11-11][person:janice f 13-13]
abigail| How old is their son Jerry What should we get him| [person:their g(doug:janice) 3-3][person:jerry m 5-5][person:we g(abigail:alice) 8-8][person:jerry m 10-10]
alice| I think he just turned 5 and he s into Legos| [person:alice f 0-0][person:jerry m 2-2][person:jerry m 7-7]
abigail| Okay Can you take care of that and I ll take care of the wine and cake| [person:alice f 2-2][person:abigail f 8-8]
alice| Sure I ll pass by the mall and buy him a Lego toy| [person:alice f 1-1][location:the_mall s 5-6][person:jerry m 9-9]
abigail| So we re all set See you soon| [person:we g(abigail:alice) 1-1][person:alice f 6-6]
alice| Yup Can t wait to spend time with you guys| [person:abigail f 8-8]

conv:people_2019090101_136:aug_0:chat_0:chataug_0| brandon jack| [person:brandon m 0-0][person:jack m 1-1]
jack| Hi Brandon| [person:brandon m 1-1]
brandon| Hi Jack| [person:jack m 1-1]
jack| Do you know my friends karan and Ben| [person:brandon m 1-1][person:jack m 3-3][person:jack_s_friends g() 4-4][person:karan m 5-5][person:ben m 7-7]
brandon| I don t know about them What is the matter| [person:brandon m 0-0][person:jack_s_friends g(karan:ben) 5-5]
jack| They are visiting San Francisco this weekend| [person:jack_s_friends g(karan:ben) 0-0][location:san_francisco s 3-4]
brandon| Nice|
jack| Are you free this weekend| [person:brandon m 1-1]
brandon| Yes I am free this weekend I will take care of them| [person:brandon m 1-1][person:brandon m 6-6][person:jack_s_friends g(karan:ben) 11-11]
jack| Nice They are new to San Francisco| [person:jack_s_friends g(karan:ben) 1-1][location:san_francisco s 5-6]
brandon| Oh Ok|
jack| They are interested in natural places| [person:jack_s_friends g(karan:ben) 0-0][location:places g() 5-5]
brandon| Ok I will take care of them you don t worry| [person:brandon m 1-1][person:jack_s_friends g(karan:ben) 6-6][person:jack m 7-7]
jack| Thank you| [person:brandon m 1-1]
brandon| You just inform them this| [person:jack m 0-0][person:jack_s_friends g(karan:ben) 3-3]
jack| Ok I will| [person:jack m 1-1]
brandon| They will be happy if they known this| [person:jack_s_friends g(karan:ben) 0-0][person:jack_s_friends g(karan:ben) 5-5]

conv:people_2019090101_137:aug_0:chat_0:chataug_0| dwayne jeffrey| [person:dwayne m 0-0][person:jeffrey m 1-1]
jeffrey| I m so excited Wilson and Richard said they would join me for the Europe trip| [person:jeffrey m 0-0][person:wilson m 4-4][person:richard m 6-6][person:they g(wilson:richard) 8-8][person:jeffrey m 11-11][location:europe s 14-14][location:europe s 15-15]
dwayne| That s great I m so jealous you re going to Europe| [person:dwayne m 3-3][person:jeffrey m 7-7][location:europe s 11-11]
jeffrey| Why don t you join us The more the merrier| [person:dwayne m 3-3][person:us g(jeffrey:wilson:richard) 5-5]
dwayne| Oh I don t know I don t really know Wilson and Richard that well| [person:dwayne m 1-1][person:dwayne m 5-5][person:wilson m 10-10][person:richard m 12-12]
jeffrey| They re so much fun Plus Richard speaks French so that will really help us get around eaiser| [person:they g(wilson:richard) 0-0][person:richard m 6-6][person:us g(jeffrey:wilson:richard) 14-14]
dwayne| That would be helpful I did just get my passport last year I d love to use it| [person:dwayne m 4-4][person:dwayne m 8-8][person:dwayne m 12-12]
jeffrey| This trip will get you a lot of stamps in that book Does this mean you re in| [location:europe s 1-1][person:dwayne m 4-4][person:dwayne m 15-15]
dwayne| OK you talked me into it| [person:jeffrey m 1-1][person:dwayne m 3-3][location:europe s 5-5]
jeffrey| Delightful I will let the other neighbors know We re going to have a blast| [person:jeffrey m 1-1][person:neighbors g() 6-6][person:we g(jeffrey:dwayne:wilson:richard) 8-8]
dwayne| I m really looking forward to it| [person:dwayne m 0-0][location:europe s 6-6]

conv:people_2019090101_138:aug_0:chat_0:chataug_0| rachel sherrie| [person:rachel f 0-0][person:sherrie f 1-1]
sherrie| Hey Rach what would be a good time to reschedule the Clarks dinner|
rachel| let me check my calendar| [person:rachel f 1-1][person:rachel f 3-3]
sherrie| ok please do|
rachel| how about saturday 7 pm|
sherrie| sounds good to me| [person:sherrie f 3-3]
rachel| can you convey the same to the clarks| [person:sherrie f 1-1]
sherrie| Sure i will do that| [person:sherrie f 1-1]
rachel| ok good I will make the reservation| [person:rachel f 2-2]
sherrie| thats great so see you on saturday| [person:rachel f 4-4]
rachel| Sure bye|
sherrie| bye|
rachel| I forgot which restaurant should i book| [person:rachel f 0-0][location:restaurant s 3-3][person:rachel f 5-5]
sherrie| Book the Applebees thats good| [location:restaurant s 2-2]
rachel| ok|

conv:people_2019090101_139:aug_0:chat_0:chataug_0| janet samantha| [person:janet f 0-0][person:samantha f 1-1]
samantha| Hi Good noon How are you| [person:janet f 5-5]
janet| I am good How about you| [person:janet f 0-0][person:samantha f 5-5]
samantha| I am not too bad| [person:samantha f 0-0]
janet| when will go Boston what time from where we can go| [location:boston s 3-3][person:we g(samantha:janet) 8-8]
samantha| All are don t want to drive far so please choose some common point which is easy for all|
janet| Yeah we will discuss together and decide| [person:we g(samantha:janet) 1-1]
samantha| Yes that would be great idea|
janet| As per discussion we decided the common place which is fine for all| [person:we g(samantha:janet) 3-3][location:place s 7-7]
samantha| we can start the journey from there now| [person:we g(samantha:janet) 0-0][location:place s 6-6]
janet| Yep sure|
samantha| cheers have a nice day|
janet| Bye now|

conv:people_2019090101_140:aug_0:chat_0:chataug_0| elizabeth kathryn| [person:elizabeth f 0-0][person:kathryn f 1-1]
elizabeth| Are you excited about the road trip| [person:kathryn f 1-1][location:road s 5-5][location:road s 6-6]
kathryn| Yes i am super excited| [person:kathryn f 1-1]
elizabeth| I think we should start planning on what each everyone of us should bring Don t you think| [person:elizabeth f 0-0][person:we g(elizabeth:kathryn) 2-2][person:everyone g(elizabeth:kathryn) 9-9][person:us g(elizabeth:kathryn) 11-11][person:kathryn f 16-16]
kathryn| Yes thats a good idea|
elizabeth| Since Rebecca and i loves to cook maybe we should go get some BBQ items| [person:rebecca f 1-1][person:elizabeth f 3-3][person:we g(elizabeth:kathryn) 8-8]
kathryn| yea that would be a good idea|
elizabeth| I think you and Martha can go shop for drinks and sneaks| [person:elizabeth f 0-0][person:kathryn f 2-2][person:martha f 4-4]
kathryn| Oh yea definitely we love shopping for drinks and sneaks| [person:we g(elizabeth:rebecca:martha) 3-3]
elizabeth| ok and we will ask Roger to get some BBQ supplies since is has more knowledge about it| [person:we g(kathryn:rebecca:martha) 2-2][person:roger m 5-5][location:road s 17-17]
kathryn| that sounds like a plan|
elizabeth| ok perfect i tell everyone our plan| [person:elizabeth f 2-2][person:everyone g(elizabeth:kathryn:rebecca:martha:roger) 4-4][person:our g(elizabeth:kathryn) 5-5]

conv:people_2019090101_143:aug_0:chat_0:chataug_0| jon thomas| [person:jon m 0-0][person:thomas m 1-1]
thomas| Hi You almost ready for lunch| [person:thomas m 1-1][location:lunch s 5-5]
jon| I sure am would it be alright with you if I invite Tony and Albert along| [person:thomas m 0-0][person:thomas m 8-8][person:thomas m 10-10][person:thomas m 12-12][person:thomas m 14-14]
thomas| Sure but we are going to Marcel s and Albert mostly only eats at steak houses Should we only invite Tony| [person:jon m 2-2][person:thomas m 9-9][person:thomas m 17-17][person:thomas m 20-20]
jon| Hmm maybe we could change the restaurant| [person:jon m 2-2][location:restaurant s 6-6]
thomas| They will charge a cancellation fee on the reservation| [person:jon m 0-0][location:marcel_s s 8-8]
jon| Well I think Albert can find something on the menu at Marcel s| [person:jon m 1-1][person:jon m 3-3]
thomas| Yeah they serve a dish similar to steak let s invite them both| [person:thomas m 1-1][person:thomas m 11-11]
jon| I m looking at the menu and I found something I think each of them might order| [person:thomas m 0-0][person:thomas m 7-7][person:thomas m 10-10][person:jon m 14-14]
thomas| I ll call Albert can you call Tony| [person:jon m 0-0][person:jon m 3-3][person:jon m 5-5][person:jon m 7-7]
jon| Sure I ll go call him now See you| [person:jon m 1-1][person:jon m 5-5][person:jon m 8-8]

conv:people_2019090101_144:aug_0:chat_0:chataug_0| ann gerald| [person:ann f 0-0][person:gerald m 1-1]
gerald| Ann I think we should start planning our movie night| [person:ann f 0-0][person:gerald m 1-1][person:we g(gerald:ann) 3-3][person:our g(gerald:ann) 7-7]
ann| Yes i agree| [person:ann f 1-1]
gerald| Do you have any idea what Andrea Ellen Bryan and Garry likes for snacks and soda| [person:ann f 1-1][person:andrea f 6-6][person:ellen f 7-7][person:bryan m 8-8][person:garry m 10-10]
ann| I know that Andrea and Ellen loves Asian snacks and soda and Bryan and Garry likes American snacks and soda| [person:ann f 0-0][person:andrea f 3-3][person:ellen f 5-5][person:bryan m 12-12][person:garry m 14-14][location:american s 16-16]
gerald| Ok that make sense Since Andrea and Ellen are both from Asia| [person:andrea f 5-5][person:ellen f 7-7][location:asia s 11-11]
ann| Yes i agree| [person:ann f 1-1]
gerald| Since the Asian market is closer to my work maybe i should stop by the Asian store and grab some Asian snacks and soda| [person:gerald m 7-7][person:gerald m 10-10]
ann| Ok that works fine and i will go to the American store to grab some American snack and soda| [person:ann f 5-5][location:american s 10-10][location:american s 15-15]
gerald| ok that sounds like a plan|
ann| Perfect i will see you at home tonight| [person:ann f 1-1][person:gerald m 4-4][location:home s 6-6]
gerald| Yes i will see you home| [person:gerald m 1-1][person:ann f 4-4][location:home s 5-5]
ann| Drive safe ok|
gerald| Yes i will you too| [person:gerald m 1-1][person:ann f 3-3]

conv:people_2019090101_145:aug_0:chat_0:chataug_0| matt rusell| [person:matt m 0-0][person:rusell m 1-1]
matt| Hey Rusell are you all ready to visit the Parkers later| [person:rusell m 1-1][person:rusell m 3-3][person:parker m 9-9]
rusell| To be honest not really I don t know what to expect for their show| [person:rusell m 5-5][person:parker m 13-13]
matt| I think it s gonna be pretty casual but I feel like we should bring something right| [person:matt m 0-0][person:matt m 9-9][person:we g(matt:rusell) 12-12]
rusell| Yeah I feel like we should but I don t know what they like| [person:rusell m 1-1][person:we g(matt:rusell) 4-4][person:rusell m 7-7][person:parker m 12-12]
matt| I know that Jeremy knows the Parkers much better I ll ask him| [person:matt m 0-0][person:jeremy m 3-3][person:parker m 6-6][person:matt m 9-9][person:jeremy m 12-12]
rusell| Perfect let me know what he thinks| [person:rusell m 2-2][person:jeremy m 5-5]
matt| He just got back to me he says they would enjoy a bottle of wine| [person:jeremy m 0-0][person:matt m 5-5][person:jeremy m 6-6][person:they g(parker:jeremy) 8-8]
rusell| OK I ll make sure to pick up a bottle and I ll just say it s from both of us| [person:rusell m 1-1][person:rusell m 11-11][person:we g(matt:rusell) 20-20]
matt| OK I ll pay you half when we see each other See you there| [person:matt m 1-1][person:rusell m 4-4][person:we g(matt:rusell) 7-7][person:rusell m 12-12][location:parkers s 13-13]
rusell| Sure thing can t wait to watch the show|

conv:people_2019090101_146:aug_0:chat_0:chataug_0| malcolm philip| [person:malcolm m 0-0][person:philip m 1-1]
philip| Good afternoon Malcom Are you excited about the dance class| [person:malcolm m 4-4]
malcolm| Hey Phillip I am excited It s starts Friday right| [person:philip m 1-1][person:malcolm m 2-2][location:dance_class s 5-5]
philip| It does begin Friday and lasts 4 weeks| [location:dance_class s 0-0]
malcolm| This should be a lot of fun especially since Frank ron and Thomas are also taking the class| [person:frank m 9-9][person:ron m 10-10][person:thomas m 12-12]
philip| Do we need to bring anything for class| [person:we g(philip:malcolm) 1-1]
malcolm| Well you will need your dance shoes Besides that we shold bring a gift for our instructor and some chairs and refreshments| [person:philip m 1-1][person:philip m 4-4][person:we g(philip:malcolm) 9-9][person:we g(philip:malcolm) 15-15]
philip| I will pick up the gift How about you bring the chairs| [person:philip m 0-0][person:malcolm m 8-8]
malcolm| Perfect I can ask Ron to bring refrehments| [person:malcolm m 1-1][person:ron m 4-4]
philip| Okay I will call Ron and Thomas and ask them to bring some food to snack on See you Friday| [person:philip m 1-1][person:ron m 4-4][person:thomas m 6-6][person:them g(ron:thomas) 9-9][person:malcolm m 18-18]
malcolm| See you Friday Make sure you come about 15 minutes early to set everything up Bye| [person:philip m 1-1][person:philip m 5-5]

conv:people_2019090101_149:aug_0:chat_0:chataug_0| april rachel| [person:april f 0-0][person:rachel f 1-1]
rachel| hai april whether you remember that we both are going to Johnson s place for barabecue| [person:april f 1-1][person:april f 3-3][person:we g(rachel:april) 6-6][person:johnson u 11-11][location:place s 13-13]
april| Yes Rachel i didn t forgot it whether you have any idea to get things for Tony jean and their son sean| [person:rachel f 1-1][person:april f 2-2][person:rachel f 8-8][person:tony m 16-16][person:jean f 17-17][person:their g(tony:jean) 19-19][person:sean m 21-21]
rachel| yes april i am also thinking about it what is your idea| [person:april f 1-1][person:rachel f 2-2][person:april f 10-10]
april| i prefer to buy some chocolates for sean and some fruits and flowers for Tony and Jean| [person:april f 0-0][person:sean m 7-7][person:tony m 14-14][person:jean f 16-16]
rachel| ok april i will get some snacks and toys for Sean whether any other thing we need to buy| [person:april f 1-1][person:rachel f 2-2][person:sean m 10-10][person:we g(rachel:april) 15-15]
april| no Rachel its enough we should go to their place at correct time| [person:rachel f 1-1][person:we g(rachel:april) 4-4][person:their g(tony:jean) 8-8][location:place s 9-9]
rachel| What dress you are planning to wear| [person:april f 2-2]
april| Mostly i prefer jeans and black tshirt it will suits me very much| [person:april f 1-1][person:april f 10-10]
rachel| ok then i also come in jeans and tshirt but in different colour| [person:rachel f 2-2]
april| ok rachel get some bouquet for jean because she like it most| [person:rachel f 1-1][person:jean f 6-6][person:jean f 8-8]
rachel| ok april sure bye for now| [person:april f 1-1]

conv:people_2019090101_150:aug_0:chat_0:chataug_0| jordan meredith| [person:jordan m 0-0][person:meredith f 1-1]
meredith| Our friends Alexis and Kathryn are visiting us today| [person:our g(meredith:jordan) 0-0][person:friends g(meredith:jordan) 1-1][person:alexis f 2-2][person:kathryn f 4-4][person:us g(meredith:jordan:alexis:kathryn) 7-7]
jordan| Yes we all should enjoy together| [person:we g(meredith:jordan) 1-1]
meredith| We have to list out the things for the get together| [person:we g(meredith:jordan) 0-0]
jordan| I think we will take their likings also before deciding anything| [person:jordan m 0-0][person:we g(meredith:jordan) 2-2][person:their g(alexis:kathryn) 5-5]
meredith| That will be good as we all can enjoy| [person:we g(meredith:jordan) 5-5]
jordan| Let me ask them what time they are coming here| [person:jordan m 1-1][person:them g(alexis:kathryn) 3-3][person:they g(alexis:kathryn) 6-6][location:here s 9-9]
meredith| May be we get time to go for a movie together before food| [person:we g(meredith:jordan) 2-2]
jordan| That is a great idea as i have also not watched a movie for a long time| [person:jordan m 6-6]
meredith| If it is okay for them let us suggest a fast food restaurant which is near to our location| [person:them g(alexis:kathryn) 5-5][person:us g(meredith:jordan:alexis:kathryn) 7-7][location:restaurant s 12-12][person:our g(meredith:jordan) 17-17]
jordan| Fine So everything is fixed and waiting for the blast|

conv:people_2019090101_151:aug_0:chat_0:chataug_0| katherine linda| [person:katherine f 0-0][person:linda f 1-1]
katherine| Hi Linda remember that we were planning a trip| [person:linda f 1-1][person:linda___katherine g(katherine:linda) 4-4][location:trip s 8-8]
linda| Oh yeah almost forgot about it When will we be having the trip| [location:trip s 5-5][person:linda___katherine g(katherine:linda) 8-8][location:trip g() 12-12]
katherine| How can you forget about it Our Independence day trip do you remember| [person:linda f 2-2][location:trip s 5-5][person:linda___katherine g(katherine:linda) 6-6][location:trip s 9-9][person:linda f 11-11]
linda| Yes yes I was just messing with you| [person:linda f 2-2][person:linda f 7-7]
katherine| Do you think we should invite Anna and Pam over| [person:linda f 1-1][person:linda___katherine g(katherine:linda) 3-3][person:anna f 6-6][person:pam f 8-8]
linda| Yes they are a cheerful bunch Let s invite Gloria over too she is fun to hang out with| [person:they g(anna:pam) 1-1][person:gloria f 9-9][person:gloria f 12-12]
katherine| Sure let s do that Where should we go then I think rockclimbing sounds like a good option for all of us| [person:linda___katherine g(katherine:linda) 7-7][person:katherine f 10-10][person:linda___katherine g(katherine:linda) 21-21]
linda| That sounds great to me I recall Gloria loved rock climbing and Anna wanted to do some sports for quite a while now| [person:linda f 4-4][person:linda f 5-5][person:gloria f 7-7][person:anna f 12-12]
katherine| Sure then I ll see all of you soon Love you| [person:katherine f 2-2][person:linda f 7-7][person:linda f 10-10]
linda| See you too I can t wait for the trip with you guys| [person:katherine f 1-1][person:linda f 3-3][location:trip s 9-9][person:katherine f 11-11]

conv:people_2019090101_152:aug_0:chat_0:chataug_0| arthur harry| [person:arthur m 0-0][person:harry m 1-1]
harry| Hi are we still on for dinner tomorrow night| [person:we g(harry:arthur) 2-2][location:dinner s 6-6]
arthur| Yeah should we ask Henry and Brian if they want to come I know Henry loves Italian| [person:we g(harry:arthur) 2-2][person:henry m 4-4][person:brian m 6-6][person:they g(henry:brian) 8-8][person:arthur m 12-12][person:henry m 14-14]
harry| Yeah but Brian never wants to eat anything but burgers I really want Italian| [person:brian m 2-2][person:harry m 10-10]
arthur| We could ask them and make sure BRian knows we re doing Italian and not changing our minds even if he whines| [person:we g(harry:arthur) 0-0][person:they g(henry:brian) 3-3][person:brian m 7-7][person:we g(harry:arthur) 9-9][person:we g(harry:arthur) 16-16][person:brian m 20-20]
harry| That s fine with me Maybe they can make him an Italian hamburger| [person:harry m 4-4][person:brian m 9-9]
arthur| Or they can make him a pizza or calzone filled with ground meat| [person:brian m 4-4]
harry| LOL Maybe I m not being fair maybe he ll feel like Italian too| [person:harry m 2-2][person:brian m 8-8]
arthur| Whatever as long as he doesn t go into one of his 30 minute arguments after we re all in the car Italian it is| [person:brian m 4-4][person:brian m 11-11][person:we g(harry:arthur:henry:brian) 16-16][location:dinner s 23-23]
harry| Maybe we can tell him to meet us there then it ll be too late for him to gripe about it| [person:we g(harry:arthur) 1-1][person:brian m 4-4][person:we g(harry:arthur) 7-7][location:dinner s 8-8][person:brian m 16-16][location:dinner s 20-20]
arthur| Or we could just invite Henry and wait till we all feel like burgers before we bring Brian along| [person:we g(harry:arthur) 1-1][person:henry m 5-5][person:we g(harry:arthur) 9-9][person:we g(harry:arthur) 15-15][person:brian m 17-17]
harry| Nah let s just invite him and tell him it s not open for argument| [person:brian m 5-5][person:brian m 8-8][location:dinner s 9-9]
arthur| Works for me Let me know what they say| [person:arthur m 2-2][person:arthur m 4-4][person:they g(henry:brian) 7-7]

conv:people_2019090101_154:aug_0:chat_0:chataug_0| matthew rodger| [person:matthew m 0-0][person:rodger m 1-1]
rodger| Hey Matthew have any plans for the weekend| [person:matthew m 1-1]
matthew| I don t have anything set up why| [person:matthew m 0-0]
rodger| I ll be holding a poker night You want to come| [person:rodger m 0-0][person:matthew m 7-7]
matthew| That sounds cool My friends Marilyn and Ben will be around this weekend We were talking about doing something| [person:matthew m 3-3][person:friends g() 4-4][person:marilyn f 5-5][person:ben m 7-7][person:we g(matthew:marilyn:ben) 13-13]
rodger| They re invited too| [person:friends g(marilyn:ben) 0-0]
matthew| I know Ben s schedule is empty And he loves poker| [person:matthew m 0-0][person:ben m 2-2][person:ben m 8-8]
rodger| What about you and Marilyn| [person:matthew m 2-2][person:marilyn f 4-4]
matthew| I can do Saturday night Marilyn can maybe do Saturday night too| [person:matthew m 0-0][person:marilyn f 5-5]
rodger| I was thinking Sunday afternoon during the game But Saturday night is cool too| [person:rodger m 0-0]
matthew| I think Saturday night would be best for me and Marilyn| [person:matthew m 0-0][person:matthew m 8-8][person:marilyn f 10-10]
rodger| Okay Saturday it is I look forward to seeing you all| [location:it s 2-2][person:rodger m 4-4][person:we g(matthew:marilyn:ben) 9-9]
matthew| Yeah it s a plan| [location:it s 1-1]

conv:people_2019090101_155:aug_0:chat_0:chataug_0| amanda margaret| [person:amanda f 0-0][person:margaret f 1-1]
margaret| Hi Amanda I have a big favor to ask Are you busy| [person:amanda f 1-1][person:margaret f 2-2][person:amanda f 10-10]
amanda| Not too busy Just making lasagna for dinner|
margaret| I needed to ask you a big favor Remember my old roommates Harold and Ryan| [person:margaret f 0-0][person:amanda f 4-4][person:margaret f 9-9][person:harold m 12-12][person:ryan m 14-14]
amanda| Sure I remember Ryan but I don t think I ever met Harold We just talked on the phone a few times| [person:amanda f 1-1][person:ryan m 3-3][person:amanda f 5-5][person:amanda f 9-9][person:harold m 12-12][person:we g(amanda:harold) 13-13]
margaret| Yeah that s right That s when you were traveling so much You were always out of town| [person:amanda f 7-7][person:amanda f 12-12][location:town s 17-17]
amanda| I m glad I don t have to travel so much now What about them| [person:amanda f 0-0][person:amanda f 3-3][person:them g(harold:ryan) 14-14]
margaret| They are coming back in town for about 4 days We were going to hang out but I have to work a couple of days| [person:them g(harold:ryan) 0-0][location:town s 5-5][person:we g(margaret:harold:ryan) 10-10][person:margaret f 17-17]
amanda| And you want me to hang out with them| [person:margaret f 1-1][person:amanda f 3-3][person:them g(harold:ryan) 8-8]
margaret| How did you guess I guess you know me too well| [person:amanda f 2-2][person:margaret f 4-4][person:amanda f 6-6][person:margaret f 8-8]
amanda| I know you want your friends to have a good time Of course I ll be able to help What kinds of things do they like| [person:amanda f 0-0][person:margaret f 2-2][person:margaret f 4-4][person:them g(harold:ryan) 5-5][person:amanda f 13-13][person:them g(harold:ryan) 24-24]
margaret| That s the tough part Ryan is really into sports and Harold would rather die than go to a game He s really into arts and theater| [person:ryan m 5-5][person:harold m 11-11][person:harold m 20-20]
amanda| Do you think Harold would mind if Ryan and I went to the game We could all eat lunch downtown and then Harold could go to the Fine Arts museum while Ryan and I see the game| [person:margaret f 1-1][person:harold m 3-3][person:ryan m 7-7][person:amanda f 9-9][person:we g(amanda:harold:ryan) 14-14][person:harold m 22-22][person:ryan m 31-31]
margaret| I actually think that would work for them but I will double check The park is right there too Harold could drink a beer and listen to the jazz| [person:margaret f 0-0][person:them g(harold:ryan) 7-7][person:margaret f 9-9][location:park s 14-14][location:there u 17-17][person:harold m 19-19]
