conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
rick| they ve been dying to go for a while since we last went| [person:they g(kelly:kyle) 0-0][person:rick__sylvia g(rick:sylvia) 10-10]
sylvia| Yes|
sylvia| let s go Saturday|
sylvia| Kyle loved seeing the Gorilla| [person:kyle m 0-0]
rick| and Kelly loved the dolphins| [person:kelly f 1-1]
sylvia| I have a few offices that I have to clean on Sunday| [person:sylvia f 0-0][location:offices g() 4-4][person:sylvia f 6-6]
sylvia| So saturday is a must|
sylvia| I will let them know when I get home| [person:sylvia f 0-0][person:they g(kelly:kyle) 3-3][person:sylvia f 6-6][location:home s 8-8]
rick| Wonderful|

conv:people_chats_0629_421:aug_0:chat_0:chataug_0| rafael ted| [person:rafael m 0-0][person:ted m 1-1]
rafael| Hey ted I m so sorry but I m running late| [person:ted m 1-1][person:rafael m 2-2][person:rafael m 7-7]
ted| That s ok Rafael Is everything ok| [person:rafael m 3-3]
rafael| Yes I just lost time at Ross and Isabel s house| [person:rafael m 1-1][person:ross m 6-6][person:isabel f 8-8]
ted| How are Ross and Isabella| [person:ross m 2-2][person:isabel f 4-4]
rafael| They are good They got a new pool and hot tub I can tell you all about it When I get to your house It should be 630| [person:they g(ross:isabel) 0-0][person:they g(ross:isabel) 3-3][person:rafael m 11-11][person:ted m 14-14][person:rafael m 19-19][person:ted m 22-22]
ted| That sounds good to me| [person:ted m 4-4]
rafael| They also invited me over next weekend to try them out| [person:they g(ross:isabel) 0-0][person:rafael m 3-3][person:they g(ross:isabel) 9-9]
ted| That s awesome I hope I get invited too| [person:ted m 3-3][person:ted m 5-5]
rafael| I m sure they would be glad to have you| [person:rafael m 0-0][person:they g(ross:isabel) 3-3][person:ted m 9-9]
ted| I think it would be fun| [person:ted m 0-0]
rafael| Definitely See you soon| [person:ted m 2-2]
ted| Ok Drive safe and see you soon| [person:rafael m 5-5]

conv:people_chats_0629_422:aug_0:chat_0:chataug_0| costa jonnel| [person:costa m 0-0][person:jonnel f 1-1]
jonnel| Hey I need your help| [person:jonnel f 1-1][person:costa m 3-3]
costa| What s up|
jonnel| Can you scan the backlog of tax returns| [person:costa m 1-1]
jonnel| I m swamped with bookkeeping clients right now| [person:jonnel f 0-0][person:clients g() 5-5]
costa| I can ask if either Diana or Forest can help| [person:costa m 0-0][person:diana f 5-5][person:forest m 7-7]
costa| They should have time to help| [person:they g(diana:forest) 0-0]
costa| Do you know how much time it will take| [person:jonnel f 1-1]
jonnel| Aren t they just working on reports It would be nice to get this off my plate| [person:they g(diana:forest) 2-2][person:jonnel f 15-15]
costa| Yes they should have time to scan You should ask them soon| [person:they g(diana:forest) 1-1][person:jonnel f 7-7][person:they g(diana:forest) 10-10]
jonnel| Ok ill reach out to them and see if they can take anything off my plate| [person:they g(diana:forest) 5-5][person:they g(diana:forest) 9-9][person:jonnel f 14-14]
jonnel| thanks|

conv:people_chats_0629_423:aug_0:chat_0:chataug_0| frances keith| [person:frances f 0-0][person:keith m 1-1]
frances| Hey what are you planning on making for our dinner tonight| [person:keith m 3-3][person:our g(frances:keith) 8-8]
keith| Honestly I m stuck between finally trying my Uncle Jack s boiled crayfish recipe or deepfrying the copious amounts of toilet paper that s in the patry| [person:keith m 1-1][person:keith m 7-7][person:jack m 9-9]
frances| Okay well first of all your Uncle Tom s crayfish recipe sounds amazing| [person:keith m 5-5][person:tom m 7-7]
frances| Although I do have some concerns about the crayfish being from China since most of the local crayfish is from China| [person:frances f 1-1][location:china s 11-11][location:china s 20-20]
frances| Secondly don t get all upset about all the toilet paper You know I ve already used some of that to trade for two full bottles of hand sanitizer| [person:keith m 11-11][person:frances f 13-13]
keith| Okay but would you really call that a good deal if hoarders like you and your sister Jill| [person:frances f 3-3][person:frances f 13-13][person:frances f 15-15][person:jill f 16-16][person:jill f 17-17]
keith| After all it s because of hoarding that they re in such short supply to start with|
frances| Okay Jill is hardly a hoarder She still has plenty of room in her garage that she can still drive her car into it| [person:jill f 1-1][person:jill f 6-6][person:jill f 13-13][person:jill f 16-16][person:jill f 20-20]
keith| You sure she hasn t taken up all that space with packs of toilet paper| [person:frances f 0-0][person:jill f 2-2]
frances| She doesn t She also doesn t use her collected pile of supplies to partially cover herself as she sleeps in the midst of her possessions like some dragon| [person:jill f 0-0][person:jill f 3-3][person:jill f 8-8][person:jill f 16-16][person:jill f 18-18][person:jill f 24-24]
frances| believe it or not|
keith| ooooh so is THAT why you didn t come to sleep in the room last night| [person:frances f 5-5]

conv:people_chats_0629_428:aug_0:chat_0:chataug_0| diego don| [person:diego m 0-0][person:don m 1-1]
diego| hello|
don| hi|
diego| are we still rehearsing tomorrow night at my place| [person:we g(diego:don) 1-1][person:diego m 7-7][location:place s 8-8]
don| yes we are| [person:we g(diego:don) 1-1]
don| but we may have to change the time to 7pm| [person:we g(diego:don) 1-1]
don| Andrea and Skye would need a ride so i have to pick them up| [person:andrea f 0-0][person:skye f 2-2][person:don m 8-8][person:they g(andrea:skye) 12-12]
diego| oh Great|
don| i forgot they are without a car| [person:don m 0-0][person:they g(andrea:skye) 2-2]
diego| please pick them up if that would help|
diego| so we meet at 7| [person:we g(diego:don) 1-1]
diego| great time|
don| sure 7 it is|
don| see you then| [person:diego m 1-1]
don| ya see you at that time| [person:diego m 2-2]

conv:people_chats_0629_430:aug_0:chat_0:chataug_0| niz raymond| [person:niz f 0-0][person:raymond m 1-1]
raymond| I am complaining about messages left on my friend Sansa s video| [person:raymond m 0-0][person:raymond m 7-7][person:sansa f 8-8][person:sansa f 9-9]
niz| What s the problem|
raymond| Someone left approximately thirty seven negative comments on the video| [person:someone u 0-0]
raymond| What did they say| [person:someone u 2-2]
niz| Yeah what did they say| [person:someone u 3-3]
raymond| Only for her to show her feet| [person:sansa f 2-2][person:sansa f 5-5]
raymond| Step on various small animals|
niz| You should tell her to block the account| [person:raymond m 0-0][person:sansa f 3-3]
raymond| I want her to use backward information to file a police report| [person:raymond m 0-0][person:sansa f 2-2]
niz| I don t think you can do that for such a minor offense| [person:niz f 0-0][person:raymond m 4-4]
raymond| I think we can we did that about my brother s death threats he was having| [person:raymond m 0-0][person:we g(raymond:niz) 2-2][person:we g(raymond) 4-4][person:raymond m 8-8][person:brother m 9-9][person:brother m 13-13]
niz| Death threats are not regular demoting comments|
raymond| Are you implying something about my intelligence| [person:niz f 1-1][person:raymond m 5-5]

conv:people_chats_0629_431:aug_0:chat_0:chataug_0| ernie jessy| [person:ernie m 0-0][person:jessy f 1-1]
jessy| I m shopping for a birthday gift for Heidi| [person:jessy f 0-0][person:heidi f 8-8]
ernie| What are you thinking of getting her| [person:jessy f 2-2][person:heidi f 6-6]
jessy| I don t know she s an animal lover| [person:jessy f 0-0][person:heidi f 4-4]
ernie| Why don t you think about the zoo| [person:jessy f 3-3][location:zoo s 7-7]
jessy| The San Diego Zoo would be great| [location:san_diego s 1-2]
ernie| I can text you Grant s phone number he s the head trainer| [person:ernie m 0-0][person:jessy f 3-3][person:grant m 4-4][person:grant m 8-8]
jessy| Would you that would be great| [person:ernie m 1-1]
ernie| Certainly it is 5555551221|
jessy| Great I will contact him now| [person:jessy f 1-1][person:grant m 4-4]
ernie| Great am I invited to| [person:ernie m 2-2]
jessy| Of course only if you want to be| [person:ernie m 4-4]
ernie| I do| [person:ernie m 0-0]

conv:people_chats_0629_432:aug_0:chat_0:chataug_0| anil anita| [person:anil m 0-0][person:anita f 1-1]
anita| Hey Anil| [person:anil m 1-1]
anil| Yes Anita What is up| [person:anita f 1-1]
anita| Have you asked for the playhouse in the neighborhood Facebook Buy Nothing group yet| [person:anil m 1-1]
anil| Not yet I do believe our children would enjoy playing on it| [person:anil m 2-2][person:our g(anita:anil) 5-5]
anil| Florrie and Haiden| [person:florrie f 0-0][person:haiden m 2-2]
anita| That is right they are at the age where they can climb and swing on it| [person:they g(florrie:haiden) 3-3][person:they g(florrie:haiden) 9-9]
anil| I have asked about it but I haven t heard anything about it yet| [person:anil m 0-0][person:anil m 6-6]
anita| I am just worried that someone else has picked it up| [person:anita f 0-0]
anil| I can understand that much I will let you know if I hear back for it| [person:anil m 0-0][person:anil m 5-5][person:anita f 8-8][person:anil m 11-11]
anita| You are the best husband and father to our children| [person:anil m 0-0][person:anil m 4-4][person:our g(anita:anil) 8-8]
anil| I try You are a very good mother as well| [person:anil m 0-0][person:anita f 2-2]
anita| Aww thank you Also thank you for letting me know| [person:anil m 2-2][person:anil m 5-5][person:anita f 8-8]

conv:people_chats_0629_433:aug_0:chat_0:chataug_0| caleb harriet| [person:caleb m 0-0][person:harriet f 1-1]
caleb| Harriet on the downlow need to ask you something Do you have any clue how I can get depleted uranium that wouldn t draw attention or get me put on any kind of list| [person:harriet f 0-0][person:harriet f 7-7][person:harriet f 10-10][person:caleb m 15-15][person:caleb m 27-27]
harriet| Hmmm curious and curiouser You ve piqued my interest What pray tell would you be needing that for| [person:caleb m 4-4][person:harriet f 7-7][person:caleb m 13-13]
caleb| Nothing too shady I really want to make my own armorpiercing munitions so that I can make my some videos and put them on the internet you know vids where I am shooting armored watermelons| [person:caleb m 3-3][person:caleb m 8-8][person:caleb m 14-14][person:caleb m 17-17][person:videos u 22-22][person:harriet f 26-26][person:caleb m 30-30]
harriet| Gotcha I approve of your goal Here s what you need to do hit up the local convenience store and ask for DOUG in the Sports Section| [person:harriet f 1-1][person:caleb m 4-4][person:caleb m 9-9][person:doug m 22-22]
caleb| How would Doug be able to help me get illegal and unregistered goods if he works in a convenience store| [person:doug m 2-2][person:caleb m 7-7][person:doug m 14-14]
harriet| Wise up bud Doug s convenience store is only a front| [person:doug m 3-3]
caleb| I m lost Fill in the blanks| [person:caleb m 0-0]
harriet| Listen up the store has a fake dumpster behind it with an elevator in it that leads directly to an underground market where you can buy illegal goods It s run by a woman named Anita| [person:caleb m 23-23][person:anita f 35-35]
caleb| Okay got it Do I really need to know her name though That doesn t make me seem suspicious Like I m a newbie| [person:caleb m 4-4][person:anita f 9-9][person:caleb m 16-16][person:caleb m 20-20]
harriet| No it would be much more shady if you showed up there and DIDN T know the name of the woman running the operation| [person:caleb m 8-8]
caleb| That makes sense So do I need to do anything when I get there| [person:caleb m 5-5][person:caleb m 11-11]
harriet| You mean besides bringing cash to buy the goods| [person:caleb m 0-0]
caleb| Yeah I figured as much But should I flatter her to butter her up or anything before making my purchase| [person:caleb m 1-1][person:caleb m 7-7][person:anita f 9-9][person:anita f 12-12][person:caleb m 18-18]

conv:people_chats_0629_434:aug_0:chat_0:chataug_0| caterina lamar| [person:caterina f 0-0][person:lamar m 1-1]
lamar| Hi I will ask if my cousin will wrap it in a cloth| [person:lamar m 1-1][person:lamar m 5-5][person:cousin u 6-6]
caterina| Well he his going to have to if he wants to come to our wedding| [person:cousin u 1-1][person:cousin u 2-2][person:cousin u 8-8][person:family g() 13-13]
caterina| I m not having our family and friends feel uncomfortable because of him| [person:caterina f 0-0][person:family g() 4-4][person:family g() 5-5][person:friends g() 7-7][person:cousin u 12-12]
lamar| Well Nelly is gonna be crazy anyway and make people feel uncomfortable| [person:nelly f 1-1]
caterina| What do you expect me to do not invite her| [person:lamar m 2-2][person:caterina f 4-4][person:nelly f 9-9]
caterina| If it weren t for her you wouldn t be marrying me Maybe you could show her some respect| [person:nelly f 5-5][person:lamar m 6-6][person:caterina f 11-11][person:lamar m 13-13][person:nelly f 16-16]
lamar| I ll show her respect when she is responsible at a party Is someone going to take care of her I want someone to be assigned to her to keep her in line Then she can come| [person:lamar m 0-0][person:nelly f 3-3][person:nelly f 6-6][person:someone u 13-13][person:nelly f 19-19][person:lamar m 20-20][person:someone u 22-22][person:nelly f 27-27][person:nelly f 30-30]
caterina| Whatever I ll talk to someone about keeping her in line You probably won t even notice her just don t focus on that| [person:caterina f 1-1][person:someone u 5-5][person:nelly f 8-8][person:lamar m 11-11][person:nelly f 17-17]
lamar| Yeah you re probably right anyway Just remember I love you| [person:caterina f 1-1][person:lamar m 8-8][person:caterina f 10-10]
caterina| I love you too| [person:caterina f 0-0][person:lamar m 2-2]
lamar| I miss you and can t wait to marry you| [person:lamar m 0-0][person:caterina f 2-2][person:caterina f 9-9]
caterina| Aw you re so sweet| [person:lamar m 1-1]

conv:people_chats_0629_435:aug_0:chat_0:chataug_0| craig morticia| [person:craig m 0-0][person:morticia f 1-1]
craig| Hi Morticia How are you and Nora during this quarentine| [person:morticia f 1-1][person:morticia f 4-4][person:nora f 6-6]
morticia| We are fine but my mom is a little crazy about it| [person:we g(craig:morticia:nora) 0-0][person:morticia f 4-4][person:mom f 5-5]
craig| Tell me how much toilet paper she bought| [person:craig m 1-1][person:nora f 6-6]
morticia| She dont do that but shes putting tape and wrap on every door and window| [person:nora f 0-0][person:nora f 5-5]
craig| Wow Is that healthy Does your air conditioning still working after that| [person:morticia f 5-5]
morticia| I had to unwrap the external unit three times because she keeps going out and completely enveloping it in cling wrap| [person:morticia f 0-0][person:nora f 10-10]
craig| Why Maxim is not helping you with your mother| [person:maxim f 1-1][person:morticia f 5-5][person:morticia f 7-7]
morticia| Hes trying Craig but hes still working from home and its difficult| [person:craig m 2-2][location:home s 8-8]
craig| If I can do anything for helping you guys please tell me| [person:craig m 1-1][person:morticia f 7-7][person:craig m 11-11]
morticia| Thank you but we need to keep social distancing| [person:craig m 1-1][person:we g(craig:morticia:nora) 3-3]
craig| I know but please count on me if you need to talk or something| [person:craig m 0-0][person:craig m 6-6][person:morticia f 8-8]
morticia| Thank you so much Craig i will let Nora and Maxim knows Have a great night| [person:craig m 1-1][person:craig m 4-4][person:morticia f 5-5][person:nora f 8-8][person:maxim f 10-10]
craig| Same to you| [person:morticia f 2-2]

conv:people_chats_0629_436:aug_0:chat_0:chataug_0| bobert fabrice| [person:bobert m 0-0][person:fabrice f 1-1]
fabrice| hello|
fabrice| i am writing to ask you to come to town with me| [person:fabrice f 0-0][person:bobert m 5-5][location:town s 9-9][person:fabrice f 11-11]
fabrice| will you come to town with me please| [person:bobert m 1-1][location:town s 4-4][person:fabrice f 6-6]
bobert| y|
fabrice| its very important im doing a important petition please coe|
bobert| oh you will die though we will all die fabrice because citizen friendly non lethal blowguns are not nice| [person:fabrice f 1-1][person:we g(fabrice:bobert) 5-5][person:fabrice f 9-9]
bobert| dont u remeber last time u wer abduted| [person:fabrice f 1-1][person:fabrice f 5-5]
fabrice| no i do nt| [person:fabrice f 1-1]
fabrice| i just want to go to thhe all| [person:fabrice f 0-0]
bobert| ok lets do that in the non dystopia world|
fabrice| culod u b more obvious plz| [person:bobert m 1-1]
bobert| what about keenan and phillipssa| [person:keenan m 2-2]
fabrice| idk brometheus|

conv:people_chats_0629_438:aug_0:chat_0:chataug_0| britol ronald| [person:britol f 0-0][person:ronald m 1-1]
britol| will you pick up furniture polish on your way home| [person:ronald m 1-1][person:ronald m 7-7][location:home s 9-9]
britol| i am preparing for the thanksgiving| [person:britol f 0-0]
britol| you know everyone will be there| [person:ronald m 0-0][person:everyone g() 2-2]
britol| Nadia will have something negative to say if she notice dust on the furniture| [person:nadia f 0-0][person:nadia f 8-8]
ronald| but i think i saw furniture polish under the kitchen sink| [person:ronald m 1-1][person:ronald m 3-3][location:kitchen s 9-9]
britol| i gave it to your brother Nathan when Nadia visited him| [person:britol f 0-0][person:ronald m 4-4][person:nathan m 5-5][person:nathan m 6-6][person:nadia f 8-8][person:nathan m 10-10]
ronald| okay|
ronald| so which brand should i get| [person:ronald m 4-4]
ronald| There are lot of brands here|
britol| just get a nice one|
ronald| ok|
ronald| i will do that| [person:ronald m 0-0]

conv:people_chats_0629_442:aug_0:chat_0:chataug_0| deborah kayden| [person:deborah f 0-0][person:kayden m 1-1]
deborah| Hey Kayden how are you making out with the situation in your home| [person:kayden m 1-1][person:kayden m 4-4][person:kayden m 11-11][location:home s 12-12]
kayden| I m good so far but Clifford the dog is not taking it well| [person:kayden m 0-0][person:clifford m 6-6]
deborah| Is it the lack of walking him| [person:clifford m 6-6]
kayden| I think it is a lack of walking him since I have been working from home He keeps looking at me with puppy dog eyes| [person:kayden m 0-0][person:clifford m 8-8][person:kayden m 10-10][location:home s 15-15][person:clifford m 16-16][person:kayden m 20-20]
deborah| Be strong Perhaps you can get him on the treadmill Do you think he has the dexterity to make it work| [person:kayden m 3-3][person:clifford m 6-6][person:kayden m 11-11][person:clifford m 13-13]
kayden| I doubt it very much that he could do it but it would make for a very funny video| [person:kayden m 0-0][person:clifford m 6-6]
deborah| I am warning you that you may not want to post that| [person:deborah f 0-0][person:kayden m 3-3][person:kayden m 5-5]
kayden| Why shouldn t I post a video| [person:kayden m 3-3]
deborah| I will remind you of my mother Betty She will see it She will accuse you of abusing your trusty dog| [person:deborah f 0-0][person:kayden m 3-3][person:deborah f 5-5][person:betty f 7-7][person:betty f 8-8][person:betty f 12-12][person:kayden m 15-15][person:kayden m 18-18]
kayden| It is hardly abuse to let him see or even walk on the treadmill as long as I don t drop him on it| [person:clifford m 6-6][person:kayden m 17-17][person:clifford m 21-21]
deborah| Being a PETA member Mom would never see it that way| [person:betty f 4-4]
kayden| Why would anyone willingly associate with PETA| [person:anyone g() 2-2]

conv:people_chats_0629_443:aug_0:chat_0:chataug_0| deandre sharon| [person:deandre m 0-0][person:sharon f 1-1]
sharon| Hello there|
deandre| Hey Sharon what s up| [person:sharon f 1-1]
sharon| I just wanna ask if you saw a blue car parked at one of our neighbor s driveway| [person:sharon f 0-0][person:deandre m 5-5][person:our g(sharon:deandre) 14-14][person:neighbor g() 15-15]
deandre| Which neighbor you re talking about| [person:neighbor g() 1-1][person:sharon f 2-2]
sharon| Mercedes and Cole| [person:mercedes m 0-0][person:cole m 2-2]
deandre| I saw a blue car but it s not a car I ve seen before| [person:deandre m 0-0][person:deandre m 11-11]
sharon| Who do you think it might be| [person:deandre m 2-2]
deandre| It s probably just a friend talking to them| [person:friend u 5-5][person:them g(mercedes:cole) 8-8]
deandre| You should stop being nosy about what our neighbors are doing| [person:sharon f 0-0][person:our g(sharon:deandre) 7-7][person:neighbor g() 8-8]
sharon| Im sorry but I m just curious about what everyone is doing around here| [person:sharon f 3-3][person:everyone g() 9-9]
sharon| I still wonder who it might be| [person:sharon f 0-0]

conv:people_chats_0629_444:aug_0:chat_0:chataug_0| doug kelly| [person:doug m 0-0][person:kelly f 1-1]
kelly| Hi Doug how was the meeting with the marketing team this morning| [person:doug m 1-1][person:team g() 9-9]
doug| good Sonia feels good about the launch campaign| [person:sonia f 1-1]
kelly| great are they ready|
doug| yes Sonia says the social media channels are ready| [person:sonia f 1-1]
kelly| do we have enough staff for this| [person:we g(kelly:doug:sonia) 1-1]
doug| I think so Steve is hiring three more customer service representatives to help with the increased call volume when the new product launches| [person:doug m 0-0][person:steve m 3-3]
kelly| that s a really good idea that s a lot of new people|
doug| I agree He thinks it may be too many but he wants a smooth launch| [person:doug m 0-0][person:steve m 2-2][person:steve m 10-10]
kelly| sounds like they have it under control this sounds good to me| [person:they g(sonia:steve) 2-2][person:kelly f 11-11]
doug| I agree I think they have a great plan| [person:doug m 0-0][person:doug m 2-2][person:they g(sonia:steve) 4-4]
kelly| do you think we need one more meeting before the official launch| [person:doug m 1-1][person:we g(doug:sonia) 3-3]
doug| yes that s probably a good idea let s meet next week|

conv:people_chats_0629_445:aug_0:chat_0:chataug_0| daina jarvis| [person:daina f 0-0][person:jarvis m 1-1]
jarvis| Hey|
daina| hey jarvis| [person:jarvis m 1-1]
jarvis| What time will you be done with class| [person:daina f 3-3]
daina| We re running a bit late| [person:diana_and_friend g(daina) 0-0]
daina| you can pick me up at 615| [person:jarvis m 0-0][person:daina f 3-3]
jarvis| why are you running late| [person:daina f 2-2]
daina| she started late| [person:daina_s_friend u 0-0]
daina| there is a new student in the dance class today|
jarvis| Ok ill go to Brad s for awhile| [person:brad m 4-4]
jarvis| he wants me to come over and see his new car| [person:brad m 0-0][person:jarvis m 2-2][person:brad m 8-8]
jarvis| he just got it on Monday| [person:brad m 0-0]
daina| Ok My class is done| [person:daina f 1-1]

conv:people_chats_0629_447:aug_0:chat_0:chataug_0| hilda winfred| [person:hilda f 0-0][person:winfred m 1-1]
winfred| Hi Hilda Can you get me a pair of butterfly knives| [person:hilda f 1-1][person:hilda f 3-3][person:winfred m 5-5]
hilda| Why would you want something like that They are pretty silly| [person:winfred m 2-2]
winfred| My cousin Belle and I want to make a blood pact I want to have fancy flippy knives to commemorate the event| [person:winfred m 0-0][person:cousin u 1-1][person:cousin f 2-2][person:winfred m 4-4][person:winfred m 11-11]
hilda| What s so fancy and flippy about them They look like really big Bowie knives|
winfred| You must be thinking of butterfly swords| [person:hilda f 0-0]
hilda| What s the difference|
winfred| Swords are rather large while knives are more small I would much rather prefer the knives They are more portable and more discreet for Belle and I s rituals| [person:winfred m 9-9][person:cousin f 24-24][person:winfred m 26-26]
hilda| I understand now Would you want anything special engraved on the set| [person:hilda f 0-0][person:winfred m 4-4]
winfred| I didn t know you offered that| [person:winfred m 0-0][person:hilda f 4-4]
hilda| I don t technically but my apprentice Kevin who is a blackmarketeer has a super neat engraving machine| [person:hilda f 0-0][person:hilda f 5-5][person:kevin m 7-7]
winfred| Can he do a skull with a legion of tiny snakes spilling out the eye sockets| [person:kevin m 1-1]
hilda| I can ask him However he is only an apprentice so don t get your hopes up| [person:hilda f 0-0][person:kevin m 3-3][person:kevin m 5-5][person:winfred m 14-14]
winfred| I understand If he cannot do my original request can he do the cool S from high school| [person:winfred m 0-0][person:kevin m 3-3][person:winfred m 6-6][person:kevin m 10-10][location:high_school s 16-17]

conv:people_chats_0629_448:aug_0:chat_0:chataug_0| gil ryan| [person:gil f 0-0][person:ryan m 1-1]
gil| Hi Ryan we need to plan for a training to the sales team| [person:ryan m 1-1][person:gil_and_ryan g(gil:ryan) 2-2][person:team g() 12-12]
ryan| Thats an awesome idea can we plan any meeting for today| [person:gil_and_ryan g(gil:ryan) 5-5]
gil| Do you have any sales associate ready for training sessions| [person:ryan m 1-1]
ryan| Yes Bill I do have couple of team members ready| [person:bill m 1-1][person:ryan m 2-2][person:gil_and_ryan g(gil:ryan:bill) 7-7]
gil| Who are they| [person:gil_and_ryan g(gil:ryan:bill) 2-2]
ryan| One is Kelsey and Other is Samuel| [person:kelsey f 2-2][person:samuel m 6-6]
gil| Do you need any more persons| [person:ryan m 1-1]
ryan| I think for a start we can have only these two peoples| [person:ryan m 0-0][person:team g(kelsey:samuel) 5-5]
gil| Among Kelsey and Samuel who seems to be more experience| [person:kelsey f 1-1][person:samuel m 3-3]
ryan| Samuel is the senior but both have a good company to start with| [person:samuel m 0-0]
gil| Ok set up a meeting at their convenient time| [person:team g(kelsey:samuel) 6-6]
ryan| They are out in the field until 3 hence I will schedule at 4| [person:team g(kelsey:samuel) 0-0][person:ryan m 9-9]
gil| Set up the available conference room as well|
ryan| Sure will do|

conv:people_chats_0629_450:aug_0:chat_0:chataug_0| forest monisha| [person:forest m 0-0][person:monisha f 1-1]
monisha| We need to get our family together for the reunion| [person:we g(monisha:forest) 0-0][person:we g(monisha:forest) 4-4][person:family g() 5-5]
monisha| It is this summer|
monisha| In good old Galveston Texas| [location:old_galveston s 2-3][location:texas s 4-4]
monisha| Can you see if your sister Miranda can attend the reunion| [person:forest m 1-1][person:forest m 4-4][person:miranda f 5-5][person:miranda f 6-6]
forest| She travels a lot for work so may actually already have a trip booked| [person:miranda f 0-0]
forest| I am not sure though so will call her to find out| [person:forest m 0-0][person:miranda f 8-8]
monisha| Already spoke to my brother Jason and he confirmed he will attend with the family| [person:monisha f 3-3][person:jason m 4-4][person:jason m 5-5][person:jason m 7-7][person:jason m 9-9][person:family g(miranda:jason) 14-14]
monisha| He is excited to get the family together| [person:jason m 0-0][person:family g(miranda:jason) 6-6]
monisha| He wants to teach them to boogie board| [person:jason m 0-0][person:family g(miranda:jason) 4-4]
forest| Should I book one large beach house or leave it to each family to find lodging| [person:forest m 1-1][location:beach s 5-5][person:family g(miranda:jason) 12-12]
monisha| We will need to figure that out| [person:we g(monisha:forest) 0-0]
forest| Yes let s do that|
forest| Jason and the kids will have so much fun| [person:jason m 0-0][person:kids g() 3-3]

conv:people_chats_0629_452:aug_0:chat_0:chataug_0| akiko devin| [person:akiko f 0-0][person:devin m 1-1]
devin| hi Akiko how are you| [person:akiko f 1-1][person:akiko f 4-4]
akiko| fine thank you Davin| [person:devin m 2-2]
devin| i am thinking of getting the puppy we were talking about for Gavie and Leslie| [person:devin m 0-0][person:we g(devin:akiko) 7-7][person:gavie f 12-12][person:leslie f 14-14]
devin| they have been begging it for long| [person:they g(leslie:gavie) 0-0]
akiko| i think we should surprise them with one in Easter basket| [person:akiko f 0-0][person:we g(devin:akiko) 2-2][person:they g(leslie:gavie) 5-5]
devin| that is a acute idea|
devin| but we wanted to pick out the puppy| [person:we g(devin:akiko) 1-1]
akiko| i am sure they will be happy with any kind at thus point| [person:akiko f 0-0][person:they g(leslie:gavie) 3-3]
akiko| especially Gavin is curious| [person:gavie f 1-1]
devin| yeah i know how anxious he is Leslie asked for it this morning| [person:devin m 1-1][person:gavie m 5-5][person:leslie f 7-7]
akiko| we look forward to making it soon| [person:we g(devin:akiko) 0-0]

conv:people_chats_0629_453:aug_0:chat_0:chataug_0| audrey dira| [person:audrey f 0-0][person:dira f 1-1]
audrey| Dira are you taking Parker and Logan to the circus tomorrow| [person:dira f 0-0][person:dira f 2-2][person:parker m 4-4][person:logan m 6-6]
dira| nope we don t go to those anymore| [person:we g(dira:parker:logan) 1-1]
audrey| what why not|
dira| I read that circuses are cruel and a bad life for the animals| [person:dira f 0-0]
audrey| but the boys want to go ever so badly| [person:boys g(parker:logan) 2-2]
dira| well i won t take them no matter how much they beg to go| [person:dira f 1-1][person:boys g(parker:logan) 5-5][person:boys g(parker:logan) 10-10]
audrey| that seems harsh dira| [person:dira f 3-3]
dira| well I tried to explain to them both but they didn t seem to understand| [person:dira f 1-1][person:boys g(parker:logan) 6-6][person:boys g(parker:logan) 9-9]
audrey| I read all that stuff too Dira| [person:audrey f 0-0][person:dira f 6-6]
dira| so what you still want me to take them| [person:audrey f 2-2][person:dira f 5-5][person:boys g(parker:logan) 8-8]
audrey| well i can t force you| [person:audrey f 1-1][person:dira f 5-5]
dira| damn straight you cant| [person:audrey f 2-2]
audrey| Sigh Well I may just take them myself then Goodnight| [person:audrey f 2-2][person:boys g(parker:logan) 6-6][person:audrey f 7-7]

conv:people_chats_0629_457:aug_0:chat_0:chataug_0| harrison sylvia| [person:harrison m 0-0][person:sylvia f 1-1]
sylvia| Did you leave your phone at my house| [person:harrison m 1-1][person:harrison m 3-3][person:sylvia f 6-6][location:house s 7-7]
harrison| I did not| [person:harrison m 0-0]
harrison| But how did you expect me to respond if I did| [person:sylvia f 3-3][person:harrison m 5-5][person:harrison m 9-9]
sylvia| I meant the antique gemstudded phone that belonged to a sheikh| [person:sylvia f 0-0]
harrison| Can you hold it for me til the end of the day| [person:sylvia f 1-1][person:harrison m 5-5]
sylvia| Why shouldn t I sell it to the boss of the local Triad gang Horatio| [person:sylvia f 3-3][person:horatio m 14-14]
harrison| First of all because you still have some loyalty for old friends and secondly as soon as I knew the phone was in the city I would order his thugs to go pick it up not negotiate a transaction with whatever sap had it| [person:sylvia f 4-4][person:harrison m 17-17][location:city s 24-24][person:harrison m 25-25][person:horatio m 28-28]
sylvia| good point|
sylvia| But my girlfriend Hedi needs a new gaming PC| [person:sylvia f 1-1][person:hedi f 2-2][person:hedi f 3-3]
harrison| She will get one as long as you do not tell anything to Horatio| [person:hedi f 0-0][person:sylvia f 7-7][person:horatio m 13-13]
sylvia| She will be thankful but you have until 9 o clock| [person:hedi f 0-0][person:harrison m 5-5]
harrison| Can I have more time| [person:harrison m 1-1]

