conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
samantha| Hey Valerie Are you busy| [person:valerie f 1-1][person:valerie f 3-3]
valerie| No Samantha I am free What s happened| [person:samantha f 1-1][person:valerie f 2-2]
samantha| I had to tell you a secret actually| [person:samantha f 0-0][person:valerie f 4-4]
valerie| I m all ears Spill the beans| [person:valerie f 0-0]
samantha| I ve been meaning to tell you that I have a crush on Joshua| [person:valerie f 0-0][person:valerie f 6-6][person:samantha f 8-8][person:joshua m 13-13]
valerie| Really I need to tell you something too I have feelings for Francis| [person:valerie f 1-1][person:samantha f 5-5][person:valerie f 8-8][person:francis m 12-12]
samantha| Francis will be the perfect match for you| [person:francis m 0-0][person:valerie f 7-7]
valerie| And you would look very cute with Joshua| [person:samantha f 1-1][person:joshua m 7-7]
samantha| Aren t they the cutest guys at school| [person:they g(joshua:francis) 2-2][location:school s 7-7]
valerie| Yes I agree with you| [person:valerie f 1-1][person:samantha f 4-4]

conv:people_chats_04182020_114:aug_0:chat_0:chataug_0| eva jordan| [person:eva f 0-0][person:jordan m 1-1]
eva| Jordan what do you think which restaurant serves good food for our dinner tonight| [person:jordan m 0-0][person:jordan m 3-3][location:restaurant s 6-6][person:our g(eva:jordan) 11-11]
jordan| I know a great Italian restaurant near your place| [person:jordan m 0-0][location:restaurant s 5-5][person:eva f 7-7][location:place s 8-8]
eva| That s great even my friends like Italian food| [person:eva f 4-4][person:friends g() 5-5]
jordan| There is one problem though I need you to drop me off at my place after the dinner| [person:jordan m 5-5][person:eva f 7-7][person:jordan m 10-10][person:jordan m 13-13][location:place s 14-14]
eva| Won t you be joining us for the movie| [person:jordan m 2-2][person:us g(eva) 5-5]
jordan| I have some work to be completed I cannot go to the movie with you| [person:jordan m 0-0][person:jordan m 7-7][person:eva f 14-14]
eva| Oh okay I ll drop you of at your residence and then I ll move towards the theater with my friends| [person:eva f 2-2][person:jordan m 5-5][person:jordan m 8-8][location:place s 9-9][person:eva f 12-12][person:eva f 19-19][person:friends g() 20-20]
jordan| Good I will reserve a table for us and text you the details| [person:jordan m 1-1][person:our g(eva:jordan) 7-7][person:eva f 10-10]
eva| Okay reserve it soon so that I can inform Judy and Samantha| [person:eva f 6-6][person:judy f 9-9][person:samantha f 11-11]
jordan| Alright then see you at the restaurant try to be on time| [person:eva f 3-3][location:restaurant s 6-6]

conv:people_chats_04182020_119:aug_0:chat_0:chataug_0| carl katy| [person:carl m 0-0][person:katy f 1-1]
katy| Carl did u notice our neighbors Edgar and Valentina are preparing for Independence day celebrations| [person:carl m 0-0][person:carl m 2-2][person:our g(katy:carl) 4-4][person:neighbors g() 5-5][person:edgar m 6-6][person:valentina f 8-8]
carl| Yeah Katy I noticed it What are your plans| [person:katy f 1-1][person:carl m 2-2][person:katy f 7-7]
katy| I don t know all our previous plans didn t work out due to bad weather conditions I hope the weather favors us this time| [person:katy f 0-0][person:our g(katy:carl) 5-5][person:katy f 17-17][person:our g(katy:carl) 22-22]
carl| Yeah I know But still we need a plan to celebrate| [person:carl m 1-1][person:our g(katy:carl) 5-5]
katy| I think we should celebrate Fourth of July with our neighbors What do you say| [person:katy f 0-0][person:our g(katy:carl) 2-2][person:our g(katy:carl) 9-9][person:neighbors g(edgar:valentina) 10-10][person:carl m 13-13]
carl| That s a good idea But how shall we approach them| [person:our g(katy:carl) 8-8][person:neighbors g(edgar:valentina) 10-10]
katy| There are some common things that Edgar and I share like we always play golf on Wednesdays I m thinking to ask him about the celebration on the coming Wednesday| [person:edgar m 6-6][person:katy f 8-8][person:our g(katy:carl) 11-11][person:katy f 17-17][person:edgar m 22-22]
carl| Sounds good and also ask him whether we can help him in the celebration| [person:edgar m 5-5][person:our g(katy:carl) 7-7][person:edgar m 10-10]
katy| Okay I ll talk to him and I ll inform you| [person:katy f 1-1][person:edgar m 5-5][person:katy f 7-7][person:carl m 10-10]
carl| I just can t wait for the celebration| [person:carl m 0-0]

conv:people_chats_04182020_121:aug_0:chat_0:chataug_0| emma issac| [person:emma f 0-0][person:issac m 1-1]
issac| Hey Emma let s plan a family vacation for some days| [person:emma f 1-1][person:family g(issac:emma) 6-6][location:vacation s 7-7]
emma| That sounds like great idea what place do you have in mind| [location:place s 6-6][person:issac m 8-8]
issac| Actually I was thinking about a Hawaii trip will that be a good place to visit| [person:issac m 1-1][location:place s 6-6][location:vacation s 7-7][location:place s 13-13]
emma| I like your thinking but do you think our parents will go with it| [person:emma f 0-0][person:issac m 2-2][person:issac m 6-6][person:our g(issac:emma) 8-8][person:parents g() 9-9][location:place s 13-13]
issac| Even I have no idea whether they ll like that place or not shall we think about a different place then| [person:issac m 1-1][person:parents g() 6-6][location:place s 10-10][person:our g(issac:emma) 14-14][location:place s 19-19]
emma| I think dad will like Hawaii but mom may not like it due to the hot weather| [person:emma f 0-0][person:dad m 2-2][location:place s 5-5][person:mom f 7-7][location:place s 11-11]
issac| So shall we plan a trip to New York then| [person:our g(issac:emma) 2-2][location:vacation s 5-5][location:new_york s 7-8]
emma| It sounds good I think it will be better if we include our parents in the decision| [person:emma f 3-3][person:our g(issac:emma) 10-10][person:our g(issac:emma) 12-12][person:parents g(dad:mom) 13-13]
issac| Yeah I think you re right| [person:issac m 1-1][person:emma f 3-3]
issac| I ll talk to them and the I ll proceed with the booking of the tickets| [person:issac m 0-0][person:parents g(dad:mom) 4-4][person:issac m 7-7]
emma| Let me know as soon as you decide so I can plan accordingly| [person:emma f 1-1][person:issac m 6-6][person:emma f 9-9]

conv:people_chats_04182020_122:aug_0:chat_0:chataug_0| bradley meredith| [person:bradley m 0-0][person:meredith f 1-1]
bradley| Hello Meredith is everything okay with you are you fine| [person:meredith f 1-1][person:meredith f 6-6][person:meredith f 8-8]
meredith| Hi dear everything is going well but I miss my friends Tania Cara and Debbie| [person:meredith f 7-7][person:meredith f 9-9][person:friends g() 10-10][person:tania f 11-11][person:cara f 12-12][person:debbie f 14-14]
bradley| Dear don t feel bad about that Did you contact them recently| [person:meredith f 8-8][person:friends g(tania:cara:debbie) 10-10]
meredith| Yeah I contacted them but I miss the time which we three of us spent together| [person:meredith f 1-1][person:friends g(tania:cara:debbie) 3-3][person:meredith f 5-5][person:we g(meredith:tania:cara:debbie) 10-10][person:we g(meredith:tania:cara:debbie) 13-13]
bradley| Don t worry dear technology got developed a lot use it Try to keep in touch with them through facetime| [person:friends g(tania:cara:debbie) 17-17]
meredith| Thank you so much for your suggestion This will help me to be in contact with them| [person:bradley m 1-1][person:bradley m 5-5][person:meredith f 10-10][person:friends g(tania:cara:debbie) 16-16]
bradley| Don t think much about this and don t stress your self| [person:meredith f 10-10]
meredith| Sure I m now happy and I will even suggest my friends the same| [person:meredith f 1-1][person:meredith f 6-6][person:meredith f 10-10][person:friends g(tania:cara:debbie) 11-11]
bradley| Good decision and I m happy now because you are happy| [person:bradley m 3-3][person:meredith f 8-8]
meredith| Many thanks again and let s cherish the moment|

conv:people_chats_04182020_123:aug_0:chat_0:chataug_0| clyde elizabeth| [person:clyde m 0-0][person:elizabeth f 1-1]
clyde| Hey Elizabeth who s turn is it now to drive Elsa and Remy for their basketball game| [person:elizabeth f 1-1][person:elsa f 10-10][person:remy m 12-12][person:their g(elsa:remy) 14-14]
elizabeth| Last week I drove them to the game so it is your turn now| [person:elizabeth f 2-2][person:them g(elsa:remy) 4-4][person:clyde m 11-11]
clyde| But I remember it differently| [person:clyde m 1-1]
elizabeth| What do you mean by that| [person:clyde m 2-2]
clyde| Yeah on Wednesday I took them for the practice so it is your turn now| [person:clyde m 3-3][person:them g(elsa:remy) 5-5][person:elizabeth f 12-12]
elizabeth| I don t remember you taking them anywhere on Wednesday| [person:elizabeth f 0-0][person:clyde m 4-4][person:them g(elsa:remy) 6-6]
clyde| But I did and now it is your turn to drive them for the basketball game| [person:clyde m 1-1][person:elizabeth f 7-7][person:them g(elsa:remy) 11-11]
elizabeth| Now what shall we do This quarrel will not lead us to any solution| [person:we g(clyde:elizabeth) 3-3][person:us g(clyde:elizabeth) 10-10]
clyde| Okay I have an idea let s take a walk instead of driving them for their game| [person:clyde m 1-1][person:them g(elsa:remy) 13-13][person:their g(elsa:remy) 15-15]
elizabeth| Okay that s a good idea let s do that|

conv:people_chats_04182020_125:aug_0:chat_0:chataug_0| casey sara| [person:casey f 0-0][person:sara f 1-1]
casey| Hey Sara I m very excited for our ski trip| [person:sara f 1-1][person:casey f 2-2][person:group g(casey:sara) 7-7][location:trip s 9-9]
sara| Me too Casey But i m also worried because I don t know how to ski well| [person:sara f 0-0][person:casey f 2-2][person:sara f 4-4][person:sara f 9-9]
casey| Don t worry just remember the instructions Timothy and Caleb gave us during our ski lessons| [person:timothy m 7-7][person:caleb m 9-9][person:group g(casey:sara) 11-11][person:group g(casey:sara) 13-13]
sara| Yeah they were wonderful instructor But I ve never skied before apart from our lessons| [person:group2 g(timothy:caleb) 1-1][person:sara f 6-6][person:group g(casey:sara) 13-13]
casey| Remember how well they said you did You are worrying unnecessarily| [person:group2 g(timothy:caleb) 3-3][person:sara f 5-5][person:sara f 7-7]
sara| Yes I remember Timothy and Caleb did a great job at teaching us| [person:sara f 1-1][person:timothy m 3-3][person:caleb m 5-5][person:group g(casey:sara) 12-12]
casey| Exactly there s nothing to worry about You will do great on this trip| [person:sara f 7-7][location:trip s 13-13]
sara| I hope to have another lesson with them on this trip| [person:sara f 0-0][person:group2 g(timothy:caleb) 7-7][location:trip s 10-10]
casey| Yeah me too We ll have a lot of fun on this trip| [person:casey f 1-1][person:group g(casey:sara) 3-3][location:trip s 12-12]
sara| Yes I m really looking forward to this trip| [person:sara f 1-1][location:trip s 8-8]

conv:people_chats_04182020_126:aug_0:chat_0:chataug_0| andrew luke| [person:andrew m 0-0][person:luke m 1-1]
andrew| What do you feel about the game we just played Luke| [person:luke m 2-2][person:we g(andrew:luke) 7-7][person:luke m 10-10]
luke| Honestly it was a close game Thanks to Malcolm and Terry so that we ended up in the winning side| [person:malcolm m 8-8][person:terry m 10-10][person:we g(andrew:luke:malcolm:terry) 13-13]
andrew| I too will agree with that Especially the scissor kick from Terry turned the game| [person:andrew m 0-0][person:terry m 11-11]
luke| Don t forget what Malcolm did at the start It was the perfect one| [person:malcolm m 4-4]
andrew| Do you think still we need to improve in certain areas| [person:luke m 1-1][person:we g(andrew:luke:malcolm:terry) 4-4]
luke| Absolutely Our defense is too week Again thanks to Terry as he managed both defense and mid region| [person:our g(andrew:luke:malcolm:terry) 1-1][person:terry m 9-9][person:terry m 11-11]
andrew| I think today there was not a fair call from the referee I am talking about the offside| [person:andrew m 0-0][person:andrew m 12-12]
luke| Ya I completely agree with that But still we should consider it as a part of the game| [person:luke m 1-1][person:we g(andrew:luke:malcolm:terry) 8-8]
andrew| Anyways I am happy that it didn t affect the result| [person:andrew m 1-1]
luke| That s what I would love to believe Play a fair game and the result will be yours| [person:luke m 3-3][person:andrew m 17-17]

conv:people_chats_04182020_127:aug_0:chat_0:chataug_0| rusell sharon| [person:rusell m 0-0][person:sharon f 1-1]
sharon| Russell let s plan a family trip together and have a good time together| [person:rusell m 0-0][person:family g() 5-5][location:trip s 6-6]
rusell| That s a good idea we should go to a place where kids can enjoy| [person:family g(sharon:rusell) 5-5][location:place s 10-10][person:kids g() 12-12]
rusell| What do you think about an amusement park I think kids will love it| [person:sharon f 2-2][location:amusement_park s 6-7][person:rusell m 8-8][person:kids g() 10-10][location:amusement_park s 13-13]
sharon| No that s not a good place for Sarah as she is scared of the roller coaster| [location:amusement_park s 6-6][person:sarah f 8-8][person:sarah f 10-10]
rusell| What about a water park then That would be a great place to have fun| [location:park s 4-4][location:park s 11-11]
sharon| Now here comes the problem with Rusell because he hates being in water for long time| [person:rusell m 6-6][person:rusell m 8-8]
sharon| How about we go to a place we ve never been to like Universal Studios| [person:family g(sharon:rusell:sarah) 2-2][location:place s 6-6][person:family g(sharon:rusell:sarah) 7-7][location:place s 13-14]
rusell| That is a good idea It is both fun and safe We will have great time| [person:family g(sharon:rusell:sarah) 11-11]
sharon| Okay then I ll inform the kids about the plan and then we ll proceed| [person:sharon f 2-2][person:kids g(sarah:rusell) 6-6][person:family g(sharon:rusell:sarah) 12-12]
rusell| You do that and I will make the preparations for the vacation| [person:sarah f 0-0][person:rusell m 4-4]

conv:people_chats_04182020_128:aug_0:chat_0:chataug_0| karina katie| [person:karina f 0-0][person:katie f 1-1]
karina| Hi Katie How are you doing| [person:katie f 1-1][person:katie f 4-4]
katie| Hello Karina I am fine what about you| [person:karina f 1-1][person:katie f 2-2][person:karina f 7-7]
karina| I am fine hey I want to tell you something| [person:karina f 0-0][person:karina f 4-4][person:katie f 8-8]
katie| So excited to tell then Proceed with your point| [person:karina f 7-7]
karina| I heard the news that our friends Ron and Margaret have gotten engaged over the summer| [person:karina f 0-0][person:our g(karina:katie) 5-5][person:friends g() 6-6][person:ron m 7-7][person:margaret f 9-9]
katie| Is it But why they didn t invite us for their engagement| [person:they g(ron:margaret) 4-4][person:us g(karina:katie) 8-8][person:their g(ron:margaret) 10-10]
karina| I think they invited only their family members for their engagement| [person:karina f 0-0][person:they g(ron:margaret) 2-2][person:their g(ron:margaret) 5-5][person:family g() 6-6][person:their g(ron:margaret) 9-9]
katie| That s okay but I am very jealous that Margaret is engaged| [person:katie f 4-4][person:margaret f 9-9]
karina| Hey Think it in a positive way I am feeling very happy that they had engaged| [person:karina f 7-7][person:they g(ron:margaret) 13-13]
katie| Okay I will accept your point and catch you later| [person:katie f 1-1][person:karina f 4-4][person:karina f 8-8]

conv:people_chats_04182020_129:aug_0:chat_0:chataug_0| luke madison| [person:luke m 0-0][person:madison f 1-1]
luke| Hi Maddi Guess what is coming up now|
madison| Yeah a bill worth thousands of dollars You gobbled like pig dude| [person:luke m 7-7]
luke| Don t make me nuke the restaurant with my atomic breathe Maddy Gosh These dish is evil| [person:luke m 3-3][location:restaurant s 6-6][person:luke m 8-8][person:madison f 11-11]
madison| Look at your face glowing Red like the one who just pooped his pants I can t stop laughing Wait I have an idea| [person:luke m 2-2][person:luke m 12-12][person:madison f 14-14][person:madison f 20-20]
luke| Yeah dumbass I am listening Water please I am dying| [person:luke m 2-2][person:luke m 7-7]
madison| Here you go I am just telling why don t I call somebody to give you company| [person:luke m 1-1][person:madison f 3-3][person:madison f 10-10][person:luke m 15-15]
luke| Do you mean Allison It s interesting how you inviting her here You know that little girl hate spice in food let alone her life| [person:madison f 1-1][person:allison f 3-3][person:madison f 8-8][person:allison f 10-10][location:restaurant s 11-11][person:madison f 12-12][person:allison f 23-23]
madison| And Lisa as well It shall be fun watching their belly sizzle I have texted them already| [person:lisa f 1-1][person:their g(allison:lisa) 9-9][person:madison f 12-12][person:their g(allison:lisa) 15-15]
luke| You crazy girl But you know what I can already imagine why college s meme project is grand success What a beautiful tragedy| [person:madison f 0-0][person:madison f 4-4][person:luke m 7-7]
madison| Can t wait to share their grumpy faces on Instagram stories Ok I am getting late for the new Godzilla movie I will drop you home kiddo| [person:their g(allison:lisa) 5-5][person:madison f 12-12][person:madison f 21-21][person:luke m 24-24][location:home s 25-25]

conv:people_chats_04182020_130:aug_0:chat_0:chataug_0| albert mellisa| [person:albert m 0-0][person:mellisa f 1-1]
mellisa| Hi Albert are you free to talk now| [person:albert m 1-1][person:mellisa f 3-3]
albert| Hello Mellisa yes I am free to tell me what is the matter| [person:mellisa f 1-1][person:albert m 3-3][person:albert m 8-8]
mellisa| Shall we adopt a new puppy for us| [person:we g(mellisa:albert) 1-1][person:us g(mellisa:albert) 7-7]
albert| Wow that s a nice idea we will adopt a puppy| [person:we g(mellisa:albert) 6-6]
mellisa| We shall ask our friends Joann and Beth for help because they recently adopted a dog of their own| [person:we g(mellisa:albert) 0-0][person:our g(mellisa:albert) 3-3][person:friends g() 4-4][person:joann f 5-5][person:beth f 7-7][person:they g(joann:beth) 11-11]
albert| Yes that would be a nice idea we will ask them| [person:we g(mellisa:albert) 7-7][person:them g(joann:beth) 10-10]
mellisa| I asked them just now in another chat simultaneously they are recommending to adopt an older dog| [person:mellisa f 0-0][person:them g(joann:beth) 2-2][person:they g(joann:beth) 9-9]
albert| But I want to adopt a puppy because they are so cute| [person:albert m 1-1][person:they g(joann:beth) 8-8]
mellisa| Okay we will discuss this later| [person:we g(mellisa:albert) 1-1]
albert| Okay We will discuss this in the evening| [person:we g(mellisa:albert) 1-1]

conv:people_chats_04182020_131:aug_0:chat_0:chataug_0| scott willie| [person:scott m 0-0][person:willie m 1-1]
willie| Hello Scott How s your work going on| [person:scott m 1-1][person:scott m 4-4]
scott| Hey Willie I m doing well What about you| [person:willie m 1-1][person:scott m 2-2][person:willie m 8-8]
willie| I am good but I am confused and I can t decide what to do| [person:willie m 0-0][person:willie m 4-4][person:willie m 8-8]
scott| Tell me what is the problem| [person:scott m 1-1]
willie| I met two different women online one is Paris who is adventurous and loves to travel Another is Maddison she is a school teacher and wants kids| [person:willie m 0-0][location:paris s 8-8][person:maddison f 18-18][person:maddison f 19-19][person:kids g() 26-26]
scott| Okay whom do you like the most| [person:willie m 3-3]
willie| Both are beautiful and seem interested in me I am not knowing what to do| [person:willie m 7-7][person:willie m 8-8]
scott| Seems the situation is a little complicated we shall grab drinks and talk about this after our work What do you say| [person:willie___scott g(willie:scott) 7-7][person:willie___scott g(willie:scott) 16-16][person:willie m 20-20]
willie| Cool let s do it and we shall meet at our common place where we hang out all the time| [person:willie___scott g(willie:scott) 6-6][person:willie___scott g(willie:scott) 10-10][location:place s 12-12][person:willie___scott g(willie:scott) 14-14]
scott| Sure I will be there one s I m done with my work| [person:scott m 1-1][location:place s 4-4][person:scott m 7-7][person:scott m 11-11]

conv:people_chats_04182020_132:aug_0:chat_0:chataug_0| luke veronica| [person:luke m 0-0][person:veronica f 1-1]
luke| Will you be in town for the next 15 days| [person:veronica f 1-1][location:town s 4-4]
veronica| Yes I ll be available Do you require any help from me| [person:veronica f 1-1][person:luke m 6-6][person:veronica f 11-11]
luke| I ll have to go out of town for some office work Can you take the responsibility of our children| [person:luke m 0-0][location:town s 7-7][location:office s 10-10][person:veronica f 13-13][person:our g(luke:veronica) 18-18][person:children g() 19-19]
veronica| Alright I ll take care of them When will you be returning back| [person:veronica f 1-1][person:children g() 6-6][person:luke m 9-9]
luke| I will be leaving after two days and return after 12 days| [person:luke m 0-0]
veronica| That s going to be so long I remember Bradley has a science fair project during that time| [person:veronica f 7-7][person:bradley m 9-9]
luke| Yes I remember he told me to help him regarding that but don t worry I will complete the project you won t have to bother about it| [person:luke m 1-1][person:bradley m 3-3][person:luke m 5-5][person:bradley m 8-8][person:luke m 15-15][person:veronica f 20-20]
veronica| I also remember Marco has a cooking project I hope you ll also take care of that| [person:veronica f 0-0][person:marco m 3-3][person:veronica f 8-8][person:luke m 10-10]
luke| Yeah sure I will complete all their projects you won t have to take tension regarding this| [person:luke m 2-2][person:children g(marco:bradley) 6-6][person:veronica f 8-8]
veronica| Alright then have a great trip See you day after tomorrow| [location:trip s 5-5][person:luke m 7-7]

conv:people_chats_04182020_133:aug_0:chat_0:chataug_0| kimberly rodger| [person:kimberly f 0-0][person:rodger m 1-1]
rodger| Hi Kimberly What did you think about today s calculus class| [person:kimberly f 1-1][person:kimberly f 4-4]
kimberly| Hi Rodger the class was good but I was unable to understand few topics| [person:rodger m 1-1][person:kimberly f 7-7]
rodger| Yeah me too I still have many doubts regarding some of the topics I was wondering if may be you could clear them for me| [person:rodger m 1-1][person:rodger m 3-3][person:rodger m 13-13][person:kimberly f 19-19][person:rodger m 24-24]
kimberly| I think it s better if we email our teachers Ms Sabrina and Mr Raymond regarding our doubts| [person:kimberly f 0-0][person:we g(rodger:kimberly) 6-6][person:our g(rodger:kimberly) 8-8][person:sabrina f 11-11][person:raymond m 14-14][person:our g(rodger:kimberly) 16-16]
rodger| Yeah let s go ahead and do that|
kimberly| Sure I m on it Let me know when you get a reply from them| [person:kimberly f 1-1][person:kimberly f 6-6][person:rodger m 9-9][person:them g(sabrina:raymond) 14-14]
rodger| Hey Kim I just got a reply from our teachers and they suggested me to do some research online for my doubts What about you| [person:kimberly f 1-1][person:rodger m 2-2][person:our g(rodger:kimberly) 8-8][person:them g(sabrina:raymond) 11-11][person:rodger m 13-13][person:rodger m 20-20][person:kimberly f 24-24]
kimberly| Yeah they suggested me the same I m currently doing my research online| [person:them g(sabrina:raymond) 1-1][person:kimberly f 3-3][person:kimberly f 6-6][person:kimberly f 10-10]
rodger| Actually I disagree with what the teachers said It was a very vague reply they should have at least pointed us in the right direction as to where to look for the answers| [person:rodger m 1-1][person:them g(sabrina:raymond) 14-14][person:we g(rodger:kimberly) 20-20]
kimberly| I have to disagree with you My research is helping me a lot Their suggestion was very useful| [person:kimberly f 0-0][person:rodger m 5-5][person:kimberly f 6-6][person:kimberly f 10-10][person:them g(sabrina:raymond) 13-13]

conv:people_chats_04182020_134:aug_0:chat_0:chataug_0| john samuel| [person:john m 0-0][person:samuel m 1-1]
samuel| Hey John I wanna talk to you for some time| [person:john m 1-1][person:samuel m 2-2][person:john m 6-6]
john| Yeah Samuel Tell me what s the matter all about| [person:samuel m 1-1][person:john m 3-3]
samuel| The matter is that I think I am into my friend Christine| [person:samuel m 4-4][person:samuel m 6-6][person:samuel m 9-9][person:christine f 10-10][person:christine f 11-11]
john| That s nice to hear go and tell your feelings to her| [person:samuel m 8-8][person:christine f 11-11]
samuel| I am trying to figure out a way to tell her about my feelings towards her| [person:samuel m 0-0][person:christine f 10-10][person:samuel m 12-12][person:christine f 15-15]
john| All that is fine Find a correct situation and express your feelings to her| [person:samuel m 10-10][person:christine f 13-13]
samuel| I think it would ruin our friendship and make her feel uncomfortable| [person:samuel m 0-0][person:our g(samuel:christine) 5-5][person:christine f 9-9]
john| No she is a broad minded and she would definitely understand you| [person:christine f 1-1][person:christine f 7-7][person:samuel m 11-11]
samuel| Okay I hope that she would understand my feelings| [person:samuel m 1-1][person:christine f 4-4][person:samuel m 7-7]
john| Okay then don t forget to take a bouquet with you| [person:samuel m 10-10]

conv:people_chats_04182020_135:aug_0:chat_0:chataug_0| sana tina| [person:sana f 0-0][person:tina f 1-1]
sana| Hai have you done shopping for groceries this month| [person:tina f 2-2]
tina| Yeah Myself and my husband Mason went for shopping groceries last week| [person:tina f 1-1][person:tina f 3-3][person:mason m 4-4][person:mason m 5-5]
sana| How much you spend on groceries each month| [person:tina f 2-2]
tina| That depends It will vary each month|
sana| Oh I See Why it varies| [person:sana f 1-1]
tina| Sometimes we buy in bulk for some of the items How much you spend on groceries each month| [person:we g(tina:mason) 1-1][person:sana f 12-12]
sana| Actually my husband Tristan spend 500 for groceries in two weeks| [person:sana f 1-1][person:tristan m 2-2][person:tristan m 3-3]
tina| Oh It s too much you are spending Why don t you try a budgeting app| [person:sana f 5-5][person:sana f 11-11]
sana| Is there any budgeting app What app you use for budgeting| [person:tina f 7-7]
tina| Oh I am sorry I don t remember the name of the app| [person:tina f 1-1][person:tina f 4-4]
sana| Why Don t you use any budgeting app| [person:tina f 3-3]
tina| We are using but it is installed in my husband Mason s phone| [person:we g(tina:mason) 0-0][person:tina f 8-8][person:mason m 9-9][person:mason m 10-10]
sana| Oh I thought I shall ask my husband Tristan and use the app for budgeting| [person:sana f 1-1][person:sana f 3-3][person:sana f 6-6][person:tristan m 7-7][person:tristan m 8-8]
tina| No problem I will ask my husband Mason about the name of the app and inform you| [person:tina f 2-2][person:tina f 5-5][person:mason m 6-6][person:mason m 7-7][person:sana f 16-16]
sana| Fine Thank you I will inform my husband Tristan regarding this app| [person:tina f 2-2][person:sana f 3-3][person:sana f 6-6][person:tristan m 7-7][person:tristan m 8-8]

conv:people_chats_04182020_136:aug_0:chat_0:chataug_0| carolyn val| [person:carolyn f 0-0][person:val f 1-1]
val| Hey Carolyn have you completed all the needed packing for our trip| [person:carolyn f 1-1][person:carolyn f 3-3][person:our g(val:carolyn) 10-10]
carolyn| No not yet I m totally confused what to be packed for this weekend trip| [person:carolyn f 3-3]
val| Well I will tell you what all I had packed till now| [person:val f 1-1][person:carolyn f 4-4][person:val f 7-7]
carolyn| Sounds great I think this will help me out| [person:carolyn f 2-2][person:carolyn f 7-7]
val| I packed Towels needed clothes Brush Camera and Foot wear I think these much is enough and we can have less lagauge| [person:val f 0-0][person:val f 10-10][person:our g(val:carolyn) 17-17]
carolyn| Yes it s perfect I will pack all these and get ready for our weekend trip| [person:carolyn f 4-4][person:our g(val:carolyn) 13-13]
val| I want good pictures to be clicked and I want to make jealous of my sister| [person:val f 0-0][person:val f 8-8][person:val f 14-14][person:sister f 15-15]
carolyn| Haha well I just want to make lot s of memories with our friends Rafael and Gregory| [person:carolyn f 2-2][person:our g(val:carolyn) 12-12][person:friends g() 13-13][person:rafael m 14-14][person:gregory m 16-16]
val| Yeah so we will get ready as early as possible and pick them up| [person:our g(val:carolyn) 2-2][person:friends g(rafael:gregory) 12-12]
carolyn| Yes let s go and get ready for our trip| [person:our g(val:carolyn) 8-8]

conv:people_chats_04182020_137:aug_0:chat_0:chataug_0| brandon luis| [person:brandon m 0-0][person:luis m 1-1]
luis| Hello Brandon will you join me for playing golf next week| [person:brandon m 1-1][person:brandon m 3-3][person:luis m 5-5]
brandon| Yeah I will Where you are planning go| [person:brandon m 1-1][person:luis m 4-4]
luis| Let s go to the golf course in our neighboring town| [person:our g(luis:brandon) 8-8][location:town s 10-10]
brandon| Actually I don t want to go too far as Catherine and I have planned for a date in the evening| [person:brandon m 1-1][person:catherine f 10-10][person:brandon m 12-12]
luis| Okay then I will find out a place near by| [person:luis m 2-2][location:place s 7-7]
brandon| Would you like to join us on the date| [person:luis m 1-1][person:us g(brandon:catherine) 5-5]
luis| It s not at all a good idea What would I do between you both| [person:luis m 10-10][person:us g(brandon:catherine) 13-13]
brandon| One of my friend Brit would join if you want to come with us| [person:brandon m 2-2][person:brit f 3-3][person:brit f 4-4][person:luis m 8-8][person:us g(brandon:catherine) 13-13]
luis| I will let you know by tomorrow about the it| [person:luis m 0-0][person:brandon m 3-3]
brandon| Sure we all will have a great time| [person:we g(luis:brandon:catherine:brit) 1-1]

conv:people_chats_04182020_138:aug_0:chat_0:chataug_0| nadia ronnie| [person:nadia f 0-0][person:ronnie m 1-1]
nadia| Hello Ronnie how are you doing| [person:ronnie m 1-1][person:ronnie m 4-4]
ronnie| Hey Nadia I m good but little stressed| [person:nadia f 1-1][person:ronnie m 2-2]
nadia| What is the reason Is everything okay|
ronnie| It is like mom is losing her sight and dad s memory is failing At times he doesn t even know who is he| [person:mom f 3-3][person:mom f 6-6][person:dad m 9-9][person:dad m 16-16][person:dad m 23-23]
nadia| sorry for asking you and making you feel sad| [person:ronnie m 3-3][person:ronnie m 6-6]
ronnie| That s okay tell me how are you doing| [person:ronnie m 4-4][person:nadia f 7-7]
nadia| I m good Ronnie thanks for asking Why can t you put them in home| [person:nadia f 0-0][person:ronnie m 3-3][person:ronnie m 10-10][person:them g(mom:dad) 12-12][location:home s 14-14]
ronnie| I thought of doing it but my siblings are opposed| [person:ronnie m 0-0][location:home s 4-4][person:ronnie m 6-6]
nadia| Okay take care of you and your family Everything will be alright soon| [person:ronnie m 4-4][person:ronnie m 6-6][person:family g(ronnie:mom:dad) 7-7]
ronnie| Thank you for your concern and Yeah I shall take care of them| [person:nadia f 1-1][person:nadia f 3-3][person:ronnie m 7-7][person:them g() 12-12]

conv:people_chats_04182020_139:aug_0:chat_0:chataug_0| ron victor| [person:ron m 0-0][person:victor m 1-1]
victor| Ron are you ready I m on my way to pick you up| [person:ron m 0-0][person:ron m 2-2][person:victor m 4-4][person:victor m 7-7][person:ron m 11-11]
