conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
emily| I think 7 o clock in the evening will be the right time to start our party| [person:emily f 0-0][person:our g(martha:emily) 15-15]

conv:long_chats_0223_14:aug_0:chat_0:chataug_0| dave lauren| [person:dave m 0-0][person:lauren f 1-1]
dave| Hey Lauren the summers are here it s time to have fun chill| [person:lauren f 1-1]
lauren| No Dave the summers are not to chill it s time to do something productive| [person:dave m 1-1]
dave| What do you mean Our kid was busy in school learning productive concepts round the year| [person:lauren f 2-2][person:our g(dave:lauren) 4-4][location:school s 9-9]
lauren| I m not telling him to do productive things academically but I suggest him to do the same recreationally| [person:lauren f 0-0][person:him m 4-4][person:lauren f 11-11][person:him m 13-13]
dave| Now that sounds good In that way he can add up to his co curricular skills| [person:him m 7-7][person:him m 12-12]
lauren| Let s enroll him in a local summer camp just do a little research regarding the camp Dave| [person:him m 3-3][location:local_summer_camp s 6-8][person:dave m 17-17]
dave| David was asking me the other day to enroll him in the Rising Star summer camp| [person:david m 0-0][person:dave m 3-3][person:him m 9-9][location:local_summer_camp s 12-15]
lauren| Why is he preferring Rising Star summer camp Dave We have many other summer camps in our locality| [person:him m 2-2][location:local_summer_camp s 4-7][person:dave m 8-8][person:our g(dave:lauren) 9-9][person:our g(dave:lauren) 16-16]
dave| He says his best friend Mila is also going to the same summer camp he wants to go there with her| [person:him m 0-0][person:him m 2-2][person:mila f 4-4][person:mila f 5-5][location:local_summer_camp s 12-13][person:him m 14-14][location:local_summer_camp s 18-18][person:mila f 20-20]
lauren| Rising Star summer camp is a good one but it is too far from our home| [location:local_summer_camp s 0-3][location:local_summer_camp s 9-9][person:our g(dave:lauren) 14-14][location:home s 15-15]
dave| Do you know how far is the summer camp from our place| [person:lauren f 1-1][location:local_summer_camp s 7-8][person:our g(dave:lauren) 10-10][location:home s 11-11]
lauren| It was like 50 miles away from our home and it will be difficulty him to travel that distance| [location:local_summer_camp s 0-0][person:miles f 4-4][person:our g(dave:lauren) 7-7][location:home s 8-8][person:him m 14-14]
dave| Oh that s really too far Let s ask Mila s mother if she could drop David home while she goes to pick Mila| [person:mila f 9-9][person:mila f 13-13][person:david m 16-16][location:home s 17-17][person:mila f 19-19][person:mila f 23-23]
lauren| But she would be unable to drop him at our home because their house is 25 minutes away from ours So I think we should look for a nearby summer camp| [person:mila f 1-1][person:him m 7-7][person:our g(dave:lauren) 9-9][person:mila f 12-12][person:our g(dave:lauren) 19-19][person:lauren f 21-21][person:our g(dave:lauren) 23-23]

conv:long_chats_0223_15:aug_0:chat_0:chataug_0| jerry shannon| [person:jerry m 0-0][person:shannon m 1-1]
shannon| Hey Jerry How are you doing| [person:jerry m 1-1][person:jerry m 4-4]
jerry| I am doing well How about you| [person:jerry m 0-0][person:shannon m 6-6]
shannon| I m doing good too Actually I wanted to ask you about something| [person:shannon m 0-0][person:shannon m 6-6][person:jerry m 10-10]
jerry| Yes please tell me I am all ears| [person:jerry m 3-3][person:jerry m 4-4]
shannon| I am unsure about my future and don t know which university I should attend| [person:shannon m 0-0][person:shannon m 4-4][location:university s 11-11][person:shannon m 12-12]
jerry| Hey I think York University is the best option for you as it is much closer to your home| [person:jerry m 1-1][location:university s 3-3][location:university s 4-4][person:shannon m 10-10][location:university s 12-12][person:your u 17-17][location:home s 18-18]
shannon| Yeah it is close to my home but I ain t a fan of that campus I prefer University of Toronto campus over that| [location:university s 1-1][person:shannon m 5-5][location:home s 6-6][person:shannon m 8-8][location:university s 15-15][person:shannon m 16-16][location:toronto s 18-18][location:toronto s 20-20]
jerry| Why do you think that Toronto University is better than York University| [person:shannon m 2-2][location:toronto s 5-5][location:toronto s 6-6][location:university s 10-10][location:university s 11-11]
shannon| Because it s much more beautiful than the York University| [location:toronto s 1-1][location:university s 8-8][location:university s 9-9]
jerry| I think you should consider Ryerson University also| [person:jerry m 0-0][person:shannon m 2-2][location:ryerson s 5-5][location:ryerson s 6-6]
jerry| As my friends Josh and Teresa go to Ryerson and they really enjoy the campus and the school overall| [person:jerry m 1-1][person:friends g() 2-2][person:josh m 3-3][person:teresa f 5-5][location:ryerson s 8-8][person:they g(shannon:jerry) 10-10][location:ryerson s 14-14]
shannon| Now I have a mixed opinion of each and every University| [person:shannon m 1-1][location:university s 10-10]
shannon| I need to think about each campus and put my foot in the door| [person:shannon m 0-0][location:campus s 6-6][person:shannon m 9-9]
jerry| Okay analyze and choose the best option Best of luck|

conv:long_chats_0223_16:aug_0:chat_0:chataug_0| jovany tara| [person:jovany f 0-0][person:tara f 1-1]
jovany| Hey Tara How are you doing| [person:tara f 1-1][person:tara f 4-4]
jovany| I am planning to launch the project on which we are working| [person:jovany f 0-0][person:we g(jovany:tara) 9-9]
tara| Yeah that s great But you don t know what is going on| [person:jovany f 5-5]
tara| Haven t you got any news regarding the project| [person:jovany f 2-2]
jovany| Why What happened Tara Is everything alright| [person:tara f 3-3]
tara| Don t have you heard that Jazmin and Walls are about to launch a similar kind of project| [person:jovany f 3-3][person:jazmin f 6-6][person:walls m 8-8]
tara| I can t make out how they got to know about the project| [person:tara f 0-0][person:they g(jazmin:walls) 6-6]
jovany| No I can t believe that they did this to me| [person:jovany f 1-1][person:they g(jazmin:walls) 6-6][person:jovany f 10-10]
tara| Have you ever discussed this idea with them| [person:jovany f 1-1][person:they g(jazmin:walls) 7-7]
jovany| Yeah Jazmin and Walls were my partners I think that they have stolen my ideas| [person:jazmin f 1-1][person:walls m 3-3][person:jovany f 5-5][person:jovany f 7-7][person:they g(jazmin:walls) 10-10][person:jovany f 13-13]
tara| I think you should contact them and have a conversation regarding this| [person:tara f 0-0][person:jovany f 2-2][person:they g(jazmin:walls) 5-5]
jovany| Yeah but I think they won t change their mind about launching the project| [person:jovany f 2-2][person:they g(jazmin:walls) 4-4][person:they g(jazmin:walls) 8-8]
jovany| Still I will try to convince them to withdraw their idea of the project| [person:jovany f 1-1][person:they g(jazmin:walls) 6-6][person:they g(jazmin:walls) 9-9]
tara| If they don t change their mind then we have to go through legal procedures| [person:they g(jazmin:walls) 1-1][person:they g(jazmin:walls) 5-5][person:we g(jovany:tara) 8-8]

conv:long_chats_0223_19:aug_0:chat_0:chataug_0| jim margaret| [person:jim m 0-0][person:margaret f 1-1]
jim| Hey Margaret I badly need an ice cream will you come with me| [person:margaret f 1-1][person:jim m 2-2][person:margaret f 9-9][person:jim m 12-12]
margaret| Even I feel like eating ice cream Jim I would love to accompany you| [person:margaret f 1-1][person:jim m 7-7][person:margaret f 8-8][person:jim m 13-13]
margaret| Where do you want to take me for an ice cream treat| [person:jim m 2-2][person:margaret f 6-6]
jim| I want to go to a fun ice cream place Margaret and I m a bit confused between Menchies Baskin Robins| [person:jim m 0-0][person:margaret f 10-10][person:jim m 12-12]
margaret| No I m in no mood for Baskin Robbins or Menchies| [person:margaret f 1-1]
jim| What else would you like to have Margaret| [person:margaret f 3-3][person:margaret f 7-7]
margaret| I m in great mood for gelato It s been a long time since I ve tasted it| [person:margaret f 0-0][person:margaret f 14-14]
jim| Okay then suggest a good gelato parlor nearby|
margaret| Why don t we try out the Italian gelato parlour at the end of the street| [person:we g(jim:margaret) 3-3]
jim| Yeah that is a good idea It is not that far away we can definitely try it| [person:we g(jim:margaret) 12-12]
margaret| But I m a bit confused I m unsure about which gelato flavour to try| [person:margaret f 1-1][person:margaret f 6-6]
jim| Even I m unsure with the gelato flavoured ice creams| [person:jim m 1-1]
margaret| I ve heard ur friends Gary Sue enjoy gelato They might be able to recommend us| [person:margaret f 0-0][person:jim m 3-3][person:friends g() 4-4][person:gary m 5-5][person:sue f 6-6][person:friends g(gary:sue) 9-9][person:we g(jim:margaret) 15-15]
jim| Lets make a list of potential places and write pros and cons of each before we visit the store| [person:we g(jim:margaret) 0-0][person:we g(jim:margaret) 15-15]

conv:long_chats_0223_21:aug_0:chat_0:chataug_0| ellie john| [person:ellie f 0-0][person:john m 1-1]
ellie| John will you please decide and tell me which classes you are going to take for the next semester| [person:john m 0-0][person:john m 2-2][person:ellie f 7-7][person:john m 10-10]
john| I have not yet decided Ellie What did you decided to take for the next semester| [person:john m 0-0][person:ellie f 5-5][person:ellie f 8-8]
ellie| Well I always wanted to be a geologist So I was thinking of taking that| [person:ellie f 1-1][person:ellie f 9-9]
john| Why do you want to take geology| [person:ellie f 2-2]
ellie| You know day by day what am I feeling The more I learn about it the more determination I get| [person:john m 0-0][person:ellie f 7-7][person:ellie f 11-11][person:ellie f 18-18]
john| I have serious doubts about my major Do you suggest me anything| [person:john m 0-0][person:john m 5-5][person:ellie f 8-8][person:john m 10-10]
ellie| I think you should meet Luke and Lily Your confusion might get solved| [person:ellie f 0-0][person:john m 2-2][person:luke m 5-5][person:lily f 7-7][person:john m 8-8]
john| Who are they Are you sure about them| [person:they g(luke:lily) 2-2][person:ellie f 4-4][person:they g(luke:lily) 7-7]
ellie| They both are guidance and career counselors of our campus| [person:they g(luke:lily) 0-0][person:our g(ellie:john) 8-8][location:campus s 9-9]
john| Did you contacted them before Did it help you| [person:ellie f 1-1][person:they g(luke:lily) 3-3][person:ellie f 8-8]
ellie| Yeah they helped me during my first year when I was prone to distractions I am sure they can shed light on your career also| [person:they g(luke:lily) 1-1][person:ellie f 3-3][person:ellie f 5-5][person:ellie f 9-9][person:ellie f 14-14][person:they g(luke:lily) 17-17][person:john m 22-22]
john| Okay I need a day more to discuss this matter Can you delay your plan for one more day| [person:john m 1-1][person:ellie f 11-11][person:ellie f 13-13]
ellie| Yeah of course we are best friends from high school whatever may be the choice we will go together| [person:our g(ellie:john) 3-3][person:they g(luke:lily) 6-6][location:high_school s 8-9][person:our g(ellie:john) 15-15]
john| Thank you very much I will decide after meeting them| [person:ellie f 1-1][person:john m 4-4][person:they g(luke:lily) 9-9]

conv:long_chats_0223_24:aug_0:chat_0:chataug_0| august sonya| [person:august f 0-0][person:sonya f 1-1]
august| Hey Sonya I hope you remember that our friends Vilma and Mercy will be coming home today| [person:sonya f 1-1][person:august f 2-2][person:sonya f 4-4][person:our g(august:sonya) 7-7][person:friends g() 8-8][person:vilma f 9-9][person:mercy f 11-11]
sonya| Yes I do remember that they are going to visit us today| [person:sonya f 1-1][person:friends g(vilma:mercy) 5-5][person:our g(august:sonya) 10-10]
august| That s good they will be coming for dinner| [person:friends g(vilma:mercy) 3-3]
sonya| I have expected this since they didn t arrive till now| [person:sonya f 0-0][person:friends g(vilma:mercy) 5-5]
august| Have you prepared anything for them Sonya| [person:sonya f 1-1][person:friends g(vilma:mercy) 5-5][person:sonya f 6-6]
sonya| No August I haven t prepared anything yet I was chopping the vegetables| [person:august f 1-1][person:sonya f 2-2][person:sonya f 8-8]
august| So in that case it s better to prepare spaghetti they might like it| [person:friends g(vilma:mercy) 10-10]
sonya| Spaghetti Are you sure Because Vilma Mercy don t like Spaghetti| [person:august f 2-2][person:vilma f 5-5][person:mercy f 6-6]
august| Then what do you want to cook for them if they don t like spaghetti| [person:sonya f 3-3][person:friends g(vilma:mercy) 8-8][person:friends g(vilma:mercy) 10-10]
sonya| I was planning to cook sushi for them pair them with garlic stuffed mushrooms| [person:sonya f 0-0][person:friends g(vilma:mercy) 7-7][person:friends g(vilma:mercy) 9-9]
august| No Sonya I don t think they would like sushi and garlic stuffed mushrooms| [person:sonya f 1-1][person:august f 2-2][person:friends g(vilma:mercy) 6-6]
sonya| Oh do you feel so Then shall I cook pork carnitas with pickled red onions| [person:august f 2-2][person:sonya f 7-7]
august| I think it s better to take them out so that they can have various food options| [person:august f 0-0][person:friends g(vilma:mercy) 7-7][person:friends g(vilma:mercy) 11-11]
sonya| Well I will have to think about it I ll let you know by afternoon| [person:sonya f 1-1][person:sonya f 8-8][person:august f 11-11]

conv:long_chats_0223_25:aug_0:chat_0:chataug_0| ricky ronaldo| [person:ricky m 0-0][person:ronaldo m 1-1]
ronaldo| Hey Ricky Do you have any plans tonight| [person:ricky m 1-1][person:ricky m 3-3]
ricky| No I don t have any plans for the night| [person:ricky m 1-1]
ronaldo| Okay then what do you think about eating out tonight| [person:ricky m 4-4]
ricky| Yeah okay I would love to have dinner outside| [person:ricky m 2-2]
ricky| Do you know any good place for dinner| [person:ronaldo m 1-1][location:place s 5-5]
ronaldo| Yeah Leslie told that Bombay Cafe is one of the best Indian food restaurants in town| [person:leslie f 1-1][location:place s 5-5][location:restaurants g() 13-13][location:town s 15-15]
ronaldo| I also checked the reviews of the restaurant and are almost good| [person:ronaldo m 0-0][location:place s 7-7]
ricky| Okay What are the best cuisines in that restaurant| [location:place s 8-8]
ronaldo| Biryani is the best dish we can taste in the restaurant Vanessa is a regular customer and recommends it over any other restaurant| [person:we g(ronaldo:ricky) 5-5][location:place s 10-10][person:vanessa f 11-11][location:place s 18-18][location:restaurant s 22-22]
ricky| Are you sure that we should visit and taste the food in that restaurant| [person:ronaldo m 1-1][person:we g(ronaldo:ricky) 4-4][location:place s 13-13]
ronaldo| I am quite convinced and is opened to try it out| [person:ronaldo m 0-0][location:place s 9-9]
ricky| I heard that the food there will be spicy and I m always on the fence whenever it comes to spicy food| [person:ricky m 0-0][location:place s 5-5][person:ricky m 10-10]
ricky| Shall we try Indian food any other day and look for some different food If you don t mind| [person:we g(ronaldo:ricky) 1-1][person:ronaldo m 15-15]
ronaldo| Okay will try Indian food another day|

conv:long_chats_0223_26:aug_0:chat_0:chataug_0| rylie troy| [person:rylie f 0-0][person:troy m 1-1]
rylie| Hey Troy Are you free Can I have a word with you| [person:troy m 1-1][person:troy m 3-3][person:rylie f 6-6][person:troy m 11-11]
troy| Yeah sure tell me anything urgent| [person:troy m 3-3]
rylie| My parents Jane and Austin are going to Hawaii for 2 weeks| [person:rylie f 0-0][person:parents g() 1-1][person:jane f 2-2][person:austin m 4-4][location:hawaii s 8-8]
rylie| They asked us to join them for the trip Are you interested to join| [person:parents g(jane:austin) 0-0][person:us g(rylie:troy) 2-2][person:parents g(jane:austin) 5-5][location:hawaii s 8-8][person:troy m 10-10]
troy| Yeah sure I would love to join them| [person:troy m 2-2][person:parents g(jane:austin) 7-7]
troy| I just love the place and I think we all can have a great time| [person:troy m 0-0][location:hawaii s 4-4][person:troy m 6-6][person:us g(rylie:troy) 8-8]
rylie| Even I love to join with them but I am not able to get leave from work| [person:rylie f 1-1][person:parents g(jane:austin) 6-6][person:rylie f 8-8]
troy| Not an issue if you can t take leave from your work we may join then next time| [person:rylie f 4-4][person:rylie f 10-10][person:us g(rylie:troy) 12-12]
troy| But if you can make out the way to take leave we can have a great time after our hectic schedule| [person:rylie f 2-2][person:us g(rylie:troy) 11-11][person:us g(rylie:troy) 18-18]
rylie| Yeah even I am thinking a way to have a leave from work| [person:rylie f 2-2]
troy| I think you should take time and try to make out a way for the leave| [person:troy m 0-0][person:rylie f 2-2]
rylie| Okay What about you Will you get leave from work| [person:troy m 3-3][person:troy m 5-5]
troy| I won t be having any issues in that as I haven t taken any leaves for a long time| [person:troy m 0-0][person:troy m 10-10]
rylie| Oh That s great to hear I will try my level best to join you for trip| [person:rylie f 6-6][person:rylie f 9-9][person:troy m 14-14][location:hawaii s 16-16]

conv:long_chats_0223_27:aug_0:chat_0:chataug_0| demmi nas| [person:demmi f 0-0][person:nas m 1-1]
nas| Hey Demmi What are you doing| [person:demmi f 1-1][person:demmi f 4-4]
demmi| I m looking at the latest events that are happening in politics| [person:demmi f 0-0]
nas| I am already bored and tired of all the nonstop coverage and just want the election cycle to be finished| [person:nas m 0-0]
demmi| I think you should really be engaged in it| [person:demmi f 0-0][person:nas m 2-2]
nas| Why do you think that I should be engaged in it| [person:demmi f 2-2][person:nas m 5-5]
demmi| You should be engaged in it because democracy requires civil engagement from all citizens| [person:nas m 0-0]
nas| I spoke with our friends Paige and Connor about this| [person:nas m 0-0][person:our g(nas:demmi) 3-3][person:friends g() 4-4][person:paige f 5-5][person:connor m 7-7]
demmi| Okay and what was their response to it| [person:friends g(paige:connor) 4-4]
nas| They agreed with me that politics is just too boring and all politicians are frauds| [person:friends g(paige:connor) 0-0][person:nas m 3-3][person:politicians g() 12-12]
demmi| What Did they really tell all this about politics and politicians| [person:friends g(paige:connor) 2-2][person:politicians g() 10-10]
nas| Yes that was the same words they used while talking| [person:friends g(paige:connor) 6-6]
demmi| Oh my God I should talk to them and ask why they feel so apathetic towards politics| [person:demmi f 1-1][person:demmi f 3-3][person:friends g(paige:connor) 7-7][person:friends g(paige:connor) 11-11]
nas| Yeah sure You go ahead and ask them| [person:demmi f 2-2][person:friends g(paige:connor) 7-7]
demmi| Yeah I will do it and see if they have a good reason for their statements| [person:demmi f 1-1][person:friends g(paige:connor) 8-8][person:friends g(paige:connor) 14-14]

conv:long_chats_0223_32:aug_0:chat_0:chataug_0| holland pete| [person:holland m 0-0][person:pete m 1-1]
holland| Hey Pete what are you doing this weekend| [person:pete m 1-1][person:pete m 4-4]
pete| Nothing much Holland Have you made any plans| [person:holland m 2-2][person:holland m 4-4]
holland| Jessica and Kevin invited me on a road trip with them| [person:jessica f 0-0][person:kevin m 2-2][person:holland m 4-4][location:road s 7-7][location:road s 8-8][person:them g(jessica:kevin) 10-10]
holland| Would you like to join us It would be great fun| [person:pete m 1-1][person:us g(holland:jessica:kevin) 5-5]
pete| Where are you all planning to go| [person:us g(holland:jessica:kevin) 2-2]
holland| We have planned to go to a cottage about 2 hours away| [person:us g(holland:jessica:kevin) 0-0][location:cottage s 7-7]
pete| I think I can t join you as it is way too far for me| [person:pete m 0-0][person:pete m 2-2][person:us g(holland:jessica:kevin) 6-6][location:cottage s 8-8][person:pete m 14-14]
holland| That s true it is a bit far I think it would be great fun if you join us| [location:cottage s 3-3][person:holland m 8-8][person:pete m 16-16][person:us g(holland:jessica:kevin) 18-18]
pete| Okay I will think about it and let you know| [person:pete m 1-1][location:road s 5-5][person:holland m 8-8]
pete| How many days you are planning to go| [person:us g(holland:jessica:kevin) 3-3]
holland| Well I don t know let me ask them I will let you know| [person:holland m 1-1][person:holland m 6-6][person:them g(jessica:kevin) 8-8][person:holland m 9-9][person:pete m 12-12]
pete| Okay let me know as soon as you know so I can schedule accordingly| [person:pete m 2-2][person:holland m 7-7][person:pete m 10-10]
holland| Yeah I will be waiting for your positive reply| [person:holland m 1-1][person:pete m 6-6]
pete| Sure I hope you will enjoy the trip with or without me| [person:pete m 1-1][person:holland m 3-3][location:road s 7-7][person:pete m 11-11]

conv:long_chats_0223_34:aug_0:chat_0:chataug_0| jess wallace| [person:jess f 0-0][person:wallace m 1-1]
jess| Wallace are you planning to go to the gym| [person:wallace m 0-0][person:wallace m 2-2][location:gym s 8-8]
wallace| Yes Jess I m planning to go to the gym to keep myself consistent| [person:jess f 1-1][person:wallace m 2-2][location:gym s 9-9][person:wallace m 12-12]
jess| Sounds good let s plan together by the end of this weekend do you think you need a personal trainer| [person:wallace m 13-13][person:wallace m 15-15]
wallace| We need to get a personal trainer for ourselves as I strongly believe that is going to help us in the long run| [person:we g(jess:wallace) 0-0][person:wallace m 10-10][person:we g(jess:wallace) 18-18]
jess| Ok then do you know any personal trainers who can help us to stay fit| [person:wallace m 3-3][person:we g(jess:wallace) 11-11]
wallace| Yes I ve a friend named Michael who works at the local gym I shall talk to him if you agree to be trained by him| [person:wallace m 1-1][person:michael m 4-4][location:gym s 12-12][person:wallace m 13-13][person:michael m 17-17][person:jess f 19-19][person:michael m 25-25]
jess| I don t mind getting a trainer but I think Michael is not a better person for me| [person:jess f 0-0][person:jess f 8-8][person:michael m 10-10][person:jess f 17-17]
wallace| Yes I support your thoughts Jess I also have seen Michael getting involved in intense workouts| [person:wallace m 1-1][person:jess f 3-3][person:jess f 5-5][person:wallace m 6-6][person:michael m 10-10]
jess| I have a friend who can help us out as a trainer but in a more relaxed manner| [person:jess f 0-0][person:rebecca f 3-3][person:we g(jess:wallace) 7-7]
wallace| Who is that Do I know that trainer Can he really help us with a comfortable workout format| [person:wallace m 4-4][person:rebecca f 9-9][person:we g(jess:wallace) 12-12]
jess| Yes you know him he is Rebecca I think we can have a moderate workout| [person:wallace m 1-1][person:rebecca f 3-3][person:rebecca f 4-4][person:rebecca f 6-6][person:jess f 7-7][person:we g(jess:wallace) 9-9]
wallace| Do you want me to talk to her about the package details that she can offer us| [person:jess f 1-1][person:wallace m 3-3][person:rebecca f 7-7][person:rebecca f 13-13][person:we g(jess:wallace) 16-16]
jess| Yes sure also ask her about her training style that suits you and me| [person:rebecca f 4-4][person:rebecca f 6-6][person:wallace m 11-11][person:jess f 13-13]
wallace| Alright I shall discuss the details and get back to you in a short time| [person:wallace m 1-1][person:jess f 10-10]

conv:long_chats_0223_35:aug_0:chat_0:chataug_0| hailey ian| [person:hailey f 0-0][person:ian m 1-1]
hailey| Hey Ian I think we need to increase our work productivity| [person:ian m 1-1][person:hailey f 2-2][person:we g(hailey:ian) 4-4][person:we g(hailey:ian) 8-8]
ian| Yeah we should increase our productivity But I am unable to do it due to lack of sleep| [person:we g(hailey:ian) 1-1][person:we g(hailey:ian) 4-4][person:ian m 7-7]
hailey| What is the problem Is everything fine|
ian| I am having nightmares that is interrupting my sleep| [person:ian m 0-0][person:ian m 7-7]
hailey| I think we should find out some solutions| [person:hailey f 0-0][person:we g(hailey:ian) 2-2]
hailey| I will send you an article that can highlight the top therapists in the area| [person:hailey f 0-0][person:ian m 3-3][location:area s 14-14]
ian| Okay are there any therapists who specialized in nightmares|
hailey| Yeah I wrote a note point in that article showing that Austin A and Cher M specialized in dream analysis| [person:hailey f 1-1][person:austin_a_ m 11-12][person:cher_m_ f 14-15]
hailey| They both are partners and had a high curative ratio| [person:they g() 0-0]
ian| Really I think I should meet one of them| [person:ian m 1-1][person:ian m 3-3][person:they g() 8-8]
ian| I believe that they can help me to get rid of nightmares| [person:ian m 0-0][person:they g() 3-3][person:ian m 6-6]
hailey| I will check out their contacts and fix an appointment for you| [person:hailey f 0-0][person:they g() 4-4][person:ian m 11-11]
ian| Thank you very much Hailey| [person:hailey f 1-1][person:hailey f 4-4]
ian| I should reconsider my habit of watching horror movies| [person:ian m 0-0][person:ian m 3-3]

conv:long_chats_0223_36:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John How are you doing| [person:adam m 1-1][person:adam m 4-4]
john| Hey Adam Did you hear about Jane s death| [person:adam m 1-1][person:john m 3-3][person:jane f 6-6]
adam| We met in the market a few weeks ago| [person:we g(adam:john:jane) 0-0]
adam| I was surprised to hear that she had passed away| [person:adam m 0-0][person:jane f 6-6]
john| I was even equally surprised to hear about her death| [person:john m 0-0][person:jane f 8-8]
adam| My girlfriend Rita was there with her last week They really had a good time| [person:adam m 0-0][person:girlfriend f 1-1][person:rita f 2-2][person:rita f 6-6][person:they g(adam:john:jane:rita) 9-9]
john| This is sad to listen How is she holding up now| [person:rita f 7-7]
adam| She is just in shock It takes her some time to recover| [person:rita f 0-0][person:rita f 7-7]
john| I hope she recovers soon and everything goes well with her| [person:john m 0-0][person:jane f 2-2][person:jane f 10-10]
john| I suspect that Jane had faked her death and I think we should investigate it| [person:john m 0-0][person:john m 3-3][person:john m 6-6][person:john m 9-9][person:we g(adam:john:jane:rita) 11-11]
adam| Thank you for your concern about Rita I don t think this investigation will work out| [person:john m 1-1][person:john m 3-3][person:rita f 6-6][person:adam m 7-7]
john| I feel like there is some reason behind her sudden death we should investigate it| [person:john m 0-0][person:jane f 8-8][person:we g(adam:john:jane:rita) 11-11]
adam| Okay if it is in this way I will help you| [person:adam m 7-7][person:john m 10-10]
john| Thank you for your support We shall do it together and find the reason very soon| [person:adam m 1-1][person:adam m 3-3][person:we g(adam:john:jane:rita) 5-5]

conv:long_chats_0223_38:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
emma| Hey Dira What do you think about the real estate agents Josie and Gina| [person:dira f 1-1][person:dira f 4-4][person:josie f 11-11][person:gina f 13-13]
dira| I don t know but they progressed a lot as real estate agents| [person:dira f 0-0][person:they g(josie:gina) 5-5]
emma| Yeah they really did a great work and has an enough progress| [person:they g(josie:gina) 1-1]
dira| Yeah but I m really unhappy with them| [person:dira f 2-2][person:they g(josie:gina) 7-7]
emma| What s the reason that you are unhappy with them| [person:dira f 5-5][person:they g(josie:gina) 9-9]
dira| I m extremely frustrated by their lazy and unprofessional behaviour with us| [person:dira f 0-0][person:they g(josie:gina) 5-5][person:us g(emma:dira) 11-11]
dira| Later that day I received a threatening text from the agents| [person:dira f 3-3]
emma| What kind of threatening text did you receive from them| [person:dira f 6-6][person:they g(josie:gina) 9-9]
dira| They texted me about the contract we had with them| [person:they g(josie:gina) 0-0][person:dira f 2-2][person:us g(emma:dira) 6-6][person:they g(josie:gina) 9-9]
emma| Oh then it is really very complicated to continue the contract with them| [person:they g(josie:gina) 12-12]
emma| What shall we do now| [person:us g(emma:dira) 2-2]
dira| I don t know I m thinking whether to stay bound in the contract or take some legal action against the agents| [person:dira f 0-0][person:dira f 4-4]
emma| We better take some legal action against them as they do not have any right to threaten you| [person:us g(emma:dira) 0-0][person:they g(josie:gina) 7-7][person:they g(josie:gina) 9-9][person:dira f 17-17]
dira| Yeah I ll take a legal action against them for sure| [person:dira f 1-1][person:they g(josie:gina) 8-8]

conv:long_chats_0223_40:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John How are you bro| [person:john m 1-1][person:john m 4-4]
john| Hi Adam I am fine thank you It s been long time we spoke| [person:adam m 1-1][person:john m 2-2][person:adam m 6-6][person:we g(adam:john) 12-12]
adam| Yeah I know Actually I wanted to share something with you| [person:adam m 1-1][person:adam m 4-4][person:john m 10-10]
john| Yeah Please share I am all ears| [person:john m 3-3]
adam| Rita and I are going on a date this weekend| [person:rita f 0-0][person:adam m 2-2]
adam| And I am very much terrified of going horse riding with her| [person:adam m 1-1][person:rita f 11-11]
john| Oh Don t worry about horse riding just watch some videos online|
adam| Thanks but no thanks You yourself don t like horses Don t you| [person:john m 4-4][person:john m 5-5][person:john m 12-12]
john| Yeah I do not like horses but I went on a date with Jane| [person:john m 1-1][person:john m 7-7][person:jane f 13-13]
john| I managed to pull it off the entire way just by watching online videos| [person:john m 0-0]
adam| Are you sure that online videos will help me on my date| [person:john m 1-1][person:adam m 8-8][person:adam m 10-10]
john| Yes I think that it will help you on your date| [person:john m 1-1][person:adam m 7-7][person:adam m 9-9]
adam| I wonder if I should make an excuse and avoid the date| [person:adam m 0-0][person:adam m 3-3]
john| I gave you my suggestion now it s your call whether to consider it or not| [person:john m 0-0][person:adam m 2-2][person:john m 3-3][person:adam m 8-8]

conv:long_chats_0223_41:aug_0:chat_0:chataug_0| annika leanne| [person:annika f 0-0][person:leanne f 1-1]
leanne| Hey Annika What are you doing| [person:annika f 1-1][person:annika f 4-4]
annika| I m looking for the location for the surprise vacation for Mike and Callum| [person:annika f 0-0][location:vacation s 9-9][person:mike m 11-11][person:callum m 13-13]
leanne| Yeah we should take them somewhere warm and tropical| [person:we g(leanne:annika) 1-1][person:them g(callum:mike) 4-4]
annika| Why do you think that warm and tropical place will be good for the vacation| [person:leanne f 2-2][location:place s 8-8][location:vacation s 14-14]
leanne| Because we went to ski resort for last vacation So I think we should look for a new location this time| [person:we g(leanne:annika) 1-1][location:resort s 5-5][location:vacation s 8-8][person:leanne f 10-10][person:we g(leanne:annika) 12-12]
annika| They both really enjoyed a lot the last time so I think we shouldn t change the place| [person:them g(callum:mike) 0-0][person:annika f 10-10][person:we g(leanne:annika) 12-12][location:place s 17-17]
leanne| Okay do you think if it s a good idea to keep the vacation a surprise| [person:annika f 2-2][location:vacation s 13-13]
