conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
isabella| I will reach out to him and let him know we don t think it s a good idea| [person:isabella f 0-0][person:drew m 5-5][person:drew m 8-8][person:we g(isabella:abigail) 10-10]
abigail| I hope he understands and there s no hard feelings| [person:abigail f 0-0][person:drew m 2-2]
isabella| Sounds good I will pick you up at 10am See u then| [person:isabella f 2-2][person:abigail f 5-5][person:abigail f 10-10]
abigail| Perfect I ll b ready Looking forward to it| [person:abigail f 1-1]

conv:people_0610_45:aug_0:chat_0:chataug_0| amber bill| [person:amber f 0-0][person:bill m 1-1]
bill| Who else is coming to put up Christmas lights|
amber| Bailey and Donna| [person:bailey f 0-0][person:donna f 2-2]
bill| Do you have a ladder| [person:amber f 1-1]
amber| No but Bailey agreed to bring hers| [person:bailey f 2-2][person:bailey f 6-6]
bill| Are you providing dinner| [person:amber f 1-1]
amber| No sorry|
bill| I haven t eaten yet can I steal something from your pantry| [person:bill m 0-0][person:bill m 6-6][person:amber f 10-10]
amber| I don t have anything you like can you stop somewhere on the way down| [person:amber f 0-0][person:amber f 5-5][person:amber f 8-8]
bill| No I m still looking for the extension cord and I m already running late| [person:bill m 1-1][person:bill m 10-10]
amber| I can ask Donna to bring snacks then| [person:amber f 0-0][person:donna f 3-3]
bill| That s fantastic thankyou|
amber| No problem you are the one helping me I ll make sure to get you all presents this year| [person:bill m 2-2][person:amber f 7-7][person:amber f 8-8][person:bill m 14-14]

conv:people_0610_48:aug_0:chat_0:chataug_0| scott willie| [person:scott m 0-0][person:willie m 1-1]
scott| Hey how s it going|
willie| Okay just kind of chaotic|
scott| Why What s up|
willie| I was trying some online dating and met up with two different girls| [person:willie m 0-0][person:girls g() 12-12]
willie| I didn t think much of it at first because I was just meeting them| [person:willie m 0-0][person:willie m 10-10][person:girls g() 14-14]
willie| But now I m kind of stuck I m not sure who I actually want to date| [person:willie m 2-2][person:willie m 7-7][person:willie m 12-12]
scott| Isn t there one you prefer| [person:willie m 4-4]
willie| I m not sure They re both pretty cool| [person:willie m 0-0][person:girls g() 4-4]
scott| Wish I had that problem| [person:scott m 1-1]
scott| What are they like| [person:girls g() 2-2]
willie| Paris is pretty awesome She s fun loving likes traveling and going on adventures Really funny and spirited| [location:paris s 0-0][person:paris f 4-4]
willie| Maddison is more down to earth Really sweet loves kids She s a teacher| [person:maddison f 0-0][person:kids g() 9-9][person:maddison f 10-10]
willie| And she wants to have kids| [person:maddison f 1-1][person:kids g() 5-5]
scott| Sounds like some pretty big differences|
scott| Guess it depends on what you want to do with your life right now| [person:willie m 5-5][person:willie m 10-10]
scott| You want to meet up for drinks and we can talk about it| [person:willie m 0-0][person:we g(scott:willie) 8-8]
willie| Yeah that would be great|
willie| I feel like this is a pretty big decision and I don t want to blow it| [person:willie m 0-0][person:willie m 10-10]
willie| Where to|
scott| Let s meet at the Lodge after work| [location:lodge s 5-5]
willie| Awesome I ll call in and reserve a spot for us| [person:willie m 1-1][person:we g(scott:willie) 10-10]
willie| See you there| [person:scott m 1-1][location:lodge s 2-2]
scott| See you| [person:willie m 1-1]

conv:people_0610_49:aug_0:chat_0:chataug_0| fernando martina| [person:fernando m 0-0][person:martina f 1-1]
fernando| So you re serious about creating this app| [person:martina f 1-1]
martina| Yes totally serious Let s do it I bet you we could have it done within a week| [person:martina f 7-7][person:fernando m 9-9][person:we g(fernando:martina) 10-10]
fernando| You know I was talking to Tasha and Tunisha about it and they were interested in joining in| [person:martina f 0-0][person:fernando m 2-2][person:tasha f 6-6][person:tunisha f 8-8][person:we g(fernando:martina) 12-12]
martina| Do they know much about the project| [person:we g(fernando:martina) 1-1]
fernando| I told them about what we ve got planned so far and they have some amazing ideas| [person:fernando m 0-0][person:we g(fernando:martina) 2-2][person:we g(fernando:martina) 5-5][person:we g(fernando:martina) 12-12]
martina| I don t know I feel like that s too many people involved Are they reliable| [person:martina f 0-0][person:martina f 4-4][person:we g(fernando:martina) 14-14]
fernando| Yeah they have a good track record with this sort of thing| [person:we g(fernando:martina) 1-1]
martina| Okay are they any good| [person:we g(fernando:martina) 2-2]
fernando| I feel like they are but why don t you check out their work for yourself I ll send you some links| [person:fernando m 0-0][person:we g(fernando:martina) 3-3][person:martina f 9-9][person:we g(fernando:martina) 12-12][person:martina f 15-15][person:fernando m 16-16][person:martina f 19-19]
martina| Okay I ll do that But don t tell them we re discussing it yet| [person:martina f 1-1][person:we g(fernando:martina) 9-9][person:we g(fernando:martina) 10-10]
fernando| No problem I won t| [person:fernando m 2-2]
martina| Thank you I appreciate that| [person:fernando m 1-1][person:martina f 2-2]

conv:people_0610_50:aug_0:chat_0:chataug_0| cory tina| [person:cory m 0-0][person:tina f 1-1]
cory| Hi Tina how s going| [person:tina f 1-1]
tina| Hi good what s up|
cory| So remember I asked you about going to this party at work this Tuesday night| [person:cory m 2-2][person:tina f 4-4]
tina| Right but I don t know if i would know anyone there| [person:tina f 2-2][person:tina f 7-7][person:anyone u 10-10]
cory| So I checked with Jake and Ann today both of them are definately going| [person:cory m 1-1][person:jake m 4-4][person:ann f 6-6][person:them g(jake:ann) 10-10]
tina| Oh okay at least I know Jake and Ann| [person:tina f 4-4][person:jake m 6-6][person:ann f 8-8]
cory| So would you be my date this Tuesday night I will make sure you have a good time| [person:tina f 2-2][person:cory m 4-4][person:cory m 9-9][person:tina f 13-13]
tina| How are you going to do that| [person:cory m 2-2]
cory| Well I will keep you company and you know Jake and Ann Besides my work friends are cool| [person:cory m 1-1][person:tina f 4-4][person:tina f 7-7][person:jake m 9-9][person:ann f 11-11][person:cory m 13-13][person:friends g() 15-15]
tina| Okay I can go with you I am free| [person:tina f 1-1][person:cory m 5-5][person:tina f 6-6]
cory| Fantastic By the way I will also get dessert for us afterward| [person:cory m 4-4][person:us g(cory:tina) 10-10]
tina| That s nice of you Deal| [person:cory m 4-4]

conv:people_0610_51:aug_0:chat_0:chataug_0| hudson lana| [person:hudson m 0-0][person:lana f 1-1]
hudson| Did you receive the digital printout map I sent you from my county survey office| [person:lana f 1-1][person:hudson m 7-7][person:lana f 9-9][person:hudson m 11-11][location:office s 14-14]
lana| Yes I m on site to inspect the terrain now| [person:lana f 1-1][location:terrain s 8-8]
lana| I think this terrain will work for the steep hillside we need for the movie set| [person:lana f 0-0][location:terrain s 3-3][person:we g(hudson:lana) 10-10]
hudson| Great Now all we have to do it duplicate it| [person:we g(hudson:lana) 3-3]
lana| I was thinking we might be able to hire Nate and Harper They re local landscapers and I ve heard great things about them| [person:lana f 0-0][person:we g(hudson:lana) 3-3][person:nate m 9-9][person:harper u 11-11][person:they g(nate:harper) 12-12][person:lana f 17-17][person:they g(nate:harper) 23-23]
hudson| Ah yes I have heard of the Black brothers They have lots of experience replicating hillsides| [person:hudson m 2-2][person:they g(nate:harper) 9-9]
lana| Harper has quite the reputation as an earthmover I believe he s also a backhoe operator| [person:harper u 0-0][person:lana f 8-8][person:harper u 10-10]
hudson| Let s invite them to make a bid on building the movie set Reach out to them and see what they have to say about our proposal| [person:they g(nate:harper) 3-3][person:they g(nate:harper) 16-16][person:they g(nate:harper) 20-20][person:we g(hudson:lana) 25-25]
lana| I ll get right on it Do you think we should include a few other landscapers in case Nate and Harper are not available| [person:lana f 0-0][person:hudson m 7-7][person:we g(hudson:lana) 9-9][person:nate m 18-18][person:harper u 20-20]
hudson| Yes they re our first choice but let s get a few more bids in We need this set built on time| [person:they g(nate:harper) 1-1][person:we g(hudson:lana) 3-3][person:we g(hudson:lana) 15-15]
lana| Good I ll look through our contacts and reach out to a few others| [person:lana f 1-1][person:we g(hudson:lana) 5-5][person:others g() 13-13]
hudson| Perfect I m heading back to the office Keep me updated| [person:hudson m 1-1][location:office s 7-7][person:hudson m 9-9]
lana| I m about to leave here I ll see you soon| [person:lana f 0-0][location:terrain s 5-5][person:lana f 6-6][person:hudson m 9-9]

conv:people_0610_52:aug_0:chat_0:chataug_0| andrew rob| [person:andrew m 0-0][person:rob m 1-1]
andrew| Hey Rob I have an idea I want to run by you| [person:rob m 1-1][person:andrew m 2-2][person:andrew m 6-6][person:rob m 11-11]
rob| Hey what s up|
andrew| Since both of our birthdays are coming up I thought it might be cool to have joint birthday parties| [person:our g(andrew:rob) 3-3][person:andrew m 8-8]
rob| I like that idea a lot| [person:rob m 0-0]
andrew| What kind of activities should we have| [person:our g(andrew:rob) 5-5]
rob| How about we play a game of airsoft| [person:our g(andrew:rob) 2-2]
andrew| I don t know if that s a good idea if we invite Kate and Rachel| [person:andrew m 0-0][person:our g(andrew:rob) 11-11][person:kate f 13-13][person:rachel f 15-15]
rob| What other activity do you think we should do| [person:andrew m 4-4][person:our g(andrew:rob) 6-6]
andrew| How about going to the movies and grabbing some drinks|
rob| I think that s a good idea but we should ask everyone to see what they want to do| [person:rob m 0-0][person:our g(andrew:rob) 8-8][person:everyone g(kate:rachel) 11-11][person:everyone g(kate:rachel) 15-15]
andrew| I agree we ll ask and then choose an activity| [person:andrew m 0-0][person:our g(andrew:rob) 2-2]
rob| Sounds good let me know what they say| [person:rob m 3-3][person:everyone g(kate:rachel) 6-6]

conv:people_0610_53:aug_0:chat_0:chataug_0| andrea tiffany| [person:andrea f 0-0][person:tiffany f 1-1]
andrea| I m excited for the body training class I feel like we should get more information about it though| [person:andrea f 0-0][person:andrea f 8-8][person:andrea_and_tiffany g(andrea:tiffany) 11-11]
tiffany| Yeah I agree We can ask the two trainers I think their names are Julia and Carly| [person:tiffany f 1-1][person:andrea_and_tiffany g(andrea:tiffany) 3-3][person:tiffany f 9-9][person:julia_and_carly g() 11-11][person:julia f 14-14][person:carly f 16-16]
andrea| Oh yeah Do you think they will be genuine though| [person:tiffany f 3-3][person:julia_and_carly g(julia:carly) 5-5]
tiffany| Why wouldn t they be| [person:julia_and_carly g(julia:carly) 3-3]
andrea| They get paid on commission| [person:julia_and_carly g(julia:carly) 0-0]
tiffany| Oh I totally forgot about that| [person:tiffany f 1-1]
andrea| I m sure there s a way we can approach them without the commission being a problem| [person:andrea f 0-0][person:andrea_and_tiffany g(andrea:tiffany) 7-7][person:julia_and_carly g(julia:carly) 10-10]
tiffany| How do you suggest we do that| [person:andrea f 2-2][person:andrea_and_tiffany g(andrea:tiffany) 4-4]
andrea| I think we should just talk about body building in general Not be too specific on anything you know| [person:andrea f 0-0][person:andrea_and_tiffany g(andrea:tiffany) 2-2][person:tiffany f 17-17]
tiffany| Yes that makes sense Then they won t try to advertise to us It will be a genuine talk| [person:julia_and_carly g(julia:carly) 5-5][person:andrea_and_tiffany g(andrea:tiffany) 12-12]

conv:people_0610_54:aug_0:chat_0:chataug_0| john val| [person:john m 0-0][person:val f 1-1]
john| Hey Val since they both aren t answering what do you think we should do| [person:val f 1-1][person:they g() 3-3][person:val f 10-10][person:we g(john:val) 12-12]
val| Well let s try each of them one more time to see if they answer| [person:them g() 6-6][person:they g() 13-13]
john| Okay but this time I will try to call Maxine and you try to call Trevor| [person:john m 4-4][person:maxine f 9-9][person:val f 11-11][person:trevor m 15-15]
val| Sounds like a plan let s try again after we eat dinner tonight| [person:we g(john:val) 9-9]
john| So Maxine answered and she wants to ask what she should bring for Thanksgiving| [person:maxine f 1-1][person:maxine f 4-4][person:maxine f 9-9][person:thanksgiving g() 13-13]
val| Tell her that she can make some desserts and we will take care of the rest| [person:maxine f 1-1][person:maxine f 3-3][person:we g(john:val) 9-9]
john| Okay cool Were you able to get hold of Trevor| [person:val f 3-3][person:trevor m 9-9]
val| Ah yes He said that he will come and is going to bring all the drinks| [person:trevor m 2-2][person:trevor m 5-5]
john| What kind of drinks did he say he would bring| [person:trevor m 5-5][person:trevor m 7-7]
val| Like alcohol We boutta get drunk sucka| [person:we g(john:val) 2-2]

conv:people_0610_55:aug_0:chat_0:chataug_0| lester olly| [person:lester m 0-0][person:olly f 1-1]
lester| Hi Olly how are you| [person:olly f 1-1][person:olly f 4-4]
olly| I am doing good how about you| [person:olly f 0-0][person:lester m 6-6]
lester| I am fine Just what to talk to you about my college selection| [person:lester m 0-0][person:olly f 8-8][person:lester m 10-10][location:college s 11-11]
olly| Sure what s up|
lester| You know my friend Graham and Arthur are going to Dartmouth| [person:olly f 0-0][person:lester m 2-2][person:friend g() 3-3][person:graham m 4-4][person:arthur m 6-6][location:dartmouth s 10-10]
olly| Yea I hear about it Graham told me already| [person:olly f 1-1][person:graham m 5-5][person:olly f 7-7]
lester| And my Girlfriend Caterina is going to Queens I am not sure which one should I pick Dartmouth or Queens| [person:lester m 1-1][person:caterina f 2-2][person:caterina f 3-3][location:queens s 7-7][person:lester m 8-8][person:lester m 15-15][location:dartmouth s 17-17][location:queens s 19-19]
olly| Listen you should not think that way Should not pick a school merely because your friends are going there| [person:lester m 1-1][location:school s 11-11][person:lester m 14-14][person:friends g(graham:arthur) 15-15][location:school s 18-18]
lester| What do you mean| [person:olly f 2-2]
olly| You should pick the ones you really want to go| [person:lester m 0-0][person:lester m 5-5]
lester| But these are also my top two picks as well| [person:lester m 4-4]
olly| Then go with your friends and enjoy your college life| [person:lester m 3-3][person:friends g(graham:arthur) 4-4][person:lester m 7-7]

conv:people_0610_56:aug_0:chat_0:chataug_0| jess wallace| [person:jess f 0-0][person:wallace m 1-1]
wallace| Hey how have you been doing| [person:jess f 3-3]
jess| I am doing alright| [person:jess f 0-0]
jess| How about you| [person:wallace m 2-2]
wallace| Good just trying to think of ways to work out more consistently|
wallace| Do you have any ideas| [person:jess f 1-1]
jess| Honestly I am having the same problem| [person:jess f 1-1]
jess| I need a motivator I think| [person:jess f 0-0][person:jess f 4-4]
wallace| What do you think about getting a personal trainer| [person:jess f 2-2]
wallace| I was thinking it might be a good idea| [person:wallace m 0-0]
wallace| I was considering hiring Michael he seems to be a good trainer| [person:wallace m 0-0][person:michael m 4-4][person:wallace m 5-5]
jess| I have thought about hiring him as well| [person:jess f 0-0][person:wallace m 5-5]
jess| However he is a little too intense for my style| [person:wallace m 1-1][person:jess f 8-8]
jess| I was thinking about hiring Rebecca| [person:jess f 0-0][person:rebecca f 5-5]
wallace| I dont know I prefer his intensity of her relaxed demeanor| [person:wallace m 0-0][person:wallace m 3-3][person:wallace m 5-5][person:rebecca f 8-8]
wallace| I dont know that it would work for me| [person:wallace m 0-0][person:wallace m 8-8]
wallace| I think I will talk to Rebecca about her training style| [person:wallace m 0-0][person:wallace m 2-2][person:rebecca f 6-6][person:rebecca f 8-8]
wallace| I will get back to you when I decide| [person:wallace m 0-0][person:jess f 5-5][person:wallace m 7-7]
jess| Okay talk to you then| [person:wallace m 3-3]

conv:people_0610_57:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| hi|
rita| hello|
jane| I am thinking about visit John in prison| [person:jane f 0-0][person:john m 5-5]
rita| Why is that|
jane| I don t know I am feeling like I have to see him after the death of his parents| [person:jane f 0-0][person:jane f 4-4][person:jane f 8-8][person:john m 12-12][person:john m 17-17][person:parents g() 18-18]
rita| Ah I see| [person:rita f 1-1]
rita| But are you sure he will want to see you| [person:jane f 2-2][person:john m 4-4][person:jane f 9-9]
jane| Sure I know him He will definitely appreciate it| [person:jane f 1-1][person:john m 3-3][person:john m 4-4]
rita| ok|
jane| By the way would you and Adam give me a ride| [person:rita f 4-4][person:adam m 6-6][person:jane f 8-8]
rita| Well I do not know if Adam will want to I will get back to you| [person:rita f 1-1][person:adam m 6-6][person:rita f 10-10][person:jane f 15-15]
jane| Ok thanks|
rita| You are welcome| [person:jane f 0-0]
jane| See you later| [person:rita f 1-1]

conv:people_0610_58:aug_0:chat_0:chataug_0| alana audrey| [person:alana f 0-0][person:audrey f 1-1]
alana| HAPPY NEW YEARS|
audrey| You too I can t believe 2019 is over already| [person:alana f 0-0][person:audrey f 2-2]
audrey| Did you make any new year s resolutions| [person:alana f 1-1]
alana| Nah I couldn t think of a good one| [person:alana f 1-1]
alana| Did you| [person:audrey f 1-1]
audrey| No But Cody is resolving to eat vegan now| [person:cody m 2-2]
alana| What That s a big change|
alana| What made him decide to do that| [person:cody m 2-2]
audrey| We watched the documentary Game Changers on Netflix| [person:we g(audrey:cody) 0-0]
alana| That s funny Connor just watched the same documentary and actually he was also thinking he might become vegan| [person:connor m 3-3][person:connor m 11-11][person:connor m 15-15]
alana| He thought it was a great documentary| [person:connor m 0-0]
audrey| What do you think Would you become vegan after seeing the movie| [person:alana f 2-2][person:alana f 5-5]
alana| See I don t know if I could because I like cheese too much lol| [person:alana f 1-1][person:alana f 6-6][person:alana f 9-9]

conv:people_0610_59:aug_0:chat_0:chataug_0| brandon luis| [person:brandon m 0-0][person:luis m 1-1]
luis| Hey Barndon whats up| [person:brandon m 1-1]
brandon| O Hi luis I was just planning to go for playing golf with Catherine| [person:luis m 2-2][person:brandon m 3-3][person:catherine f 13-13]
luis| then I will suggest you to go XYZ town as I have visting last week that was so much fun| [person:luis m 1-1][person:brandon m 4-4][location:town s 8-8][person:luis m 10-10]
brandon| O that sound s Great but how much I have to tarvel for that| [person:brandon m 8-8]
luis| It s about 100 miles away I will take 23 hours most probbably| [person:luis m 6-6]
brandon| o then I won t be able to go there as Catherine has planned a date too at the evening| [person:brandon m 2-2][location:town s 9-9][person:catherine f 11-11]
luis| Yeah definately you need a full day for that| [person:brandon m 2-2]
brandon| hmm we are having a date dinner at evening and catherine s friend Brit is also coming so we have to be on time| [person:we g(brandon:catherine) 1-1][person:catherine f 10-10][person:brit f 12-12][person:brit f 13-13][person:we g(brandon:catherine) 18-18]
luis| hmmm|
brandon| Luis why don t you should join us too| [person:luis m 0-0][person:luis m 4-4][person:us g(brandon:catherine:brit) 7-7]
luis| thats so sweet of you but i m not sure that Im free or not| [person:brandon m 4-4][person:luis m 6-6]
brandon| Luis Please it will be much fun| [person:luis m 0-0]
luis| okay Brandon I will let you know| [person:brandon m 1-1][person:luis m 2-2][person:brandon m 5-5]

conv:people_0610_60:aug_0:chat_0:chataug_0| diego jojo| [person:diego m 0-0][person:jojo f 1-1]
diego| Hey Jojo I can t drive to the concert tonight because my dad is getting the car fixed| [person:jojo f 1-1][person:dad m 2-2][location:concert s 8-8][person:dad m 11-11][person:dad m 12-12]
jojo| Hey Diego our only option will probably be to take the bus then| [person:dad m 1-1][person:our g(diego:jojo) 2-2]
diego| My friends Paris and Ira are going to the same concert| [person:diego m 0-0][person:friends g() 1-1][person:paris f 2-2][person:ira f 4-4][location:concert s 10-10]
jojo| How are they getting there| [person:our g(diego:jojo) 2-2][location:concert s 4-4]
diego| I think driving| [person:diego m 0-0]
jojo| Ask them if they can give us a ride as well| [person:friends g(paris:ira) 1-1][person:friends g(paris:ira) 3-3][person:our g(diego:jojo) 6-6]
diego| How do you think that I should ask them| [person:jojo f 2-2][person:diego m 5-5][person:friends g(paris:ira) 8-8]
jojo| Just text them and ask how they are getting there and if they have room for you and a friend| [person:friends g(paris:ira) 2-2][person:friends g(paris:ira) 6-6][location:concert s 9-9][person:friends g(paris:ira) 12-12][person:diego m 16-16][person:friends g(paris:ira) 19-19]
diego| Okay do you think I should text them right now or wait a little| [person:jojo f 2-2][person:diego m 4-4][person:friends g(paris:ira) 7-7]
jojo| Text them now the sooner the better| [person:friends g(paris:ira) 1-1]
diego| Okay|
jojo| Okay thanks Let me know| [person:jojo f 3-3]

conv:people_0610_61:aug_0:chat_0:chataug_0| caleb darren| [person:caleb m 0-0][person:darren m 1-1]
caleb| Have you put any thought into who we could put at the top position in our football league| [person:darren m 1-1][person:we g(caleb:darren) 7-7][person:our g(caleb:darren) 15-15]
darren| Yeah I have| [person:darren m 1-1]
caleb| And who did you come up with| [person:darren m 3-3]
darren| I was thinking maybe we could get Edmund since we both know his so well| [person:darren m 0-0][person:we g(caleb:darren) 4-4][person:edmund m 7-7][person:we g(caleb:darren) 9-9][person:edmund m 12-12]
caleb| Well I was thinking it would be better to get someone we are not so close to a fresh face without as much training in football| [person:caleb m 1-1][person:someone u 10-10][person:we g(caleb:darren) 11-11]
darren| Why|
caleb| It s a matter of control If we get someone with too much training then they may take over and we wil lose control| [person:we g(caleb:darren) 7-7][person:someone u 9-9][person:they g() 15-15][person:we g(caleb:darren) 20-20]
darren| Oh I see Then I guess John is out too| [person:darren m 1-1][person:darren m 4-4][person:john m 6-6]
caleb| Yup|
darren| Well then I will just have to try to think of someone with less experience| [person:darren m 2-2][person:someone u 11-11]
caleb| That would be wise|
darren| How about Matthew McConehey Those actors know nothing and yet they still try to tell us all what to do| [person:matthew m 2-2][person:they g() 10-10][person:us g(caleb:darren) 15-15]

conv:people_0610_63:aug_0:chat_0:chataug_0| marvin trevor| [person:marvin m 0-0][person:trevor m 1-1]
marvin| Hi trevor| [person:trevor m 1-1]
trevor| hello marvin| [person:marvin m 1-1]
marvin| are you preparing for the superbowl party| [person:trevor m 1-1]
trevor| yeah yeah|
marvin| did you invite Kenny and Brinda| [person:trevor m 1-1][person:kenny m 3-3][person:brinda f 5-5]
trevor| yeah i did already| [person:trevor m 1-1]
trevor| I will bring a variety of snacks and appetizers that our friends will like| [person:trevor m 0-0][person:our g(marvin:trevor) 10-10][person:friends g(kenny:brinda) 11-11]
marvin| I am doing that already| [person:marvin m 0-0]
trevor| Okay i am cool with that| [person:trevor m 1-1]
marvin| We need a theme for the party i suggest we use both team colours hosting the super bowl with their mascots for decorations| [person:we g(marvin:trevor) 0-0][person:marvin m 7-7][person:we g(marvin:trevor) 9-9][person:team g() 12-12][person:their g() 19-19]
trevor| That is awesome|
trevor| I am down with that idea it is well thought out| [person:trevor m 0-0]
marvin| lol Thanks please do not be late|
trevor| O will make sure everyone gets there on time| [person:everyone g() 4-4]

conv:people_0610_64:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
john| Looking forward to our night out| [person:our g(john:jane) 3-3]
jane| Me too We still need to decide about the babysitter| [person:jane f 0-0][person:we g(john:jane) 2-2]
john| Decide what|
jane| Who is going to babysit|
jane| I like Rita coz she keeps the place clean I think she even cleans up more than I do LOL| [person:jane f 0-0][person:rita f 2-2][person:rita f 4-4][location:place s 7-7][person:jane f 9-9][person:rita f 11-11][person:jane f 17-17]
john| That s not hard to do LOL|
jane| You re a jerk Adam is always really good with Timmy though| [person:john m 0-0][person:adam m 4-4][person:timmy m 10-10]
john| Don t sweat it babe Just go with with Adam| [person:adam m 9-9]
jane| But I really like Rita| [person:jane f 1-1][person:rita f 4-4]
john| Just go with Adam We can use Rita next week| [person:adam m 3-3][person:we g(john:jane) 4-4][person:rita f 7-7]
jane| After that cleaning joke there may not BE a next week|
john| Just kidding Give Adam a call and I ll see you tonight| [person:adam m 3-3][person:john m 7-7][person:jane f 10-10]

conv:people_0610_65:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| So what s the plan|
john| I will go back to the place where Jane apparently died| [person:john m 0-0][location:place s 6-6][person:jane f 8-8]
adam| Where is this place| [location:place s 3-3]
john| It s the warehouse in Charlotte Ave| [location:warehouse s 0-0][location:warehouse s 3-3][location:charlotte s 5-5]
adam| Didn t the cops have a barricade up for that place I think it s a bad idea to go It d be breaking and entering| [location:warehouse s 10-10][person:adam m 11-11]
john| Listen man I know how it sounds But Jane wanted to start a new life And now all of a sudden she happens to key in at the warehouse at 2 AM with nobody else there| [person:john m 2-2][person:jane f 8-8][person:jane f 21-21][location:warehouse s 28-28][location:warehouse s 35-35]
john| And then the warehouse explodes| [location:warehouse s 3-3]
john| That body didn t even look like Jane dude| [person:jane f 7-7]
adam| Alright well if you re going to do it I need to be there as your backup| [person:john m 3-3][person:adam m 9-9][person:john m 15-15]
adam| When do you want to do this| [person:john m 2-2]
john| Meet me at 1 AM tonight around Charlotte Ave Don t tell Rita about what we re doing The last thing she needs is to get her hopes up| [person:john m 1-1][location:charlotte s 7-7][person:rita f 12-12][person:john_and_adam g(adam:john) 15-15][person:rita f 21-21][person:rita f 26-26]
adam| I know I ll see you there| [person:adam m 0-0][person:adam m 2-2][person:john m 5-5][location:charlotte s 6-6]

conv:people_0610_66:aug_0:chat_0:chataug_0| casper kathleen| [person:casper f 0-0][person:kathleen f 1-1]
casper| Did you hear the news about Orlando and Olivia| [person:kathleen f 1-1][person:orlando m 6-6][person:olivia f 8-8]
kathleen| No What s going on with them| [person:them g(orlando:olivia) 6-6]
casper| I heard they got engaged over the summer| [person:casper f 0-0][person:them g(orlando:olivia) 2-2]
kathleen| Oh really First time I ve heard about it| [person:kathleen f 4-4]
casper| I am so happy for them They ve been together since high school| [person:casper f 0-0][person:them g(orlando:olivia) 5-5][person:them g(orlando:olivia) 6-6][location:high_school s 11-12]
kathleen| Yeah|
casper| You don t sound too happy| [person:kathleen f 0-0]
kathleen| I m not| [person:kathleen f 0-0]
casper| Why not|
kathleen| I m sick of seeing everyone else move forward while I m left behind| [person:kathleen f 0-0][person:kathleen f 10-10]
casper| Your time will come eventually| [person:kathleen f 0-0]
kathleen| I don t see that happening I guess I m just jealous that Olivia got engaged before me| [person:kathleen f 0-0][person:kathleen f 6-6][person:kathleen f 8-8][person:olivia f 13-13][person:kathleen f 17-17]

conv:people_0610_67:aug_0:chat_0:chataug_0| bella mellisa| [person:bella f 0-0][person:mellisa f 1-1]
mellisa| Yes we really would love that car but we need to stick within our budget| [person:we g(mellisa:bella) 1-1][person:we g(mellisa:bella) 8-8][person:our g(mellisa:bella) 13-13]
bella| Agreed We have figured out our month bills and even allowed ourselves some room We just need to stick with the plan| [person:we g(mellisa:bella) 1-1][person:our g(mellisa:bella) 5-5][person:ourselves g(mellisa:bella) 11-11][person:we g(mellisa:bella) 14-14]
mellisa| I know Brandie and Rafael want us to really upgrade but we just can t| [person:mellisa f 0-0][person:brandie f 2-2][person:rafael m 4-4][person:us g(mellisa:bella) 6-6][person:we g(mellisa:bella) 11-11]
bella| It doesn t seem like they are really hearing us They just want to make a sale| [person:they g(brandie:rafael) 5-5][person:us g(mellisa:bella) 9-9][person:they g(brandie:rafael) 10-10]
mellisa| They will just have to be satisfied with a sale with a smaller commission| [person:they g(brandie:rafael) 0-0]
bella| I thought it was strange when Rafael said it s not much more than you re paying now| [person:bella f 0-0][person:rafael m 6-6][person:mellisa f 14-14]
mellisa| Yeah he thinks we have a car payment He doesn t realize we paid the old car off 2 years ago| [person:rafael m 1-1][person:we g(mellisa:bella) 3-3][person:rafael m 8-8][person:we g(mellisa:bella) 12-12]
bella| I guess most people buy new cars before they pay the old ones off| [person:bella f 0-0][person:people g() 3-3][person:they g(brandie:rafael) 8-8]
mellisa| I can t do that I have to have several years without a car payment| [person:mellisa f 0-0][person:mellisa f 5-5]
bella| Me too It s silly to trade in a perfectly good car just to get back in debt| [person:bella f 0-0]
mellisa| That s the truth We will just have to hold firm and be ready to walk out| [person:we g(mellisa:bella) 4-4]
bella| If they keep trying to upsell us we really should just walk away| [person:they g(brandie:rafael) 1-1][person:us g(mellisa:bella) 6-6][person:we g(mellisa:bella) 7-7]
mellisa| I agree Our old car is still in pretty good shape Maybe we should just keep it for awhile longer| [person:mellisa f 0-0][person:our g(mellisa:bella) 2-2][person:we g(mellisa:bella) 12-12]
mellisa| You know I think you re right I guess Brandie and Rafael will have to wait a few more months to be able to make a sale with us| [person:bella f 0-0][person:mellisa f 2-2][person:bella f 4-4][person:mellisa f 7-7][person:brandie f 9-9][person:rafael m 11-11][person:us g(mellisa:bella) 28-28]

conv:people_0610_68:aug_0:chat_0:chataug_0| mason william| [person:mason m 0-0][person:william m 1-1]
william| Mason I m about to leave my place to come pick you up| [person:mason m 0-0][person:william m 1-1][person:william m 6-6][location:place s 7-7][person:mason m 11-11]
mason| Sounds good Did you bring anything for Grace| [person:william m 3-3][person:grace f 7-7]
